Punjabi,Gujarati
ਅਸਧਾਰਨ,અસામાન્ય
ਅਧੂਰਾ ਛੱਡਣਾ,ગર્ભપાત
ਘ੍ਰਿਣਾ,ઘર્ષણ
ਅਚਾਨਕ,અચાનક
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,સંપૂર્ણ ક્ષેત્ર શક્તિ
ਪੂਰਨ ਤਾਪਮਾਨ,સંપૂર્ણ તાપમાન
ਸਹੀ ਮੁੱਲ,અબાધિત મૂલ્ય
ਸੋਖਣਾ,શોષવું
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,સહ-કાર્યક્ષમ
ਸਮਾਈ ਨੁਕਸਾਨ,શોષણ
ਸਾਰ,નિષ્ક્રિય
ਐਕਸੀਲਾਮੀਟਰ,પ્રવેગમાપક
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,સ્વીકૃતિ કસોટી
ਪਹੁੰਚ,પ્રવેશ
ਐਕਸੈਸ ਕੰਟਰੋਲ,વપરાશ નિયંત્રણ
ਐਕਸੈਸ ਪੁਆਇੰਟ,પ્રવેશ -બિંદુ
ਐਕਸੈਸ ਟਾਈਮ,પ્રવેશ સમય
ਪਹੁੰਚਯੋਗਤਾ,ઉપલ્બધતા
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,સંકુચિત સેલી
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਸਹੀ,ચોક્કસ
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,ઘેટાંના લેન્સ
ਐਸਿਡ,તેજાબ
ਐਸਿਡ ਦਾ ਸਬੂਤ,એસિડ પ્રૂફ
ਐਸਿਡਿਟੀ,અમલ્ય
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,સ્વીકૃતિ
ਧੁਨੀ,ધ્વનિશાસ્ત્ર
ਧੁਨੀ ਸੰਚਾਰ,ધ્વનિશાસ્ત્ર
ਧੁਨੀ ਫੈਲਾਉਣ,ધ્વનિ -પ્રસરણ
ਧੁਨੀ ਬਰਾਬਰੀ,ધ્વનિ -બરાબરી
ਧੁਨੀ ਫੀਡਬੈਕ,ધ્વનિ -પ્રતિસાદ
ਧੁਨੀ ਫਿਲਟਰ,ધ્વનિ ફિલ્ટર
ਧੁਨੀ ਰੁਕਾਵਟ,ધ્વનિ અવરોધ
ਧੁਨੀ ਮਾਸਕਿੰਗ,ધ્વનિ -માસ્કીંગ
ਧੁਨੀ ਸ਼ਕਤੀ,ધ્વનિની શક્તિ
ਧੁਨੀ ਸੰਪਤੀ,ધ્વનિપક્ષીય મિલકત
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,ધ્વનિની પ્રતિક્રિયા
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ધ્વનિ -પ્રતિબિંબ
