Assamese,Punjabi
অজৈৱিক প্ৰজনন,ਅਬਾਇਓਟਿਕ ਪ੍ਰਜਨਨ
অস্বাভাৱিক,ਅਲੌਕਿਕ
১/ চতুৰ্থ পেট ২) ইভ’মাজম,1. ਚੌਥਾ ਪੇਟ 2. ਈਵੋਮਾਸੋਮ
ষ্টোমেটাল বৃদ্ধিৰ অংগ,ਸਟੋਮੈਟਲ ਵਿਕਾਸ ਅੰਗ
স্তব্ধ বৃদ্ধিৰ বীজ,ਰੁਕਿਆ ਹੋਇਆ ਵਾਧਾ ਬੀਜ
১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা,1. ਗਰਭਪਾਤ 2. ਗਰਭਪਾਤ 3. ਵਿਕਾਸ ਪ੍ਰਤੀਰੋਧ
১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ,1. ਅਣਚਾਹੇ ਜੰਗਲੀ ਬੂਟੀ 2. ਮੁਕੰਮਲ ਨਦੀਨ
শোষিত কেটিয়ন,ਲੀਨ cation
শোষণ,ਸਮਾਈ
এবিচিনিয়ান সৰিয়হ,ਐਬੀਸੀਨੀਅਨ ਸਰ੍ਹੋਂ
১.একেৰিচাইড,1. ਐਕਰੀਸਾਈਡ
centripetal,centripetal
বৃদ্ধি (কোষ),ਪ੍ਰਸਾਰਨ (ਸੈੱਲ)
অনুমোদিত সহনশীলতা,ਮਨਜ਼ੂਰ ਸਹਿਣਸ਼ੀਲਤਾ
1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক,1. ਵਾਧੂ 2. ਐਕਸੈਸਰੀ 3. ਐਕਸੈਸਰੀ
অভিযোজন,ਅਨੁਕੂਲਨ
সঞ্চয়,ਇਕੱਠਾ ਕਰਨਾ
1.vaccuracy 2. নিখুঁততা,1. ਸ਼ੁੱਧਤਾ 2. ਸ਼ੁੱਧਤਾ
১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট,1. ਏਸਰਵੁਲਸ 2. ਸਪੋਰੋਫਾਈਟ
১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন,1. ਐਸੀਟਾਈਜ਼ੇਸ਼ਨ 2. ਸਿਰਕਾ ਬਣਾਉਣਾ 3. ਐਸੀਟਿਲੇਨ
১.এচিডিকৰণ ২.এচিডিকৰণ,1. ਤੇਜ਼ਾਬੀਕਰਨ 2. ਤੇਜ਼ਾਬੀਕਰਨ
১.এচিডমিটাৰ ২.এচিডিমিটাৰ,1. ਐਸੀਡੋਮੀਟਰ 2. ਐਸਿਡਮੀਟਰ
এচিডিটি,ਐਸਿਡਿਟੀ
এচিডোফাইল,ਐਸਿਡੋਫਾਈਲ
এচিডিফাইড ৰক ফছফেট,ਤੇਜ਼ਾਬ ਚੱਟਾਨ ਫਾਸਫੇਟ
এচিডিফাইড,ਤੇਜ਼ਾਬ
জলধাৰা,aquifer
অধিগ্ৰহণ,ਪ੍ਰਾਪਤੀ
একৰ,ਏਕੜ
১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল,1. ਖੇਤਰ 2. ਖੇਤਰ
শেষ বিন্দু ক্ৰম’জম,ਅੰਤ ਬਿੰਦੂ ਕ੍ਰੋਮੋਸੋਮ
আগলৈ চাই থকা,ਅਗਾਂਹਵਧੂ
acrosome,acrosome
actinomycetes,ਐਕਟਿਨੋਮਾਈਸੀਟਸ
সক্ৰিয় কোৰ,ਸਰਗਰਮ ਕੋਰ
1. উত্তেজিত 2. তীব্ৰ,1. ਗੁੱਸੇ ਵਾਲਾ 2. ਤੀਬਰ
অভিযোজন ক্ষমতা,ਅਨੁਕੂਲਤਾ
কাষ্টমাইজেচন,ਕਸਟਮਾਈਜ਼ੇਸ਼ਨ
১.আঠাযুক্ততা ২.আঠাযুক্ততা,1. ਅਡੈਸ਼ਨ 2. ਅਡੈਸ਼ਨ
তৈলাক্ত,sebaceous
সমন্বয় সমীকৰণ,ਸਮਾਯੋਜਨ ਸਮੀਕਰਨ
এডোব মাটি,ਅਡੋਬ ਮਿੱਟੀ
ব্যভিচাৰী,ਮਿਲਾਵਟ ਕਰਨ ਵਾਲਾ
এক্ট&#39;পিক,ਐਕਟੋਪਿਕ
Isidiospore Isidium বিজাণু,ਆਈਸੀਡਿਓਸਪੋਰ ਆਈਸੀਡੀਅਮ ਸਪੋਰ
বায়ুগতিশীল প্ৰক্ৰিয়া,ਐਰੋਡਾਇਨਾਮਿਕ ਪ੍ਰਕਿਰਿਆ
ventral,ਵੈਂਟ੍ਰਲ
বায়ুমণ্ডলীয় কৰা,ਹਵਾ ਦੇਣ ਲਈ
১.বায়ু ২.আকাশী,1. ਹਵਾ 2. ਆਕਾਸ਼ੀ
১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ,1. ਐਰੋਮੀਟਰ 2. ਐਰੋਮੀਟਰ 3. ਐਰੋਮੀਟਰ
এৰ&#39;ছল,ਐਰੋਸੋਲ
