Tamil,Bengali
அபேலி குழு,আবেলি গ্রুপ
அபேலி குழு,আবেলি গ্রুপ
கை,হাত
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
முழுமையான ஒருங்கிணைப்பு,পরম মিলন
முழுமையான பிழை,পরম ত্রুটি
உச்ச உச்ச,সর্বোচ্চ সর্বোচ্চ
முற்றிலும் குறைந்த,পরম সর্বনিম্ন
துல்லியமான மதிப்பு,পরম মান
முழுமையான வேகம்,পরম বেগ
சுருக்க இயற்கணிதம்,বিমূর্ত বীজগণিত
சுருக்க குழு கோட்பாடு,বিমূর্ত গ্রুপ তত্ত্ব
முடுக்கம்,ত্বরণ
ஈர்ப்பு முடுக்கம்,মহাকর্ষীয় ত্বরণ
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,গ্রহণযোগ্য নির্বাচক
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,গ্রহণযোগ্য মানের স্তর
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,গ্রহণযোগ্য প্রাঙ্গনে
சரியான நம்பகத்தன்மை நிலை,বৈধ নির্ভরযোগ্যতা স্তর
ஏற்பு மாதிரி,গ্রহণযোগ্যতা নমুনা
திரட்டப்பட்ட பிழை,সঞ্চিত ত্রুটি
துல்லியம்,সঠিকতা
பயன்படுத்தப்படும் சக்தி,প্রযুক্ত বল
"செயல், செயல்","কর্ম, কাজ"
செயல் மற்றும் எதிர்வினை,কর্ম এবং প্রতিক্রিয়া
காப்பீட்டு அறிவியல்,বীমা বিজ্ঞান
கடுமையான முக்கோணம்,তীব্র ত্রিভুজ
அசைக்ளிக்,অ্যাসাইক্লিক
மொத்தத்தில்,যোগফল
சேர்ப்பான்,যোগকারী
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","যোগফল, যোগ, যোগফল (গ.), যোগ (v.)"
யோகா சூத்திரம்,যোগের সূত্র
கலப்பு எண்களின் கூட்டுத்தொகை,জটিল সংখ্যার যোগফল
செயல்பாடுகளின் கூட்டுத்தொகை,ফাংশনের যোগফল
மெட்ரிக்குகளின் கூட்டுத்தொகை,ম্যাট্রিক্সের যোগফল
பல்லுறுப்புக்கோவைகளின் தொகை,বহুপদীর সমষ্টি
நிகழ்தகவுகளின் கூட்டுத்தொகை,সম্ভাবনার যোগফল
திசையன்களின் தொகை,ভেক্টরের সমষ্টি
"தொகை தேற்றம், பெர்ரி கோட்பாடு,","যোগ উপপাদ্য, বেরি তত্ত্ব"
சேர்க்கை குழு,সংযোজনকারী গ্রুপ
தலைகீழ் சேர்க்கை,সংযোজন বিপরীত
சேர்க்கை,যোগযোগ্যতা
சேர்க்கை,যোগযোগ্যতা
அருகாமை அணி,অন্তিক ম্যাট্রিক্স
"அருகாமை, அருகாமை, அருகாமை","সংলগ্ন, সংলগ্ন, সংলগ্ন"
அருகில் உள்ள கோணம்,সংলগ্ন কোণ
அருகில் உள்ள உச்சி,সংলগ্ন শীর্ষবিন্দু
தொடர்புபடுத்த,যুক্ত করা
"இணைக்கப்பட்ட உறை,",সংযুক্ত ঘের
பொதுவான தீர்மானிப்பான்,সাধারণ নির্ধারক
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,সংযুক্ত ডিফারেনশিয়াল সমীকরণ
இணைக்கப்பட்ட சமன்பாடு,সংযুক্ত সমীকরণ
ஒரே மாதிரியான அணி,সমগোত্রীয় ম্যাট্রিক্স
அணி ஒருங்கிணைப்பு,ম্যাট্রিক্স সমন্বয়
ஒரே மாதிரியான அணி,সমগোত্রীয় ম্যাট্রিক্স
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,গ্রহণযোগ্য অনুমান
காற்றியக்க விசை,এরোডাইনামিক বল
காற்றியக்கவியல்,বায়ুগতিবিদ্যা
ஒரே மாதிரியான வடிவியல்,সমজাতীয় জ্যামিতি
ஒரே மாதிரியான மேப்பிங்,সমজাতীয় ম্যাপিং
ஒரே மாதிரியான மாற்றம்,একজাতীয় রূপান্তর
மொத்த மாறி,সামগ্রিক পরিবর্তনশীল
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
"விதை மூடிய, விதை","seedy বন্ধ, বীজাণু"
இயற்கணித சமன்பாடு,বীজগণিত সমীকরণ
இயற்கணித வெளிப்பாடு,বীজগাণিতিক এক্সপ্রেশন
இயற்கணித ஒருமைப்பாடு,বীজগণিতের একজাতীয়তা
இயற்கணித செயல்பாடு,বীজগণিতের ফাংশন
இயற்கணித வடிவியல்,বীজগণিত জ্যামিতি
இயற்கணித பன்மை,বীজগণিত বহুত্ব
இயற்கணித அமைப்பு,বীজগণিত ব্যবস্থা
அனைத்து முழு எண் பிரச்சனை,সমস্ত পূর্ণসংখ্যা সমস্যা
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন
அகரவரிசைக் குறியீடு,বর্ণানুক্রমিক স্বরলিপি
அகரவரிசை எழுத்து,বর্ণানুক্রমিক অক্ষর
மாற்று கோணங்கள்,বিকল্প কোণ
"மாற்று ஒரே மாதிரியான மாற்று வடிவம்,",বিকল্প সমজাতীয় বিকল্প ফর্ম
மாற்று குழு,বিকল্প গোষ্ঠী
மாற்று அணி,বিকল্প ম্যাট্রিক্স
மாற்று தொடர்,বিকল্প সিরিজ
மாற்று கருதுகோள்,বিকল্প অনুমান
மாற்று உகந்தது,বিকল্প সর্বোত্তম
மாற்று முடிவு,বিকল্প ফলাফল
அனலாக்-இலக்க மாற்றி,এনালগ-ডিজিট কনভার্টার
"அனலாக் கணினி,",এনালগ কম্পিউটার
பகுப்பாய்வு,বিশ্লেষণ
இணைநிலை பகுப்பாய்வு,সহভক্তি বিশ্লেষণ
கணக்கெடுப்பு-தரவு பகுப்பாய்வு,গণনা-ডেটা বিশ্লেষণ
மாறுபாடு பகுப்பாய்வு,বৈচিত্র্য বিশ্লেষণ
பகுப்பாய்வு வடிவியல்,বিশ্লেষণাত্মক জ্যামিতি
பகுப்பாய்வு செயல்பாடு,বিশ্লেষণাত্মক ফাংশন
கோணம்,কোণ
தொடுகோடு கோணம்,স্পর্শক কোণ
விலகல் கோணம்,বিচ্যুতি কোণ
மனச்சோர்வு கோணம்,বিষণ্নতা কোণ
விலகல் கோணம்,বিচ্যুতি কোণ
விலகல் கோணம்,বিবর্তন কোণ
உயர கோணம்,উচ্চতা কোণ
நிகழ்வு கோணம்,ঘটনার কোণ
திட்ட கோணம்,অভিক্ষেপ কোণ
பிரதிபலிப்பு கோணம்,প্রতিফলন কোণ
ஒளிவிலகல் கோணம்,প্রতিসরণ কোণ
சுழற்சி கோணம்,ঘূর্ণন কোণ
பிரதிபலிப்பு முழுமையான கோணம்,প্রতিফলনের পরম কোণ
கோண முடுக்கம்,কৌণিক ত্বরণ
கோண வேகம்,কৌণিক বেগ
கோண வேகம்,কৌণিক গতি
கோண வேகம்,কৌণিক বেগ
மோதிர விரல்,অনামিকা আঙুল
பதில்,উত্তর
எதிர் வழித்தோன்றல்,কাউন্টার ডেরিভেটিভ
ஐசோமெட்ரிக் செயல்பாடு,আইসোমেট্রিক ফাংশন
"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய","আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য"
"விண்ணப்ப விண்ணப்பம்,",আবেদনের আবেদন
பயன்பாட்டு டைனமிக் நிரலாக்கம்,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
பயன்படுத்தப்படும் வடிவியல்,প্রয়োগ করা জ্যামিতি
பயன்பாட்டு கணிதம்,ফলিত গণিত
பயன்பாட்டு புள்ளிவிவரங்கள்,ফলিত পরিসংখ্যান
"தோராயமாக, தோராயமாக","প্রায়, প্রায়"
தோராயமாக தொடர்ச்சியான செயல்பாடு,প্রায় একটানা ফাংশন
"மேக்ரோ முறை, தோராய முறை","ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি"
தோராயமான தீர்வு,আনুমানিক সমাধান
தோராயமான பிரச்சனை,আনুমানিক সমস্যা
தோராயமான சொத்து,আনুমানিক সম্পত্তি
திறன் சோதனை,বুদ্ধিমত্তার পরীক্ষা
ஆர்கான் வரைபடம்,আর্গন ডায়াগ্রাম
தன்னார்வ,স্বেচ্ছায়
"சீரற்ற, சீரற்ற","এলোমেলো, এলোমেলো"
தன்னிச்சையான மாறிலி,নির্বিচারে ধ্রুবক
இலவச உறுப்பு,বিনামূল্যে উপাদান
தன்னிச்சையான புள்ளி,নির্বিচারে পয়েন্ট
ஆர்க்கிமிடின் சட்டம்,আর্কিমিডের আইন
ஆர்க்கிமிடிஸ் சட்டம்,আর্কিমিডিসের আইন
"வில்-நீளம், வில்-நீளம்","চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য"
வட்ட வில்,বৃত্ত চাপ
தலைகீழ் சைன் விநியோகம்,ইনভার্স সাইন ডিস্ট্রিবিউশন
தலைகீழ் சைன் மாற்றம்,বিপরীত সাইন রূপান্তর
"பகுதி, பகுதி","এলাকা, এলাকা"
பிராந்திய கட்டமைப்பு,আঞ্চলিক কনফিগারেশন
ஒரு கலப்பு எண்ணின் கோணம்,একটি জটিল সংখ্যার কোণ
எண்கணித சராசரி,গাণিতিক গড়
டிஜிட்டல் செயல்பாடு,ডিজিটাল অপারেশন
டிஜிட்டல் அலகு,ডিজিটাল ইউনিট
"கட்டமைப்பு, ஏற்பாடு","কনফিগারেশন, বিন্যাস"
"வரிசை, வரிசை","অ্যারে, অ্যারে"
செயற்கை செயற்கைக்கோள்,কৃত্রিম উপগ্রহ
செயற்கை மாறி,কৃত্রিম পরিবর্তনশীল
ஏறுவதற்கு,আরোহন করা
ஏறுமுகம்,আরোহী
அளவின் ஏறுவரிசை,মাত্রার আরোহী ক্রম
ஏறும் தரம்,আরোহী গ্রেড
அசெம்பிளர் மொழி,সংযোজনকারী ভাষা
"ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி,",অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন
துணை விதி,সহযোগী নিয়ম
ஆபரேட்டர்களின் துணை விதி,অপারেটরদের সহযোগী নিয়ম
துணை செயல்பாடு,সহযোগী অপারেশন
தோழமை,সাহচর্য
சராசரியாக கருதப்படுகிறது,ধরে নেওয়া গড়
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,অনুমান সম্ভাব্যতা বন্টন
"கற்பனை செய்து, ஒப்புக்கொண்ட,","কল্পনা করা, স্বীকার করা"
ஜோதிடம்,জ্যোতিষশাস্ত্র
"விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்,",মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী
வானியலாளர்*,জ্যোতির্বিদ*
வானியல் கடிகாரம்,জ্যোতির্বিদ্যা ঘড়ি
வானியல்,জ্যোতির্বিদ্যা
சமச்சீரற்ற வளைவு,অপ্রতিসম বক্ররেখা
சமச்சீரற்ற தன்மை,অসমতা
அறிகுறியற்ற,অ্যাসিম্পোটিক
மோசமாக்கும்,উত্তেজক
முற்போக்கான மதிப்பீட்டாளர்,প্রগতিশীল অনুমানকারী
பிற்போக்கு சார்பு மதிப்பீட்டாளர்,বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী
பிற்போக்கு நடத்தை,বিপরীতমুখী আচরণ
தீவிர விநியோக செயல்பாடு,আক্রমনাত্মক বিতরণ ফাংশন
மேல்நோக்கி பரவியது,ঊর্ধ্বগামী বিস্তার
வளிமண்டல அழுத்தம்,বায়ুমণ্ডলীয় চাপ
"தற்செயலாக,",এলোমেলোভাবে
சொத்து*,সম্পত্তি*
பண்பு-மாதிரி-பொறிமுறை,অ্যাট্রিবিউট-স্যাম্পলিং-মেকানিজম
ஆக்மென்ட் மேட்ரிக்ஸ்,অগমেন্টেড ম্যাট্রিক্স
தன்னியக்க தொடர்பு குணகம்,স্বয়ংক্রিয় সম্পর্ক সহগ
தன்னியக்க தொடர்பு செயல்பாடு,স্বয়ংক্রিয় সম্পর্ক ফাংশন
இணை மாறுபாடு,সহবাস
தானியங்கி கணினி,স্বয়ংক্রিয় কম্পিউটার
தன்னியக்க பின்னடைவு,অটোরিগ্রেশন
துணை சமன்பாடு,সহায়ক সমীকরণ
சராசரி மாதிரி எண் வளைவு (MPC வளைவு),গড় নমুনা সংখ্যা বক্ররেখা (MPC বক্ররেখা)
"கோட்பாடு, கோட்பாடு","axiom, axiom"
கோட்பாடு அணுகுமுறை,স্বতঃসিদ্ধ পদ্ধতি
நிகழ்தகவு கோட்பாடு,সম্ভাব্যতা স্বতঃসিদ্ধ
அச்சு,অক্ষ
புஜக்ஷா,ভুজক্ষ
பூமி அச்சு,পৃথিবী অক্ষ
சுழற்சி அச்சு,ঘূর্ণন অক্ষ
சுழற்சி அச்சு,ঘূর্ণন অক্ষ
சுழல் அச்சு,স্পিন অক্ষ
பிந்தைய மாற்று,পোস্ট প্রতিস্থাপন
பின்னர்,পরে
பின் செருகும் சூத்திரம்,ফিরে সন্নিবেশ সূত্র
"சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை, சமநிலை","ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য, ভারসাম্য"
சீரான வடிவமைப்பு,সুষম নকশা
இருப்பு தாள்,ব্যালেন্স শীট
ஏவுகணை,মিসাইল
"பந்துவீச்சு, ஆயுதம்","ব্যালিস্টিক, অস্ত্র"
"நெடுவரிசை, பட்டை, கோப், பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, பட்டை, வரி, வரி, சோதனை வரி, விளிம்பு","কলাম, রড, কোব, বার, বার, বার, বার, বার, বার, লাইন, লাইন, টেস্ট লাইন, প্রান্ত"
"அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை, அடிப்படை","ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি, ভিত্তি"
அடிப்படை கோணம்,ভিত্তি কোণ
"மடக்கையின் அடிப்படை, மடக்கையின் அடிப்படை","লগারিদমের ভিত্তি, লগারিদমের ভিত্তি"
"அடிப்படை, அடிப்படை,","মৌলিক, মৌলিক"
அடிப்படை ஒத்திசைவான தீர்வு,ভিত্তি সুসংগত সমাধান
அடிப்படை தீர்வு,ভিত্তি সমাধান
அடிப்படை மாறி,ভিত্তি পরিবর্তনশীল
அடித்தளம்,ভিত্তি
அடிப்படை உறுப்பு,ভিত্তি উপাদান
அடிப்படை அணி,বেস ম্যাট্রিক্স
திசையன் இடத்தின் அடிப்படை,ভেক্টর স্থানের ভিত্তি
துணை மக்கள்தொகை அடிப்படையில்,উপ-জনসংখ্যা ভিত্তিতে
நேர்மையற்ற,নীতিহীন
bez-விதி,বেজ-রুল
bez-theorem,bez-তত্ত্ব
பெர்னோலி-விநியோகம்,bernoulli-বন্টন
பெர்னோலி எண்கள்,বার্নোলি সংখ্যা
பெர்னோலி நிகழ்தகவு செயல்பாடு,Bernoulli সম্ভাব্যতা ফাংশন
பெர்னோலி-சமன்பாடு,বার্নোলি-সমীকরণ
பெர்ரி செயல்பாடு,বেরি ফাংশন
சிறந்த ஒட்டுதல்,সেরা আনুগত্য
சிறந்த ஒட்டுதல் வரி,সেরা আনুগত্য লাইন
சிறந்த தீர்வு,সেরা সমাধান
சிறந்த குறிப்புகள்,সেরা টিপস
பீட்டா விநியோகம்,বিটা বিতরণ
"சார்பு, சார்பு","পক্ষপাত, পক্ষপাত"
பாரபட்சமான மதிப்பீடு,পক্ষপাতমূলক মূল্যায়ন
ஈருறுப்புச் சமன்பாடு,দ্বিপদ সমীকরণ
ஒற்றை கவர்,একক আবরণ
ஒற்றை அட்டை வரைபடம்,একক কভার মানচিত্র
ஒற்றை அட்டை மேப்பிங்,একক কভার ম্যাপিং
இருபடி இருபடி,দ্বিঘাত দ্বিঘাত
இருமுனை செயல்பாடு,বাইলিনিয়ার ফাংশন
பைலினியர் ஹெர்மிடியன் ஒருமைப்பாடு,বাইলিনিয়ার হারমিটিয়ান একজাতীয়তা
"இருமாறு, இருமை, இரட்டை","দ্বি-পরিবর্তনশীল, বাইনারি, দ্বৈত"
"பைனரி குறியீடு, பைனரி குறியீடு","বাইনারি কোড, বাইনারি কোড"
"பைனரி குறியிடப்பட்ட தசம, பைனரி குறியிடப்பட்ட தசம","বাইনারি কোডেড দশমিক, বাইনারি কোডেড দশমিক"
பைனரி குறியாக்கம்,বাইনারি এনকোডিং
பைனரி கணினி,বাইনারি কম্পিউটার
பைனரி எண்கள்,বাইনারি সংখ্যা
பைனரி செயல்பாடு,বাইনারি অপারেশন
பைனரி முறை,বাইনারি পদ্ধতি
பைனரி மாறி,বাইনারি পরিবর্তনশীল
ஈருறுப்புக் குணகம்,দ্বিপদ সহগ
இருவகைப் பரவல்,দ্বিপদ ডিস্ট্রিবিউশন
ஈருறுப்புச் சமன்பாடு,দ্বিপদ সমীকরণ
இருவகை மாறுபாடு,দ্বিপদ প্রকরণ
இருமொழி வெளிப்பாடு,দ্বিপদ অভিব্যক্তি
ஈருறுப்பு சீரற்ற மாறி,দ্বিপদী র্যান্ডম পরিবর্তনশীল
ஈருறுப்பு தேற்றம்,দ্বিপদ উপপাদ্য
"பாதி, பிளவு","অর্ধেক, বিভাজন"
"இரு பிரிவு முறை, அரைப்பிரிவு முறை","দ্বিখণ্ডিত পদ্ধতি, অর্ধবিভাগ পদ্ধতি"
அரை இருசமவெட்டி,অর্ধেক দ্বিখণ্ডক
இருவகை,দ্বিপদ
"ட்வயங்க் (பைனரி எண்), அனி, பர்மிஸ், துக்","Dwayank (বাইনারী সংখ্যা), আনি, বার্মিজ, টুক"
ஈருறுப்பு இருவகைப் பரவல் இருவகை,দ্বিপদ দ্বিপদী বন্টন দ্বিপদ
இருவகை தொடர்பு குணகம்,দ্বিভারী পারস্পরিক সম্পর্ক সহগ
இருவகை விநியோகம்,দ্বিমুখী বন্টন
இருவகை இயல்பான-விநியோகம்,bivariate স্বাভাবিক-বন্টন
பைவெக்டர்,bivector
போல்ட்மேன் சமன்பாடு,বোল্টম্যান সমীকরণ
பூலியன் இயற்கணிதம்*,বুলিয়ান বীজগণিত*
போஸ்-ஐன்ஸ்டீன் புள்ளிவிவரங்கள்,বোস-আইনস্টাইন পরিসংখ্যান
வரம்பு கட்டுப்பாடுகள்,সীমাবদ্ধতা সীমাবদ্ধতা
எல்லை நிலை,সীমানা স্তর
எல்லைக் கோடு,সীমান
வரம்பு மதிப்பு,সীমা মান
எல்லை மதிப்பு பிரச்சனை,সীমানা মান সমস্যা
"எல்லைக்குட்பட்ட செயல்பாடு எல்லைக்குட்பட்ட பழம்,",আবদ্ধ ফাংশন আবদ্ধ ফল
"எல்லைக்குட்பட்ட அணி, எல்லைக்குட்பட்ட அணி எல்லைக்குட்பட்ட அட்டவணை,","আবদ্ধ ম্যাট্রিক্স, আবদ্ধ ম্যাট্রিক্স, আবদ্ধ টেবিল"
"எல்லைக்குட்பட்ட பிரதேசம் எல்லைக்குட்பட்ட பிரதேசம்,",সীমাবদ্ধ অঞ্চল সীমাবদ্ধ অঞ্চল
"எல்லைக்குட்பட்ட தொகுப்பு எல்லைக்குட்பட்ட தொகுப்பு,",আবদ্ধ সেট আবদ্ধ সেট
பிரவுனி இயக்கம்,ব্রাউনি গতি
கணக்கெடுக்க,হিসাব করতে
கணக்கீடு,গণনা
"கால்குலேட்டர், கால்குலேட்டர்","ক্যালকুলেটর, ক্যালকুলেটর"
கணக்கீடு*,হিসাব*
கணக்கீட்டு நடவடிக்கை முறை,গণনামূলক কর্ম পদ্ধতি
"கால்குலேட்டர், கால்குலேட்டர்","ক্যালকুলেটর, ক্যালকুলেটর"
"கால்குலஸ், கால்குலஸ்","ক্যালকুলাস, ক্যালকুলাস"
மாறுபாடு கணக்கீடு,প্রকরণ ক্যালকুলাস
கலோரிகள்,ক্যালোরি
ரத்து விதி,বিধি বাতিল করা
நியமன சமன்பாடு,ক্যানোনিকাল সমীকরণ
நியமன வடிவம்,ক্যানোনিকাল ফর্ম
"கேனானிகல் மேட்ரிக்ஸ், கே கேனானிகல் மேட்ரிக்ஸ்","ক্যানোনিকাল ম্যাট্রিক্স, কে ক্যানোনিকাল ম্যাট্রিক্স"
கேண்டர் தொகுப்பு,ক্যান্টর সেট
கேண்டார் முக்கோண தொகுப்பு,ক্যান্টর ত্রিভুজাকার সেট
கட்டுப்படுத்தப்பட்ட போக்குவரத்து பிரச்சனை,সীমাবদ্ধ পরিবহন সমস্যা
திறன்,ক্ষমতা
தந்துகி விசை,কৈশিক বল
"எண்ணிக்கை எண், கார்டினல் எண்","গণনা সংখ্যা, কার্ডিনাল সংখ্যা"
கார்ட்டீசியன் அச்சு,কার্টেসিয়ান অক্ষ
கார்ட்டீசியன் ஆயத்தொகுப்புகள்,কার্টেসিয়ান স্থানাঙ্ক
கார்ட்டீசியன் தயாரிப்பு,কার্টিজিয়ান পণ্য
தொகுப்புகளின் கார்ட்டீசியன் பெருக்கல்,সেটের কার্টেসিয়ান গুন
"வழக்கு ஆய்வு, வழக்கு ஆய்வு","কেস স্টাডি, কেস স্টাডি"
பேரழிவு பேச்சு,বিপর্যয়মূলক বক্তৃতা
பூனைக்குரிய,ক্যাটিনারি
காச்சி விநியோகம்,কচি বন্টন
கௌசியின் சூத்திரம்,কৌশির সূত্র
கௌசி-குர்சா-தேற்றம்,কচি-গুর্সা-তত্ত্ব
கௌஷி-ரீமான்-பான்,কৌশি-রিম্যান-বান
கௌச்சி வரிசை,কচি সিকোয়েন্স
கௌஷி ஒருங்கிணைந்த,কৌশি অবিচ্ছেদ্য
கௌசி முக்கிய மதிப்பு,কৌশি প্রধান-মূল্য
கௌச்சி எஞ்சிய தேற்றம்,কচি অবশিষ্ট উপপাদ্য
கால்-ஹாமில்டன்-தேற்றம்,ক্যালে-হ্যামিল্টন-উপাত্ত
வானுலக,স্বর্গীয় শরীরের
வானியல் அளவீடு,জ্যোতির্বিদ্যা পরিমাপ
வான இயக்கவியல்,স্বর্গীয় বলবিদ্যা
வானுலக,স্বর্গীয় শরীরের
செல் அலைவரிசை,সেল ফ্রিকোয়েন্সি
"மக்கள் தொகை கணக்கெடுப்பு, மக்கள் தொகை கணக்கெடுப்பு","আদমশুমারি, আদমশুমারি"
சதவீதம்,শতাংশ
சென்டிமீட்டர்,সেন্টিমিটার
சென்டிமீட்டர்-கிராம்-இரண்டாம் முறை,সেন্টিমিটার-গ্রাম-সেকেন্ড পদ্ধতি
"மைய, மையமான","কেন্দ্রীয়, কেন্দ্রীভূত"
மைய அச்சு,কেন্দ্রীয় অক্ষ
மத்திய இடைவெளி,কেন্দ্রীয় ফাঁক
மைய வேறுபாடு சூத்திரம்,কেন্দ্রীয় পার্থক্য সূত্র
மைய வேறுபாடு அட்டவணை,কেন্দ্রীয় ডিফারেনশিয়াল টেবিল
