Bengali,Telugu
অবসান,తగ్గింపు
সংক্ষেপণ,సంక్షిప్తీకరణ
অপহরণ,అపహరణ
অবসান,Abeyance
ক্ষমতা,సామర్థ్యం
অ্যাব initio,అబ్ ఇనిషియో
সক্ষম,సామర్థ్యం
অস্বাভাবিক,అసాధారణ
বিলুপ্তি,రద్దు
বিলোপ পোস্ট,నిర్మూలన పోస్ట్
উপর্যুক্ত,పైన పేర్కొన్నారు
উপরে উদ্ধৃত,పైన కోట్ చేయబడింది
উপরে বলেছেন,పైన చెప్పారు
অনুপস্থিতি,లేకపోవడం
অনুপস্থিত,హాజరుకాని
অনুপস্থিতি,హాజరుకానితనం
অনুপস্থিত বিবৃতি,హాజరుకాని ప్రకటన
পরম,సంపూర్ణ
পরম একচেটিয়া,సంపూర్ణ గుత్తాధిపత్యం
পরম মালিকানা,సంపూర్ణ యాజమాన్యం
শোষণ,శోషణ
বিমূর্ত,నైరూప్య
অ্যাবস্ট্রাক্টস্টেটমেন্ট,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
অযৌক্তিক,అసంబద్ధం
প্রাচুর্য,సమృద్ధి
ক্ষমতার অপব্যবহার,అధికార దుర్వినియోగం
অবমাননাকর ভাষা,దుర్వినియోగ భాష
একাডেমিক,విద్యావేత్త
একাডেমিক আলোচনা,విద్యా చర్చ
একাডেমিক ছুটি,విద్యా సెలవు
শিক্ষাগত যোগ্যতা,విద్యా అర్హత
একাডেমিক রেকর্ড,విద్యా రికార్డు
প্রশংসা,ACCEDE
গ্রহণ,అంగీకరించండి
গ্রহণযোগ্যতা,అంగీకారం
অফিস গ্রহণ,కార్యాలయం అంగీకారం
দরপত্র গ্রহণ,టెండర్ అంగీకారం
অ্যাক্সেস,యాక్సెస్
প্রবেশ,ప్రవేశం
আনুষঙ্গিক,అనుబంధ
দুর্ঘটনা,ప్రమాదం
প্রশংসাপত্র,అలవాటు
থাকার ব্যবস্থা,వసతి
সহকারী,తోడు
চুক্তি,ఒప్పందం
অ্যাকশন,అనుగుణంగా
তদনুসারে,దీని ప్రకారం
অ্যাকাউন্ট,ఖాతా
দায়িত্ব,జవాబుదారీతనం
দায়ী,జవాబుదారీతనం
হিসাবরক্ষণ,అకౌంటెన్సీ
হিসাবরক্ষক,అకౌంటెంట్
কি কারণে,ఖాతా
অ্যাকাউন্ট হেড,ఖాతా హెడ్
অর্জিত সুবিধা,సేకరించిన ప్రయోజనం
পেনশন আদায়,పెన్షన్ పెన్షన్
জমা,చేరడం
সঠিকতা,ఖచ్చితత్వం
নির্ভুল,ఖచ్చితమైనది
