English,Tamil
Abelian group,அபேலி குழு
abelian semigroup,அபேலி குழு
abscissa,கை
absolute,"முழுமையான, முழுமையான, நிலையான, துல்லியமான"
absolute convergence,முழுமையான ஒருங்கிணைப்பு
absolute error,முழுமையான பிழை
absolute maximum,உச்ச உச்ச
absolute minimum,முற்றிலும் குறைந்த
absolute value,துல்லியமான மதிப்பு
absolute velocity,முழுமையான வேகம்
abstract algebra,சுருக்க இயற்கணிதம்
abstract group theory,சுருக்க குழு கோட்பாடு
acceleration,முடுக்கம்
acceleration due to gravity,ஈர்ப்பு முடுக்கம்
acceptable choice set,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
acceptable quality level,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
acceptable range,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
acceptable reliability level,சரியான நம்பகத்தன்மை நிலை
acceptable sampling,ஏற்பு மாதிரி
accumulated error,திரட்டப்பட்ட பிழை
accuracy,துல்லியம்
acting force,பயன்படுத்தப்படும் சக்தி
action,"செயல், செயல்"
action and reaction,செயல் மற்றும் எதிர்வினை
acturial science,காப்பீட்டு அறிவியல்
acute angled triangle,கடுமையான முக்கோணம்
acyclic,அசைக்ளிக்
add,மொத்தத்தில்
adder,சேர்ப்பான்
addition,"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
addition formula,யோகா சூத்திரம்
addition of complex numbers,கலப்பு எண்களின் கூட்டுத்தொகை
addition of functions,செயல்பாடுகளின் கூட்டுத்தொகை
addition of matrices,மெட்ரிக்குகளின் கூட்டுத்தொகை
addition of polynomials,பல்லுறுப்புக்கோவைகளின் தொகை
addition of probabilities,நிகழ்தகவுகளின் கூட்டுத்தொகை
addition of vectors,திசையன்களின் தொகை
addition theorem,"தொகை தேற்றம், பெர்ரி கோட்பாடு"
additive group,சேர்க்கை குழு
additive inverse,தலைகீழ் சேர்க்கை
additive property,சேர்க்கை
additivity,சேர்க்கை
adjacency matrix,அருகாமை அணி
adjacent,"அருகாமை, அருகாமை, அருகாமை"
adjacent angles,அருகில் உள்ள கோணம்
adjacent vertex,அருகில் உள்ள உச்சி
adjoin,தொடர்புபடுத்த
adjoining,இணைக்கப்பட்ட உறை
adjoint determinant,பொதுவான தீர்மானிப்பான்
adjoint differential equation,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
adjoint equation,இணைக்கப்பட்ட சமன்பாடு
adjoint matrix,ஒரே மாதிரியான அணி
adjoint of matrix,அணி ஒருங்கிணைப்பு
adjugate matrix,ஒரே மாதிரியான அணி
admissible decision function,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
admissible hypothesis,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
aerodynamic force,காற்றியக்க விசை
aerodynamics,காற்றியக்கவியல்
affine geometry,ஒரே மாதிரியான வடிவியல்
affine mapping,ஒரே மாதிரியான மேப்பிங்
affine transformation,ஒரே மாதிரியான மாற்றம்
aggregating variables,மொத்த மாறி
algebra,"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்"
algebraically closed,"விதை மூடிய, விதை"
algebraic equation,இயற்கணித சமன்பாடு
algebraic expression,இயற்கணித வெளிப்பாடு
algebraic form,இயற்கணித ஒருமைப்பாடு
algebraic function,இயற்கணித செயல்பாடு
algebraic geometry,இயற்கணித வடிவியல்
algebraic multiplicity,இயற்கணித பன்மை
algebraic system,இயற்கணித அமைப்பு
all-integer problem,அனைத்து முழு எண் பிரச்சனை
allocation problem,ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி
alphabetical notation,அகரவரிசைக் குறியீடு
alphabetic character,அகரவரிசை எழுத்து
alternate angle,மாற்று கோணங்கள்
alternating form,மாற்று ஒரே மாதிரியான மாற்று வடிவம்
alternating group,மாற்று குழு
alternating matrix,மாற்று அணி
alternating series,மாற்று தொடர்
alternative hypothesis,மாற்று கருதுகோள்
alternative optima,மாற்று உகந்தது
alternative outcome,மாற்று முடிவு
analog-to-digital converter,அனலாக்-இலக்க மாற்றி
analogue computer,அனலாக் கணினி
analysis,பகுப்பாய்வு
analysis of covariance,இணைநிலை பகுப்பாய்வு
analysis of enumeration data,கணக்கெடுப்பு-தரவு பகுப்பாய்வு
analysis of variance,மாறுபாடு பகுப்பாய்வு
analytic geometry,பகுப்பாய்வு வடிவியல்
analytic function,பகுப்பாய்வு செயல்பாடு
angle,கோணம்
angle of contact,தொடுகோடு கோணம்
angle of deflection,விலகல் கோணம்
angle of depression,மனச்சோர்வு கோணம்
angle of deviation,விலகல் கோணம்
angle of diffraction,விலகல் கோணம்
angle of elevation,உயர கோணம்
angle of incidence,நிகழ்வு கோணம்
angle of projection,திட்ட கோணம்
angle of reflection,பிரதிபலிப்பு கோணம்
angle of refraction,ஒளிவிலகல் கோணம்
angle of rotation,சுழற்சி கோணம்
angle of total reflection,பிரதிபலிப்பு முழுமையான கோணம்
angular acceleration,கோண முடுக்கம்
angular motion,கோண வேகம்
angular speed,கோண வேகம்
angular velocity,கோண வேகம்
annulus,மோதிர விரல்
answer,பதில்
anti – derivative,எதிர் வழித்தோன்றல்
antisymmetric function,ஐசோமெட்ரிக் செயல்பாடு
applicable,"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய"
application,விண்ணப்ப விண்ணப்பம்
applied dynamic programming,பயன்பாட்டு டைனமிக் நிரலாக்கம்
applied geometry,பயன்படுத்தப்படும் வடிவியல்
applied mathematics,பயன்பாட்டு கணிதம்
applied statistics,பயன்பாட்டு புள்ளிவிவரங்கள்
approximately,"தோராயமாக, தோராயமாக"
approximately continuous function,தோராயமாக தொடர்ச்சியான செயல்பாடு
approximate method,"மேக்ரோ முறை, தோராய முறை"
approximate solution,தோராயமான தீர்வு
approximation problem,தோராயமான பிரச்சனை
approximation property,தோராயமான சொத்து
aptitude test battery,திறன் சோதனை
Argand diagram,ஆர்கான் வரைபடம்
arbitrarily chosen,தன்னார்வ
arbitrary,"சீரற்ற, சீரற்ற"
arbitrary constant,தன்னிச்சையான மாறிலி
arbitrary element,இலவச உறுப்பு
arbitrary point,தன்னிச்சையான புள்ளி
Archemedean law,ஆர்க்கிமிடின் சட்டம்
Archimedes principle,ஆர்க்கிமிடிஸ் சட்டம்
arc length,"வில்-நீளம், வில்-நீளம்"
arc of circle,வட்ட வில்
arc sine distribution,தலைகீழ் சைன் விநியோகம்
arc sine transformation,தலைகீழ் சைன் மாற்றம்
area,"பகுதி, பகுதி"
areal texture,பிராந்திய கட்டமைப்பு
argument of complex number,ஒரு கலப்பு எண்ணின் கோணம்
arithmetic mean,எண்கணித சராசரி
arithmetic operation,டிஜிட்டல் செயல்பாடு
arithmetic unit,டிஜிட்டல் அலகு
arrangement,"கட்டமைப்பு, ஏற்பாடு"
array,"வரிசை, வரிசை"
artificial satellite,செயற்கை செயற்கைக்கோள்
artificial variable,செயற்கை மாறி
ascend,ஏறுவதற்கு
ascending,ஏறுமுகம்
ascending order of magnitude,அளவின் ஏறுவரிசை
ascending series,ஏறும் தரம்
assembler language,அசெம்பிளர் மொழி
assignment problem,ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி
associative law,துணை விதி
associative law of operators,ஆபரேட்டர்களின் துணை விதி
associative operation,துணை செயல்பாடு
associativity,தோழமை
assumed mean,சராசரியாக கருதப்படுகிறது
assumed probability distribution,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
assumption,"கற்பனை செய்து, ஒப்புக்கொண்ட"
astrology,ஜோதிடம்
astronautical engineer,விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்
astronomer,வானியலாளர்*
astronomical clock,வானியல் கடிகாரம்
astronomy,வானியல்
asymmetrical curve,சமச்சீரற்ற வளைவு
asymmetry,சமச்சீரற்ற தன்மை
asymptote,அறிகுறியற்ற
asymptotic,மோசமாக்கும்
asymptotically efficient estimator,முற்போக்கான மதிப்பீட்டாளர்
asymptotically unbiased estimator,பிற்போக்கு சார்பு மதிப்பீட்டாளர்
asymptotic behavior,பிற்போக்கு நடத்தை
asymptotic distribution function,தீவிர விநியோக செயல்பாடு
asymptotic expansion,மேல்நோக்கி பரவியது
atmospheric pressure,வளிமண்டல அழுத்தம்
at random,தற்செயலாக
attribute,சொத்து*
attributes sampling procedure,பண்பு-மாதிரி-பொறிமுறை
augmented matrix,ஆக்மென்ட் மேட்ரிக்ஸ்
autocorrelation coefficient,தன்னியக்க தொடர்பு குணகம்
autocorrelation function,தன்னியக்க தொடர்பு செயல்பாடு
autocovariance,இணை மாறுபாடு
automatic computer,தானியங்கி கணினி
autoregression,தன்னியக்க பின்னடைவு
auxiliary equation,துணை சமன்பாடு
average sample number curve (A.S.N. Curve),சராசரி மாதிரி எண் வளைவு (MPC வளைவு)
axiom,"கோட்பாடு, கோட்பாடு"
axiomatic approach,கோட்பாடு அணுகுமுறை
