Odiya,Hindi
ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |,अजीवात् जनन
ପରମାନନ୍ଦ,अपसामान्य
1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |,1. चतुर्थ आमाशय 2. ऐवोमैसम
ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |,रुद्ध-वृद्धि अंग
ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |,रुद्ध वृद्धि बीज
1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |,1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध
1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |,1. अवांछित अपतृण 2. पूर्ण खरपतवार
ଅବଶୋଷିତ କ୍ୟାସନ୍ |,अवशोषित धनायन
ଅବଶୋଷଣ,अवशोषण
ଅବିଶ୍ୱାସୀ ସୋରିଷ |,ऐबिसिनी सरसों
1. ଆକାରିସାଇଡ୍ |,1.एकेरेसनाशी 2. चिचड़ीनाशी
ସେଣ୍ଟ୍ରିପେଟାଲ୍ |,अकेंद्री
ବୃଦ୍ଧି (କକ୍ଷ),प्रवर्धन (कोशिका)
ଅନୁମୋଦିତ ସହନଶୀଳତା |,स्वीकृत सह्यता
1. ଅତିରିକ୍ତ 2.accessory 3.accessory,1.अतिरिक्त 2. सहायक 3. गौण
ଆଡାପ୍ଟେସନ୍,पर्यनुकूलन
ଜମା,संचय
1. ସଠିକତା 2. ସଠିକତା |,1.vयथार्थता 2. परिशुद्धता
1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |,1. एसर्वुलस 2. बीजाणुपात्र
1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |,1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन
1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |,1. अम्लीकरण 2. अम्लन
1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |,1.अम्लतामापी 2. एसिडीमीटर
ଅମ୍ଳତା |,अम्लता
ଏସିଡୋଫାଇଲ୍ |,अम्लरागी
ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |,अम्लीकृत रॉक फॉस्फेट
ଅମ୍ଳଯୁକ୍ତ |,अम्लसह
ଜଳଜଳ,जलभृत
ଅଧିଗ୍ରହଣ,अधिग्रहण
ଏକର,एकड़
1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର,1.क्षेत्रफल 2. रकबा
ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |,उपांत बिंदु क्रोमोसोम
ଆଗକୁ ଦେଖିବା,अग्राभिसारी
ଆକ୍ରୋସୋମ୍ |,ऐक्रोसोम
ଆକ୍ଟିନୋମାଇସେଟ୍ସ |,एक्टिनोमाइसिटीज
ସକ୍ରିୟ କୋର୍ |,सक्रिय मूलक्षेत्र
