Hindi,Assamese
"1.एबेकस ,2. गिनतारा","১.এবাকাছ, ২. গণনা কৰি আছে"
असामान्य समापन,অস্বাভাৱিক অন্ত
अवरोधन,ইন্টাৰচেপ্ট
"1. निरपेक्ष ,2. परम","১.নিৰপেক্ষ, ২. পৰম"
निरपेक्ष पता,নিৰপেক্ষ ঠিকনা
निरपेक्ष पताभिगमन,নিৰপেক্ষ ঠিকনাযোগ্যতা
निरपेक्ष कोडांतरक,নিৰপেক্ষ এছেম্বলাৰ
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
निरपेक्ष समादेश,নিৰপেক্ষ আদেশ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
निरपेक्ष अनुदेश,নিৰপেক্ষ নিৰ্দেশনা
निरपेक्ष विधा,নিৰপেক্ষ ধৰণ
निरपेक्ष पथ,নিৰপেক্ষ পথ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
अमूर्त वर्ग,বিমূৰ্ত শ্ৰেণী
अमूर्त आंकड़ा प्रकार,বিমূৰ্ত তথ্যৰ ধৰণ
अमूर्त मशीन,বিমূৰ্ত মেচিন
अमूर्त प्रतीक,বিমূৰ্ত চিহ্ন
अमूर्त वाक्य विन्यास,বিমূৰ্ত বাক্যবিন্যাস
स्वीकृति परीक्षण,গ্ৰহণযোগ্যতা পৰীক্ষা
अभिगम प्रमाणन,প্ৰৱেশ প্ৰমাণীকৰণ
"1. अभिगम कूट ,2. अभिगम कोड","1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
अभिगम नियंत्रण,প্ৰৱেশ নিয়ন্ত্ৰণ
अभिगम क्रमवीक्षण,অভিগম স্কেনিং
सहयंत्र,আনুষংগিক বস্তু
लेखा,হিচাপ-নিকাচ
"1. एकाउंट आई डी ,2. लेखा पहचान","1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
संचायक,এক্যুলেটৰ
"1. विशुद्धता ,2. यर्थाथता","১/ সঠিকতা, ২. শুদ্ধতা"
अभिगम,প্ৰৱেশাধিকাৰ
अभिगम नियंत्रण बाइट,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
अभिगम सूचक,প্ৰৱেশ সূচক
अभिगम कुंजी,অভিগম কি&#39;
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स","1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
अभिगम विधा,অভিগম ধৰণ
अभिगम विशेषाधिकार,অভিগম বিশেষাধিকাৰসমূহ
अभिगम सुरक्षा,অভিগম সুৰক্ষা
"1. अभिगम परिसेवक ,2. अभिगम सर्वर","1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ"
अभिगम काल,প্ৰৱেশ সময়
अभिस्वीकृति,স্বীকৃতি
ध्वनिकी,শব্দবিজ্ঞান
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप","১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি"
क्रिया संदेश,কাৰ্য্য বাৰ্তা
सक्रियण,সক্ৰিয়কৰণ
सक्रिय सर्वर पृष्ठ,সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা
सक्रिय वर्जन,সক্ৰিয় সংস্কৰণ
अचक्रीय,অচক্ৰীয়
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ","১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ"
एडा कंप्यूटर भाषा,আদা কম্পিউটাৰ ভাষা
"1. अनुकूलक ,2. अनुकूलित्र","১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ"
योग (करना),to sum)
योग संचिका,যোগফল নথিপত্ৰ
"1. जोड़ संक्रिया ,2. योग संक्रिया","1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য"
योजक,adder
पता,ঠিকনা
पता बस,ঠিকনা বাছ
पता संचिका,ঠিকনা নথিপত্ৰ
पता आरूप,ঠিকনা বিন্যাস
पता जनक,ঠিকনা উৎপাদক
पता पंक्ति,ঠিকনা ৰেখা
पता प्रतिचित्रण,ঠিকনা মেপিং
पता संकेतक,ঠিকনা সূচক
पता पंजी,ঠিকনা পঞ্জীয়ন
पता विघटन,ঠিকনা ভাঙি যোৱা
पता अनुवाद,ঠিকনা অনুবাদ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी","1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি"
पताभिगमन,সম্বোধন কৰা
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी","১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী"
संलग्न,সংলগ্ন কৰা হৈছে
"1. प्रबंधन ,2. नियंत्रण","1. ব্যৱস্থাপনা, 2. নিয়ন্ত্ৰণ"
"1. प्रबंधक ,2. नियंत्रक","১.পৰিচালক, ২. নিয়ন্ত্ৰক"
ऐडोब एक्रोबेट,এডোব এক্ৰ&#39;বেট
ऐडोब फोटोशोप,এডোব ফটোশ্বপ
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा","1. উন্নত তথ্য, 2. উন্নত তথ্য"
उन्नत सूचना तंत्र,উন্নত তথ্য ব্যৱস্থা
उन्नत प्रौद्योगिकी (ए टी),উন্নত প্ৰযুক্তি (AT)
कर्मक,কাৰ্য কৰা
समुच्चयन,একত্ৰীকৰণ
विमानवाहित कंप्यूटर तंत्र,বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা
एल्डस पेज-मेक,aldus পৃষ্ঠা-নিৰ্মাণ
सचेत पेटी,সতৰ্কবাণী বাকচ
ऐल्गॉल (कंप्यूटर भाषा),algol (কম্পিউটাৰ ভাষা)
"1.  एल्गोरिथ्म ,2. कलन विधि","1. এলগৰিদম, 2. এলগৰিদম"
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण","১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ"
एल्गोरिथ्म दक्षता,এলগৰিদম দক্ষতা
"1. एलिआस ,2. उपनाम ,3. उर्फ","১.ইলিয়াছ, ২. ডাকনাম, ৩. aka"
संरेखण,প্ৰান্তিককৰণ
"1. आवंटन ,2. नियतन","১.আবণ্টন, ২. আবণ্টন"
"1.अक्षरात्मक ,2. वर्णानुक्रम","১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম"
अक्षरांकीय,আলফানিউমেৰিক
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड","1. আলফানিউমেৰিক কিবৰ্ড, 2. আলফানিউমেৰিক কিবৰ্ড"
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা)
"1. अल्फा वर्जन ,2. अल्फा रूप","1. আলফা সংস্কৰণ, 2. আলফা ৰূপ"
आल्ट कुंजी,alt কি&#39;
आल्टाविस्टा,আলতাভিস্তা
अनेकार्थकता,বহুগুণতা
संदिग्ध व्याकरण,অস্পষ্ট ব্যাকৰণ
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI)
अमेरिकी मानक कट (आस्की),আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii)
"1. अनुरुप ,2. एनालॉग","1. অনুৰূপ, ২. এনালগ"
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर","১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ"
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस","1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ"
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम","1. এনালগ মডেম, 2. এনালগ মডেম"
अनुरुप से अंकीय रुपांतरक,এনালগ টু ডিজিটেল কনভাৰ্টাৰ
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),শেষ (ডিজিটেল/প্লেন লজিক &#39;আৰু&#39; ব্যৱহৃত)
एंड परिपथ,শেষ বৰ্তনী
एंड गेट और द्वार,শেষৰ গেট আৰু গেট
एंड नॉट संक्रिया (अपवर्जन),অপাৰেচন শেষ নহয় (বৰ্জন)
"1. एनीमेशन, 2.  सजीवन","১.এনিমেচন, ২.কম্পন"
टिप्पण,দ্ৰষ্টব্য
असंगता,অসামঞ্জস্যতা
पूर्ववर्ती,পূৰ্ৱবৰ্তী
प्रत्याशामूलक पृष्ठन,প্ৰত্যাশিত পেজিং
प्रति-सममित,প্ৰতি-সমমিতিক
विषाणुरोधी क्रमादेश,এন্টিভাইৰেল প্ৰগ্ৰেম
"1. एपलेट ,2. अनुप्रयोगिका","১.এপলেট, ২. দৰ্খাস্ত"
अनुप्रयोग विकासक,এপ্লিকেচন ডেভেলপাৰ
अनुप्रयोग प्रोग्रामन,এপ্লিকেচন প্ৰগ্ৰেমিং
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)","1. এপ্লিকেচন প্ৰগ্ৰামিং আন্তঃপৃষ্ঠ, 2. এপ্লিকেচন প্ৰগ্ৰেমিং আন্তঃপৃষ্ঠ (API)"
अनुप्रयोग सॉफ्टवेयर,এপ্লিকেচন চফ্টৱেৰ
अनुप्रयोगी भाषा,আবেদন ভাষা
सन्निकटण सिद्धांत,আনুমানিক নীতি
संरचना,গাঁঠনি
क्षेत्र अंतरण,ক্ষেত্ৰ স্থানান্তৰ
"1. प्राचर,स्वतंत्रचर, 2. कोणांक","1. প্ৰাচল, স্বাধীন চলক, 2. কোণ"
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई","1. গাণিতিক আৰু যুক্তি একক, 2. গাণিতিক আৰু যুক্তি একক"
अंकगणितीय जांच,গাণিতিক পৰীক্ষা
अंकगणितीय अचर,গাণিতিক ধ্ৰুৱক
