Hindi,Punjabi
ए बी वर्ग प्रवर्धक,ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
"विपथन,अपेरण",ਵਿਗਾੜ
असामान्य संचरण,ਅਸਧਾਰਨ ਸੰਚਾਰ
"असंलग्न,सहसा ,खड़आ,विच्छिन्न,खंडित","ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ"
लुप्त स्पेक्ट्रम,ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ
"निरपेक्ष,परम,अचर,परिशुद्ध","ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ"
निरपेक्ष आर्द्रता,ਪੂਰਨ ਨਮੀ
निरपेक्ष गति,ਪੂਰਨ ਗਤੀ
निरपेक्ष प्रेक्षण,ਪੂਰਨ ਨਿਰੀਖਣ
परम ताप,ਪੂਰਨ ਤਾਪਮਾਨ
परम शून्य,ਪੂਰਨ ਜ਼ੀਰੋ
अवशोषण करना,ਸੋਖਣਾ
"अवशोषक, अवशोषी","ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ"
अवशोषण सामर्थ्य,ਸਮਾਈ ਸਮਰੱਥਾ
अवशोषणांश,ਸਮਾਈ
अवशोषी,ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ
अवशोषकता,ਸਮਾਈ
बाहुल्य अनुपात,ਗੁਣਾ ਅਨੁਪਾਤ
त्वरित करना,ਤੇਜ਼ ਕਰੋ
त्वरित,ਜਲਦੀ
त्वरण,ਪ੍ਰਵੇਗ
गुरुत्व त्वरण,ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ
त्वरक,ਐਕਸਲੇਟਰ
"त्वरित्र,त्वरक",ਐਕਸਲੇਟਰ
त्वरणमापी,ਐਕਸਲੇਰੋਮੀਟਰ
प्राक्प्रबलक,prestresser
स्वीकारी परीक्षण,ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ
"ग्राही,स्वीकारी",ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ
आदाता अणु,ਦਾਨੀ ਅਣੂ
"अभिगम,प्रतीक्षा,अभिगम्यता","ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ"
अभिगम्यता,ਪਹੁੰਚਯੋਗਤਾ
"अतिरिक्त,सहायक,गौण (वि.) ,उपसाधन (सं.)","ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)"
अभिगम काल,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
आगन्तुक त्रुटि,ਵਿਜ਼ਟਰ ਗਲਤੀ
समंजन,ਵਿਵਸਥਾ
संचित,ਇਕੱਠਾ ਕੀਤਾ
"संचय,संचयन","ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ"
संचायक,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
यथार्थता,ਸ਼ੁੱਧਤਾ
यथार्थ,ਅਸਲੀਅਤ
अवर्णक लेन्स,ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ
अवर्णक,ਅਕ੍ਰੋਮੈਟਿਕ
अवर्णकता,ਰੰਗੀਨਤਾ
ध्वानिक,ਧੁਨੀ
ध्वनिरुद्ध,ਸਾਊਂਡਪਰੂਫ਼
ध्वानिक फ़ओनॉन,ਧੁਨੀ ਫੋਨੋਨ
ध्वनि-मात्रक,ਆਵਾਜ਼ ਯੂਨਿਟ
ध्वानिक,ਧੁਨੀ
ध्वनि जनित्र,ਆਵਾਜ਼ ਜਨਰੇਟਰ
क्रिया और प्रतिक्रिया,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
सक्रियण,ਸਰਗਰਮੀ
सक्रियण उर्जा,ਸਰਗਰਮੀ ਊਰਜਾ
"सक्रियकारक,सक्रियक","ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ"
सक्रिय,ਕਿਰਿਆਸ਼ੀਲ
सक्रियता,ਸਰਗਰਮੀ
वास्तविक प्रतिबल,ਅਸਲ ਤਣਾਅ
क्षिप्र उद्भासन,ਘੁਸਰ-ਮੁਸਰ
"योग करना,जोड़ना",ਸੰਪੇਕਸ਼ਤ
"योग,जोड़,संकलन (सं.),योगात्मक (वि.)","ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)"
"संयोजी स्वर,अतिरिक्त टोन (स्वर)","ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)"
"योज्य,योगात्मक",additive
आसंजन,adhesion
आसंजी ऊर्जा,ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ
ऐडियाबैट,adiabat
रुद्धोष्म,adiabatic
उष्मा-अपार्य,ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ
संलग्न,ਲਗਾਵ
समायोज्य,ਵਿਵਸਥਿਤ
प्रवेश्यता,ਪ੍ਰਵੇਸ਼
अधिशोषण,ਸੋਸ਼ਣ
अग्रगत,ਅੱਗੇ
प्रगामी,ਪ੍ਰਗਤੀਸ਼ੀਲ
"आकाशी,वायव (वि.),एरियल (सं.)","ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)"
ऐन्टेना धारा,ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ
आकाशी सर्वेक्षण,ਹਵਾਈ ਸਰਵੇਖਣ
वायव वेग,ਹਵਾ ਦੀ ਗਤੀ
वायुगतिक गुणांक,ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ
वायुगतिक,ਐਰੋਡਾਇਨਾਮਿਕ
वायुगतिकी,ਐਰੋਡਾਇਨਾਮਿਕਸ
वैमानिक,ਏਅਰੋਨੌਟਿਕਲ
वैमानिकी,ਐਰੋਨਾਟਿਕਸ
वायुस्पंद,ਹਵਾ ਦੀ ਨਬਜ਼
