Bengali,Marathi
আবেলি গ্রুপ,abeli गट
আবেলি গ্রুপ,अबेली गट
হাত,हात
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","निरपेक्ष, निरपेक्ष, स्थिर, अचूक"
পরম মিলন,परिपूर्ण अभिसरण
পরম ত্রুটি,परिपूर्ण त्रुटी
সর্বোচ্চ সর্বোচ্চ,सर्वोच्च सर्वोच्च
পরম সর্বনিম্ন,परिपूर्ण सर्वात कमी
পরম মান,परिपूर्ण मूल्य
পরম বেগ,परिपूर्ण वेग
বিমূর্ত বীজগণিত,अमूर्त बीजगणित
বিমূর্ত গ্রুপ তত্ত্ব,अमूर्त गट सिद्धांत
ত্বরণ,प्रवेग
মহাকর্ষীয় ত্বরণ,गुरुत्वाकर्षण प्रवेग
গ্রহণযোগ্য নির্বাচক,स्वीकार्य निवडकर्ता
গ্রহণযোগ্য মানের স্তর,स्वीकार्य गुणवत्ता पातळी
গ্রহণযোগ্য প্রাঙ্গনে,स्वीकार्य परिसर
বৈধ নির্ভরযোগ্যতা স্তর,वैध विश्वसनीयता पातळी
গ্রহণযোগ্যতা নমুনা,स्वीकृती नमुना
সঞ্চিত ত্রুটি,संचित त्रुटी
সঠিকতা,अचूकता
প্রযুক্ত বল,शक्ती लागू
"কর্ম, কাজ","कृती, कृती"
কর্ম এবং প্রতিক্রিয়া,क्रिया आणि प्रतिक्रिया
বীমা বিজ্ঞান,विमा विज्ञान
তীব্র ত্রিভুজ,तीव्र त्रिकोण
অ্যাসাইক্লিক,अॅसायक्लिक
যোগফল,बेरीज करणे
যোগকারী,जोडणारा
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","बेरीज, बेरीज, बेरीज (c.), बेरीज (v.)"
যোগের সূত্র,योगाचे सूत्र
জটিল সংখ্যার যোগফল,जटिल संख्यांची बेरीज
ফাংশনের যোগফল,कार्यांची बेरीज
ম্যাট্রিক্সের যোগফল,मॅट्रिक्सची बेरीज
বহুপদীর সমষ্টি,बहुपदांची बेरीज
সম্ভাবনার যোগফল,संभाव्यतेची बेरीज
ভেক্টরের সমষ্টি,वेक्टरची बेरीज
"যোগ উপপাদ্য, বেরি তত্ত্ব,","बेरीज प्रमेय, बेरी सिद्धांत"
সংযোজনকারী গ্রুপ,मिश्रित गट
সংযোজন বিপরীত,additive inverse
যোগযোগ্যতা,जोडणी
যোগযোগ্যতা,जोडणी
অন্তিক ম্যাট্রিক্স,संलग्नता मॅट्रिक्स
"সংলগ্ন, সংলগ্ন, সংলগ্ন","समीप, समीप, समीप"
সংলগ্ন কোণ,समीप कोन
সংলগ্ন শীর্ষবিন্দু,समीप शिरोबिंदू
যুক্ত করা,संबद्ध करणे
"সংযুক্ত ঘের,",संलग्न संलग्न
সাধারণ নির্ধারক,सामान्य निर्धारक
সংযুক্ত ডিফারেনশিয়াল সমীকরণ,संलग्न विभेदक समीकरण
সংযুক্ত সমীকরণ,संलग्न समीकरण
সমগোত্রীয় ম্যাট্রিক্স,एकसंध मॅट्रिक्स
ম্যাট্রিক্স সমন্বয়,मॅट्रिक्स सहप्रसरण
সমগোত্রীয় ম্যাট্রিক্স,एकसंध मॅट्रिक्स
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,स्वीकार्य निर्णय कार्य
গ্রহণযোগ্য অনুমান,स्वीकार्य गृहीतक
এরোডাইনামিক বল,वायुगतिकीय शक्ती
বায়ুগতিবিদ্যা,वायुगतिकी
সমজাতীয় জ্যামিতি,एकसंध भूमिती
সমজাতীয় ম্যাপিং,एकसंध मॅपिंग
একজাতীয় রূপান্তর,एकसंध परिवर्तन
সামগ্রিক পরিবর্তনশীল,एकूण चल
"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত","बीजगणित, बीजगणित, बीजगणित, बीजगणित"
"seedy বন্ধ, বীজাণু","बियाणे बंद, बीजारोपण"
বীজগণিত সমীকরণ,बीजगणितीय समीकरण
বীজগাণিতিক এক্সপ্রেশন,बीजगणितीय अभिव्यक्ती
বীজগণিতের একজাতীয়তা,बीजगणितीय एकरूपता
বীজগণিতের ফাংশন,बीजगणितीय कार्य
বীজগণিত জ্যামিতি,बीजगणितीय भूमिती
বীজগণিত বহুত্ব,बीजगणितीय बहुलता
বীজগণিত ব্যবস্থা,बीजगणितीय प्रणाली
সমস্ত পূর্ণসংখ্যা সমস্যা,सर्व-पूर्णांक समस्या
"অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন,",असाइनमेंट समस्या वॅट प्रश्न
বর্ণানুক্রমিক স্বরলিপি,वर्णक्रमानुसार नोटेशन
বর্ণানুক্রমিক অক্ষর,वर्णमाला वर्ण
বিকল্প কোণ,पर्यायी कोन
"বিকল্প সমজাতীয় বিকল্প ফর্ম,",पर्यायी एकसंध पर्यायी फॉर्म
বিকল্প গোষ্ঠী,पर्यायी गट
বিকল্প ম্যাট্রিক্স,पर्यायी मॅट्रिक्स
বিকল্প সিরিজ,पर्यायी मालिका
বিকল্প অনুমান,वैकल्पिक गृहीतक
বিকল্প সর্বোত্তম,पर्यायी इष्टतम
বিকল্প ফলাফল,पर्यायी परिणाम
এনালগ-ডিজিট কনভার্টার,अॅनालॉग-अंकी कनवर्टर
"এনালগ কম্পিউটার,",अॅनालॉग संगणक
