Malayalam,Hindi
എ.സി തുല്യമായ സർക്യൂട്ട്,ए.सी. समतुल्य परिपथ
അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ,अनुरूप से अंकीय परिवर्तक
കേവല പൂജ്യം,परम शून्य
ആഗിരണം ഗുണകം,अवशोषण गुणांक
ആഗിരണം സ്പെക്ട്രം,अवशोषण स्पेक्ट्रम
റിസപ്റ്റർ ആറ്റം,ग्राही परमाणु
ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്,प्रत्यावर्ती धारा युग्मन
ഇലക്ട്രോൺ വിളവെടുപ്പ്,इलेक्ट्रॉन संचयन
ദ്വാര സംഭരണം,होल संचयन
സജീവമാക്കൽ ഊർജ്ജം,सक्रियण ऊर्जा
സജീവ ആംപ്ലിഫയർ,सक्रिय प्रवर्धक
സജീവ ഡയോഡ് സർക്യൂട്ട്,सक्रिय डायोड परिपथ
സജീവ ഫിൽട്ടർ,सक्रिय फिल्टर
സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ,सक्रिय उच्च आवृत्ति पारक फिल्टर
സജീവ ലോഡ്,सक्रिय लोड
സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ,सक्रिय निमन आवृत्ति पारक फिल्टर
സജീവമായ പ്രദേശം,सक्रिय क्षेत्र
അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്,अनुकूली इलेक्ट्रॉनिकी
ചേർക്കുന്നയാൾ,योजक
ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം,समायोजी बैंड विस्तार
നുഴഞ്ഞുകയറ്റം,प्रवेश्यता
ഏരിയൽ,एरियल
പെപ് ആവൃത്തി,स्फूर्ति आवृत्ति
എയർ കണ്ടീഷണർ,वातानुकूलक
വിന്യാസം,संरेखन
അൽഗോരിതം,आल्गोरिदम
എല്ലാ പാസ് ഫിൽട്ടറും,समस्त पारक फिल्टर
അലോയ് ജംഗ്ഷൻ,मिश्रधातु संधि
ശോഷണം,क्षीणन
ആൾട്ടർനേറ്റിംഗ് കറന്റ്,प्रत्यावर्ती धारा
അന്തരീക്ഷ ഊഷ്മാവ്,परिवेश ताप
ബൈപോളാർ,उभयध्रुवीय
ആംപ്ലിഫിക്കേഷൻ,प्रवर्धन
ആംപ്ലിഫയർ,प्रवर्धक
ആംപ്ലിഫയർ കാര്യക്ഷമത,प्रवर्धक दक्षता
അളവുകൾ,आयाम
ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ,आयाम क्षीणन
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ,आयाम मॉडुलित ए.एम. दोलित्र
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ,आयाम मॉडुलन
ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ,आयाम मॉडुलक
angstrom യൂണിറ്റ്,एंगस्ट्रॉम इकाई
അനലോഗ് സർക്യൂട്ട്,अनुरूप परिपथ
അനലോഗ് കമ്പ്യൂട്ടർ,अनुरूप कंप्यूटर
അനലോഗ് ഫിൽട്ടർ,अनुरूप फिल्टर
അനലോഗ് മൾട്ടിമീറ്റർ,अनुरूप बहुमापी
അനലോഗ് സ്വിച്ച്,अनुरूप स्विच
ഒപ്പം ഗേറ്റും,AND गेट
കോണീയ ആവൃത്തി,कोणीय आवृत्ति
"അയോൺ, അയോൺ","ऋणायन, एनॉयन"
അനീലിംഗ് താപനില,अनीलन तापमान
ആനോഡ്,ऐनोड
ആനോഡ് ആംപ്ലിഫയർ,ऐनोड प्रवर्धक
അനോഡൈൻ,ऐनोडी करण
ആന്റിന,ऐन्टेना
ആന്റിന ഘടകം,ऐन्टेना घटक
ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്,परावर्तन रोधी लेपन
ആന്റിലോഗിൻ ആംപ്ലിഫയർ,प्रतिलघुगुणक प्रवर्धक
antiresonant സർക്യൂട്ട്,प्रतिअनुनादी परिपथ
ദ്വാരക കാലഘട്ടം,द्वारक काल
വെർച്വൽ പവർ,आभासीय शक्ति
വയർ കണക്ഷൻ,तार संयोजन
ഏകദേശ വോൾട്ടേജ് നേട്ടം,सन्निकट वोल्टता लब्धि
ആംസ്ട്രോങ് മോഡുലേറ്റർ,आर्मस्ट्रांग माडुलक
ആന്റിന അറേ,ऐन्टेना-व्यूह
"വലുപ്പ അനുപാതം, വീക്ഷണ അനുപാതം","आकार अनुपात, अभिमुखता अनुपात"
ഫ്ലോട്ടിംഗ് സർക്യൂട്ട് (സ്വതന്ത്ര ഓപ്പറേറ്റിംഗ് സർക്യൂട്ട്),अस्थायी परिपथ (मुक्तचालित परिपथ)
ഓട്ടോമാറ്റിക് മൾട്ടിവൈബ്രേറ്റർ,स्वचालित बहुकंपित्र
ഫ്ലോട്ടിംഗ് മൾട്ടിവൈബ്രേറ്റർ,अस्थायी बहुकंपित्र
അസമമായ ജംഗ്ഷൻ,असममित संधि
അസിൻക്രണസ് കാൽക്കുലേറ്റർ,अतुल्यकाली गणक
ആണവ,परमाणु
ആറ്റോമിക നമ്പർ,परमाणु संख्या
ആറ്റോമിക് ഘടന,परमाणु संरचना
ഓഡിയോ ആംപ്ലിഫയർ,श्रव्य प्रवर्धक
ഓഡിയോ ആംപ്ലിഫയർ,श्रव्य प्रवर्धक
ഓഡിയോ കാസറ്റ്,श्रव्य कैसेट
ഓഡിയോ സർക്യൂട്ട്,श्रव्य परिपथ
കേൾക്കാവുന്ന ആവൃത്തി,श्रव्य आवृत्ति
ഓട്ടോമാറ്റിക് വോൾട്ടേജ് നിയന്ത്രണം,स्वत: वोल्टता नियंत्रण
ഹിമപാതം,एवलांश
ശരാശരി ഡിറ്റക്ടർ,औसत संसूचक
