English,Odiya
Acidoid,ଏସିଡଏଡ୍ |
Aeolian soil,ଆଓଲିୟାନ୍ ମାଟି |
Aggregate,ସମୁଦାୟ
Aggregation,ଏକୀକରଣ
Agrology,ଏଗ୍ରୋଲୋଜି
Agronomy,କୃଷି
A-horizon,ଏକ ରାଶି
Ao-horizon ,ଆଓ-ରାଶି
Aoo-horizon,ଆଓ-ରାଶି |
Air capacity of soil,ମାଟିର ବାୟୁ କ୍ଷମତା |
Air content of soil,ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |
Air picnometer,ବାୟୁ ପିକନୋମିଟର |
Allitic soil,ଆଲିଟିକ୍ ମାଟି |
Alluvial soil,ଆଲୁଭିଆଲ୍ ମାଟି |
Ampholytoid,ଆମ୍ଫୋଲାଇଟଏଡ୍ |
Anion,ଆନିଅନ୍ |
"Apparent specific gravity volume weight or bulk specific gravity,""","ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;"
Arris,ଆରିସ୍
Ashlar fine masonry,ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |
Ashlar masonry,ଆଶଲାର୍ ରାଜକନିକା |
Azonal soil,ଆଜୋନାଲ ମାଟି |
Back acter ,ପଛ ଆକ୍ଟର୍ |
Back arch,ପଛ ଆର୍କ
Back band,ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |
Back brush,ପଛ ବ୍ରଶ୍ |
Back check,ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |
Back counter,ପଛ କାଉଣ୍ଟର |
Back cutting,ପଛ କାଟିବା |
Back draft damper,ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |
Back drain,ପଛ ଡ୍ରେନ୍ |
Back drop,ବ୍ୟାକ୍ ଡ୍ରପ୍ |
Back fill,ପଛକୁ ପୁରଣ କରନ୍ତୁ |
Back fillet,ପଛ ଫିଲେଟ୍ |
Back flap hinge,ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |
Back flow connection,ପଛ ପ୍ରବାହ ସଂଯୋଗ |
Back flow preventer,ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |
Back gauge ,ବ୍ୟାକ୍ ଗେଜ୍ |
Back gutter ,ପଛ ଗୁଟର୍ |
Back hearth,ପଛ ଚୁଲି
Backing,ସମର୍ଥନ
Backing board,ବ୍ୟାକିଂ ବୋର୍ଡ |
Back pressure,ପଛ ଚାପ |
Back prop,ପଛ ପ୍ରପ
Back sight ,ପଛ ଦୃଶ୍ୟ |
Back water,ପଛ ପାଣି |
Baffle,ବାଫଲ୍ |
Bagwork ,ବ୍ୟାଗୱାର୍କ |
Ballast,ବାଲାଷ୍ଟ
Ball clay,ବଲ୍ ମାଟି |
Ball cone clamp,ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |
Barbed wire,କଣ୍ଟା ତାର
Bar dog,ବାର୍ କୁକୁର |
Barge board,ବ୍ୟାରେଜ୍ ବୋର୍ଡ |
Barium sulphate test,ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |
Barrage,ବ୍ୟାରେଜ୍
Barrett,ବାରେଟ୍ |
Base,ଆଧାର
