Punjabi,Odiya
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1. ଆବାକସ୍, ୨। ଗଣନା"
ਅਸਧਾਰਨ ਅੰਤ,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
ਰੁਕਾਵਟ,ବାଧା
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
ਪੂਰਾ ਪਤਾ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
ਪੂਰਨ ਅਸੈਂਬਲਰ,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
ਪੂਰਨ ਹੁਕਮ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
ਪੂਰਨ ਹਦਾਇਤ,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
ਪੂਰਨ ਮੋਡ,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
ਪੂਰਨ ਮਾਰਗ,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,ବିସ୍ତୃତ ମେସିନ୍ |
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,ବିସ୍ତୃତ ପ୍ରତୀକ |
ਸੰਖੇਪ ਸੰਟੈਕਸ,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,ଗ୍ରହଣ ପରୀକ୍ଷା
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
ਪਹੁੰਚ ਕੰਟਰੋਲ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ਸਹਾਇਕ ਉਪਕਰਣ,ଆନୁଷଙ୍ଗିକ
ਲੇਖਾਕਾਰੀ,ହିସାବ
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,ଜମାକାରୀ
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. ସଠିକତା, 2 ସଠିକତା"
ਪਹੁੰਚ,ପ୍ରବେଶ
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,ଆକ୍ସେସ୍ କଣ୍ଟ୍ରୋଲ୍ ବାଇଟ୍ |
ਪਹੁੰਚ ਸੂਚਕ,ପ୍ରବେଶ ସୂଚକ
