Tamil,Gujarati
அபேலி குழு,અબેલી જૂથ
அபேலி குழு,અબેલી જૂથ
கை,હાથ
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ"
முழுமையான ஒருங்கிணைப்பு,સંપૂર્ણ સંકલન
முழுமையான பிழை,સંપૂર્ણ ભૂલ
உச்ச உச்ச,સર્વોચ્ચ સર્વોચ્ચ
முற்றிலும் குறைந்த,એકદમ નીચું
துல்லியமான மதிப்பு,સંપૂર્ણ મૂલ્ય
முழுமையான வேகம்,સંપૂર્ણ વેગ
சுருக்க இயற்கணிதம்,અમૂર્ત બીજગણિત
சுருக்க குழு கோட்பாடு,અમૂર્ત જૂથ સિદ્ધાંત
முடுக்கம்,પ્રવેગ
ஈர்ப்பு முடுக்கம்,ગુરુત્વાકર્ષણ પ્રવેગક
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,સ્વીકાર્ય પસંદગીકાર
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,સ્વીકાર્ય ગુણવત્તા સ્તર
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,સ્વીકાર્ય જગ્યા
சரியான நம்பகத்தன்மை நிலை,માન્ય વિશ્વસનીયતા સ્તર
ஏற்பு மாதிரி,સ્વીકૃતિ નમૂના
திரட்டப்பட்ட பிழை,સંચિત ભૂલ
துல்லியம்,ચોકસાઈ
பயன்படுத்தப்படும் சக்தி,બળ લાગુ કર્યું
"செயல், செயல்","ક્રિયા, ખત"
செயல் மற்றும் எதிர்வினை,ક્રિયા અને પ્રતિક્રિયા
காப்பீட்டு அறிவியல்,વીમા વિજ્ઞાન
கடுமையான முக்கோணம்,તીવ્ર ત્રિકોણ
அசைக்ளிக்,એસાયક્લિક
மொத்தத்தில்,સારાંશ માટે
சேர்ப்பான்,ઉમેરનાર
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)"
யோகா சூத்திரம்,યોગનું સૂત્ર
கலப்பு எண்களின் கூட்டுத்தொகை,જટિલ સંખ્યાઓનો સરવાળો
செயல்பாடுகளின் கூட்டுத்தொகை,કાર્યોનો સરવાળો
மெட்ரிக்குகளின் கூட்டுத்தொகை,મેટ્રિસિસનો સરવાળો
பல்லுறுப்புக்கோவைகளின் தொகை,બહુપદીનો સરવાળો
நிகழ்தகவுகளின் கூட்டுத்தொகை,સંભાવનાઓનો સરવાળો
திசையன்களின் தொகை,વેક્ટરનો સરવાળો
"தொகை தேற்றம், பெர்ரி கோட்பாடு,","સરવાળો પ્રમેય, બેરી સિદ્ધાંત"
சேர்க்கை குழு,ઉમેરણ જૂથ
தலைகீழ் சேர்க்கை,ઉમેરણ વ્યસ્ત
சேர்க்கை,ઉમેરણ
சேர்க்கை,ઉમેરણ
அருகாமை அணி,સંલગ્નતા મેટ્રિક્સ
"அருகாமை, அருகாமை, அருகாமை","અડીને, અડીને, અડીને"
அருகில் உள்ள கோணம்,અડીને કોણ
அருகில் உள்ள உச்சி,અડીને શિરોબિંદુ
தொடர்புபடுத்த,સાંકળવું
"இணைக்கப்பட்ட உறை,",જોડાયેલ બંધ
பொதுவான தீர்மானிப்பான்,સામાન્ય નિર્ણાયક
இணைக்கப்பட்ட வேறுபாடு சமன்பாடு,જોડાયેલ વિભેદક સમીકરણ
இணைக்கப்பட்ட சமன்பாடு,જોડાયેલ સમીકરણ
ஒரே மாதிரியான அணி,કોહોમોજીનીયસ મેટ્રિક્સ
அணி ஒருங்கிணைப்பு,મેટ્રિક્સ સહપ્રવૃત્તિ
ஒரே மாதிரியான அணி,કોહોમોજીનીયસ મેટ્રિક્સ
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,સ્વીકાર્ય નિર્ણય કાર્ય
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,સ્વીકાર્ય પૂર્વધારણા
காற்றியக்க விசை,એરોડાયનેમિક બળ
காற்றியக்கவியல்,એરોડાયનેમિક્સ
ஒரே மாதிரியான வடிவியல்,સજાતીય ભૂમિતિ
ஒரே மாதிரியான மேப்பிங்,સજાતીય મેપિંગ
ஒரே மாதிரியான மாற்றம்,સજાતીય પરિવર્તન
மொத்த மாறி,એકંદર ચલ
"இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்","બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત"
"விதை மூடிய, விதை","સીડી બંધ, બીજરૂપે"
இயற்கணித சமன்பாடு,બીજગણિતીય સમીકરણ
இயற்கணித வெளிப்பாடு,બીજગણિતીય અભિવ્યક્તિ
இயற்கணித ஒருமைப்பாடு,બીજગણિત એકરૂપતા
இயற்கணித செயல்பாடு,બીજગણિત કાર્ય
இயற்கணித வடிவியல்,બીજગણિત ભૂમિતિ
இயற்கணித பன்மை,બીજગણિત બહુમતી
இயற்கணித அமைப்பு,બીજગણિત સિસ્ટમ
அனைத்து முழு எண் பிரச்சனை,તમામ પૂર્ણાંક સમસ્યા
"ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி,",સોંપણી સમસ્યા વોટ પ્રશ્ન
அகரவரிசைக் குறியீடு,આલ્ફાબેટીકલ નોટેશન
அகரவரிசை எழுத்து,આલ્ફાબેટીક અક્ષર
மாற்று கோணங்கள்,વૈકલ્પિક ખૂણા
"மாற்று ஒரே மாதிரியான மாற்று வடிவம்,",વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ
மாற்று குழு,વૈકલ્પિક જૂથ
மாற்று அணி,વૈકલ્પિક મેટ્રિક્સ
மாற்று தொடர்,વૈકલ્પિક શ્રેણી
மாற்று கருதுகோள்,વૈકલ્પિક પૂર્વધારણા
மாற்று உகந்தது,વૈકલ્પિક શ્રેષ્ઠ
மாற்று முடிவு,વૈકલ્પિક પરિણામ
அனலாக்-இலக்க மாற்றி,એનાલોગ-અંક કન્વર્ટર
"அனலாக் கணினி,",એનાલોગ કમ્પ્યુટર
பகுப்பாய்வு,વિશ્લેષણ
இணைநிலை பகுப்பாய்வு,સહપ્રવર્તન વિશ્લેષણ
கணக்கெடுப்பு-தரவு பகுப்பாய்வு,ગણતરી-માહિતી વિશ્લેષણ
மாறுபாடு பகுப்பாய்வு,વિચલન વિશ્લેષણ
பகுப்பாய்வு வடிவியல்,વિશ્લેષણાત્મક ભૂમિતિ
பகுப்பாய்வு செயல்பாடு,વિશ્લેષણાત્મક કાર્ય
கோணம்,કોણ
தொடுகோடு கோணம்,સ્પર્શકોણ
விலகல் கோணம்,વિચલન કોણ
மனச்சோர்வு கோணம்,હતાશા કોણ
விலகல் கோணம்,વિચલન કોણ
விலகல் கோணம்,વિવર્તન કોણ
உயர கோணம்,એલિવેશન એંગલ
நிகழ்வு கோணம்,ઘટના કોણ
திட்ட கோணம்,પ્રક્ષેપણ કોણ
பிரதிபலிப்பு கோணம்,પ્રતિબિંબ કોણ
ஒளிவிலகல் கோணம்,રીફ્રેક્શન કોણ
சுழற்சி கோணம்,પરિભ્રમણ કોણ
பிரதிபலிப்பு முழுமையான கோணம்,પ્રતિબિંબનો સંપૂર્ણ કોણ
கோண முடுக்கம்,કોણીય પ્રવેગક
கோண வேகம்,કોણીય વેગ
கோண வேகம்,કોણીય ઝડપ
கோண வேகம்,કોણીય વેગ
மோதிர விரல்,રિંગ આંગળી
பதில்,જવાબ આપો
எதிர் வழித்தோன்றல்,પ્રતિ વ્યુત્પન્ન
ஐசோமெட்ரிக் செயல்பாடு,આઇસોમેટ્રિક કાર્ય
"மறைக்கக்கூடிய, பொருந்தக்கூடிய, பொருந்தக்கூடிய","આવરી લેવા યોગ્ય, લાગુ, લાગુ"
"விண்ணப்ப விண்ணப்பம்,",અરજી અરજી
பயன்பாட்டு டைனமிக் நிரலாக்கம்,લાગુ ડાયનેમિક પ્રોગ્રામિંગ
பயன்படுத்தப்படும் வடிவியல்,લાગુ ભૂમિતિ
பயன்பாட்டு கணிதம்,લાગુ ગણિત
பயன்பாட்டு புள்ளிவிவரங்கள்,લાગુ આંકડા
"தோராயமாக, தோராயமாக","લગભગ, લગભગ"
தோராயமாக தொடர்ச்சியான செயல்பாடு,લગભગ સતત કાર્ય
"மேக்ரோ முறை, தோராய முறை","મેક્રો પદ્ધતિ, અંદાજ પદ્ધતિ"
தோராயமான தீர்வு,અંદાજિત ઉકેલ
தோராயமான பிரச்சனை,અંદાજની સમસ્યા
தோராயமான சொத்து,અંદાજિત મિલકત
திறன் சோதனை,અભિરુચિ કસોટી
ஆர்கான் வரைபடம்,આર્ગોન ડાયાગ્રામ
தன்னார்வ,સ્વૈચ્છિક
"சீரற்ற, சீரற்ற","રેન્ડમ, રેન્ડમ"
தன்னிச்சையான மாறிலி,મનસ્વી સતત
இலவச உறுப்பு,મફત તત્વ
தன்னிச்சையான புள்ளி,મનસ્વી બિંદુ
ஆர்க்கிமிடின் சட்டம்,આર્કિમિડીનો કાયદો
ஆர்க்கிமிடிஸ் சட்டம்,આર્કિમિડીઝનો કાયદો
"வில்-நீளம், வில்-நீளம்","ચાપ-લંબાઈ, ચાપ-લંબાઈ"
வட்ட வில்,વર્તુળ ચાપ
தலைகீழ் சைன் விநியோகம்,વ્યસ્ત સાઈન વિતરણ
தலைகீழ் சைன் மாற்றம்,વ્યસ્ત સાઈન રૂપાંતરણ
"பகுதி, பகுதி","વિસ્તાર, વિસ્તાર"
பிராந்திய கட்டமைப்பு,પ્રાદેશિક રૂપરેખાંકન
ஒரு கலப்பு எண்ணின் கோணம்,જટિલ સંખ્યાનો કોણ
எண்கணித சராசரி,અંકગણિત સરેરાશ
டிஜிட்டல் செயல்பாடு,ડિજિટલ કામગીરી
டிஜிட்டல் அலகு,ડિજિટલ એકમ
"கட்டமைப்பு, ஏற்பாடு","ગોઠવણી, ગોઠવણી"
"வரிசை, வரிசை","એરે, એરે"
செயற்கை செயற்கைக்கோள்,કૃત્રિમ ઉપગ્રહ
செயற்கை மாறி,કૃત્રિમ ચલ
ஏறுவதற்கு,ચઢવું
ஏறுமுகம்,ચડતા
அளவின் ஏறுவரிசை,તીવ્રતાનો ચડતો ક્રમ
ஏறும் தரம்,ચડતા ગ્રેડ
அசெம்பிளர் மொழி,એસેમ્બલર ભાષા
"ஒதுக்கீட்டுச் சிக்கல் ஒதுக்கீட்டுக் கேள்வி,",સોંપણી સમસ્યા સોંપણી પ્રશ્ન
துணை விதி,સહયોગી નિયમ
ஆபரேட்டர்களின் துணை விதி,ઓપરેટરોનો સહયોગી નિયમ
துணை செயல்பாடு,સહયોગી કામગીરી
தோழமை,સોબત
சராசரியாக கருதப்படுகிறது,ધાર્યું સરેરાશ
நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது,અનુમાનિત સંભાવના વિતરણ
"கற்பனை செய்து, ஒப்புக்கொண்ட,","કલ્પના, સ્વીકાર્યું"
ஜோதிடம்,જ્યોતિષશાસ્ત્ર
"விண்வெளி பொறியாளர் விண்வெளி பொறியாளர்,",એસ્ટ્રોનોટિકલ એન્જિનિયર સ્પેસ એન્જિનિયર
வானியலாளர்*,ખગોળશાસ્ત્રી*
வானியல் கடிகாரம்,ખગોળશાસ્ત્રીય ઘડિયાળ
வானியல்,ખગોળશાસ્ત્ર
சமச்சீரற்ற வளைவு,અસમપ્રમાણ વળાંક
சமச்சீரற்ற தன்மை,અસમપ્રમાણતા
அறிகுறியற்ற,એસિમ્પટોટિક
மோசமாக்கும்,ઉત્તેજક
முற்போக்கான மதிப்பீட்டாளர்,પ્રગતિશીલ અંદાજકાર
பிற்போக்கு சார்பு மதிப்பீட்டாளர்,પૂર્વગ્રહ પક્ષપાતી અંદાજકાર
பிற்போக்கு நடத்தை,પૂર્વવર્તી આચરણ
தீவிர விநியோக செயல்பாடு,આક્રમક વિતરણ કાર્ય
மேல்நோக்கி பரவியது,ઉપરની તરફ ફેલાવો
வளிமண்டல அழுத்தம்,વાતાવરણ નુ દબાણ
"தற்செயலாக,",અવ્યવસ્થિત રીતે
சொத்து*,મિલકત*
பண்பு-மாதிரி-பொறிமுறை,એટ્રિબ્યુટ-સેમ્પલિંગ-મિકેનિઝમ
ஆக்மென்ட் மேட்ரிக்ஸ்,સંવર્ધિત મેટ્રિક્સ
தன்னியக்க தொடர்பு குணகம்,સ્વતઃસંબંધ ગુણાંક
தன்னியக்க தொடர்பு செயல்பாடு,સ્વતઃસંબંધ કાર્ય
இணை மாறுபாடு,સહપ્રવૃત્તિ
தானியங்கி கணினி,સ્વચાલિત કમ્પ્યુટર
தன்னியக்க பின்னடைவு,ઓટોરીગ્રેશન
துணை சமன்பாடு,સહાયક સમીકરણ
சராசரி மாதிரி எண் வளைவு (MPC வளைவு),મીન સેમ્પલ નંબર કર્વ (MPC કર્વ)
"கோட்பாடு, கோட்பாடு","axiom, axiom"
கோட்பாடு அணுகுமுறை,સ્વયંસિદ્ધ અભિગમ
நிகழ்தகவு கோட்பாடு,સંભાવના સ્વયંસિદ્ધ
அச்சு,ધરી
புஜக்ஷா,ભુજક્ષા
பூமி அச்சு,પૃથ્વીની ધરી
சுழற்சி அச்சு,પરિભ્રમણ અક્ષ
சுழற்சி அச்சு,પરિભ્રમણ અક્ષ
சுழல் அச்சு,સ્પિન અક્ષ
பிந்தைய மாற்று,પોસ્ટ રિપ્લેસમેન્ટ
பின்னர்,પાછળથી
பின் செருகும் சூத்திரம்,પાછા નિવેશ સૂત્ર
