Marathi,Hindi
गर्भपात केलेला अवयव,रुद्ध-वृद्धि अंग
गर्भपात बियाणे,रुद्ध वृद्धि बीज
गर्भपात,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
परिपूर्ण तण,"अवांछित अपतृण, पूर्ण खरपतवार"
शोषून घेतलेले केशन,अवशोषित धनायन
शोषण,अवशोषण
अ‍ॅबिसिनियन मोहरी,ऐबिसिनी सरसों
एकरिसाइड,"एकेरेसनाशी, चिचड़ीनाशी"
उच्चारण,अकेंद्री
उच्चारण (सेल),प्रवर्धन (कोशिका)
स्वीकारलेले सहिष्णुता,स्वीकृत सहायता
Ory क्सेसरी,"अतिरिक्त, सहायक, गौण"
सहनशीलता,पर्यनुकूलन
संचय,संचय
अचूकता,"यथार्थता, परिशुद्धता"
अ‍ॅसर्व्हुलस,"एसर्वुलस, बीजाणुपात्र"
एसीटिफिकेशन,"ऐसीटीकरण, सिरका बनाना"
आम्लता,"अम्लीकरण, अम्लन"
अ‍ॅसिडिमीटर,"अम्लतामापी, एसिडीमीटर"
आंबटपणा,अम्लता
अ‍ॅसिडोफिलिक,अम्लरागी
अ‍ॅसिड्युलेटेड रॉक फॉस्फेट,अम्लीकृत रॉक फॉस्फेट
अ‍ॅसिड्यूरिक,अम्लसह
जलचर,जलभृत
संपादन,अधिग्रहण
एकर,एकड़
एकर क्षेत्र,"क्षेत्रफल, रकबा"
अ‍ॅक्रोसेन्ट्रिक गुणसूत्र,उपांत बिंदु क्रोमोसोम
अ‍ॅक्रोपेटल,अग्राभिसारी
अ‍ॅक्रोसोम,ऐक्रोसोम
अ‍ॅक्टिनोमाइसेट्स,एक्टिनोमाइसिटीज
सक्रिय रूट झोन,सक्रिय मूलक्षेत्र
तीव्र,"उग्र, तीव्र"
अनुकूलता,अनुकूलनशीलता
रुपांतर,अनुकूलन
आसंजन,"आसंजन, अभिलाग, बन्ध"
Ip डिपोज,वसामय
समायोजन समीकरण,समायोजन समीकरण
अ‍ॅडोब माती,ऐडोब मृदा
व्यभिचारी,अपमिश्रक
साहसी,अपस्थानिक
एसीडिओस्पोर,"एसीडियोस्पोर, एसीडियम बीजाणु"
आयओलियन प्रक्रिया,वातोढ़ प्रक्रिया
आयओलियन,वातोढ़
वायुवीजन,वातन करना
हवाई,"वायव, आकाशी"
एरोमीटर,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
एरोसोल,ऐरोसॉल
एस्टिवेशन,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
एटिओलॉजी (एटिओलॉजी),"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
वनीकरण,वनरोपण
आंदोलन,"विलोडन, प्रक्षोभन"
अ‍ॅगमार्क,"ऐगमार्क, कृष्यंक"
कृषी,"भूमी संबंधी, कृषि संबंधी"
कृषी क्लिनिक,कृषि निदानालय
कृषी कामगार,"कृषि श्रम, खेतिहर मजदूर"
कृषी विपणन,कृषि विपणन
कृषी तंत्रज्ञान,कृषि प्रद्योगिकी
शेती,"कृषि, खेतीबारी, कृषि विज्ञान"
कृषी सांस्कृतिक,कृषि वनवर्धन
अ‍ॅग्रोबायोडिव्हर्सिटी,कृषि जैविक विविधता
अ‍ॅग्रोबायोलॉजिकल दोष,कृषि जैविक दोष
कृषीशास्त्र,कृषि जैविकी
अ‍ॅग्रोक्लिमॅटिक विविधता,कृषि जलवायुवीय विविधता
अ‍ॅग्रोक्लिमॅटिक झोनिंग,कृषि जलवायुवीय क्षेत्रीकरण
अ‍ॅग्रोफोरेस्ट्री,कृषि वानिकी
कृषीशास्त्र,सस्य मृदा विज्ञान
अ‍ॅग्रोनॉमी,सस्य विज्ञान
अ‍ॅग्रोपास्टोरल,कृषि पशुचारणिक
अ‍ॅग्रोप्रोसेसिंग,फसल प्रसंस्करण
अ‍ॅग्रोस्टोलॉजी,घास विज्ञान
अ‍ॅग्रोटाइप,सस्य प्ररूप
एअर प्लांट,अधिपादप
अकिओची माती,ऐकिओची मृदा
अल्बिनिझम,"वर्णकहीनता, अवर्णता"
अल्फिसोल,एल्फिसॉल
एकपेशीय वनस्पती,"शैवाल, काई"
अल्गल रोग,शैवाल रोग
अल्कली पाणी,क्षार जल
अल्कधर्मी,क्षारीय
