Tamil,Odiya
அபாக்ஸியல் மேற்பரப்பு,ଅବକାଶର ପୃଷ୍ଠ |
அடிவயிறு,ପେଟ
வயிற்று பெருநாடி,ପେଟର ଆର୍ଟା |
வயிற்று கேங்க்லியா,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
மாறுபாடு,ଆବର୍ଗନ
அபிஸ்,ଆବିସ୍
அபிங்டன் ஆமை,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
அபியோஜெனெஸிஸ்,Abognescesis
அஜியோடிக்,ଅବିଟ
அஜியோடிக் காரணி,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
அசாதாரண சிறுநீர்,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
ABO இரத்தக் குழு,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
அப்சிசிக் அமிலம்,ଅବସିସିକ୍ ଏସିଡ୍ |
கஷ்டம்,ଅବସିସନ
உறிஞ்சும்,ଶୋଷଣ
உறிஞ்சுதல் உச்சம்,ଅବଶୋଷଣ ଶିଖର |
உறிஞ்சுதல்,ଶୋଷଣ
அகாசியா கேடெச்சு,ଆକାସିଆ କ୍ୟାଚଚୁ |
அகாரியா அரபிகா,ଆକାରିଆ ଆରବୀ |
அகப்ரின்,ଆକ୍ରିନ
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
துணை சுரப்பி,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
துணை சுரப்பி,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
துணை உறுப்பு,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
பழக்கவழக்கமயமாக்கல்,ସୁକମ୍ଲାଇଜେସନ୍
பழக்கப்படுத்துங்கள்,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
தங்குமிடம் (கவனம் செலுத்துதல்),ଆବାସ (ଧ୍ୟାନ)
கண் தங்குமிடம்,ଆଖିରେ ରହିବା
திரட்டல் வளர்ச்சி,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
குவிப்பு,ଜମା
கரிமப் பொருட்களின் குவிப்பு,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
மண்ணின் குவிப்பு,ମାଟିର ଜମା |
அசெல்லுலர்,Acellululula |
அசெல்லுலர் உயிரினம்,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
அசிடபூலம்,ଏସିଟାବୁଲମ୍
அசிடால்டிஹைட்,ACTalDeyDee
அசிடைல் கோஎன்சைம்,ACETIL କୋଏନୋଜିମ୍ |
அச்சாடினா,ଆଖିନିନା |
அச்சீன் வகை,ଅହିଯାଉଥିବା ପ୍ରକାର |
அச்சீன்,ଅହିଯେ
அச்ச்சைடோஸ்போரே,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
அமில மழை,ଅମ୍ଳ ବର୍ଷା
அமிலத்தன்மை,ଅମ୍ଳୀୟ
அமில வாயு,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
அமிலத்தன்மை,ଅମ୍ଳତା
அசிநார் செல்,ଆଖର ସେଲ୍ |
அகோலோமேட்,ଆକ୍ୱେମିଲେଟ୍ |
அகோனிட்டம்,ଆକୋନିଟମ୍
ஏகோர்ன் புழு,ଆକ୍ୟୁନ୍ ପୋକ |
ஒலி மண்டலம்,ଆକାଶବାଣୀ ଜୋନିଂ |
வாங்கிய எழுத்து,ଅର୍ଜନ ବର୍ଣ୍ଣ
நோய் எதிர்ப்பு சக்தி,ଅଜାଣତର କାରଣ
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
அக்னியா,ଅକାନିଆ
அக்ரிடைன் சாயம்,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
அக்ரோஷென்ட்ரிக்,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
அக்ரோமியன்,ଆକ୍ରୋମିଅନ୍ |
அக்ரோபெட்டல் வரிசை,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
அக்ரோபெட்டல் ஆர்டர்,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
அக்ரோசின்,ଆକ୍ରୋସିନ୍ |
ஆக்டின்,ଆକ୍ଟିନ୍ |
ஆக்டின் போன்ற புரதம்,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
ஆக்டினோமார்பிக்,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
ஆக்டினோமைசீட்கள்,ଆକ୍ଟିନୋମିସେସିସ୍ |
செயல்பாட்டு திறன்,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
செயல்படுத்தப்பட்ட கசடு,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
செயல்படுத்தப்பட்ட கசடு மிதவை,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
செயல்படுத்தும் ஆற்றல்,ସକ୍ରିୟ ଶକ୍ତି
செயலில் உறிஞ்சுதல்,ସକ୍ରିୟ ଶୋଷଣ
செயலில் நோய் எதிர்ப்பு சக்தி,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
செயலில் கதிர்வீச்சு,ସକ୍ରିୟ ବିକିରଣ |
செயலில் உள்ள தளம்,ସକ୍ରିୟ ସାଇଟ୍
ஆக்டிவின்,କାର୍ଯ୍ୟକର୍ତ୍ତା
அக்யூமினேட்,ଆକ୍ରମିନେଟ୍ |
ஆடம்ஸியா,ଆଡାମାସିଆ |
தகவமைப்பு,ଅନୁକେତ
தழுவல்,ଆଡାପ୍ଟେସନ୍
ஒளி ஆட்சிக்கு தழுவல்,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
நீர் பற்றாக்குறைக்கு தழுவல்,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
தகவமைப்பு பண்புகள்,ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |
தகவமைப்பு நோய் எதிர்ப்பு சக்தி,ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |
தகவமைப்பு கதிர்வீச்சு,ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |
தகவமைப்பு பண்பு,ଆଡାପ୍ଟିଭ୍ ଗୁଣ |
அடாக்ஸியல் மேற்பரப்பு,ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |
போதை கோளாறு,ନିଶା ବ୍ୟାଧି |
அடினின்,ଆଡେନିନ୍
அடினோகார்டிகோட்ரோபின்,ଆଡେନୋକର୍ଟିକୋଟ୍ରୋପିନ୍ |
அடினோஹைபோஃபிசிஸ்,Adenehiopophisisisis
அடினோசின் டைபாஸ்பேட்,ଆଡେନୋଜିନ୍ ଡିଫୋସେଫେଟ୍ |
அடினோசின் டீமினேஸ்,ଆଡେନୁସିନ୍ ତ୍ୟାଗ କର |
அடினோசின் மோனோபாஸ்பேட்,ଆଡେନୁସିନ୍ ମୋନୋଫୋସଫେଟ୍ |
அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி),ଆଡେନୁସିନ୍ ଟ୍ରିପ୍ଫେଟ୍ (ATP)
அடினிலேட் சைக்லேஸ்,ଆଡେନିଲେଟ୍ ସାଇକ୍ଲାଜିନ୍ |
பிசின் சக்தி,ଆଡେସିଭ୍ ଫୋର୍ସ |
கொழுப்பு,ଆଡିପେଟ୍ କରନ୍ତୁ |
அடிபோசைட் (கொழுப்பு செல்),Adipocyte (ଫ୍ୟାଟ୍ ସେଲ୍)
கொழுப்பு திசு,ସିସ୍ୟୁଜ୍ ଟିସୁ |
Adnate,ଆଡନେଟ୍ |
அருகிலுள்ள சமூகம்,ସଂଲଗ୍ନ ସମ୍ପ୍ରଦାୟର |
அட்ரீனல்,ଆଡ୍ରେନାଲ୍
அட்ரினல் சுரப்பி,ଆଡ୍ରେନାଲ୍ ଗ୍ରନ୍ଥି |
அட்ரினோகார்டிகோட்ரோபிக் ஹார்மோன் (ACTH),ଆଡ୍ରେନିକୋ ବୋଟ୍ରୋପିକ୍ ହରମୋନ୍ (ACTH)
அட்ரினோகார்டிகோட்ரோபிக் வெளியீட்டு ஹார்மோன் (ACTRH),ଆଡ୍ରେନାକର୍ଟିକୋଟ୍ରପିକ୍ ରିଲିଜ୍ ହରମୋନ୍ (ACTRH)
Adsorbent,ଆଡସରବେଣ୍ଟ
உறிஞ்சுதல்,ଆଡେର୍ସନ୍
மேம்பட்ட சோர்டேட்,ଉନ୍ନତ ମୂଲ୍ୟ |
சாதகமான பிறழ்வு,ଲାଭଦାୟକ ଗଣିତ |
சாகச,ଦୁ vent ସାହସିକ କାର୍ଯ୍ୟ |
சாகச வேர்,ଖରାପ ମୂଳ
பாதகமான விளைவு,ପ୍ରତିକୂଳ ପ୍ରଭାବ
Aedes,AED ଗୁଡିକ
கலாச்சாரத்தின் காற்றோட்டம்,ସଂସ୍କୃତିର ଆରେସନ୍
ஏரென்கிமா,ଆତଙ୍କିତାମା |
வான்வழி,ବାୟୁ
வான்வழி வேர்,ବାୟୁଏଟ୍ ମୂଳ |
வான்வழி படப்பிடிப்பு,ଏରିଲ୍ ସୁଟ୍ |
ஏரோபிக் சுவாசம்,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
ஏரோபிக் சுவாசம்,ଏରୋବିକ୍ ଶ୍ iration ଗଡା |
அழகியல்,ସ est ନ୍ଦର୍ଯ୍ୟ
அவதூறு,ବାୟେ
அவதூறு,ବାୟେ
Afferent,ବିଶଙ୍ଗ
இணைப்பு நிறமூர்த்தம்,ଆଫିନିଟି କ୍ରୋମାଟୋଗ୍ରାଫି |
பாதிக்கப்பட்ட உறுப்பு,ଅଙ୍ଗପ୍ରତ୍ୟଙ୍ଗ ଅଙ୍ଗ |
காடு வளர்ப்பு,ଆଗ ଶତ୍ରୁମାନଙ୍କର
அகமோஸ்பெர்மி,ଆଗାମୋପର୍ମୀ |
அகர்,ଅଗର
அகரோஸ்,ଆଗ୍ରୋଜ୍
அகரோஸ் ஜெல் எலெட்ரோபோரேசிஸ்,ଆଗାରୋସ୍ ଗେଲ୍ ଇଟ୍ରୋଫୋରସ୍ |
அகரோஸ் பாலிமர் ஜெல்,ଆର୍ଗ୍ରୋଜ ପଲିମର ଜେଲ୍ |
அகாஸ்ட்,ଆଗିଷ୍ଟ
நீலக்கத்தாழை,ଆଗେଭ୍
வயது விநியோகம்,ବୟସ ବଣ୍ଟନ |
வயது பிரமிட்,ବୟସ ପିରାମିଡ୍ |
திரட்டுதல்,Agglutination
மதிப்பீட்டு,ସମୁଦାୟ
நுண்ணறைகளின் மொத்தம்,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
நுண்ணறைகளின் மொத்தம்,ଫୋଲିକଲିକ୍ ର ସମୁଦାୟ |
திரட்டுதல்,ମିଳନ
ஆக்கிரமிப்பு,ଆକ୍ରମଣାତ୍ମକତା
கிளர்ச்சி அமைப்பு,Agiitor ତନ୍ତ୍ର
அக்னாதா,ଆଗନାଥା
அகூட்டி,ଆଗାଉଟି
அக்ரானல் குளோரோபிளாஸ்ட்,ଆଗ୍ରାନାଲ କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |
வேளாண்,ଆଗ୍ରାନୁଲାର୍
அக்ரானுலோசைட்,ଆଗ୍ରାନୁଲୋସେଟେଟ୍ |
வேளாண்மை,କୃଷି
வளர்ப்பு,Agroftry
அக்ரோபாக்டீரியம் மத்தியஸ்தம்,Agrobacterium ମଧ୍ୟସ୍ଥି |
அக்ரோபாக்டீரியம் டூம்ஃபேசியன்ஸ்,Agrobacterium tumfacienss |
வேளாண் வேதியியல்,ଆଗ୍ରୋକେମିକାଲ୍ |
வேளாண் வேதியியல்,ଆଗ୍ରୋକେମିକାଲ୍ |
வேளாண் மண்டலம்,Agrovillatatic ଜୋନ୍ |
வேளாண் பண்பு,କ agnownom ଣସି ଗୁଣଗତ ଗୁଣ |
வேளாண்,କିରେନୋନୋମ୍ବନ
எய்ட்ஸ்,ଏଡଡ୍ସ
காற்று சிறுநீர்ப்பை,ଏୟାର ବ୍ଲାଡର |
ஏர் கண்டிஷனர்,ଶିତତାପ ନିୟନ୍ତ୍ରଣକାରି
விமானப் பாதை,ବାୟୁ ପାସ୍ |
காற்று மாசுபாடு,ବାୟୁ ପ୍ରଦୂଷଣ
ஏர் சாக்,ଏୟାର ଥଳି
காற்று வெற்றிடம்,ବାୟୁ ଶୂନ୍ୟ
காற்று சுவாசம்,ବାୟୁ ନିଶ୍ୱାସ ନେବା |
அலைன்,ଅଲିନ୍ |
அலரி தசை,ଆଲେରୀ ମାଂସପେଶୀ |
அலாஸ்கன் பிரவுன் கரடி,ଆଲାସ୍କାନ୍ ବ୍ରାଉନ୍ ଭାଲୁ |
இயற்கை நிறத்தை இழந்தவர்,ଆଲବିନୋ |
அல்புகோ,ଆଲବୁଗୋ |
ஆல்புமின்,ଆଲବମିନ |
ஆல்புமினஸ் விதை,ଆଲବମିନସ୍ ବିହନ |
அல்புமினூரியா,ଆଲବୁମିନିରିଆ |
ஆல்பர்னம்,ଆଲବର୍ନମ୍
அல்செடே,ଆଲେଡା
ஆல்டிஹீட்,ଆଲଡେହେଡି
ஆல்டோஸ்டிரோன் அமைப்பு,ଆଲଡୋଷ୍ଟେରନ୍ ସିଷ୍ଟମ୍ |
ஆல்டோஸ்டிரோன்,ଆଲଡୋଷ୍ଟେରୋନ୍ |
அலியுரோன் அடுக்கு,ଆଲେରୋନ୍ ସ୍ତର |
அலூரோபிளாஸ்ட்,ଆଲେରୋପ୍ଲେଷ୍ଟ |
அல்பால்ஃபா,Alfalfa
பாசி பூக்கும்,ଆଲଗାଲ୍ ଫୁଲ |
ஆல்ஜின்,ଅପଗନ୍
ஏலியன் டி.என்.ஏ.,ଏଲିଏନ୍ ଡିଏନ୍
அன்னிய இனங்கள்,ଏଲିଏନ୍ ପ୍ରଜାତି |
சீரமைப்பு,ପରିଚାଳିତ
சீரமைப்பு,ପରିଚାଳିତ
உணவுக்குழாய்,ଆଲିମେଣ୍ଟେରି କେନାଲ୍ |
ஆன்டிமென்டரி சிஸ்டம்,ଆଲିମେଣ୍ଟାରୀ ସିଷ୍ଟମ୍ |
அலிஸ்மேசீஸ்,ଆଲି ବ୍ୟଞ୍ଜସେମେସେସ୍ |
காராய்டு,ଆଲକାଲାଇଡ୍ |
கார,କ୍ଷାରିକ |
அல்காப்டோனூரியா,ଅଲକାପଟୋନେର୍ଜିଆ
அலன்டோயிஸ்,ଆଲାନ୍ସିଟ୍
அலீல் அதிர்வெண்,ଆଲେଲେ ଫ୍ରିକ୍ୱେନ୍ସି |
அல்லீல்,ଆହେଲେ |
அல்லீலோமார்பிக் ஜோடி,ଆଲୋଲେମୋମିକ୍ ଯୋଡି |
ஒவ்வாமை,ଆଲ୍ରେଜେନ |
முதலை,ଆଲିଗେଟର୍ |
அல்லியம் செபா,ଅସ୍ତ୍ରଶିୟ୍ ସେପୁ
Allocamy,ଆଲଗଲାମି |
அலோகிராஃப்ட்,ଆଲିଗ୍ରାଫ୍ଟ |
அலோபாட்ரிக் விவரக்குறிப்பு,ଆଲପ୍ପାଟ୍ରିକ୍ ଯଥାର୍ଥ |
அலோபோலிப்ளோயிட்,ଆଲୋପୋଲିଆପ୍ଲଏଡ୍ |
அலோஸ்டெரிக் விளைவு,ଆଲିସ୍ମିକ ପ୍ରଭାବ
அலோஸ்டெரிக் என்சைம்,ଆଲିଶୋରଙ୍କ ଏନଜାଇମ୍ |
அலோஸ்டெரிக் இன்ஹிபிட்டர்,ଆଲିସ୍ଟର ଇନହିବିଟର୍ |
அலோஸ்டெரிக் பண்பேற்றம்,ଆଲିସ୍ମିକ ମୋଡୁଲେସନ୍ |
அலோஸ்டெரிக் தளம்,ଆଲିସର୍ଏଣ୍ଟିକ୍ ସାଇଟ୍ |
