Gujarati,Marathi
વેસ્ટમિન્સ્ટરના એબી,वेस्टमिन्स्टरचे मठाधीश
ત્યાગી,निषिद्ध
ગુલામી નાબૂદી,गुलामगिरीचे उच्चाटन
એબોરિજિનલ,आदिवासी
અબ્રાહમ યુગ,अब्राहम युग
ગેરહાજર મકાનમાલિકો,अनुपस्थित जमीनदार
એકેડમી,अकादमी
અકરા કોન્ફરન્સ,अक्रा परिषद
સંસાધનો,जमा
સંવર્ધન,संवर्धन
એસેલડામા,एसेलडामा
અચેઅન (=અચિયન),आचियन (=अचियन)
આચિયન લીગ (=એચિયન લીગ),आचियन लीग (=अचियन लीग)
એક્રોપોલિસ,एक्रोपोलिस
એક્ટા દીર્ના,Acta Diurna
એક્ટા સેનાટસ,Acta Senatus
એક્ટ એડિશનલ,ऍक्ट अॅडिशनल
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
પ્રાપ્ત કરનારનું કાર્ય,प्राप्तकर्त्याची कृती
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,नुकसानभरपाई आणि विस्मरणाचा कायदा
સમાધાનનો અધિનિયમ,सेटलमेंटचा कायदा
જાહેરાત કરાર સીલ,जाहिरात करार सील
અદુલ્લામાઈટસ,अदुल्लामाइट्स
વિરોધી,विरोधक
વિરોધી,विरोधक
એઓન,एऑन
એરેરિયમ,एरेरियम
હવાઈ યુદ્ધ,हवाई युद्ध
એટોલિયન લીગ,एटोलियन लीग
ઉંમર,वय
વૃદ્ધત્વ (=વૃદ્ધત્વ),वृद्धत्व (=वृद्धत्व)
વૃદ્ધત્વ પ્રક્રિયા,वृद्धत्व प्रक्रिया
અગેલાઈ,अगेलाय
શૌર્યની ઉંમર,पराक्रमाचे वय
જ્ઞાનની ઉંમર,ज्ञानाचे वय
પેરિકલ્સની ઉંમર,पेरिकल्सचे वय
કારણની ઉંમર,कारण वय
કૃષિવાદ,कृषीवाद
કૃષિ આંદોલન,कृषी चळवळ
એલ્બિયન,अल्बिओन
આલ્બમ,अल्बम
એલ્ડરમેન,अल्डरमन
મોહક શસ્ત્રો,मोहक हात
સૌમ્યતા,मैत्री
એમ્ફિક્ટિઓનિક કાઉન્સિલ,एम्फेक्टियोनिक परिषद
એમ્ફિક્ટિઓનિક લીગ,एम्फेक्टियोनिक लीग
એમ્ફીથિયેટર,अॅम्फिथिएटर
અમરી નલ જૂથ (માટીના વાસણો),अमरी नल गट (मातीचा)
અનાક્રોનિઝમ,अनाक्रोनिझम
એનાક્રોનિસ્ટિક,अनाक्रोनिस्टिक
પૂર્વજ,पूर्वज
પૂર્વજની પૂજા,पूर्वजांची पूजा
વંશ,वंशपरंपरा
વંશ,वंशपरंपरा
વંશ,वंशपरंपरा
વંશ,वंशपरंपरा
પ્રાચીન શાસન,प्राचीन राजवट
પ્રાચીન,प्राचीन
પ્રાચીન લોકગીત,प्राचीन बालगीत
પ્રાચીન માન્યતા,प्राचीन श्रद्धा
પ્રાચીન રિવાજ,प्राचीन प्रथा
પ્રાચીન ઇતિહાસ,प्राचीन इतिहास
પ્રાચીન સ્મારકો,प्राचीन स्मारके
ટુચકો,किस्सा
એન્જેલોટ,अँजेलोट
એન્જલસ,एंजलस
એન્જેવિન (=એન્જેવિન),अँजेविन (=अंजेविन)
ખૂણો,कोन
એંગ્લિકન,अँग्लिकन
એંગ્લિકન કોમ્યુનિયન,अँग्लिकन कम्युनियन
અંગ્રેજવાદ,अँग्लिकनवाद
એંગ્લો-ફોબ,अँग्लो-फोब
એંગ્લો-ફોબિયા,अँग्लो-फोबिया
એંગ્લો-સેક્સન,अँग्लो-सॅक्सन
એંગ્લો-સેક્સોનિઝમ,अँग्लो-सॅक्सोनवाद
એનાલિસ્ટ,अॅनालिस्ट
ઇતિહાસ,इतिहास
જોડાણ,संलग्नीकरण
એન્ટિ-બેલમ,अँटी-बेलम
તારીખ પહેલાં,पूर्वीची तारीख
ક્લેરિકલિઝમ વિરોધી,कारकुनविरोधी
કારકુની વિરોધી કાયદો,कारकुनी विरोधी कायदा
પ્રાચીનકાળ,पुरातन वास्तू
વિરોધી ભાડા,विरोधी भाडे
વિરોધી ભાડા,विरोधी भाडे
વિરોધી સેમિટિઝમ,सेमिटिझम विरोधी
એન્ઝેક,अँझॅक
અપેલા,अपेला
અરાલુ,अरालू
આર્ક બિશપ,आर्च बिशप
કમાન ડચી,आर्च डची
આર્ક ડ્યુક,आर्च ड्यूक
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),आर्काइफ (=अभिलेख संग्रह)
આર્કિપીસ્કોપેટ,आर्किपिस्कोपेट
કુલીન વર્ગ,अभिजात वर्ग
કુલીન,कुलीन
કુલીન સ્નોબરી,खानदानी स्नोबरी
એરિસ્ટોટેલિયન,अॅरिस्टोटेलियन
આર્માડા,आरमार
આર્મડા (=ધ સ્પેનિશ આર્મડા),आरमार (=स्पॅनिश आरमार)
આર્મોરિસ્ટ (=આર્મરિસ્ટ),आर्मोरिस्ट (= आर्मरिस्ट)
બખ્તર (=બખ્તર),चिलखत (= चिलखत)
આર્મરિસ્ટ,आर्मरिस्ट
આર્યન,आर्यन
આર્યન,आर्यन
અસ્કરી,अस्करी
સોંપણી,नियुक्त करा
સહાય કરો,Assize
સહાય કરો,Assize
સહાય કરો,Assize
આર્મ્સ એક્ટની સહાય,शस्त्रास्त्र कायद्याची मदत
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,डॅरेन प्रेझेंटमेंटची मदत
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,मॉर्ट &#39;डी&#39; पूर्वजांची मदत
નવલકથા ડીસીસીનની સહાય,कादंबरी Disseisin च्या Assize
અત્યાચાર,अत्याचार
હુમલો,हल्ला
ઓલિક કાઉન્સિલ,ऑलिक कौन्सिल
દેવીની કુહાડી (=દેવીની કુહાડી),देवीची कुर्‍हाड (= देवी कुर्हाड)
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),अक्ष (=रोम-बर्लिन-टोकियो अक्ष)
બેબીલોન,बॅबिलोन
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद)
બચનલ ભક્ત,बचनाल भक्त
બચ્ચનલિયા,बचनालिया
સ્નાતક,बॅचलर
બગદાદ કરાર,बगदाद करार
