Tamil,Marathi
குறைப்பு,Uptement
சுருக்கம்,संक्षेप
கடத்தல்,अपहरण
நிறுத்துதல்,अबाधित
திறன்,क्षमता
Ab initio,अब इनिशिओ
முடியும்,सक्षम
அசாதாரணமானது,असामान्य
ஒழிப்பு,निर्मूलन
இடுகை ஒழிப்பு,रद्दबातल पोस्ट
மேலே குறிப்பிட்டுள்ள,वर दिल्याप्रमाणे
மேலே மேற்கோள் காட்டப்பட்டுள்ளது,वर उद्धृत
மேலே கூறினார்,वरील म्हणाले
இல்லாதது,अनुपस्थिती
வராதவர்,अनुपस्थित
இல்லாதது,अनुपस्थिति
இல்லாத அறிக்கை,अनुपस्थित विधान
அறுதி,परिपूर्ण
முழுமையான ஏகபோகம்,परिपूर्ण मक्तेदारी
முழுமையான உரிமை,परिपूर्ण मालकी
உறிஞ்சுதல்,शोषण
சுருக்கம்,गोषवारा
சுருக்கம்,अमूर्त स्टेटमेंट
அபத்தமான,बेशुद्ध
ஏராளமாக,विपुलता
அதிகார துஷ்பிரயோகம்,शक्तीचा गैरवापर
தவறான மொழி,अपमानास्पद भाषा
கல்வி,शैक्षणिक
கல்வி விவாதம்,शैक्षणिक चर्चा
கல்வி விடுப்பு,शैक्षणिक रजा
கல்வி தகுதி,शैक्षणिक पात्रता
கல்வி சாதனையை,शैक्षणिक नोंद
ஏற்றுக்கொள்ளுங்கள்,प्रवेश
ஏற்றுக்கொள்,स्वीकारा
ஏற்றுக்கொள்ளல்,स्वीकृती
பதவியை ஏற்றுக்கொள்வது,कार्यालय स्वीकारणे
டெண்டரை ஏற்றுக்கொள்வது,निविदा स्वीकारणे
அணுகல்,प्रवेश
அணுகல்,प्रवेश
துணை,Ory क्सेसरी
விபத்து,अपघात
பழக்கவழக்கமயமாக்கல்,सहनशीलता
தங்குமிடம்,निवास
துணையுடன்,सोबत
உடன்பாடு,करार
ஒப்புதல்,अनुयायी
அதன்படி,त्यानुसार
கணக்கு,खाते
பொறுப்புக்கூறல்,उत्तरदायित्व
பொறுப்பு,जबाबदार
கணக்கியல்,अकाउंटन्सी
கணக்காளர்,अकाउंटंट
கணக்கு,साठी खाते
கணக்கு தலை,खाते डोके
திரட்டப்பட்ட நன்மை,जमा लाभ
திரட்டப்பட்ட ஓய்வூதியம்,जमा पेन्शन
குவிப்பு,संचय
துல்லியம்,अचूकता
துல்லியமானது,अचूक
குற்றம்,आरोप
குற்றம் சாட்டப்பட்டவர்,आरोपी
சாதனை,यश
ஒப்புதல்,पोचपावती
ஒப்புதல் காரணமாக,पावती देय
அறிமுகம்,ओळखी
கையகப்படுத்தல்,संपादन
விடுவித்தல்,शोध
நாடகம்,कायदा
நடிப்பு கொடுப்பனவு,अभिनय भत्ता
செயல்,क्रिया
செயல் திட்டம்,कृती योजना
செயலில்,सक्रिय
சுறுசுறுப்பாக,सक्रियपणे
ஆர்வலர்,कार्यकर्ता
கடவுளின் செயல்,देवाची करणी
தவறான நடத்தை செயல்,गैरवर्तन कायदा
கமிஷன் மற்றும் விடுபடுதல் சட்டம்,कमिशनचे कार्य आणि वगळणे
உண்மையான,वास्तविक
உண்மையான,वास्तविक
தழுவல்,रुपांतर
கூடுதலாக,या व्यतिरिक्त
கூடுதல் கட்டணம்,अतिरिक्त शुल्क
கூடுதல் நிதி,अतिरिक्त निधी
கூடுதல் மானியம்,अतिरिक्त अनुदान
கூடுதல் தகவல்,अतिरिक्त माहिती
கூடுதல் ஊதியம்,अतिरिक्त वेतन
கூட்டல் மற்றும் மாற்றம்,जोड आणि बदल
முகவரி,पत्ता
முகவரி,पत्ता
வரவேற்பின் முகவரி,स्वागताचा पत्ता
போதுமானது,पुरेसे
பின்பற்றவும்,चे पालन करा
தற்காலிக,अ‍ॅड हॉक
தற்காலிக உரிமைகோரல்,तदर्थ दावा
தற்காலிக குழு,तदर्थ समिती
தற்காலிக அதிகரிப்பு,तदर्थ वाढ
தற்காலிக கட்டணம்,तदर्थ देयक
அருகில்,समीप
அருகிலுள்ள (= தொடர்ச்சியான),शेजारी (= संमिश्र)
ஒத்திவைப்பு,तहकूब
ஒத்திவைப்பு இயக்கம்,तहकूब गती
தீர்ப்பளிக்கவும்,सहभाग
தீர்ப்பளிக்கவும்,न्यायाधीश
தீர்ப்பு,निर्णय
தீர்ப்பாளர்,न्यायाधीश
சரிசெய்தல்,समायोजन
நிர்வாகி,प्रशासकीय
சத்தியப்பிரமாணத்தை நிர்வகிக்கவும்,शपथ प्रशासित करा
நிர்வாகம்,प्रशासन
நீதி நிர்வாகம்,न्याय प्रशासन
நிர்வாக,प्रशासकीय
நிர்வாக நடவடிக்கை,प्रशासकीय कारवाई
நிர்வாக மதிப்பீடு,प्रशासकीय मूल्यांकन
நிர்வாக ஒப்புதல்,प्रशासकीय मान्यता
நிர்வாக அதிகாரம்,प्रशासकीय अधिकार
நிர்வாக கட்டுப்பாடு,प्रशासकीय नियंत्रण
நிர்வாக முடிவு,प्रशासकीय निर्णय
நிர்வாகத் துறை,प्रशासकीय विभाग
நிர்வாகத் தலைவர்,प्रशासकीय प्रमुख
நிர்வாக தலைமையகம்,प्रशासकीय मुख्यालय
நிர்வாக நடவடிக்கைகள்,प्रशासकीय उपाय
நிர்வாக சக்தி,प्रशासकीय शक्ती
நிர்வாக அனுமதி,प्रशासकीय मंजुरी
நிர்வாக நுட்பம்,प्रशासकीय तंत्र
