Hindi,Assamese
ऐम्पियर (मात्रक),এম্পিয়াৰ (ইউনিট)
ऐंगस्ट्रम,angstrum
ए-वर्ग प्रवर्धक,এ-ক্লাছ এম্প্লিফায়াৰ
ए.एन रेडियो सहाय,এ এন ৰেডিঅ&#39; সহায়
ए-क्रमवीक्षण प्रस्तुति,a-স্কেনিং উপস্থাপন
ए-दर्श,আ-দৰ্শ
ए-स्कोप प्रदर्शन,এ-স্কোপ পৰিৱেশন
ए-टी कर्तित क्रिस्टल,A-T বক্ৰ স্ফটিক
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন"
पूर्वाह्न,am
ए.एम.यू. (परमाणु संहति मात्रक),এ এম ইউ (পাৰমাণৱিক ভৰ একক)
आर्ड-वार्क*,aard-vark* গেস্টবুক
ऐब-ऐम्पियर,ab-ampere
ए-बी वर्ग प्रवर्धक,A-B শ্ৰেণীৰ এম্প্লিফায়াৰ
आदितः,আদাহ
ए-बी शक्ति पिटक,ক-খ শক্তি পিটকা
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ
ऐबे संख्या (ऐबे नियतांक),Abe সংখ্যা (Abe ধ্ৰুৱক)
ऐबे अपवर्तनमापी,abe বিবৰ্তনমাপক
ऐबे ज्या अवस्था,abe চাইন অৱস্থা
स्वचालित बायस प्रतिकार,স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ
ऐबकूलॉम,abcoulom
"विपथन, अपेरण",বিচ্যুতি
विपथन संशोधक लेन्स,বিচ্যুতি সংশোধক লেন্স
आकाश-विपथन,আকাশৰ বিচ্যুতি
एबफैराड,abfarad
एबहेनरी,এবেনৰী
ऐबनी प्रभाव (ऐबनी नियम),আবলুস ইফেক্ট
अपसामान्य ध्रुवण,অস্বাভাৱিক মেৰুকৰণ
अपसामान्य संचरण,অস্বাভাৱিক সংক্ৰমণ
अपसामान्य परावर्तन,অস্বাভাৱিক প্ৰতিফলন
अपसामान्य अपवर्तन*,অস্বাভাৱিক বিবৰ্তন*
अपसामान्य प्रतिरोध,পেৰানাৰ্মেল ৰেজিষ্টেন্স
ऐब-ओम,ab-om
"पूर्वपात, विफलन","preponderance, বিফলতা"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত"
सहसा जंप,সঘনাই জপিয়াই পৰে
भुज*,হাত*
लुप्त परावर्तन,হেৰুৱা প্ৰতিফলন
लुप्त स्पैक्ट्रम,অনুপস্থিত বৰ্ণালী
"निरपेक्ष, परम, अचर, परिशुद्ध","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
निरपेक्ष त्वरण,নিৰপেক্ষ ত্বৰণ
