Bengali,Odiya
আবেলি গ্রুপ,ଆବେଲି ଗୋଷ୍ଠୀ |
আবেলি গ্রুপ,ଆବେଲି ଗୋଷ୍ଠୀ |
হাত,ହାତ
"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
পরম মিলন,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
পরম ত্রুটি,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
সর্বোচ্চ সর্বোচ্চ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
পরম সর্বনিম্ন,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
পরম মান,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
পরম বেগ,ସଂପୂର୍ଣ୍ଣ ବେଗ
বিমূর্ত বীজগণিত,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
বিমূর্ত গ্রুপ তত্ত্ব,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
ত্বরণ,ତ୍ୱରଣ
মহাকর্ষীয় ত্বরণ,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
গ্রহণযোগ্য নির্বাচক,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
গ্রহণযোগ্য মানের স্তর,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
গ্রহণযোগ্য প্রাঙ্গনে,ଗ୍ରହଣୀୟ ପରିସର
বৈধ নির্ভরযোগ্যতা স্তর,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
গ্রহণযোগ্যতা নমুনা,ଗ୍ରହଣ ନମୁନା
সঞ্চিত ত্রুটি,ସଂଗୃହିତ ତ୍ରୁଟି |
সঠিকতা,ସଠିକତା
প্রযুক্ত বল,ପ୍ରୟୋଗ ଶକ୍ତି
"কর্ম, কাজ","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
কর্ম এবং প্রতিক্রিয়া,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
বীমা বিজ্ঞান,ବୀମା ବିଜ୍ଞାନ |
তীব্র ত্রিভুজ,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
অ্যাসাইক্লিক,acyclic
যোগফল,ସଂକ୍ଷେପରେ
যোগকারী,ଆଡର୍
"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
যোগের সূত্র,ଯୋଗର ସୂତ୍ର
জটিল সংখ্যার যোগফল,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
ফাংশনের যোগফল,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
ম্যাট্রিক্সের যোগফল,ମାଟ୍ରିକ୍ସର ରାଶି
বহুপদীর সমষ্টি,ବହୁଜନର ସମଷ୍ଟି |
সম্ভাবনার যোগফল,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
ভেক্টরের সমষ্টি,ଭେକ୍ଟରର ରାଶି
"যোগ উপপাদ্য, বেরি তত্ত্ব,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
সংযোজনকারী গ্রুপ,ଯୋଗୀ ଗୋଷ୍ଠୀ |
সংযোজন বিপরীত,ଯୋଗୀ ଓଲଟା |
যোগযোগ্যতা,ଯୋଗନୀୟତା |
যোগযোগ্যতা,ଯୋଗନୀୟତା |
অন্তিক ম্যাট্রিক্স,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"সংলগ্ন, সংলগ্ন, সংলগ্ন","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
সংলগ্ন কোণ,ସଂଲଗ୍ନ କୋଣ
সংলগ্ন শীর্ষবিন্দু,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
যুক্ত করা,ସହଯୋଗ କରିବାକୁ
"সংযুক্ত ঘের,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
সাধারণ নির্ধারক,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
