English,Bengali
Abelian group,আবেলি গ্রুপ
abelian semigroup,আবেলি গ্রুপ
abscissa,হাত
absolute,"পরম, পরম, ধ্রুবক, সুনির্দিষ্ট"
absolute convergence,পরম মিলন
absolute error,পরম ত্রুটি
absolute maximum,সর্বোচ্চ সর্বোচ্চ
absolute minimum,পরম সর্বনিম্ন
absolute value,পরম মান
absolute velocity,পরম বেগ
abstract algebra,বিমূর্ত বীজগণিত
abstract group theory,বিমূর্ত গ্রুপ তত্ত্ব
acceleration,ত্বরণ
acceleration due to gravity,মহাকর্ষীয় ত্বরণ
acceptable choice set,গ্রহণযোগ্য নির্বাচক
acceptable quality level,গ্রহণযোগ্য মানের স্তর
acceptable range,গ্রহণযোগ্য প্রাঙ্গনে
acceptable reliability level,বৈধ নির্ভরযোগ্যতা স্তর
acceptable sampling,গ্রহণযোগ্যতা নমুনা
accumulated error,সঞ্চিত ত্রুটি
accuracy,সঠিকতা
acting force,প্রযুক্ত বল
action,"কর্ম, কাজ"
action and reaction,কর্ম এবং প্রতিক্রিয়া
acturial science,বীমা বিজ্ঞান
acute angled triangle,তীব্র ত্রিভুজ
acyclic,অ্যাসাইক্লিক
add,যোগফল
adder,যোগকারী
addition,"যোগফল, যোগ, যোগফল (গ.), যোগ (v.)"
addition formula,যোগের সূত্র
addition of complex numbers,জটিল সংখ্যার যোগফল
addition of functions,ফাংশনের যোগফল
addition of matrices,ম্যাট্রিক্সের যোগফল
addition of polynomials,বহুপদীর সমষ্টি
addition of probabilities,সম্ভাবনার যোগফল
addition of vectors,ভেক্টরের সমষ্টি
addition theorem,"যোগ উপপাদ্য, বেরি তত্ত্ব"
additive group,সংযোজনকারী গ্রুপ
additive inverse,সংযোজন বিপরীত
additive property,যোগযোগ্যতা
additivity,যোগযোগ্যতা
adjacency matrix,অন্তিক ম্যাট্রিক্স
adjacent,"সংলগ্ন, সংলগ্ন, সংলগ্ন"
adjacent angles,সংলগ্ন কোণ
adjacent vertex,সংলগ্ন শীর্ষবিন্দু
adjoin,যুক্ত করা
adjoining,সংযুক্ত ঘের
adjoint determinant,সাধারণ নির্ধারক
adjoint differential equation,সংযুক্ত ডিফারেনশিয়াল সমীকরণ
adjoint equation,সংযুক্ত সমীকরণ
adjoint matrix,সমগোত্রীয় ম্যাট্রিক্স
adjoint of matrix,ম্যাট্রিক্স সমন্বয়
adjugate matrix,সমগোত্রীয় ম্যাট্রিক্স
admissible decision function,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
admissible hypothesis,গ্রহণযোগ্য অনুমান
aerodynamic force,এরোডাইনামিক বল
aerodynamics,বায়ুগতিবিদ্যা
affine geometry,সমজাতীয় জ্যামিতি
affine mapping,সমজাতীয় ম্যাপিং
affine transformation,একজাতীয় রূপান্তর
aggregating variables,সামগ্রিক পরিবর্তনশীল
algebra,"বীজগণিত, বীজগণিত, বীজগণিত, বীজগণিত"
algebraically closed,"seedy বন্ধ, বীজাণু"
algebraic equation,বীজগণিত সমীকরণ
algebraic expression,বীজগাণিতিক এক্সপ্রেশন
algebraic form,বীজগণিতের একজাতীয়তা
algebraic function,বীজগণিতের ফাংশন
algebraic geometry,বীজগণিত জ্যামিতি
algebraic multiplicity,বীজগণিত বহুত্ব
algebraic system,বীজগণিত ব্যবস্থা
all-integer problem,সমস্ত পূর্ণসংখ্যা সমস্যা
allocation problem,অ্যাসাইনমেন্ট সমস্যা ওয়াট প্রশ্ন
alphabetical notation,বর্ণানুক্রমিক স্বরলিপি
alphabetic character,বর্ণানুক্রমিক অক্ষর
alternate angle,বিকল্প কোণ
alternating form,বিকল্প সমজাতীয় বিকল্প ফর্ম
alternating group,বিকল্প গোষ্ঠী
alternating matrix,বিকল্প ম্যাট্রিক্স
alternating series,বিকল্প সিরিজ
alternative hypothesis,বিকল্প অনুমান
alternative optima,বিকল্প সর্বোত্তম
alternative outcome,বিকল্প ফলাফল
analog-to-digital converter,এনালগ-ডিজিট কনভার্টার
analogue computer,এনালগ কম্পিউটার
analysis,বিশ্লেষণ
analysis of covariance,সহভক্তি বিশ্লেষণ
analysis of enumeration data,গণনা-ডেটা বিশ্লেষণ
analysis of variance,বৈচিত্র্য বিশ্লেষণ
analytic geometry,বিশ্লেষণাত্মক জ্যামিতি
analytic function,বিশ্লেষণাত্মক ফাংশন
angle,কোণ
angle of contact,স্পর্শক কোণ
angle of deflection,বিচ্যুতি কোণ
angle of depression,বিষণ্নতা কোণ
angle of deviation,বিচ্যুতি কোণ
angle of diffraction,বিবর্তন কোণ
angle of elevation,উচ্চতা কোণ
angle of incidence,ঘটনার কোণ
angle of projection,অভিক্ষেপ কোণ
angle of reflection,প্রতিফলন কোণ
angle of refraction,প্রতিসরণ কোণ
angle of rotation,ঘূর্ণন কোণ
angle of total reflection,প্রতিফলনের পরম কোণ
angular acceleration,কৌণিক ত্বরণ
angular motion,কৌণিক বেগ
angular speed,কৌণিক গতি
angular velocity,কৌণিক বেগ
annulus,অনামিকা আঙুল
answer,উত্তর
anti – derivative,কাউন্টার ডেরিভেটিভ
antisymmetric function,আইসোমেট্রিক ফাংশন
applicable,"আচ্ছাদনযোগ্য, প্রযোজ্য, প্রযোজ্য"
application,আবেদনের আবেদন
applied dynamic programming,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
applied geometry,প্রয়োগ করা জ্যামিতি
applied mathematics,ফলিত গণিত
applied statistics,ফলিত পরিসংখ্যান
approximately,"প্রায়, প্রায়"
approximately continuous function,প্রায় একটানা ফাংশন
approximate method,"ম্যাক্রো পদ্ধতি, আনুমানিক পদ্ধতি"
approximate solution,আনুমানিক সমাধান
approximation problem,আনুমানিক সমস্যা
approximation property,আনুমানিক সম্পত্তি
aptitude test battery,বুদ্ধিমত্তার পরীক্ষা
Argand diagram,আর্গন ডায়াগ্রাম
arbitrarily chosen,স্বেচ্ছায়
arbitrary,"এলোমেলো, এলোমেলো"
arbitrary constant,নির্বিচারে ধ্রুবক
arbitrary element,বিনামূল্যে উপাদান
arbitrary point,নির্বিচারে পয়েন্ট
Archemedean law,আর্কিমিডের আইন
Archimedes principle,আর্কিমিডিসের আইন
arc length,"চাপ-দৈর্ঘ্য, চাপ-দৈর্ঘ্য"
arc of circle,বৃত্ত চাপ
arc sine distribution,ইনভার্স সাইন ডিস্ট্রিবিউশন
arc sine transformation,বিপরীত সাইন রূপান্তর
area,"এলাকা, এলাকা"
areal texture,আঞ্চলিক কনফিগারেশন
argument of complex number,একটি জটিল সংখ্যার কোণ
arithmetic mean,গাণিতিক গড়
arithmetic operation,ডিজিটাল অপারেশন
arithmetic unit,ডিজিটাল ইউনিট
arrangement,"কনফিগারেশন, বিন্যাস"
array,"অ্যারে, অ্যারে"
artificial satellite,কৃত্রিম উপগ্রহ
artificial variable,কৃত্রিম পরিবর্তনশীল
ascend,আরোহন করা
ascending,আরোহী
ascending order of magnitude,মাত্রার আরোহী ক্রম
ascending series,আরোহী গ্রেড
assembler language,সংযোজনকারী ভাষা
assignment problem,অ্যাসাইনমেন্ট সমস্যা অ্যাসাইনমেন্ট প্রশ্ন
associative law,সহযোগী নিয়ম
associative law of operators,অপারেটরদের সহযোগী নিয়ম
associative operation,সহযোগী অপারেশন
associativity,সাহচর্য
assumed mean,ধরে নেওয়া গড়
assumed probability distribution,অনুমান সম্ভাব্যতা বন্টন
assumption,"কল্পনা করা, স্বীকার করা"
astrology,জ্যোতিষশাস্ত্র
astronautical engineer,মহাকাশচারী প্রকৌশলী মহাকাশ প্রকৌশলী
astronomer,জ্যোতির্বিদ*
astronomical clock,জ্যোতির্বিদ্যা ঘড়ি
astronomy,জ্যোতির্বিদ্যা
asymmetrical curve,অপ্রতিসম বক্ররেখা
asymmetry,অসমতা
asymptote,অ্যাসিম্পোটিক
asymptotic,উত্তেজক
asymptotically efficient estimator,প্রগতিশীল অনুমানকারী
asymptotically unbiased estimator,বিপরীতমুখী পক্ষপাতমূলক অনুমানকারী
asymptotic behavior,বিপরীতমুখী আচরণ
asymptotic distribution function,আক্রমনাত্মক বিতরণ ফাংশন
asymptotic expansion,ঊর্ধ্বগামী বিস্তার
