Bengali,Assamese
অ্যাসিডয়েড,এচিড’ইড
বায়বীয় মাটি,ইঅ’লিয়ান মাটি
সমষ্টি,গোট খোৱা
সমষ্টি,সংগ্ৰহ
কৃষিবিদ্যা,কৃষি বিজ্ঞান
কৃষিবিদ্যা,কৃষি বিজ্ঞান
A- দিগন্ত,এ-দিগন্ত
আও-দিগন্ত,আও-দিগন্ত
আও-দিগন্ত,আও-দিগন্ত
মাটির বায়ু ক্ষমতা,মাটিৰ বায়ু ক্ষমতা
মাটির বায়ু উপাদান,মাটিৰ বায়ুৰ পৰিমাণ
এয়ার পিকনোমিটার,এয়াৰ পিকনোমিটাৰ
অ্যালিটিক মাটি,এলিটিক মাটি
পলিমাটি,জলজ মাটি
অ্যামফোলাইটয়েড,এম্ফোলাইট’ইড
অ্যানিয়ন,এনিয়ন
"আপাত নির্দিষ্ট মাধ্যাকর্ষণ আয়তনের ওজন বা বাল্ক নির্দিষ্ট মাধ্যাকর্ষণ,&quot;","আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
আরিস,আৰিছ
আশলার সূক্ষ্ম গাঁথনি,আছলাৰ মিহি শিলৰ কাম
আশলার রাজমিস্ত্রি,আছলাৰ শিলৰ কাম
অ্যাজোনাল মাটি,এজ’নেল মাটি
পেছনের অভিনেতা,পিঠিৰ অভিনেতা
পিছনের খিলান,পিছফালৰ খোলা
ব্যাক ব্যান্ড,বেক বেণ্ড
পিছনের ব্রাশ,পিছফালৰ ব্ৰাছ
ফিরে চেক,বেক চেক
পিছনে কাউন্টার,বেক কাউণ্টাৰ
পিছনে কাটা,পিঠি কাটি থকা
ব্যাক ড্রাফ্ট ড্যাম্পার,বেক ড্ৰাফ্ট ডেম্পাৰ
পিছনের ড্রেন,বেক ড্ৰেইন
ব্যাকড্রপ,বেক ড্ৰপ
ব্যাক ফিল,বেক ফিল
ব্যাক ফিললেট,পিছফালৰ ফিলেট
পিছনে ফ্ল্যাপ কবজা,বেক ফ্লেপ হিঞ্জ
পিছনে প্রবাহ সংযোগ,বেক ফ্ল&#39; সংযোগ
পিছনে প্রবাহ প্রতিরোধক,বেক ফ্ল’ প্ৰিভেণ্টাৰ
ব্যাক গেজ,বেক গেজ
পিছনে নর্দমা,পিছফালৰ নালা
পিছনের চুলা,পিছফালৰ অগ্নিকুণ্ড
ব্যাকিং,বেকিং
ব্যাকিং বোর্ড,বেকিং বৰ্ড
ফিরতি চাপ,পিঠিৰ চাপ
পিছনে প্রপ,বেক প্ৰপ
পিছনের দৃষ্টি,পিছফালৰ দৃষ্টি
পিঠের জল,পিছফালৰ পানী
বিভ্রান্ত,বেফেল
ব্যাগওয়ার্ক,বেগৱৰ্ক
ব্যালাস্ট,বেলেষ্ট
বল কাদামাটি,বল মাটি
বল শঙ্কু বাতা,বল কন ক্লেম্প
কাঁটাতার,কাঁইটীয়া তাঁৰ
বার কুকুর,বাৰ কুকুৰ
বার্জ বোর্ড,বাৰ্জ বৰ্ড
বেরিয়াম সালফেট পরীক্ষা,বেৰিয়াম ছালফেট পৰীক্ষা
ব্যারেজ,বেৰেজ
ব্যারেট,বেৰেট
বেস,ভেঁটি
বেস বিনিময়,ভিত্তি বিনিময়
বেস লাইন,ভিত্তি লাইন
বেসমেন্ট,বেছমেণ্ট
বেসমেন্ট প্রাচীর,বেছমেণ্টৰ দেৱাল
বেস প্লেট,বেচ প্লেট
"বেস প্লেট, নিয়মিত","বেচ প্লেট, নিয়ন্ত্ৰণযোগ্য"
বেস স্যাচুরেশন,ভিত্তি পৰিপূৰকতা
বেসয়েড,বেছ’ইড
ব্যাট,বেট
স্নান এবং WC,বাথ আৰু ডব্লিউ চি
ব্যাটার পেগ,বেটাৰ পেগ
ব্যাটার পিয়ার,বেটাৰ ঘাট
ব্যাটারের নিয়ম,বেটাৰৰ নিয়ম
বাল্ক (বাল্ক),Baulk (বালক)
বে,উপসাগৰ
বহনকারী,বাহক
ভারবহন ক্ষমতা,বহন ক্ষমতা
ভারবহন গাদা,বেয়াৰিং পাইল
ভারবহন স্তর,বহন স্তৰ
বিছানা,বিছনা
বেডিং প্লেন,বিচনাৰ বিমান
বেড জয়েন্ট,বিচনাৰ সংযোগ
বিছানা শিলা,বিচনাৰ শিল
শয়নকক্ষ,শোৱনি কোঠা
মোম,মৌমাখিৰ মোম
বেল বক্স,বেল বাকচ
বেলিং বালতি,বেলিং বাল্টি
বেলোফ্রাম,বেলোফ্ৰেম
বেঞ্চড ফাউন্ডেশন,বেঞ্চযুক্ত ভেটি
বেঞ্চিং,বেঞ্চিং কৰা
মাপকাঠি,বেঞ্চ মাৰ্ক
বেনিফিট খরচ বিশ্লেষণ,লাভৰ খৰচ বিশ্লেষণ
বারম,বাৰ্ম
বেভেলড ক্লোজার,বেভেলড বন্ধ
"বি-দিগন্ত,&quot;বি-","খ-দিগন্ত,&quot;খ-"
বিয়াট,বিয়াত
বাইন্ডার,বাইণ্ডাৰ
বাঁধাই উপাদান,বান্ধি ৰখা সামগ্ৰী
বায়োটের তত্ত্ব,বায়টৰ তত্ত্ব
বিটুমেন,বিটুমিন
কালো তুলার মাটি,ক’লা কপাহী মাটি
কালো পৃথিবী,ক&#39;লা পৃথিৱী
কালো টার্ফ মাটি,ক’লা টাৰ্ফ মাটি
ব্লেড,ব্লেড
ব্লাস্ট ফার্নেস স্ল্যাগ সিমেন্ট,ব্লাষ্ট ফাৰ্নেচ স্লেগ চিমেণ্ট
অবরুদ্ধ কাঠামো,ব্লকযুক্ত গঠন
বগি প্রতিরোধ,বগী প্ৰতিৰোধ
বগ-লোহা আকরিক,বোগ-লোহাৰ অক্সাইড
বন্ধন,বান্ধোন
বন্ডেড সদস্য,বণ্ডেড সদস্য
বন্ধন পোস্ট উত্তেজনা,বণ্ডেড পোষ্ট টেনচিং
বন্ড পাথর,বণ্ড ষ্টোন
আবদ্ধ জল,বান্ধি থোৱা পানী
বক্স নর্দমা,বক্স নালা
বন্ধনী,ব্ৰেচ
ইট-অন-এজ,ইটা-অন-এজ
লাগাম,লজ্জাজনক
উজ্জ্বলতা,উজ্জ্বলতা
বাদামী মাটি,বাদামী মাটি
বিল্ডিং,ভৱন
বিল্ডিং সার্ভেয়ার,বিল্ডিং জৰীপকাৰী
বাফার,বাফাৰ
বাফার বক্ররেখা,বাফাৰ বক্ৰ
বাফারিং,বাফাৰিং
বাফার ক্ষমতা,বাফাৰিং ক্ষমতা
বান্দর,বাণ্ডাৰ
বাট্রেস,বাট্ৰেছ
সি-দিগন্ত,গ-দিগন্ত
তারের,কেবল
তারের ছাঁচনির্মাণ,কেবল মল্ডিং
ক্যাবলিং,কেবলিং
কেবিন,কেবিন
কেবিন হুক,কেবিন হুক
মন্ত্রিসভা,কেবিনেট
ক্যাবল্টের পদত্যাগ,কেবল্টৰ চাকৰি এৰিছে
ক্যাফেটারিয়া,কেফেটেৰিয়া
খাঁচা,সঁজা
খাঁচা নির্মাণ,পিঞ্জৰা নিৰ্মাণ
কেইনের সূত্র,কয়িনৰ সূত্ৰ
কাইসন,কেইচন
ক্যাসন রোগ,কেইচন ৰোগ
ক্যাসন ফাউন্ডেশন,কেইচন ফাউণ্ডেচন
Caisson pile,কেইচন পাইল
চুনযুক্ত ইট,কেলকেয়াৰযুক্ত ইটা
চুনযুক্ত কাদামাটি,কেলকেয়াৰযুক্ত মাটি
চুনযুক্ত ভূত্বক,কেলকেয়াৰযুক্ত খোলা
ক্যালসিফিকেশন,কেলচিফিকেশন
ক্যালসিনেশন,কেলচিনেচন
ক্যালসিন,কেলচিন
ক্যালসাইট,কেলচাইট
ক্যালসিয়াম-অ্যালুমিনেট সিমেন্ট,কেলচিয়াম-এলুমিনেট চিমেণ্ট
ক্যালসিয়াম-সিলিকেট ইট,কেলচিয়াম-চিলিকেট ইটা
ক্যালসিয়াম-সিলিকেট হাইড্রেট,কেলচিয়াম-চিলিকেট হাইড্ৰেট
ক্যালিছে,কালিচে
ক্যালিফোর্নিয়া ভারবহন অনুপাত,কেলিফৰ্ণিয়া বেয়াৰিং ৰেচিঅ’
ক্যালিপার,কেলিপাৰ
ক্যালোরিমিটার,কেলৰিমিটাৰ
ক্যাম্বার,কেম্বাৰ
খাল,খাল
ক্যানোপি,কেনপি
ক্যান্টিলিভার ফুটিং,কেন্টিলিভাৰ ফুটিং
ক্যাপ,কেপ
ক্ষমতা,ক্ষমতা
আইল ট্র্যাকের ক্ষমতা,ail ট্ৰেকৰ ক্ষমতা
ক্যাপ তারের,কেপ কেবল
কৈশিকতা,কেপিলাৰিটি
কৈশিক বিরতি,কেপিলাৰী ব্ৰেক
কৈশিক প্রবাহ,কেপিলাৰী প্ৰবাহ
কৈশিক আর্দ্রতা বা কৈশিক জল,কেপিলাৰী আৰ্দ্ৰতা বা কেপিলাৰী পানী
কৈশিক ছিদ্র স্থান,কেপিলাৰী ছিদ্ৰ স্থান
কৈশিক ছিদ্র,কেপিলাৰী ছিদ্ৰতা
কৈশিক স্থান,কেপিলাৰী স্থান
ক্যাপচার বেগ,কেপচাৰ বেগ
কার্বনেশন,কাৰ্বনেচন
কার্বন কালো,কাৰ্বন ব্লেক
কাস্টবল অবাধ্য,Castble অবাধ্য
কাস্ট-ইন-প্লেস বা কাস্ট-ইন-সিটু,কাষ্ট-ইন-প্লেচ বা কাষ্ট-ইন-চিটু
কাস্ট-ইন-প্লেস গাদা,কাষ্ট-ইন-প্লেচ পাইল
ক্যাস্টর,কেষ্টাৰ
ঢালাই পাথর,ঢালাই শিল
প্রভাবক,অনুঘটক
ক্যাটেনা,কেটেনা
বিড়ালের মুখ,মেকুৰীৰ মুখ
বিড়ালের মাথা,মেকুৰীৰ মূৰ
ক্যাটান,কেটিয়ন
বিড়াল হাঁটা,মেকুৰী খোজ কাঢ়িব
গহ্বরের ক্ষতি,গহ্বৰৰ ক্ষতি
সেলাইট,চেলাইট
সেলুলার কংক্রিট,কোষীয় কংক্ৰিট
সেলুলার নির্মাণ,কোষীয় নিৰ্মাণ
সিমেন্ট,চিমেণ্ট
"সিমেন্ট, বিটুমিনাস","চিমেণ্ট, বিটুমিনাছ"
"সিমেন্ট, উচ্চ শক্তি","চিমেণ্ট, উচ্চ শক্তি"
"সিমেন্ট, জলবাহী","চিমেণ্ট, হাইড্ৰলিক"
"সিমেন্ট, কম তাপ","চিমেণ্ট, কম জুইত"
"সিমেন্ট, রাজমিস্ত্রি","চিমেণ্ট, শিলৰ কাম"
"সিমেন্ট, প্রাকৃতিক","চিমেণ্ট, প্ৰাকৃতিক"
"সিমেন্ট, পোর্টল্যান্ড","চিমেণ্ট, পৰ্টলেণ্ড"
"সিমেন্ট, পোর্টল্যান্ড ব্লাস্ট ফার্নেস স্ল্যাগ","চিমেণ্ট, পৰ্টলেণ্ড ব্লাষ্ট ফাৰ্নেচৰ স্লেগ"
"সিমেন্ট, পোর্টল্যান্ড পোজোলান","চিমেণ্ট, পৰ্টলেণ্ড প&#39;জ&#39;লান"
"সিমেন্ট, স্ল্যাগ","চিমেণ্ট, স্লেগ"
"সিমেন্ট, সালফেট প্রতিরোধী","চিমেণ্ট, ছালফেট প্ৰতিৰোধী"
"সিমেন্ট, সুপার সালফেটেড","চিমেণ্ট, ছুপাৰ ছালফেটেড"
"সিমেন্ট, সাদা","চিমেণ্ট, বগা"
সিমেন্ট-সমষ্টি অনুপাত,চিমেণ্ট-এগ্ৰিগেটৰ অনুপাত
সিমেন্ট সামগ্রী,চিমেণ্টৰ পৰিমাণ
সিমেন্ট জেল,চিমেণ্ট জেল
সিমেন্টের বন্দুক,চিমেণ্টৰ বন্দুক
