Assamese,Hindi
"১.এবাকাছ, ২. গণনা কৰি আছে","1.एबेकस, 2. गिनतारा"
অস্বাভাৱিক অন্ত,असामान्य समापन
ইন্টাৰচেপ্ট,अवरोधन
"১.নিৰপেক্ষ, ২. পৰম","1. निरपेक्ष, 2. परम"
নিৰপেক্ষ ঠিকনা,निरपेक्ष पता
নিৰপেক্ষ ঠিকনাযোগ্যতা,निरपेक्ष पताभिगमन
নিৰপেক্ষ এছেম্বলাৰ,निरपेक्ष कोडांतरक
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. निरपेक्ष कूट, 2. निरपेक्ष कोड"
নিৰপেক্ষ আদেশ,निरपेक्ष समादेश
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1.निरपेक्ष आंकडे, 2. निरपेक्ष डाटा"
নিৰপেক্ষ নিৰ্দেশনা,निरपेक्ष अनुदेश
নিৰপেক্ষ ধৰণ,निरपेक्ष विधा
নিৰপেক্ষ পথ,निरपेक्ष पथ
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. निरपेक्ष क्रमादेशन, 2. निरपेक्ष प्रोग्रामन"
বিমূৰ্ত শ্ৰেণী,अमूर्त वर्ग
বিমূৰ্ত তথ্যৰ ধৰণ,अमूर्त आंकड़ा प्रकार
বিমূৰ্ত মেচিন,अमूर्त मशीन
বিমূৰ্ত চিহ্ন,अमूर्त प्रतीक
বিমূৰ্ত বাক্যবিন্যাস,अमूर्त वाक्य विन्यास
গ্ৰহণযোগ্যতা পৰীক্ষা,स्वीकृति परीक्षण
প্ৰৱেশ প্ৰমাণীকৰণ,अभिगम प्रमाणन
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. अभिगम कूट, 2. अभिगम कोड"
প্ৰৱেশ নিয়ন্ত্ৰণ,अभिगम नियंत्रण
অভিগম স্কেনিং,अभिगम क्रमवीक्षण
আনুষংগিক বস্তু,सहयंत्र
হিচাপ-নিকাচ,लेखा
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. एकाउंट आई डी, 2. लेखा पहचान"
এক্যুলেটৰ,संचायक
"১/ সঠিকতা, ২. শুদ্ধতা","1. विशुद्धता, 2. यर्थाथता"
প্ৰৱেশাধিকাৰ,अभिगम
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,अभिगम नियंत्रण बाइट
প্ৰৱেশ সূচক,अभिगम सूचक
অভিগম কি&#39;,अभिगम कुंजी
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1.अभिगम आव्यूह, 2. अभिगम मैट्रिक्स"
অভিগম ধৰণ,अभिगम विधा
অভিগম বিশেষাধিকাৰসমূহ,अभिगम विशेषाधिकार
অভিগম সুৰক্ষা,अभिगम सुरक्षा
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. अभिगम परिसेवक, 2. अभिगम सर्वर"
প্ৰৱেশ সময়,अभिगम काल
স্বীকৃতি,अभिस्वीकृति
শব্দবিজ্ঞান,ध्वनिकी
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. परिवर्णी शब्द, 2. संक्षिप्त रूप, 3. लघु रूप"
কাৰ্য্য বাৰ্তা,क्रिया संदेश
সক্ৰিয়কৰণ,सक्रियण
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,सक्रिय सर्वर पृष्ठ
সক্ৰিয় সংস্কৰণ,सक्रिय वर्जन
অচক্ৰীয়,अचक्रीय
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. अचक्रीय आलेख, 2. अचक्रीय ग्राफ"
আদা কম্পিউটাৰ ভাষা,एडा कंप्यूटर भाषा
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. अनुकूलक, 2. अनुकूलित्र"
to sum),योग (करना)
যোগফল নথিপত্ৰ,योग संचिका
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. जोड़ संक्रिया, 2. योग संक्रिया"
adder,योजक
ঠিকনা,पता
ঠিকনা বাছ,पता बस
ঠিকনা নথিপত্ৰ,पता संचिका
ঠিকনা বিন্যাস,पता आरूप
ঠিকনা উৎপাদক,पता जनक
ঠিকনা ৰেখা,पता पंक्ति
ঠিকনা মেপিং,पता प्रतिचित्रण
ঠিকনা সূচক,पता संकेतक
ঠিকনা পঞ্জীয়ন,पता पंजी
ঠিকনা ভাঙি যোৱা,पता विघटन
ঠিকনা অনুবাদ,पता अनुवाद
"1. ঠিকনাযোগ্য স্মৃতিশক্তি, 2. ঠিকনাযোগ্য মেমৰি","1. पतायुक्त स्मृति, 2. पतायुक्त मेमोरी"
সম্বোধন কৰা,पताभिगमन
"১.পৰ্যাপ্ততাৰ মাপকাঠী, ২. পৰ্যাপ্ততাৰ মাপকাঠী","1. पर्याप्तता निकष, 2. पर्याप्तता कसौटी"
সংলগ্ন কৰা হৈছে,संलग्न
"1. ব্যৱস্থাপনা , 2. নিয়ন্ত্ৰণ","1. प्रबंधन, 2. नियंत्रण"
"১.পৰিচালক, ২. নিয়ন্ত্ৰক","1. प्रबंधक, 2. नियंत्रक"
এডোব এক্ৰ&#39;বেট,ऐडोब एक्रोबेट
এডোব ফটোশ্বপ,ऐडोब फोटोशोप
ABAP (উন্নত ব্যৱসায়িক প্ৰগ্ৰেমিং),ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन)
"1. উন্নত তথ্য, 2. উন্নত তথ্য","1. उन्नत आंकड़ा, 2. उन्नत डाटा"
উন্নত তথ্য ব্যৱস্থা,उन्नत सूचना तंत्र
উন্নত প্ৰযুক্তি (AT),उन्नत प्रौद्योगिकी (ए टी)
কাৰ্য কৰা,कर्मक
একত্ৰীকৰণ,समुच्चयन
বায়ুমণ্ডলীয় কম্পিউটাৰ ব্যৱস্থা,विमानवाहित कंप्यूटर तंत्र
aldus পৃষ্ঠা-নিৰ্মাণ,एल्डस पेज-मेक
সতৰ্কবাণী বাকচ,सचेत पेटी
algol (কম্পিউটাৰ ভাষা),ऐल्गॉल (कंप्यूटर भाषा)
"1. এলগৰিদম , 2. এলগৰিদম","1.  एल्गोरिथ्म, 2. कलन विधि"
"১.এলগৰিদম বিশ্লেষণ, ২. এলগৰিদম বিশ্লেষণ","1.  एल्गोरिथ्म विश्लेषण, 2. कलन विधि विश्लेषण"
এলগৰিদম দক্ষতা,एल्गोरिथ्म दक्षता
"১.ইলিয়াছ, ২. ডাকনাম, ৩. aka","1. एलिआस, 2. उपनाम, 3. उर्फ"
প্ৰান্তিককৰণ,संरेखण
"১.আবণ্টন, ২. আবণ্টন","1. आवंटन, 2. नियतन"
"১.বৰ্ণানুক্ৰমিক, ২. বৰ্ণানুক্ৰমিক ক্ৰম","1.अक्षरात्मक, 2. वर्णानुक्रम"
আলফানিউমেৰিক,अक्षरांकीय
"1. আলফানিউমেৰিক কিবৰ্ড ,2. আলফানিউমেৰিক কিবৰ্ড","1.अक्षरांकीय कुंजीपटल, 2. अक्षराकीय की-बोर्ड"
আলফা-পৰীক্ষণ (১ম স্তৰৰ পৰীক্ষা),अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण)
"1. আলফা সংস্কৰণ, 2. আলফা ৰূপ","1. अल्फा वर्जन, 2. अल्फा रूप"
alt কি&#39;,आल्ट कुंजी
আলতাভিস্তা,आल्टाविस्टा
বহুগুণতা,अनेकार्थकता
অস্পষ্ট ব্যাকৰণ,संदिग्ध व्याकरण
আমেৰিকান নেচনেল ষ্টেণ্ডিজ ইনষ্টিটিউট (ANSI),अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.)
আমেৰিকান ষ্টেণ্ডাৰ্ড কাট (ascii),अमेरिकी मानक कट (आस्की)
"1. অনুৰূপ, ২. এনালগ","1. अनुरुप, 2. एनालॉग"
"১.এনালগ কম্পিউটাৰ, ২.এনালগ কম্পিউটাৰ","1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर"
"1. এনালগ ডিভাইচ, 2. এনালগ ডিভাইচ","1. अनुरुप युक्ति, 2. एनालॉग डिवाइस"
