Tamil,Punjabi
அபேலி குழு,ਅਬੇਲੀ ਸਮੂਹ
அபேலி குழு,ਅਬੇਲੀ ਸਮੂਹ
கை,ਹੱਥ
"முழுமையான, முழுமையான, நிலையான, துல்லியமான","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
முழுமையான ஒருங்கிணைப்பு,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
முழுமையான பிழை,ਪੂਰਨ ਗਲਤੀ
உச்ச உச்ச,ਪਰਮ ਸਰਵਉੱਚ
முற்றிலும் குறைந்த,ਸਭ ਤੋਂ ਘੱਟ
துல்லியமான மதிப்பு,ਸਹੀ ਮੁੱਲ
முழுமையான வேகம்,ਪੂਰਨ ਗਤੀ
சுருக்க இயற்கணிதம்,ਸਾਰ ਅਲਜਬਰਾ
சுருக்க குழு கோட்பாடு,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
முடுக்கம்,ਪ੍ਰਵੇਗ
ஈர்ப்பு முடுக்கம்,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
ஏற்றுக்கொள்ளக்கூடிய வளாகம்,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
சரியான நம்பகத்தன்மை நிலை,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
ஏற்பு மாதிரி,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
திரட்டப்பட்ட பிழை,ਸੰਚਿਤ ਗਲਤੀ
துல்லியம்,ਸ਼ੁੱਧਤਾ
பயன்படுத்தப்படும் சக்தி,ਲਾਗੂ ਫੋਰਸ
"செயல், செயல்","ਕਾਰਵਾਈ, ਕੰਮ"
செயல் மற்றும் எதிர்வினை,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
காப்பீட்டு அறிவியல்,ਬੀਮਾ ਵਿਗਿਆਨ
கடுமையான முக்கோணம்,ਤੀਬਰ ਤਿਕੋਣ
அசைக்ளிக்,acyclic
மொத்தத்தில்,ਸੰਪੇਕਸ਼ਤ
சேர்ப்பான்,ਜੋੜਨ ਵਾਲਾ
"தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)","ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)"
யோகா சூத்திரம்,ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ
கலப்பு எண்களின் கூட்டுத்தொகை,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
செயல்பாடுகளின் கூட்டுத்தொகை,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
மெட்ரிக்குகளின் கூட்டுத்தொகை,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
