Marathi,Gujarati
एसी समतुल्य सर्किट,એસી સમકક્ષ સર્કિટ
एनालॉग ते अंकीय कनवर्टर,આંકડાકીય કન્વર્ટર માટે એનાલોગ
पूर्ण शून्य,સંપૂર્ણ શૂન્ય
शोषण गुणांक,શોષણ ગુણાંક
शोषण स्पेक्ट्रम,શોષણ સ્પેક્ટ્રમ
रिसेप्टर अणू,રીસેપ્ટર અણુ
पर्यायी वर्तमान जोडणी,વૈકલ્પિક વર્તમાન જોડાણ
इलेक्ट्रॉन कापणी,ઇલેક્ટ્રોન લણણી
भोक संचयन,છિદ્ર સંગ્રહ
सक्रियता ऊर्जा,સક્રિયકરણ ઊર્જા
सक्रिय अॅम्प्लीफायर,સક્રિય એમ્પ્લીફાયર
सक्रिय डायोड सर्किट,સક્રિય ડાયોડ સર્કિટ
सक्रिय फिल्टर,સક્રિય ફિલ્ટર
सक्रिय उच्च वारंवारता पर्केट फिल्टर,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
सक्रिय भार,સક્રિય લોડ
सक्रिय कमी वारंवारता पार्स फिल्टर,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
सक्रिय क्षेत्र,સક્રિય વિસ્તાર
अनुकूली इलेक्ट्रॉनिक्स,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
जोडणारा,ઉમેરનાર
समायोज्य बँड विस्तार,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
प्रवेश,પ્રવેશ
एरियल,એરિયલ
pep वारंवारता,pep આવર્તન
एअर कंडिशनर,એર કન્ડીશનર
संरेखन,ગોઠવણી
अल्गोरिदम,અલ્ગોરિધમ
सर्व पास फिल्टर,બધા પાસ ફિલ્ટર
मिश्र धातु जंक्शन,એલોય જંકશન
क्षीणन,એટેન્યુએશન
पर्यायी प्रवाह,વૈકલ્પિક પ્રવાહ
वातावरणीय तापमान,આસપાસનું તાપમાન
द्विध्रुवीय,દ્વિધ્રુવી
प्रवर्धन,એમ્પ્લીફિકેશન
अॅम्प्लिफायर,એમ્પ્લીફાયર
एम्पलीफायर कार्यक्षमता,એમ્પ્લીફાયર કાર્યક્ષમતા
परिमाण,પરિમાણો
मोठेपणा क्षीणन,કંપનવિસ્તાર એટેન્યુએશન
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
मोठेपणा मॉड्यूलेशन,કંપનવિસ્તાર મોડ્યુલેશન
मोठेपणा मॉड्युलेटर,કંપનવિસ્તાર મોડ્યુલેટર
अँग्स्ट्रोम युनिट,એંગસ્ટ્રોમ એકમ
अॅनालॉग सर्किट,એનાલોગ સર્કિટ
अॅनालॉग संगणक,એનાલોગ કમ્પ્યુટર
अॅनालॉग फिल्टर,એનાલોગ ફિલ્ટર
अॅनालॉग मल्टीमीटर,એનાલોગ મલ્ટિમીટર
अॅनालॉग स्विच,એનાલોગ સ્વીચ
आणि गेट,અને દરવાજો
कोनीय वारंवारता,કોણીય આવર્તન
"anion, anion","anion, anion"
एनीलिंग तापमान,એનિલિંગ તાપમાન
एनोड,એનોડ
एनोड अॅम्प्लिफायर,એનોડ એમ્પ્લીફાયર
anodyne,anodyne
अँटेना,એન્ટેના
अँटेना घटक,એન્ટેના ઘટક
विरोधी परावर्तक कोटिंग,વિરોધી પ્રતિબિંબીત કોટિંગ
अँटिलॉगिन अॅम्प्लिफायर,એન્ટિલોગિન એમ્પ્લીફાયર
अँटीरेझोनंट सर्किट,પ્રતિરોધક સર્કિટ
द्वारक काळ,દ્વારક સમયગાળો
आभासी शक्ती,વર્ચ્યુઅલ પાવર
वायर कनेक्शन,વાયર કનેક્શન
अंदाजे व्होल्टेज वाढ,અંદાજિત વોલ્ટેજ ગેઇન
आर्मस्ट्राँग मॉड्युलेटर,આર્મસ્ટ્રોંગ મોડ્યુલેટર
अँटेना अॅरे,એન્ટેના એરે
"आकार गुणोत्तर, गुणोत्तर","કદ ગુણોત્તર, પાસા ગુણોત્તર"
