Marathi,Telugu
Uptement,తగ్గింపు
संक्षेप,సంక్షిప్తీకరణ
अपहरण,అపహరణ
अबाधित,Abeyance
क्षमता,సామర్థ్యం
अब इनिशिओ,అబ్ ఇనిషియో
सक्षम,సామర్థ్యం
असामान्य,అసాధారణ
निर्मूलन,రద్దు
रद्दबातल पोस्ट,నిర్మూలన పోస్ట్
वर दिल्याप्रमाणे,పైన పేర్కొన్నారు
वर उद्धृत,పైన కోట్ చేయబడింది
वरील म्हणाले,పైన చెప్పారు
अनुपस्थिती,లేకపోవడం
अनुपस्थित,హాజరుకాని
अनुपस्थिति,హాజరుకానితనం
अनुपस्थित विधान,హాజరుకాని ప్రకటన
परिपूर्ण,సంపూర్ణ
परिपूर्ण मक्तेदारी,సంపూర్ణ గుత్తాధిపత్యం
परिपूर्ण मालकी,సంపూర్ణ యాజమాన్యం
शोषण,శోషణ
गोषवारा,నైరూప్య
अमूर्त स्टेटमेंट,అబ్స్ట్రాక్ట్ స్టేట్మెంట్
बेशुद्ध,అసంబద్ధం
विपुलता,సమృద్ధి
शक्तीचा गैरवापर,అధికార దుర్వినియోగం
अपमानास्पद भाषा,దుర్వినియోగ భాష
शैक्षणिक,విద్యావేత్త
शैक्षणिक चर्चा,విద్యా చర్చ
शैक्षणिक रजा,విద్యా సెలవు
शैक्षणिक पात्रता,విద్యా అర్హత
शैक्षणिक नोंद,విద్యా రికార్డు
प्रवेश,ACCEDE
स्वीकारा,అంగీకరించండి
स्वीकृती,అంగీకారం
कार्यालय स्वीकारणे,కార్యాలయం అంగీకారం
निविदा स्वीकारणे,టెండర్ అంగీకారం
प्रवेश,యాక్సెస్
प्रवेश,ప్రవేశం
Ory क्सेसरी,అనుబంధ
अपघात,ప్రమాదం
सहनशीलता,అలవాటు
निवास,వసతి
सोबत,తోడు
करार,ఒప్పందం
अनुयायी,అనుగుణంగా
त्यानुसार,దీని ప్రకారం
खाते,ఖాతా
उत्तरदायित्व,జవాబుదారీతనం
जबाबदार,జవాబుదారీతనం
अकाउंटन्सी,అకౌంటెన్సీ
अकाउंटंट,అకౌంటెంట్
साठी खाते,ఖాతా
खाते डोके,ఖాతా హెడ్
जमा लाभ,సేకరించిన ప్రయోజనం
जमा पेन्शन,పెన్షన్ పెన్షన్
संचय,చేరడం
अचूकता,ఖచ్చితత్వం
अचूक,ఖచ్చితమైనది
आरोप,నిందించండి
आरोपी,ఆరోపణలు
यश,సాధన
पोचपावती,గుర్తింపు
पावती देय,రసీదు గడువు
ओळखी,పరిచయము
संपादन,సముపార్జన
शोध,సముపార్జన
कायदा,చట్టం
अभिनय भत्ता,నటన భత్యం
क्रिया,చర్య
कृती योजना,కార్య ప్రణాళిక
सक्रिय,క్రియాశీల
सक्रियपणे,చురుకుగా
कार्यकर्ता,కార్యకర్త
देवाची करणी,దైవఘటన
गैरवर्तन कायदा,దుష్ప్రవర్తన చర్య
कमिशनचे कार्य आणि वगळणे,కమీషన్ మరియు కమీషన్
वास्तविक,అసలు
वास्तविक,వాస్తవాలు
रुपांतर,అనుసరణ
या व्यतिरिक्त,అదనంగా
अतिरिक्त शुल्क,అదనపు ఛార్జ్
अतिरिक्त निधी,అదనపు ఫండ్
अतिरिक्त अनुदान,అదనపు గ్రాంట్
अतिरिक्त माहिती,అదనపు సమాచారం
अतिरिक्त वेतन,అదనపు వేతనం
जोड आणि बदल,అదనంగా మరియు మార్పు
पत्ता,చిరునామా
पत्ता,చిరునామా
स्वागताचा पत्ता,స్వాగత చిరునామా
पुरेसे,తగినంత
चे पालन करा,కట్టుబడి
अ‍ॅड हॉक,తాత్కాలిక హాక్
तदर्थ दावा,తాత్కాలిక దావా
तदर्थ समिती,తాత్కాలిక కమిటీ
तदर्थ वाढ,తాత్కాలిక పెరుగుదల
तदर्थ देयक,తాత్కాలిక చెల్లింపు
समीप,ప్రక్కనే
शेजारी (= संमिश्र),ప్రక్కనే (= పరస్పర)
तहकूब,వాయిదా
तहकूब गती,వాయిదా చలన
सहभाग,అనుబంధం
न्यायाधीश,తీర్పు
निर्णय,తీర్పు
न्यायाधीश,న్యాయాధికారి
समायोजन,సర్దుబాటు
प्रशासकीय,నిర్వహించండి
शपथ प्रशासित करा,ప్రమాణం చేయండి
प्रशासन,పరిపాలన
न्याय प्रशासन,న్యాయం యొక్క పరిపాలన
प्रशासकीय,పరిపాలనా
प्रशासकीय कारवाई,పరిపాలనా చర్య
प्रशासकीय मूल्यांकन,అడ్మినిస్ట్రేటివ్ అప్రైసల్
प्रशासकीय मान्यता,పరిపాలనా ఆమోదం
प्रशासकीय अधिकार,పరిపాలనా అధికారం
प्रशासकीय नियंत्रण,పరిపాలనా నియంత్రణ
प्रशासकीय निर्णय,పరిపాలనా నిర్ణయం
प्रशासकीय विभाग,పరిపాలనా విభాగం
प्रशासकीय प्रमुख,అడ్మినిస్ట్రేటివ్ హెడ్
प्रशासकीय मुख्यालय,పరిపాలనా ప్రధాన కార్యాలయం
प्रशासकीय उपाय,పరిపాలనా చర్యలు
प्रशासकीय शक्ती,పరిపాలనా శక్తి
प्रशासकीय मंजुरी,పరిపాలనా అనుమతి
प्रशासकीय तंत्र,పరిపాలనా సాంకేతికత
प्रशासकीय न्यायाधिकरण,అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్
प्रवेशयोग्यता,ప్రవేశం
स्वीकार्य खर्च,ఆమోదయోగ్యమైన వ్యయం
कबूल करा,అంగీకరించండి
प्रवेश कार्ड,అడ్మిట్ కార్డ్
दाखल,అంగీకరించారు
सूचना,సలహా
दत्तक,దత్తత తీసుకున్న వ్యక్తి
दत्तक,దత్తత
दत्तक,దత్తత
प्रौढ,వయోజన
भेसळ,కల్తీ
व्यभिचार,వ్యభిచారం
प्रौढ मताधिकार,వయోజన ఫ్రాంచైజ్
अ‍ॅड व्हॅलोरम ड्यूटी,ప్రకటన విలువ
प्रगती,అడ్వాన్స్
अ‍ॅडव्हान्स बुकिंग,అడ్వాన్స్ బుకింగ్
आगाऊ प्रत,ముందస్తు కాపీ
आगाऊ वाढ,ముందస్తు పెరుగుదల
