Gujarati,Kannada
વેસ્ટમિન્સ્ટરના એબી,ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ
ત્યાગી,ವ್ಯಭಿಚಾರ
ગુલામી નાબૂદી,ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ
એબોરિજિનલ,ಮೂಲನಿವಾಸಿಗಳು
અબ્રાહમ યુગ,ಅಬ್ರಹಾಂ ಯುಗ
ગેરહાજર મકાનમાલિકો,ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು
એકેડમી,ಅಕಾಡೆಮಿ
અકરા કોન્ફરન્સ,ಅಕ್ರಾ ಸಮ್ಮೇಳನ
સંસાધનો,ಸಂಚಯಗಳು
સંવર્ધન,ಸಂಸ್ಕಾರ
એસેલડામા,ಅಸೆಲ್ಡಾಮಾ
અચેઅન (=અચિયન),ಅಚೆಯನ್ (=ಅಚಿಯನ್)
આચિયન લીગ (=એચિયન લીગ),ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್)
એક્રોપોલિસ,ಆಕ್ರೊಪೊಲಿಸ್
એક્ટા દીર્ના,ಆಕ್ಟಾ ಡೈರ್ನಾ
એક્ટા સેનાટસ,ಆಕ್ಟಾ ಸೆನಾಟಸ್
એક્ટ એડિશનલ,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ)
પ્રાપ્ત કરનારનું કાર્ય,ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ
સમાધાનનો અધિનિયમ,ವಸಾಹತು ಕಾಯಿದೆ
જાહેરાત કરાર સીલ,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ
અદુલ્લામાઈટસ,ಅಡುಲಮೈಟ್ಸ್
વિરોધી,ಎದುರಾಳಿ
વિરોધી,ಎದುರಾಳಿ
એઓન,ಏಯಾನ್
એરેરિયમ,ಏರೋರಿಯಮ್
હવાઈ યુદ્ધ,ವೈಮಾನಿಕ ಯುದ್ಧ
એટોલિયન લીગ,ಏಟೋಲಿಯನ್ ಲೀಗ್
ઉંમર,ವಯಸ್ಸು
વૃદ્ધત્વ (=વૃદ્ધત્વ),ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ)
વૃદ્ધત્વ પ્રક્રિયા,ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ
અગેલાઈ,ಅಗೆಲೈ
શૌર્યની ઉંમર,ಅಶ್ವದಳದ ವಯಸ್ಸು
જ્ઞાનની ઉંમર,ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು
પેરિકલ્સની ઉંમર,ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು
કારણની ઉંમર,ಕಾರಣದ ವಯಸ್ಸು
કૃષિવાદ,ಕೃಷಿಧರ್ಮ
કૃષિ આંદોલન,ಕೃಷಿ ಚಳುವಳಿ
એલ્બિયન,ಅಲ್ಬಿಯಾನ್
આલ્બમ,ಆಲ್ಬಮ್
એલ્ડરમેન,ಆಲ್ಡರ್ಮನ್
મોહક શસ્ત્રો,ಸೂಚಿಸುವ ತೋಳುಗಳು
સૌમ્યતા,ಸೌಹಾರ್ದತೆ
એમ્ફિક્ટિઓનિક કાઉન્સિલ,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್
એમ્ફિક્ટિઓનિક લીગ,ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್
એમ્ફીથિયેટર,ಆಂಫಿಥಿಯೇಟರ್
અમરી નલ જૂથ (માટીના વાસણો),ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ)
અનાક્રોનિઝમ,ಅನಾಕ್ರೊನಿಸಂ
એનાક્રોનિસ્ટિક,ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್
પૂર્વજ,ಪೂರ್ವಜ
પૂર્વજની પૂજા,ಪೂರ್ವಜರ ಆರಾಧನೆ
વંશ,ಪೂರ್ವಜರು
વંશ,ಪೂರ್ವಜರು
વંશ,ಪೂರ್ವಜರು
વંશ,ಪೂರ್ವಜರು
પ્રાચીન શાસન,ಪ್ರಾಚೀನ ಆಡಳಿತ
પ્રાચીન,ಪ್ರಾಚೀನ
પ્રાચીન લોકગીત,ಪ್ರಾಚೀನ ಲಾವಣಿ
પ્રાચીન માન્યતા,ಪ್ರಾಚೀನ ನಂಬಿಕೆ
પ્રાચીન રિવાજ,ಪ್ರಾಚೀನ ಪದ್ಧತಿ
પ્રાચીન ઇતિહાસ,ಪುರಾತನ ಇತಿಹಾಸ
પ્રાચીન સ્મારકો,ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು
ટુચકો,ಉಪಾಖ್ಯಾನ
એન્જેલોટ,ಏಂಜೆಲೋಟ್
એન્જલસ,ಏಂಜೆಲಸ್
એન્જેવિન (=એન્જેવિન),ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್)
ખૂણો,ಕೋನಗಳು
એંગ્લિકન,ಆಂಗ್ಲಿಕನ್
એંગ્લિકન કોમ્યુનિયન,ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್
અંગ્રેજવાદ,ಆಂಗ್ಲಿಕನಿಸಂ
એંગ્લો-ફોબ,ಆಂಗ್ಲೋ-ಫೋಬ್
એંગ્લો-ફોબિયા,ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ
એંગ્લો-સેક્સન,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್
એંગ્લો-સેક્સોનિઝમ,ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ
એનાલિસ્ટ,ಅನಾಲಿಸ್ಟ್
ઇતિહાસ,ಆನಲ್ಸ್
જોડાણ,ಅನುಬಂಧ
એન્ટિ-બેલમ,ಆಂಟೆ-ಬೆಲ್ಲಮ್
તારીખ પહેલાં,ಹಿಂದಿನ ದಿನಾಂಕ
ક્લેરિકલિઝમ વિરોધી,ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ
કારકુની વિરોધી કાયદો,ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ
પ્રાચીનકાળ,ಪ್ರಾಚೀನತೆ
વિરોધી ભાડા,ಬಾಡಿಗೆ ವಿರೋಧಿ
વિરોધી ભાડા,ಬಾಡಿಗೆ ವಿರೋಧಿ
વિરોધી સેમિટિઝમ,ಯೆಹೂದ್ಯ ವಿರೋಧಿ
એન્ઝેક,ಅಂಜಾಕ್
અપેલા,ಅಪೆಲ್ಲಾ
અરાલુ,ಅರಳು
આર્ક બિશપ,ಆರ್ಚ್ ಬಿಷಪ್
કમાન ડચી,ಆರ್ಚ್ ಡಚಿ
આર્ક ડ્યુક,ಆರ್ಚ್ ಡ್ಯೂಕ್
આર્કાઇફ (=આર્કાઇવલ સંગ્રહ),ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ)
આર્કિપીસ્કોપેટ,ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್
કુલીન વર્ગ,ಶ್ರೀಮಂತವರ್ಗ
કુલીન,ಶ್ರೀಮಂತ
કુલીન સ્નોબરી,ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ
એરિસ્ટોટેલિયન,ಅರಿಸ್ಟಾಟಲ್
આર્માડા,ನೌಕಾಪಡೆ
આર્મડા (=ધ સ્પેનિશ આર્મડા),ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ)
આર્મોરિસ્ટ (=આર્મરિસ્ટ),ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ)
બખ્તર (=બખ્તર),ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ)
આર્મરિસ્ટ,ಶಸ್ತ್ರಾಗಾರ
આર્યન,ಆರ್ಯನ್
આર્યન,ಆರ್ಯನ್
અસ્કરી,ಅಸ್ಕರಿ
સોંપણી,ನಿಯೋಜಿಸಿ
સહાય કરો,ಅಸೈಜ್ ಮಾಡಿ
સહાય કરો,ಅಸೈಜ್ ಮಾಡಿ
સહાય કરો,ಅಸೈಜ್ ಮಾಡಿ
આર્મ્સ એક્ટની સહાય,ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್
ડેરેન પ્રેઝન્ટમેન્ટની સહાય,ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ
મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય,ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್
નવલકથા ડીસીસીનની સહાય,ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್
અત્યાચાર,ದೌರ್ಜನ್ಯ
હુમલો,ದಾಳಿ
ઓલિક કાઉન્સિલ,ಆಲಿಕ್ ಕೌನ್ಸಿಲ್
દેવીની કુહાડી (=દેવીની કુહાડી),ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ)
એક્સિસ (=ધ રોમ-બર્લિન-ટોક્યો એક્સિસ),ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್)
બેબીલોન,ಬ್ಯಾಬಿಲೋನ್
બેબીલોનીયન કેદ (=બેબીલોનીશ કેદ),ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ)
બચનલ ભક્ત,ಬಚ್ಚನಾಳ ಭಕ್ತ
બચ્ચનલિયા,ಬಚ್ಚನಾಲಿಯಾ
સ્નાતક,ಪದವಿ
બગદાદ કરાર,ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ
બાલ્કન લીગ,ಬಾಲ್ಕನ್ ಲೀಗ್
બાલ્કન કરાર,ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ
