Punjabi,Kannada
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ
ਅਧੂਰਾ,ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ
ਗਰਭਪਾਤ,ಗರ್ಭಪಾತ
ਸੰਪੂਰਨ ਬੂਟੀ,ಸಂಪೂರ್ಣ ಕಳೆ
ਸਮਾਈ,ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್
ਸਮਾਈ,ಹೀರುವಿಕೆ
ਅਬੀਸਨੀਅਨ ਰਾਈ,ಪ್ರಪಾತದ ಸಾಸಿವೆ
ਅਚੰਭੇ,ಉಜ್ಜೆ
ਰਾਜਕੁਮਾਰੀ,ಉಪನಾಮದ
ਲਹਿਜ਼ਾ (ਸੈੱਲ),ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ
ਸਹਾਇਕ,ಪರಿಕರ
ਅਨੁਕੂਲਤਾ,ಒಗ್ಗೂಡಿಸುವಿಕೆ
ਇਕੱਠਾ,ಸಂಗ್ರಹಣೆ
ਸ਼ੁੱਧਤਾ,ನಿಖರತೆ
ਏਸਰਵੂਲਸ,ಕಸಚೂಕು
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,ಸಮಗ್ರೀಕರಣ
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,ಆಮ್ಲೀಕರಣ
ਐਸਿਡਮੀਟਰ,ಆಚಿಮೀಟರ್ ಚೀಟಿ
ਐਸਿਡਿਟੀ,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
ਐਸਿਡੋਫਿਲਿਕ,ಸಿಹಿನೀರಿನ
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,ಆಮ್ಲೀಯ
ਐਸਿਡੁਰਿਕ,ಸಂಚೇಮದ
ਐਕੁਇਫਰ,ಜಲಚರಗಳು
ਗ੍ਰਹਿਣ,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
ਏਕੜ,ಎಕರೆ
ਰਕਬੇ,ಎಕರೆ
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು
ਐਕਰੋਪੇਟਲ,ಖುಷಿಯ
ਐਸ਼੍ਰੋਸੋਮ,ಸುಣ್ಣ
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,ಅಂಧ
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,ಸಕ್ರಿಯ ಮೂಲ ವಲಯ
ਗੰਭੀਰ,ತೀವ್ರ
ਅਨੁਕੂਲਤਾ,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
ਅਨੁਕੂਲਤਾ,ರೂಪಾಂತರ
ਚਿਪਕਿਆ,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
ADPIPOSE,ಅಡಿ
ਵਿਵਸਥ ਸਮੀਕਰਨ,ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ
ਅਡੋਬ ਮਿੱਟੀ,ಮಣ್ಣು
ਮਨਜ਼ੂਰ,ವ್ಯಭಿಚಾರಮಾಡುವ
ਸਾਹਸੀ,ಸಾಹಸದ
ਏਸੀਡਿਓਸਪੋਰ,ಅಕ್ಸಿಯೊಸ್ಪೋರ್
ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ,ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ
ਏਓਲੀਅਨ,ಅಯೋಲಿಯನ್
Aeate,ಗಾಳಿಗೊಡ್ಡು
ਏਰੀਅਲ,ವೈಮಾನಿಕ
ਐਰੋਮੀਟਰ,ವಾಯುಮಾಪಕ
ਐਰੋਸੋਲ,ವಾಯುಪಾವತಿ
ਖਰਾਸ਼,ಅಸ್ವಸ್ಥತೆ
ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ),ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ)
ਕਥਾ,ಸಂಯಮ
ਅੰਦੋਲਨ,ಆಂದೋಲನ
ਆਕਮਾਰਕ,ಅಣಕೇಡು
ਅਗਰਾਰੀਅਨ,ಕೃಷಿ
ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ,ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ
ਖੇਤੀਬਾੜੀ ਕਿਰਤ,ಕೃಷಿ ದುಡಿಮೆ
