Gujarati,Tamil
ગર્ભપાત,கருக்கலைப்பு
ગર્ભપાત સમય,டைமரை நிறுத்துங்கள்
અબાધિત સંબોધન,முழுமையான முகவரி
પૂર્ણ સંબોધન,முழுமையான முகவரி
સંપૂર્ણ સંમેલન,முழுமையான அசெம்பிளர்
પૂર્ણ સંહિતા,முழுமையான குறியீடு
પૂર્ણ સંહિતા,முழுமையான குறியீட்டு முறை
પૂર્ણ આદેશ,முழுமையான கட்டளை
સંપૂર્ણ સંકલન,முழுமையான ஒருங்கிணைப்பு
અબાધિત આંકડા,முழுமையான தரவு
નિરપેક્ષ ભૂલ,முழுமையான பிழை
પૂર્ણ અભિવ્યક્તિ,முழுமையான வெளிப்பாடு
અબાધિત સૂચના,முழுமையான அறிவுறுத்தல்
અબાધિત લોડર,முழுமையான ஏற்றி
સંપૂર્ણ,முழுமையான வரிசை
પૂર્ણ કાર્યક્રમ,முழுமையான நிரலாக்க
અબાધિત મુદત,முழுமையான சொல்
અબાધિત મૂલ્ય,துல்லியமான மதிப்பு
અબાધિત વેક્ટર,முழுமையான திசையன்
નિષ્ક્રિય,சுருக்கம்
યોગ્યતા,சுருக்கம்
સાર -સારાંશ,சுருக்க சின்னம்
પ્રવેગશ ગાળો,முடுக்கம் காலம்
પ્રવેગકોનો સમય,முடுக்கம் நேரம்
ઉચ્ચારણ,உச்சரிப்பு
સ્વીકૃતિ કસોટી,ஏற்பு சோதனை
પ્રવેશ,அணுகல்
પ્રવેશ હાથ,அணுகல் கை
પ્રવેશ -વ્યવસ્થા,அணுகல் ஏற்பாடு
પ્રવેશ સત્તાવાર,அணுகல் அதிகாரம்
પ્રવેશ -ખર્ચ,அணுகல் கட்டணம்
પ્રવેશ -વર્ગ,அணுகல் வகுப்பு
પ્રવેશ -આધાર વ્યવસ્થાપન,தரவு அடிப்படை நிர்வாகத்தை அணுகவும்
પર્યાવરણ,அணுகல் சூழல்
પ્રવેશ અંતર,அணுகல் இடைவெளி
પ્રવેશ -સૂચિ,அணுகல் அட்டவணை
પ્રવેશ -રેખા,அணுகல் வரி
પ્રવેશ -પદ્ધતિ,அணுகல் பொறிமுறை
પ્રવેશ પદ્ધતિ,அணுகல் முறை
પ્રવેશ -પદ્ધતિ,அணுகல் முறை வழக்கமான
પ્રવેશ -પદ્ધતિ,அணுகல் பயன்முறை
પ્રવેશ -હક,அணுகல் உரிமை
પ્રવેશ -સ્કેન,அணுகல் ஸ்கேன்
પ્રવેશ સમય,அணுகல் நேரம்
નામું,கணக்கியல்
હિસાબ -પદ્ધતિ પદ્ધતિ,கணக்கியல் நிதி அமைப்பு
હિસાબ -વ્યવસ્થા,கணக்கியல் இயந்திரம்
ખાતા નંબર,கணக்கு எண்
સંચયી પ્રજનનકર્તા,திரட்டுதல் இனப்பெருக்கம்
એકઠા કરનાર,குவிப்பான்
સંચિત રજિસ્ટર,குவிப்பான் பதிவு
સંચય -પાળી સૂચના,திரட்டல் ஷிப்ட் வழிமுறை
ચોકસાઈ,துல்லியம்
ચોકસાઈ નિયંત્રણ,துல்லியம் கட்டுப்பாட்டு தன்மை
ચોકસાઈ નિયંત્રણ પદ્ધતિ,துல்லியம் கட்டுப்பாட்டு அமைப்பு
પાસાનો પાસાનો પો,ஏஸ் பைலட்
પાત્ર સ્વીકારવું,தன்மையை ஒப்புக் கொள்ளுங்கள்
ધ્વનિકર્તા,ஒலி கப்ளர்
ધ્વનિ -જોડાણ,ஒலி இணைப்பு
ધ્વનિ વિલંબ રેખા,ஒலி தாமத வரி
ધ્વનિમૂર્તિ,ஒலி நினைவகம்
ધ્વનિ -મોડેમ,ஒலி மோடம்
ધ્વનિ સંકેત,ஒலி சமிக்ஞை
ધ્વનિ સંગ્રહ,ஒலி சேமிப்பு
ટૂંકાક્ષર,சுருக்கம்
ક્રિયા,செயல்
કાર્ય -ચક્ર,செயல் சுழற்சி
ક્રિયા -રેખ,செயல் வரி
ક્રિયા,செயல் செய்தி
કાર્ય -સ્પષ્ટીકરણ,செயல் விவரக்குறிப்பு
સક્રિય,செயல்படுத்தல்
સક્રિય,செயலில்
સક્રિય ફાઈલ,செயலில் உள்ள கோப்பு
સક્રિય રેખા,செயலில் வரி
સક્રિય કડી,செயலில் இணைப்பு
સક્રિય માસ્ટર ફાઇલ,செயலில் உள்ள முதன்மை கோப்பு
સક્રિય મુખ્ય વસ્તુ,செயலில் உள்ள முதன்மை உருப்படி
સક્રિય ઉપગ્રહ,செயலில் உள்ள செயற்கைக்கோள்
સક્રિય કેન્દ્ર,செயலில் நிலையம்
સક્રિય સંગ્રહ,செயலில் சேமிப்பு
પ્રવૃત્તિ,செயல்பாடு
પ્રવૃત્તિ સ્તરે,செயல்பாட்டு நிலை
પ્રવૃત્તિ લોડિંગ,செயல்பாடு ஏற்றுதல்
પ્રવૃત્તિ ગુણોત્તર,செயல்பாட்டு விகிதம்
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),உண்மையான முகவரி (= முழுமையான முகவரி)
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),உண்மையான குறியீடு (= முழுமையான குறியீடு)
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,உண்மையான தரவு பரிமாற்ற வீதம்
વાસ્તવિક દશાંશ બિંદુ,உண்மையான தசம புள்ளி
વાસ્તવિક સૂચના (= અસરકારક સૂચના),உண்மையான வழிமுறை (= பயனுள்ள அறிவுறுத்தல்)
