Assamese,Gujarati
"১.এবাকাছ, ২. গণনা কৰি আছে","1.એબેકસ, 2. ગણતરી"
অস্বাভাৱিক অন্ত,અસામાન્ય અંત
ইন্টাৰচেপ্ট,ઇન્ટરસેપ્ટ
"১.নিৰপেক্ষ, ২. পৰম","1. સંપૂર્ણ, 2. સર્વોચ્ચ"
নিৰপেক্ষ ঠিকনা,સંપૂર્ણ સરનામું
নিৰপেক্ষ ঠিকনাযোগ্যতা,સંપૂર્ણ સંબોધનક્ષમતા
নিৰপেক্ষ এছেম্বলাৰ,સંપૂર્ણ એસેમ્બલર
"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড","1. સંપૂર્ણ કોડ, 2. સંપૂર્ણ કોડ"
নিৰপেক্ষ আদেশ,સંપૂર્ણ આદેશ
"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য","1. સંપૂર્ણ આંકડા, 2. સંપૂર્ણ ડેટા"
নিৰপেক্ষ নিৰ্দেশনা,સંપૂર્ણ સૂચના
নিৰপেক্ষ ধৰণ,સંપૂર્ણ મોડ
নিৰপেক্ষ পথ,સંપૂર્ણ માર્ગ
"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং","1. સંપૂર્ણ પ્રોગ્રામિંગ, 2. સંપૂર્ણ પ્રોગ્રામિંગ"
বিমূৰ্ত শ্ৰেণী,અમૂર્ત વર્ગ
বিমূৰ্ত তথ্যৰ ধৰণ,અમૂર્ત ડેટા પ્રકાર
বিমূৰ্ত মেচিন,અમૂર્ત મશીન
বিমূৰ্ত চিহ্ন,અમૂર્ત પ્રતીક
বিমূৰ্ত বাক্যবিন্যাস,અમૂર્ત વાક્યરચના
গ্ৰহণযোগ্যতা পৰীক্ষা,સ્વીકૃતિ કસોટી
প্ৰৱেশ প্ৰমাণীকৰণ,પ્રવેશ પ્રમાણપત્ર
"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড","1. એક્સેસ કોડ, 2. ઍક્સેસ કોડ"
প্ৰৱেশ নিয়ন্ত্ৰণ,વપરાશ નિયંત્રણ
অভিগম স্কেনিং,ઍક્સેસ સ્કેનિંગ
আনুষংগিক বস্তু,એસેસરીઝ
হিচাপ-নিকাচ,નામું
"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ","1. એકાઉન્ટ ID, 2. એકાઉન્ટિંગ ઓળખ"
এক্যুলেটৰ,સંચયક
"১/ সঠিকতা, ২. শুদ্ধতা","1. ચોકસાઈ, 2. ચોકસાઈ"
প্ৰৱেশাধিকাৰ,ઍક્સેસ
অভিগম নিয়ন্ত্ৰণ বাইটসমূহ,એક્સેસ કંટ્રોલ બાઇટ્સ
প্ৰৱেশ সূচক,ઍક્સેસ સૂચક
অভিগম কি&#39;,ઍક્સેસ કી
"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স","1. એક્સેસ મેટ્રિક્સ, 2. એક્સેસ મેટ્રિક્સ"
অভিগম ধৰণ,ઍક્સેસ મોડ
অভিগম বিশেষাধিকাৰসমূহ,ઍક્સેસ વિશેષાધિકારો
অভিগম সুৰক্ষা,ઍક્સેસ સુરક્ષા
"1. অভিগম চাৰ্ভাৰ, 2. অভিগম চাৰ্ভাৰ","1. એક્સેસ સર્વર, 2. સર્વર ઍક્સેસ કરો"
প্ৰৱেশ সময়,ઍક્સેસ સમય
স্বীকৃতি,સ્વીકૃતિ
শব্দবিজ্ঞান,ધ્વનિશાસ્ત્ર
"১. সংক্ষিপ্ত ৰূপ, ২. সংক্ষিপ্ত ৰূপ, ৩. ৰ পৰা চুটি","1. ટૂંકાક્ષર, 2. સંક્ષેપ, 3. થી ટૂંકું"
কাৰ্য্য বাৰ্তা,ક્રિયા સંદેશ
সক্ৰিয়কৰণ,સક્રિયકરણ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা,સક્રિય સર્વર પૃષ્ઠ
সক্ৰিয় সংস্কৰণ,સક્રિય સંસ્કરણ
অচক্ৰীয়,એસાયક્લિક
"১.অচক্ৰীয় গ্ৰাফ, ২. অচক্ৰীয় গ্ৰাফ","1. એસાયક્લિક ગ્રાફ, 2. એસાયક્લિક ગ્રાફ"
আদা কম্পিউটাৰ ভাষা,અદા કોમ્પ્યુટર ભાષા
"১.অপ্টিমাইজাৰ, ২. অপ্টিমাইজাৰ","1. ઑપ્ટિમાઇઝર, 2. ઑપ્ટિમાઇઝર"
to sum),સરવાળે)
যোগফল নথিপত্ৰ,સરવાળો ફાઇલ
"1. যোগ কাৰ্য্য, 2. যোগফল কাৰ্য্য","1. એડિશન ઓપરેશન, 2. સરવાળો કામગીરી"
adder,ઉમેરનાર
ঠিকনা,જાણો
ঠিকনা বাছ,સરનામું બસ
ঠিকনা নথিপত্ৰ,સરનામું ફાઇલ
ঠিকনা বিন্যাস,સરનામું ફોર્મેટ
ঠিকনা উৎপাদক,સરનામું જનરેટર
ঠিকনা ৰেখা,એડ્રેસ લાઇન
ঠিকনা মেপিং,સરનામું મેપિંગ
ঠিকনা সূচক,સરનામું સૂચક
