Hindi,Marathi
अजीवात् जनन,अजैविक पुनरुत्पादन
अपसामान्य,अलौकिक
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. चौथे पोट 2. इवोमासोम
रुद्ध-वृद्धि अंग,रंध्र वाढीचा अवयव
रुद्ध वृद्धि बीज,वाढ खुंटलेले बीज
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. अवांछित तण 2. पूर्ण तण
अवशोषित धनायन,शोषलेले केशन
अवशोषण,शोषण
ऐबिसिनी सरसों,Abyssinian मोहरी
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. ऍकेरिसाइड
अकेंद्री,केंद्राभिमुख
प्रवर्धन (कोशिका),प्रवर्धन (सेल)
स्वीकृत सह्यता,मंजूर सहिष्णुता
1.अतिरिक्त 2. सहायक 3. गौण,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
पर्यनुकूलन,रुपांतर
संचय,जमा
1.vयथार्थता 2. परिशुद्धता,1. अचूकता 2. अचूकता
1. एसर्वुलस 2. बीजाणुपात्र,1. एसरव्हुलस 2. स्पोरोफाइट
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. अम्लीकरण 2. अम्लन,1. आम्लीकरण 2. आम्लीकरण
1.अम्लतामापी 2. एसिडीमीटर,1. ऍसिडोमीटर 2. ऍसिडीमीटर
अम्लता,आंबटपणा
अम्लरागी,ऍसिडोफाइल
अम्लीकृत रॉक फॉस्फेट,ऍसिडिफाइड रॉक फॉस्फेट
अम्लसह,आम्लीकृत
जलभृत,जलचर
अधिग्रहण,संपादन
एकड़,एकर
1.क्षेत्रफल 2. रकबा,1. क्षेत्रफळ 2. क्षेत्रफळ
उपांत बिंदु क्रोमोसोम,अंतिम बिंदू गुणसूत्र
अग्राभिसारी,पुढे दिसणारा
ऐक्रोसोम,acrosome
एक्टिनोमाइसिटीज,actinomycetes
सक्रिय मूलक्षेत्र,सक्रिय कोर
1.उग्र 2. तीव्र,1. उग्र 2. तीव्र
अनुकूलनशीलता,अनुकूलता
अनुकूलन,सानुकूलन
1. आसंजन 2. अभिलाग,1. आसंजन 2. आसंजन
वसामय,सेबेशियस
समायोजन समीकरण,समायोजन समीकरण
ऐडोब मृदा,adobe माती
अपमिश्रक,भेसळ करणारा
अपस्थानिक,एक्टोपिक
इसीडियोस्पोर इसीडियम बीजाणु,Isidiospore Isidium बीजाणू
वातोढ़ प्रक्रिया,वायुगतिकीय प्रक्रिया
वातोढ़,वेंट्रल
वातन करना,वायुवीजन करणे
1. वायव 2. आकाशी,1. हवा 2. आकाशी
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
ऐरोसोल,एरोसोल
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,1. फुलणे 2. उन्हाळी सुप्तता
रोग हेतु विज्ञान,रोग विज्ञान
वनरोपण,वनीकरण
1. विलोडन 2. प्रक्षोभन,1. आंदोलन 2. अशांतता
ऐगमार्क,Agmark
1. भूमि संबंधी 2. कृषि संबंधी,1. जमिनीशी संबंधित 2. कृषी
कृषि निदानालय,कृषी चिकित्सालय
1. कृषि श्रम 2. खेतिहर मजदूर,1. शेतमजूर 2. शेतमजूर
कृषि विपणन,कृषी विपणन
कृषि प्रद्योगिकी,कृषी तंत्रज्ञान
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,1. शेती 2. शेती 3. कृषी विज्ञान
कृषि वनवर्धन,कृषी वनीकरण
कृषि जैविक विविधता,कृषी जैवविविधता
कृषि जैविक दोष,कृषी सेंद्रिय दोष
कृषि जैविकी,कृषी जीवशास्त्र
कृषि जलवायुवीय विविधता,कृषी-हवामान विविधता
कृषिजलवायुवीय जोन निर्माण,कृषी हवामान क्षेत्र निर्मिती
कृषिवानिकी,कृषी वनीकरण
सस्य मृदा विज्ञान,कृषीशास्त्र
सस्य विज्ञान,कृषीविषयक
कृषि पशुचारणिक,कृषी खेडूत
फसल प्रसंस्करण,पीक प्रक्रिया
घास विज्ञान,गवत विज्ञान
सस्य प्ररूप,पीक प्रकार
अधिपादप,epiphyte
ऐकिओची मृदा,aikiochi माती
वर्णकहीनता,रंगाधळेपण
एल्फिसॉल,अल्फिसोल
शैवाल,एकपेशीय वनस्पती
शैवाल रोग,एकपेशीय वनस्पती रोग
क्षार जल,अल्कली पाणी
क्षारीय,अल्कधर्मी
विकल्पी,पर्यायी
एलीलो रसायन,allelo रसायनशास्त्र
युग्मविकल्पी,एलील
एलीलोपैथी,ऍलेलोपॅथी
वीथी सस्यन,वेठी पीक
परनिषेक-फलता,पूर्णता
परनिषेचन,गर्भाधान
1. सापेक्षमिति 2. ऐलोमैट्री,1. सापेक्षता 2. अॅलोमेट्री
परबहुगुणित,मल्टिप्लॉइडी
1. परयुग्मन 2. अपायुग्लन,1. पॅराझिगोसिटी
1. एकातंर वर्ष फलन 2. एकांतरित फलन,1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य
वैकल्पिक भूमि उपयोग,पर्यायी जमिनीचा वापर
परिवेश,वातावरण
सुधारक,सुधारक
असूत्रीविभाजन,मायटोसिस
ऐमीनन,आमीनान
अमोनियन,अमोनियन
अमोनीकारक,amniferous
1.अप्रभावी रूप  2.अरूपी,1. अप्रभावी रूप 2. अरुपी
उभय मिश्रण,उभयचर मिश्रण
