Assamese,Hindi
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,ए बी वर्ग प्रवर्धक
বিচ্যুতি,"विपथन, अपेरण"
অস্বাভাৱিক সংক্ৰমণ,असामान्य संचरण
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
অনুপস্থিত বৰ্ণালী,लुप्त स्पेक्ट्रम
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","निरपेक्ष, परम, अचर, परिशुद्ध"
নিৰপেক্ষ আৰ্দ্ৰতা,निरपेक्ष आर्द्रता
নিৰপেক্ষ গতি,निरपेक्ष गति
নিৰপেক্ষ পৰ্যবেক্ষণ,निरपेक्ष प्रेक्षण
নিৰপেক্ষ উষ্ণতা,परम ताप
নিৰপেক্ষ শূন্য,परम शून्य
শুহি লোৱা,अवशोषण करना
"শোষক, শোষক","अवशोषक, अवशोषी"
শোষণ ক্ষমতা,अवशोषण सामर्थ्य
শোষণ ক্ষমতা,अवशोषणांश
শোষক,अवशोषी
শোষণ ক্ষমতা,अवशोषकता
বহুগুণতা অনুপাত,बाहुल्य अनुपात
ত্বৰান্বিত কৰক,त्वरित करना
খৰধৰকৈ উঠিল,त्वरित
বেগ বৃদ্ধি,त्वरण
মাধ্যাকৰ্ষণৰ ত্বৰণ,गुरुत्व त्वरण
ত্বৰণকাৰী,त्वरक
ত্বৰণকাৰী,"त्वरित्र, त्वरक"
এক্সিলেৰমিটাৰ,त्वरणमापी
প্ৰিষ্ট্ৰেছাৰ,प्राक्प्रबलक
গ্ৰহণযোগ্য পৰীক্ষা,स्वीकारी परीक्षण
গ্ৰহণকাৰী,"ग्राही, स्वीकारी"
দাতা অণু,आदाता अणु
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","अभिगम, प्रतीक्षा, अभिगम्यता"
অভিগম্যতা,अभिगम्यता
