Telugu,Tamil
గర్భస్రావం చేసిన అవయవం,கைவிடப்பட்ட உறுப்பு
గర్భస్రావం చేసిన విత్తనం,நிறுத்தப்பட்ட விதை
గర్భస్రావం,கருக்கலைப்பு
సంపూర్ణ కలుపు,முழுமையான களை
గ్రహించిన కేషన్,உறிஞ்சப்பட்ட கேஷன்
శోషణ,உறிஞ்சுதல்
అబిస్సినియన్ ఆవాలు,அபிசீனிய கடுகு
అకారిసైడ్,அகரைடு
యాక్సెంట్రిక్,உச்சரிப்பு
ఉచ్ఛారణ (సెల్),உச்சநிலை (செல்)
అంగీకరించబడిన సహనం,ஏற்றுக்கொள்ளப்பட்ட சகிப்புத்தன்மை
అనుబంధ,துணை
అలవాటు,பழக்கவழக்கமயமாக்கல்
చేరడం,குவிப்பு
ఖచ్చితత్వం,துல்லியம்
అసర్వులస్,அசெருலஸ்
ఎసిటిఫికేషన్,அசிடிபிகேஷன்
ఆమ్లీకరణ,அமிலமயமாக்கல்
అసిడిమీటర్,அமிலமீட்டர்
ఆమ్లత్వం,அமிலத்தன்மை
అసిడోఫిలిక్,அமிலத்தன்மை கொண்ட
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,அமிலப்படுத்தப்பட்ட ராக் பாஸ்பேட்
యాసిడ్యూరిక్,அமிலத்தன்மை
జలాశయం,நீர்வாழ்
సముపార్జన,கையகப்படுத்தல்
ఎకరాలు,ஏக்கர்
ఎకరాల,ஏக்கர் தூரம்
అక్రోసెంట్రిక్ క్రోమోజోమ్,அக்ரோசென்ட்ரிக் குரோமோசோம்
అక్రోపెటల్,அக்ரோபெட்டல்
అక్రోసోమ్,சக்ரோசோம்
ఆక్టినోమైసెట్స్,ஆக்டினோமைசீட்கள்
యాక్టివ్ రూట్ జోన్,செயலில் ரூட் மண்டலம்
తీవ్రమైన,கடுமையான
అనుకూలత,தகவமைப்பு
అనుసరణ,தழுவல்
సంశ్లేషణ,ஒட்டுதல்
కొవ్వు,கொழுப்பு
సర్దుబాటు సమీకరణం,சரிசெய்தல் சமன்பாடு
అడోబ్ నేల,அடோப் மண்
కల్తీ,கலப்படம்
సాహసోపేతమైనది,சாகச
Aecidiospore,Aecidiospore
అయోలియన్ ప్రక్రియ,ஏலியன் செயல்முறை
అయోలియన్,ஏயோலியன்
ఎఫరేట్,காற்றோட்டம்
ఆకాశయాన,வான்வழி
ఏరోమీటర్,ஏரோமானி
ఏరోసోల్,ஏரோசோல்
ఎస్టివేషన్,அவதூறு
పశ్చాత్తాప విజ్ఞానము,ஏட்டாலஜி (நோயியல்
