Bengali,Gujarati
এসি সমতুল্য সার্কিট,એસી સમકક્ષ સર્કિટ
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,આંકડાકીય કન્વર્ટર માટે એનાલોગ
পরম শূন্য,સંપૂર્ણ શૂન્ય
শোষণ গুণাঙ্ক,શોષણ ગુણાંક
শোষণ বর্ণালী,શોષણ સ્પેક્ટ્રમ
রিসেপ্টর পরমাণু,રીસેપ્ટર અણુ
বিকল্প বর্তমান যুগল,વૈકલ્પિક વર્તમાન જોડાણ
ইলেক্ট্রন সংগ্রহ,ઇલેક્ટ્રોન લણણી
গর্ত স্টোরেজ,છિદ્ર સંગ્રહ
অ্যাক্টিভেশন শক্তি,સક્રિયકરણ ઊર્જા
সক্রিয় পরিবর্ধক,સક્રિય એમ્પ્લીફાયર
সক্রিয় ডায়োড সার্কিট,સક્રિય ડાયોડ સર્કિટ
সক্রিয় ফিল্টার,સક્રિય ફિલ્ટર
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
সক্রিয় লোড,સક્રિય લોડ
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
সক্রিয় এলাকা,સક્રિય વિસ્તાર
অভিযোজিত ইলেকট্রনিক্স,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
যোগকারী,ઉમેરનાર
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
অনুপ্রবেশ,પ્રવેશ
এরিয়েল,એરિયલ
পিপ ফ্রিকোয়েন্সি,pep આવર્તન
এয়ার কন্ডিশনার,એર કન્ડીશનર
প্রান্তিককরণ,ગોઠવણી
অ্যালগরিদম,અલ્ગોરિધમ
সমস্ত পাস ফিল্টার,બધા પાસ ફિલ્ટર
খাদ জংশন,એલોય જંકશન
ক্ষয়,એટેન્યુએશન
বিবর্তিত বিদ্যুৎ,વૈકલ્પિક પ્રવાહ
পরিবেষ্টিত তাপমাত্রা,આસપાસનું તાપમાન
বাইপোলার,દ્વિધ્રુવી
পরিবর্ধন,એમ્પ્લીફિકેશન
পরিবর্ধক,એમ્પ્લીફાયર
পরিবর্ধক দক্ষতা,એમ્પ્લીફાયર કાર્યક્ષમતા
মাত্রা,પરિમાણો
প্রশস্ততা ক্ষয়,કંપનવિસ્તાર એટેન્યુએશન
প্রশস্ততা মডুলেটেড এএম অসিলেটর,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
প্রশস্ততা মড্যুলেশন,કંપનવિસ્તાર મોડ્યુલેશન
প্রশস্ততা মডুলেটর,કંપનવિસ્તાર મોડ્યુલેટર
অ্যাংস্ট্রম ইউনিট,એંગસ્ટ્રોમ એકમ
এনালগ সার্কিট,એનાલોગ સર્કિટ
এনালগ কম্পিউটার,એનાલોગ કમ્પ્યુટર
এনালগ ফিল্টার,એનાલોગ ફિલ્ટર
এনালগ মাল্টিমিটার,એનાલોગ મલ્ટિમીટર
এনালগ সুইচ,એનાલોગ સ્વીચ
এবং গেট,અને દરવાજો
কৌণিক কম্পাংক,કોણીય આવર્તન
"anion, anion","anion, anion"
অ্যানিলিং তাপমাত্রা,એનિલિંગ તાપમાન
অ্যানোড,એનોડ
অ্যানোড পরিবর্ধক,એનોડ એમ્પ્લીફાયર
anodyne,anodyne
অ্যান্টেনা,એન્ટેના
অ্যান্টেনা উপাদান,એન્ટેના ઘટક
বিরোধী প্রতিফলিত আবরণ,વિરોધી પ્રતિબિંબીત કોટિંગ
অ্যান্টিলগইন পরিবর্ধক,એન્ટિલોગિન એમ્પ્લીફાયર
অ্যান্টিরেজোন্যান্ট সার্কিট,પ્રતિરોધક સર્કિટ
দ্বারক যুগ,દ્વારક સમયગાળો
ভার্চুয়াল শক্তি,વર્ચ્યુઅલ પાવર
তারের সংযোগ,વાયર કનેક્શન
আনুমানিক ভোল্টেজ লাভ,અંદાજિત વોલ્ટેજ ગેઇન
আর্মস্ট্রং মডুলেটর,આર્મસ્ટ્રોંગ મોડ્યુલેટર
অ্যান্টেনা অ্যারে,એન્ટેના એરે
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও","કદ ગુણોત્તર, પાસા ગુણોત્તર"
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,સ્વચાલિત મલ્ટિવાઇબ્રેટર
ভাসমান মাল্টিভাইব্রেটর,ફ્લોટિંગ મલ્ટિવાઇબ્રેટર
অপ্রতিসম জংশন,અસમપ્રમાણ જંકશન
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,અસુમેળ કેલ્ક્યુલેટર
পারমাণবিক,પરમાણુ
পারমাণবিক সংখ্যা,અણુ સંખ્યા
পারমাণবিক গঠন,અણુ માળખું
অডিও পরিবর্ধক,ઓડિયો એમ્પ્લીફાયર
অডিও পরিবর্ধক,ઓડિયો એમ્પ્લીફાયર
অডিও ক্যাসেট,ઓડિયો કેસેટ
অডিও সার্কিট,ઓડિયો સર્કિટ
শ্রবণযোগ্য ফ্রিকোয়েন্সি,સાંભળી શકાય તેવી આવર્તન
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,આપોઆપ વોલ્ટેજ નિયંત્રણ
তুষারপাত,હિમપ્રપાત
গড় আবিষ্কারক,સરેરાશ ડિટેક્ટર
অক্ষীয় মোড,અક્ષીય મોડ
অক্ষীয় অনুপাত,અક્ષીય ગુણોત્તર
অ্যান্টেনা,એન્ટેના
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,પાછળનું ઇલેક્ટ્રોમોટિવ બળ
পিছনের এলাকা,પાછળનો વિસ્તાર
ব্যাক স্ক্যাটার,પાછા સ્કેટર
ব্যাকগ্রাউন্ড চার্জ,પૃષ્ઠભૂમિ ચાર્જ
পার্শ্ব গোলমাল,બાજુનો અવાજ
পশ্চাদপসরণ,પ્રત્યાગમન
পোস্টেরিয়র বিকিরণ,પશ્ચાદવર્તી ઇરેડિયેશન
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,બેકવર્ડ વેવ ઓસિલેટર
"বাধা, বাধা","અવરોધ, અવરોધ"
বাধা,અવરોધ
সুষম সেতু,સંતુલિત પુલ
সুষম মডুলেটর,સંતુલિત મોડ્યુલેટર
সুষম মডুলেটর,સંતુલિત મોડ્યુલેટર
সুষম সার্কিট,સંતુલિત સર્કિટ
সুষম গ্রেডিয়েন্ট ডিটেক্টর,સંતુલિત ઢાળ ડિટેક્ટર
বর্তমান স্টেবিলাইজার প্রতিরোধের,વર્તમાન સ્ટેબિલાઇઝર પ્રતિકાર
বোলোমিটার,બોલોમીટર
বোলোমিটার সেতু,બોલોમીટર પુલ
বেলুন,બલૂન
কলা জ্যাক,બનાના જેક
কলা প্লাগ,બનાના પ્લગ
"ব্যান্ড, ব্যান্ডেজ","બેન્ડ, પાટો"
ব্যান্ড ড্রাইভার,બેન્ડ ડ્રાઈવર
ব্যান্ড শক্তি,બેન્ડ ઊર્જા
ব্যান্ড ফাঁক,બેન્ડ ગેપ
ব্যাডপার্ক পরিবর্ধক,બેડપાર્ક એમ્પ્લીફાયર
ব্যান্ড পাস ফিল্টার,બેન્ડ પાસ ફિલ્ટર
বড রেট জেনারেটর,બાઉડ રેટ જનરેટર
banddispersion,banddispersion
ব্যান্ড প্রতিরোধক,બેન્ડ રેઝિસ્ટર
ব্যান্ড ব্রেকার ফিল্টার,બેન્ડ બ્રેકર ફિલ્ટર
ব্যান্ড সম্প্রসারণ,બેન્ડ વિસ્તરણ
ব্যান্ড রিমুভার ফিল্টার,બેન્ડ રીમુવર ફિલ્ટર
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,બેન્ડ વિસ્તરણ ડિફ્લેક્શન ગુણક
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,બેન્ડ એક્સ્ટેંશન અંતર ગુણક
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর","બીમ કેપેસિટર, બેંક કેપેસિટર"
"বার্কার কোড, বার্কার কোড","બાર્કર કોડ, બાર્કર કોડ"
barravaugen মানদণ্ড,barravaugen માપદંડ
বাধাদানকারী,બેરેટર
বাধা,અવરોધ
অন্তরক ক্যাপাসিটর,ઇન્સ્યુલેટીંગ કેપેસિટર
বাধা শক্তি,અવરોધ ઊર્જા
প্রতিরোধক ভোল্টেজ,રેઝિસ્ટર વોલ્ટેજ
বার্টলেট উইন্ডো,બાર્ટલેટ વિન્ડો
"ভিত্তি, ভিত্তি","આધાર, આધાર"
বেস ব্যান্ড,આધાર બેન્ડ
বেস ব্যান্ড ট্রান্সমিশন,બેઝ બેન્ડ ટ્રાન્સમિશન
বেস চার্জ,બેઝ ચાર્જ
ভিত্তি বর্তমান,આધાર પ્રવાહ
ভিত্তি বর্তমান উৎস,આધાર વર્તમાન સ્ત્રોત
বেস শিয়ারিং,આધાર ઉતારવું
আধার মদন,આધાર મદન
বেস ইমিটার ফিড,આધાર ઉત્સર્જક ફીડ
বেস ইমিটার জংশন,આધાર ઉત્સર્જક જંકશન
বেস ইনজেকশন,બેઝ ઈન્જેક્શન
স্থল লাইন,જમીન રેખા
