Kannada,Assamese
ಅಬೆಲಿ ಗುಂಪು,abeli গ্ৰুপ
ಅಬೆಲಿ ಗುಂಪು,abeli গ্ৰুপ
ಕೈ,হাত
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,নিৰপেক্ষ অভিসৰণ
ಸಂಪೂರ್ಣ ದೋಷ,নিৰপেক্ষ ভুল
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,পৰম পৰম
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,নিৰপেক্ষ সৰ্বনিম্ন
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,নিৰপেক্ষ মূল্য
ಸಂಪೂರ್ಣ ವೇಗ,নিৰপেক্ষ বেগ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,বিমূৰ্ত বীজগণিত
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,বিমূৰ্ত গোট তত্ত্ব
ವೇಗವರ್ಧನೆ,বেগ বৃদ্ধি
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,মহাকৰ্ষণীয় ত্বৰণ
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,গ্ৰহণযোগ্য নিৰ্বাচক
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,গ্ৰহণযোগ্য চৌহদ
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,বৈধ নিৰ্ভৰযোগ্যতা স্তৰ
ಸ್ವೀಕಾರ ಮಾದರಿ,গ্ৰহণযোগ্যতা নমুনা সংগ্ৰহ কৰা
ಸಂಚಿತ ದೋಷ,সঞ্চিত ভুল
ನಿಖರತೆ,শুদ্ধতা
ಅನ್ವಯಿಸಿದ ಬಲ,প্ৰয়োগ কৰা বল
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","কাৰ্য্য, কাৰ্য্য"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ವಿಮಾ ವಿಜ್ಞಾನ,বীমা বিজ্ঞান
ತೀವ್ರ ತ್ರಿಕೋನ,তীব্ৰ ত্ৰিভুজ
ಅಸೈಕ್ಲಿಕ್,অচক্ৰীয়
ಒಟ್ಟುಗೂಡಿಸಲು,সামৰণিত
ಸೇರಿಸುವವನು,adder
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","যোগফল, যোগ, যোগফল (c.), যোগ (v.)"
ಯೋಗದ ಸೂತ್ರ,যোগৰ সূত্ৰ
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,জটিল সংখ্যাৰ যোগফল
ಕಾರ್ಯಗಳ ಮೊತ್ತ,ফলনৰ যোগফল
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,মেট্ৰিক্সৰ যোগফল
ಬಹುಪದಗಳ ಮೊತ್ತ,বহুপদৰ যোগফল
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,সম্ভাৱনাৰ যোগফল
ವಾಹಕಗಳ ಮೊತ್ತ,ভেক্টৰৰ যোগফল
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","যোগ উপপাদ্য, বেৰী তত্ত্ব"
ಸಂಯೋಜಕ ಗುಂಪು,যোগকৰণ গোট
ಸಂಯೋಜಕ ವಿಲೋಮ,যোগকৰণৰ বিপৰীত
