Telugu,Hindi
తగ్గింపు,"उपशमन, कमी"
సంక్షిప్తీకరణ,संक्षिप्‍ति
అపహరణ,अपहरण
Abeyance,प्रास्थगन
సామర్థ్యం,योग्यता
అబ్ ఇనిషియో,"आदित:, आरंभ से"
సామర్థ్యం,योग्य
అసాధారణ,अपसामान्य
రద్దు,"उन्मूलन, समाप्‍ति"
నిర్మూలన పోస్ట్,पद समाप्‍ति
పైన పేర్కొన్నారు,"ऊपर उल्लिखित, उपर्युक्‍त"
పైన కోట్ చేయబడింది,ऊपर उद्‍धृत
పైన చెప్పారు,उपर्युक्‍त
లేకపోవడం,"अनुपस्थिति, गैरहाजि़री, अभाव"
హాజరుకాని,"अनुपस्थित, ग़ैरहाजि़र"
హాజరుకానితనం,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
హాజరుకాని ప్రకటన,अनुपस्थिति-विवरण
సంపూర్ణ,"पूर्ण, निरपेक्ष"
సంపూర్ణ గుత్తాధిపత్యం,पूर्ण एकाधिकार
సంపూర్ణ యాజమాన్యం,पूर्ण स्वामित्व
శోషణ,"आमेलन, अवशोषण"
నైరూప్య,सार
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,सार-विवरण
అసంబద్ధం,"अर्थहीन, बेतुका"
సమృద్ధి,प्रचुरता
అధికార దుర్వినియోగం,शक्‍ति का दुरुपयोग
దుర్వినియోగ భాష,गाली-गलौज
విద్యావేత్త,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
విద్యా చర్చ,शास्त्रीय चर्चा
విద్యా సెలవు,अकादमिक छुट्टी
విద్యా అర్హత,शैक्षिणिक अर्हता
విద్యా రికార్డు,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
ACCEDE,"मान लेना, अधिमिलन होना"
అంగీకరించండి,"स्वीकार करना, मानना"
అంగీకారం,"स्वीकृति, प्रतिग्रहण"
కార్యాలయం అంగీకారం,पद-स्वीकृति
టెండర్ అంగీకారం,निविदा की स्वीकृति
యాక్సెస్,पहुंच
ప్రవేశం,"राज्यारोहण, पदारोहण, परिग्रहण"
అనుబంధ,"अनुषंगी, उपसाधन"
ప్రమాదం,"दुर्घटना, संयोग"
అలవాటు,पर्यनुकूलन
వసతి,"आवास, निर्वाह, समंजन"
తోడు,संगकार
ఒప్పందం,"समझौता, प्रदान करना, देना"
అనుగుణంగా,"अनुरूपता, संगति"
దీని ప్రకారం,तदनुसार
ఖాతా,"लेखा, खाता, हिसाब"
జవాబుదారీతనం,जवाबदेही
జవాబుదారీతనం,"जवाबदेह, देनदार"
అకౌంటెన్సీ,"लेखा विधि, लेखा कार्य"
అకౌంటెంట్,लेखाकार
ఖాతా,"कारण बताना, लेखा-जोखा देना"
ఖాతా హెడ్,लेखा-शीर्ष
సేకరించిన ప్రయోజనం,प्रोद्‌भूत हितलाभ
పెన్షన్ పెన్షన్,प्रोद्‌भूत पेन्शन
చేరడం,"संचय, संचयन"
ఖచ్చితత్వం,"यथार्थता, परिशुद्‌धता"
ఖచ్చితమైనది,"यथार्थ, सही, परिशुद्‌ध"
నిందించండి,अभियोग लगाना
ఆరోపణలు,अभियुक्‍त
సాధన,उपलब्‍धि
గుర్తింపు,"पावती, प्राप्‍ति सूचना, अभिस्वीकृति"
రసీదు గడువు,"पावती पत्र, रसीदी"
పరిచయము,"(व्यक्‍ति) परिचित, परिचय"
సముపార్జన,"अधिग्रहण, अर्जन"
సముపార్జన,"भुगतान, भरपाई, निस्तारण"
చట్టం,"कार्य, कृत्य, अधिनियम"
నటన భత్యం,कार्यकारी भत्‍ता
చర్య,"कार्रवाई, क्रिया, कार्य, संघर्ष"
కార్య ప్రణాళిక,कार्य योजना
క్రియాశీల,सक्रिय
చురుకుగా,"सक्रियता से, सक्रियतापूर्वक"
కార్యకర్త,"कर्मठ कार्यकता, सक्रियतावादी"
దైవఘటన,दैव कृत्य
దుష్ప్రవర్తన చర్య,कदाचार
కమీషన్ మరియు కమీషన్,भूल-चूक
అసలు,वास्तविक
వాస్తవాలు,वास्तविक आंकडे
అనుసరణ,"अनुकूलन, रूपांतर"
