Odiya,Malayalam
ଅବକାଶର ପୃଷ୍ଠ |,നിബാക്സിയൽ ഉപരിതലം
ପେଟ,അടിവയറ്
ପେଟର ଆର୍ଟା |,വയറുവേദന അയോട്ടോ
ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |,വയറിലെ ഗാംഗ്ലിയ
ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |,Abelmoschus എസ്സുലന്റസ്
ଆବର୍ଗନ,വെറുക്കല്
ଆବିସ୍,അബി)
ଆବିଙ୍ଗଡନ୍ କଇଁଛ |,അബിങ്ഡൺ ആമ
Abognescesis,അബിയോജെനിസിസ്
ଅବିଟ,അബിയോട്ടിക്
ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |,അശുഭാപ്തി ഘടകം
ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |,അസാധാരണമായ മൂത്രം
ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |,അബോ രക്തം ഗ്രൂപ്പ്
ଅବସିସିକ୍ ଏସିଡ୍ |,അബ്സിസിക് ആസിഡ്
ଅବସିସନ,നിര്വഹണം
ଶୋଷଣ,ഉള്ക്കൊള്ളുക
ଅବଶୋଷଣ ଶିଖର |,ആഗിരണം കൊടുമുടി
ଶୋଷଣ,ആഗിരണം
ଆକାସିଆ କ୍ୟାଚଚୁ |,അക്കേഷ്യ കാറ്റെച്ചു
ଆକାରିଆ ଆରବୀ |,അക്കാര്യ അറബിക്ക
ଆକ୍ରିନ,അകാപ്രിൻ
ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |,സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,ആക്സസറി ഗ്രന്ഥി
ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |,ആക്സസറി ഗ്രന്ഥി
ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |,ആക്സസറി അവയവം
ସୁକମ୍ଲାଇଜେସନ୍,ACCLIMATIES
ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |,അക്ലിമിലൈസ്
ଆବାସ (ଧ୍ୟାନ),താമസം (ഫോക്കസിംഗ്)
ଆଖିରେ ରହିବା,കണ്ണിന്റെ താമസം
ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |,പ്രകടിപ്പിക്കുന്ന വളർച്ച
ଜମା,കൂന്വാരം
ଜମାକାରୀ ପଦାର୍ଥର ଜମା |,ജൈവവസ്തുക്കളുടെ ശേഖരണം
ମାଟିର ଜମା |,മണ്ണിന്റെ ശേഖരണം
Acellululula |,അസെലുലാർ
ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |,അസെല്ലുലാർ ജീവികൾ
ଏସିଟାବୁଲମ୍,Aecetabulum
ACTalDeyDee,അസെറ്റൽഡിഹൈഡ്
ACETIL କୋଏନୋଜିମ୍ |,അസെറ്റി കൊവെൻസിഎംഇ
ଆଖିନିନା |,അച്ചാതിന
ଅହିଯାଉଥିବା ପ୍ରକାର |,നെച്ചെൻ തരം
ଅହିଯେ,അച്ചീൻ
ଅଖ୍ଲଣିଡୋସପୋରିଆ |,ആൾമെംഡിഡോസ്പോര്പോറിയ
ଅମ୍ଳ ବର୍ଷା,അമ്ല മഴ
ଅମ୍ଳୀୟ,അസിഡിറ്റി
ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |,അസിഡിറ്റിക് വാതകം
ଅମ୍ଳତା,അസിഡിറ്റി
ଆଖର ସେଲ୍ |,അക്കിനാർ സെൽ
ଆକ୍ୱେମିଲେଟ୍ |,അക്കോമോമോമറ്റ്
ଆକୋନିଟମ୍,അക്കോണിറ്റം
ଆକ୍ୟୁନ୍ ପୋକ |,ആക്രമണാത്മക പുഴു
ଆକାଶବାଣୀ ଜୋନିଂ |,അക്കോസ്റ്റിക് സോണിംഗ്
ଅର୍ଜନ ବର୍ଣ୍ଣ,സ്വന്തമാക്കിയ പ്രതീകം
ଅଜାଣତର କାରଣ,പ്രതിരോധശേഷി നേടി
ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |,ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്)
ଅକାନିଆ,അങ്കാരിയ
ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ,അക്രിക്കൈൻ ഡൈ
ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |,അക്രോസെന്റ്
ଆକ୍ରୋମିଅନ୍ |,അക്രോമീൻ
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,അക്രോരേറ്റൽ സീക്വൻസ്
ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |,അക്രോപോളൽ ഓർഡർ
ଆକ୍ରୋସିନ୍ |,അക്രോസിൻ
ଆକ୍ଟିନ୍ |,ആക്ടിൻ
ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |,ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ
ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |,ആക്ടിനോമോർഫിക്
ଆକ୍ଟିନୋମିସେସିସ୍ |,ആക്റ്റിനോമൈസെറ്റുകൾ
କାର୍ଯ୍ୟ ସମ୍ଭାବନା,പ്രവർത്തന സാധ്യത
ସକ୍ରିୟ ସ୍ଲେଜ୍ |,സജീവമാക്കിയ സ്ലഡ്ജ്
ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |,സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്
ସକ୍ରିୟ ଶକ୍ତି,സജീവമാക്കൽ .ർജ്ജം
ସକ୍ରିୟ ଶୋଷଣ,സജീവമായ ആഗിരണം
ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |,സജീവ പ്രതിരോധശേഷി
ସକ୍ରିୟ ବିକିରଣ |,സജീവ വികിരണം
ସକ୍ରିୟ ସାଇଟ୍,സജീവ സൈറ്റ്
କାର୍ଯ୍ୟକର୍ତ୍ତା,ആധ്രിക്കുക
ଆକ୍ରମିନେଟ୍ |,അക്യുമിനേറ്റ്
ଆଡାମାସିଆ |,ആദാംസിയ
ଅନୁକେତ,പൊരുത്തപ്പെടലി
ଆଡାପ୍ଟେସନ୍,പൊരുത്തപ്പെടുത്തൽ
ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |,ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ
ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |,ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ
ଆଡାପ୍ଟିଭ୍ ବ characteristics ଶିଷ୍ଟ୍ୟଗୁଡିକ |,അഡാപ്റ്റീവ് സവിശേഷതകൾ
ଆଡାପ୍ଟିଭ୍ ଇନମୁନିଟି |,അഡാപ്റ്റീവ് പ്രതിരോധശേഷി
ଆଡାପ୍ଟିଭ୍ ବିକିରଣ |,അഡാപ്റ്റീവ് വികിരണം
ଆଡାପ୍ଟିଭ୍ ଗୁଣ |,അഡാപ്റ്റീവ് സ്വഭാവം
ଆଡକ୍ସିଆଲ୍ ଭୂପୃଷ୍ଠ |,അഡാക്സിയൽ ഉപരിതലം
