Malayalam,Odiya
"1.അബാക്കസ്, 2. എണ്ണുന്നു","1. ଆବାକସ୍, ୨। ଗଣନା"
അസാധാരണമായ അവസാനം,ଅସ୍ୱାଭାବିକ ସମାପ୍ତି |
തടസ്സപ്പെടുത്തുക,ବାଧା
"1. കേവലം, 2. പരമോന്നത","1. ସଂପୂର୍ଣ୍ଣ, 2 ସର୍ବୋଚ୍ଚ"
സമ്പൂർണ്ണ വിലാസം,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
സമ്പൂർണ്ണ വിലാസക്ഷമത,ସଂପୂର୍ଣ୍ଣ ଠିକଣା ଯୋଗ୍ୟତା |
കേവല അസംബ്ലർ,ସଂପୂର୍ଣ୍ଣ ସମାବେଶକାରୀ |
"1. കേവല കോഡ്, 2. കേവല കോഡ്","1. ସଂପୂର୍ଣ୍ଣ କୋଡ୍, 2 ସଂପୂର୍ଣ୍ଣ କୋଡ୍"
സമ്പൂർണ്ണ കമാൻഡ്,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ |
"1. കേവല കണക്കുകൾ, 2. സമ്പൂർണ്ണ ഡാറ്റ","1. ସଂପୂର୍ଣ୍ଣ ସଂଖ୍ୟା, 2 ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |"
സമ്പൂർണ്ണ നിർദ്ദേശം,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
കേവല മോഡ്,ସଂପୂର୍ଣ୍ଣ ମୋଡ୍ |
കേവല പാത,ସଂପୂର୍ଣ୍ଣ ପଥ
"1. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്, 2. സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്","1. ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ, 2 ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |"
അമൂർത്ത ക്ലാസ്,ବିସ୍ତୃତ ଶ୍ରେଣୀ |
അമൂർത്ത ഡാറ്റ തരം,ବିସ୍ତୃତ ତଥ୍ୟ ପ୍ରକାର |
അമൂർത്ത യന്ത്രം,ବିସ୍ତୃତ ମେସିନ୍ |
അമൂർത്ത ചിഹ്നം,ବିସ୍ତୃତ ପ୍ରତୀକ |
അമൂർത്തമായ വാക്യഘടന,ବିସ୍ତୃତ ବାକ୍ୟବିନ୍ୟାସ |
സ്വീകാര്യത പരിശോധന,ଗ୍ରହଣ ପରୀକ୍ଷା
പ്രവേശന സർട്ടിഫിക്കേഷൻ,ପ୍ରବେଶ ପ୍ରମାଣପତ୍ର
"1. ആക്സസ് കോഡ്, 2. പ്രവേശന കോഡ്","1. ପ୍ରବେଶ ସଂକେତ, 2 ପ୍ରବେଶ କୋଡ୍"
പ്രവേശന നിയന്ത്രണം,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
ആക്സസ് സ്കാനിംഗ്,ସ୍କାନିଂ ଆକ୍ସେସ୍ କରନ୍ତୁ |
സാധനങ്ങൾ,ଆନୁଷଙ୍ଗିକ
അക്കൌണ്ടിംഗ്,ହିସାବ
"1. അക്കൗണ്ട് ഐഡി, 2. അക്കൗണ്ടിംഗ് തിരിച്ചറിയൽ","1. ଖାତା ID, 2 ଆକାଉଣ୍ଟିଂ ପରିଚୟ"
ശേഖരണം,ଜମାକାରୀ
"1. കൃത്യത, 2. കൃത്യത","1. ସଠିକତା, 2 ସଠିକତା"
പ്രവേശനം,ପ୍ରବେଶ
