Hindi,Punjabi
"1.एबेकस ,2. गिनतारा","1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ"
असामान्य समापन,ਅਸਧਾਰਨ ਅੰਤ
अवरोधन,ਰੁਕਾਵਟ
"1. निरपेक्ष ,2. परम","1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ"
निरपेक्ष पता,ਪੂਰਾ ਪਤਾ
निरपेक्ष पताभिगमन,ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ
निरपेक्ष कोडांतरक,ਪੂਰਨ ਅਸੈਂਬਲਰ
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड","1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ"
निरपेक्ष समादेश,ਪੂਰਨ ਹੁਕਮ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा","1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ"
निरपेक्ष अनुदेश,ਪੂਰਨ ਹਦਾਇਤ
निरपेक्ष विधा,ਪੂਰਨ ਮੋਡ
निरपेक्ष पथ,ਪੂਰਨ ਮਾਰਗ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन","1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ"
अमूर्त वर्ग,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
अमूर्त आंकड़ा प्रकार,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
अमूर्त मशीन,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
अमूर्त प्रतीक,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
अमूर्त वाक्य विन्यास,ਸੰਖੇਪ ਸੰਟੈਕਸ
स्वीकृति परीक्षण,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ
अभिगम प्रमाणन,ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ
"1. अभिगम कूट ,2. अभिगम कोड","1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ"
अभिगम नियंत्रण,ਪਹੁੰਚ ਕੰਟਰੋਲ
