Malayalam,Kannada
അബെലി ഗ്രൂപ്പ്,ಅಬೆಲಿ ಗುಂಪು
അബെലി ഗ്രൂപ്പ്,ಅಬೆಲಿ ಗುಂಪು
കൈ,ಕೈ
"കേവലം, കേവലം, സ്ഥിരം, കൃത്യമായ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
കേവലമായ ഒത്തുചേരൽ,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
സമ്പൂർണ്ണ പിശക്,ಸಂಪೂರ್ಣ ದೋಷ
പരമോന്നത പരമോന്നത,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
ഏറ്റവും താഴ്ന്നത്,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
യഥാർത്ഥ മൂല്യം,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
കേവല വേഗത,ಸಂಪೂರ್ಣ ವೇಗ
അമൂർത്ത ബീജഗണിതം,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
അമൂർത്തമായ ഗ്രൂപ്പ് സിദ്ധാന്തം,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ത്വരണം,ವೇಗವರ್ಧನೆ
ഗുരുത്വാകർഷണ ത്വരണം,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
സ്വീകാര്യമായ സെലക്ടർ,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
സ്വീകാര്യമായ നിലവാരം,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
സ്വീകാര്യമായ പരിസരം,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
സാധുവായ വിശ്വാസ്യത നില,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
സ്വീകാര്യത സാമ്പിൾ,ಸ್ವೀಕಾರ ಮಾದರಿ
സഞ്ചിത പിശക്,ಸಂಚಿತ ದೋಷ
കൃത്യത,ನಿಖರತೆ
