Telugu,Tamil
అసాధారణ,அசாதாரணமானது
అబార్ట్,கருக்கலைப்பு
అబ్రేషన్,சிராய்ப்பு
ఆకస్మిక,திடீரென்று
సంపూర్ణ క్షేత్ర బలం,முழுமையான புல வலிமை
సంపూర్ణ ఉష్ణోగ్రత,முழுமையான வெப்பநிலை
సంపూర్ణ విలువ,துல்லியமான மதிப்பு
గ్రహించండి,உறிஞ்சும்
శోషణ సహ-సమర్థత,உறிஞ்சுதல் சக செயல்திறன்
శోషణ నష్టం,உறிஞ்சுதல் இழப்பு
నైరూప్య,சுருக்கம்
యాక్సిలెరోమీటర్,முடுக்கமானி
అంగీకార పరీక్ష,ஏற்பு சோதனை
యాక్సెస్,அணுகல்
యాక్సెస్ నియంత్రణ,நுழைவு கட்டுப்பாடு
యాక్సెస్ పాయింట్,அணுகல் புள்ளி
ప్రాప్యత సమయం,அணுகல் நேரம்
సౌలభ్యాన్ని,அணுகல்
సంచిత కణం,குவிப்பான் செல்
ఖచ్చితత్వం,துல்லியம்
ఖచ్చితమైనది,துல்லியமானது
అచ్రోమాటిక్ లెన్స్,முடிச்சு லென்ஸ்
ఆమ్లము,அமிலம்
యాసిడ్ ప్రూఫ్,அமில ஆதாரம்
ఆమ్లత్వం,அமிலத்தன்மை
రసీదు బిట్,ஒப்புதல் பிட்
శబ్ద,ஒலி
ఎకౌస్టిక్ కమ్యూనికేషన్,ஒலி தொடர்பு
శబ్ద వ్యాప్తి,ஒலி பரவல்
ఎకౌస్టిక్ ఈక్వలైజర్,ஒலி சமநிலைப்படுத்தி
శబ్ద అభిప్రాయం,ஒலி கருத்து
శబ్ద వడపోత,ஒலி வடிகட்டி
శబ్ద ఇంపెడెన్స్,ஒலி மின்மறுப்பு
ఎకౌస్టిక్ మాస్కింగ్,ஒலி முகமூடி
శబ్ద శక్తి,ஒலி சக்தி
శబ్ద ఆస్తి,சட்டவிரோத சொத்து
శబ్ద ప్రతిచర్య,ஒலி எதிர்வினை
ఎకౌస్టిక్ రిఫ్లెక్స్,ஒலி ரிஃப்ளெக்ஸ்
శబ్ద టైల్,ஒலி ஓடு
శబ్ద వేవ్,ஒலி அலை
శబ్ద శోషణ,ஒலியியல் உறிஞ்சுதல்
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,ஒலியியல் விழிப்புணர்வு மாறிலி
శబ్ద డంపింగ్,ஒலியியல் ஈரமாக்குதல்
శబ్ద ఆలస్యం రేఖ,ஒலியியல் தாமத வரி
శబ్ద వక్రీకరణ,ஒலியியல் விலகல்
శబ్ద వాహిక,ஒலியியல் குழாய்
శబ్ద శక్తి,ஒலியியல் ஆற்றல்
శబ్ద అభిప్రాయం,ஒலியியல் கருத்து
శబ్ద వడపోత,ஒலியியல் வடிகட்டி
శబ్ద ఇంపెడెన్స్,ஒலியியல் மின்மறுப்பு
శబ్ద ప్రచారం స్థిరాంకం,ஒலியியல் பரப்புதல் மாறிலி
శబ్ద నిరోధకత,ஒலியியல் எதிர்ப்பு
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ஒலியியல் ரீதியாக காப்பிடப்பட்டது
ధ్వని,ஒலியியல்
సముపార్జన,கையகப்படுத்தல்
ఎక్రోనిం,சுருக்கம்
కార్యాచరణ ప్రాంతం,செயல் பகுதி
సక్రియం చేయబడిన ఫిలమెంట్,செயல்படுத்தப்பட்ட இழை
క్రియాశీల,செயலில்
క్రియాశీల ప్రాంతం,செயலில் உள்ள பகுதி
క్రియాశీల విండో,செயலில் சாளரம்
అనుకూలత,தகவமைப்பு
అడాప్టర్,அடாப்டர் (அடாப்டர்)
అడాప్టివ్ డిఫరెన్షియల్ పల్స్ కోడ్ మాడ్యులేషన్,தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்
చిరునామా పుస్తకం,முகவரி புத்தகம்
చిరునామా బస్సు,முகவரி பஸ்
చిరునామా తీర్మానం,முகவரி தீர்மானம்
ప్రక్కనే ఉన్న ఛానల్ జోక్యం,அருகிலுள்ள சேனல் குறுக்கீடு
ప్రక్కనే ఉన్న ఛానల్ సెలెక్టివిటీ,அருகிலுள்ள சேனல் தேர்வு
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ,அருகிலுள்ள அதிர்வெண்
ప్రక్కనే ఉన్న ఫ్రీక్వెన్సీ ఛానల్,அருகிலுள்ள அதிர்வெண் சேனல்
ప్రక్కనే ఉన్న పిక్చర్ క్యారియర్,அருகிலுள்ள படம் கேரியர்
ప్రక్కనే ఉన్న సౌండ్ క్యారియర్,அருகிலுள்ள ஒலி கேரியர்
ప్రక్కనే ఉన్న స్టేషన్,அருகிலுள்ள நிலையம்
సర్దుబాటు,சரிசெய்யக்கூடியது
సర్దుబాటు కండెన్సర్,சரிசெய்யக்கூடிய மின்தேக்கி
సర్దుబాటు ఒత్తిడిని,அழுத்தம் சரிசெய்தல்
రెంచ్ సర్దుబాటు,குறடு சரிசெய்தல்
సర్దుబాటు,சரிசெய்தல்
నిర్వాహకుడు,நிர்வாகி
అధునాతన సాంకేతిక పరిజ్ఞానం,மேம்பட்ட தொழில்நுட்பம்
ఆకాశయాన,வான்வழி
వైమానిక శ్రేణి,வான்வழி வரிசை
వైమానిక బూస్టర్,வான்வழி பூஸ்டர்
