Odiya,Malayalam
ଅସ୍ୱାଭାବିକ |,വിലക്ഷണമായ
ପରିତ୍ୟାଗ,ഉപേക്ഷിക്കുക
ଅଳିଆ ଆବେଗ,വധനം
ଆକସ୍ମିକ,ആകസ്മികമായ
ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |,കേവല ഫീൽഡ് ശക്തി
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,കേവല താപനില
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,യഥാർത്ഥ മൂല്യം
ଶୋଷଣ,ഉള്ക്കൊള്ളുക
ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
ଶୋଷଣୀୟ କ୍ଷତି |,ആഗിരണം നഷ്ടം
ବିସ୍ତୃତ,വേര്പെട്ടുനില്ക്കുന്ന
ଆକ୍ସଲେରୋମିଟର |,ആക്സിലറോമീറ്റർ
ଗ୍ରହଣ ପରୀକ୍ଷା,സ്വീകാര്യത പരിശോധന
ପ୍ରବେଶ,പ്രവേശനം
ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ,പ്രവേശന നിയന്ത്രണം
ପ୍ରବେଶ ବିନ୍ଦୁ,പ്രവേശന പോയിന്റ്
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,ആക്സസ് സമയം
ଅଭିଗମ୍ୟତା |,പ്രവേശനക്ഷമത
ଆକ୍ୟୁଲେଟର କକ୍ଷ |,സഞ്ചിത സെൽ
ସଠିକତା,കൃതത
ସଠିକ୍,സൂക്ഷ്മമായ
ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |,അച്രോമാറ്റിക് ലെൻസ്
ଏସିଡ୍ |,പുളിപ്പുള്ള
ଏସିଡ୍ ପ୍ରମାଣ |,ആസിഡ് തെളിവ്
ଅମ୍ଳତା,അസിഡിറ്റി
ସ୍ୱୀକୃତି ବିଟ୍,അംഗീകാര ബിറ്റ്
ଆକାଶବାଣୀ |,അക്കോസ്റ്റിക്
ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |,അക്കോസ്റ്റിക് ആശയവിനിമയം
ଆକାଶବାଣୀ ବିସ୍ତାର,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
ଆକାଶବାଣୀ ସମାନତା |,അക്കോസ്റ്റിക് ഇക്വൈസർ
ଆକାଶବାଣୀ ମତାମତ |,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,അക്കോസ്റ്റിക് ഇംപാസ്
ଆକାଶବାଣୀ ମାସ୍କିଂ |,അക്കോസ്റ്റിക് മാസ്കിംഗ്
ଆକାଶବାଣୀ ଶକ୍ତି |,അക്കോസ്റ്റിക് പവർ
ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |,അക്കോട്ടിക് റിയാൻസ്
ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ଆକାଶବାଣୀ ଟାଇଲ୍ |,അക്കോസ്റ്റിക് ടൈൽ
ଆକାଶବାଣୀ ତରଙ୍ଗ |,അക്ക ou സ്റ്റിക് തരംഗം
ଆକାଶବାଣୀ ଅବଶୋଷଣ |,ശബ്ദ ആഗിരണം
ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
ଆକାଶବାଣୀ ଡମ୍ପିଂ |,അക്കോസ്റ്റിക്കൽ നനവ്
ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ଆକାଶବାଣୀ ବିକୃତି |,അക്കോസ്റ്റിക്കൽ വക്രമാനം
ଆକାଶବାଣୀ ନଳୀ |,അക്കോസ്റ്റിക്കൽ നാളം
ଆକାଶବାଣୀ ଶକ୍ତି |,അക്കോസ്റ്റിക്കൽ എനർജി
ଆକାଶବାଣୀ ମତାମତ |,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
ଆକାଶବାଣୀ ଫିଲ୍ଟର |,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |,ശബ്ദപരമായി ഇൻസുലേറ്റ്
ଆକାଶବାଣୀ |,അക്കോസ്റ്റിക്സ്
ଅଧିଗ୍ରହଣ,കൈവശപ്പെടുത്തൽ
ଆକ୍ରୋନିମ୍ |,സംക്ഷേപം
କ୍ରିୟା କ୍ଷେତ୍ର,പ്രവർത്തന മേഖല
ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |,സജീവമാക്കിയ ഫിലമെന്റ്
ସକ୍ରିୟ,സജീവമായ
ସକ୍ରିୟ କ୍ଷେତ୍ର,സജീവ ഏരിയ
ସକ୍ରିୟ ୱିଣ୍ଡୋ |,സജീവ വിൻഡോ
ଅନୁକେତ,പൊരുത്തപ്പെടലി
ଆଡାପ୍ଟର (ଆଡାପ୍ଟର),അഡാപ്റ്റർ (അഡാപ്റ്റർ)
ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |,അഡാപ്റ്റീവ് ഡിഫറൻഷ്യൽ പൾസ് കോഡ് മോഡുലേഷൻ
ଠିକଣା ବହି,മേൽവിലാസ പുസ്തകം
ଠିକଣା ବସ୍,വിലാസ ബസ്
ଠିକଣା ରେଜୋଲୁସନ,വിലാസ മിഴിവ്
ସଂଲଗ୍ନ ଚ୍ୟାନେଲର ହସ୍ତକ୍ଷେପ |,തൊട്ടടുത്തുള്ള ചാനൽ ഇടപെടൽ
ସଂଲଗ୍ନ ଚ୍ୟାନେଲ ଚୟନ,തൊട്ടടുത്തുള്ള ചാനൽ സെലക്ടീവി
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି |,അടുത്തുള്ള ആവൃത്തി
ସଂଲଗ୍ନ ଫ୍ରିକ୍ୱେନ୍ସି ଚ୍ୟାନେଲ |,തൊട്ടടുത്തുള്ള ഫ്രീക്വൻസി ചാനൽ
ସଂଲଗ୍ନ ଚିତ୍ର ବାହକ |,തൊട്ടടുത്തുള്ള ചിത്ര കാരിയർ
ସଂଲଗ୍ନ ସାଉଣ୍ଡ ବାହକ |,തൊട്ടടുത്തുള്ള ശബ്ദ കാരിയർ
ସଂଲଗ୍ନ ଷ୍ଟେସନ |,അടുത്തുള്ള സ്റ്റേഷൻ
ନିୟନ୍ତ୍ରିତ,കമീകരിക്കുന്ന
ନିୟନ୍ତ୍ରିତ କଣ୍ଡେନ୍ସର୍ |,ക്രമീകരിക്കാവുന്ന കണ്ടൻസർ
ଚାପକୁ ସଜାଡିବା |,സമ്മർദ്ദം ക്രമീകരിക്കുന്നു
ରେଞ୍ଚ ଆଡଜଷ୍ଟ କରିବା |,റെഞ്ച് ക്രമീകരിക്കുന്നു
ଆଡଜଷ୍ଟମେଣ୍ଟ୍,കമപ്പെടുത്തല്
ପ୍ରଶାସକ,ഭരണാധിപന്
ଉନ୍ନତ ଟେକ୍ନୋଲୋଜି |,നൂതന സാങ്കേതികവിദ്യ
ବାୟୁ,ഏരിയൽ
ଏରିଲ୍ ଆରେ |,ഏരിയൽ അറേ
ଏରିଲ୍ ବୁଷ୍ଟର୍ |,ഏരിയൽ ബൂസ്റ്റർ
ଏରିଲ୍ କରେଣ୍ଟ୍ |,ഏരിയൽ കറന്റ്
ଏରିଲ୍ ମାଟିଙ୍ଗ୍ ସୁଇଚ୍ |,എയറൽ ഇയർത്തിംഗ് സ്വിച്ച്
ଏରିଲ୍ ଦକ୍ଷତା |,ഏരിയൽ കാര്യക്ഷമത
ଏରିଲ୍ ଇନପେଟେନ୍ସ |,ഏരിയൽ ഇതര
ଏରିଲ୍ ଇଣ୍ଡିକାନ୍ସ |,ഏരിയൽ ഉൾപ്പെടുത്തൽ
ଏରିଆଲ୍ ଇନସୁଲେଟର |,ഏരിയൽ ഇൻസുലേറ്റർ
ଏରିଆଲ୍ ଲୋଡିଂ କୋଇଲ୍ |,ഏരിയൽ ലോഡിംഗ് കോയിൽ
ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,ഏരിയൽ ഫോട്ടോഗ്രഫി
ଏରିଲ୍ ଶକ୍ତି |,ഏരിയൽ പവർ
ଏରିଆଲ୍ ବିକିରଣର ଲାଭ |,ആകാശ വികിരണ ഏലിസ്റ്റൻസ്
ଏରିୟାଲ୍ ପ୍ରତିକ୍ରିୟା |,ഏരിയൽ റിപ്രീൻസ്
ଏରୋଡାଇନାମିକ୍ସ,എയറോഡൈനാമിക്സ്
ସଂସ୍ଥା,നിര്വ്വഹണം
ବାୟୁ କମ୍ପ୍ରେସାକ୍ର,എയർ കംപ്രസ്സർ
ବାୟୁ କଣ୍ଡନସର୍ |,എയർ കണ്ടൻസർ
ବାୟୁ ଥଣ୍ଡା,വായു തണുപ്പിച്ചു
ବାୟୁ କୋଡ୍ କୋଇଲ୍ |,എയർ കോർഡ് കോയിൽ
Accometication,എയർ കണ്ടീഷനിംഗ്
ଆଲବେଡୋ |,ആൽബിഡോ
ଆଲଗୋରିଦମ,അൽഗോരിതം
ଛଦ୍ମନାମ,അപരനാത്മകം
ମିଶ୍ରଣ,വിന്യസിക്കുന്നു
ପରିଚାଳିତ,വിന്യാപകമായ
ସମସ୍ତ ତରଙ୍ଗ ବାୟୁ |,എല്ലാ തരംഗ ഏരിയലും
ଆବଣ୍ଟନ,പങ്കുവയ്ക്കല്
ବର୍ଣ୍ଣାନୁକ୍ରମିକ,അക്ഷരകമായ
ବର୍ଣ୍ଣମାଳା,ആൽഫാന്യൂമെറിക്
ବର୍ଣ୍ଣମାଳା ଚରିତ୍ର |,ആൽഫാന്യൂമെറിക് പ്രതീകം
ବର୍ଣ୍ଣମାଳା ସୂଚନା,ആൽഫാന്യൂമെറിക് വിവരങ്ങൾ
