English,Assamese
abacus,"১.এবাকাছ, ২. গণনা কৰি আছে"
abnormal termination,অস্বাভাৱিক অন্ত
abort,ইন্টাৰচেপ্ট
absolute,"১.নিৰপেক্ষ, ২. পৰম"
absolute address,নিৰপেক্ষ ঠিকনা
absolute addressing,নিৰপেক্ষ ঠিকনাযোগ্যতা
absolute assembler,নিৰপেক্ষ এছেম্বলাৰ
absolute code,"১.নিৰপেক্ষ ক&#39;ড, ২. নিৰপেক্ষ ক&#39;ড"
absolute command,নিৰপেক্ষ আদেশ
absolute data,"১.নিৰপেক্ষ চিত্ৰ, ২. নিৰপেক্ষ তথ্য"
absolute instruction,নিৰপেক্ষ নিৰ্দেশনা
absolute mode,নিৰপেক্ষ ধৰণ
absolute path,নিৰপেক্ষ পথ
absolute programming,"1. নিৰপেক্ষ প্ৰগ্ৰেমিং, 2. নিৰপেক্ষ প্ৰগ্ৰেমিং"
abstract class,বিমূৰ্ত শ্ৰেণী
abstract data type,বিমূৰ্ত তথ্যৰ ধৰণ
abstract machine,বিমূৰ্ত মেচিন
abstract symbol,বিমূৰ্ত চিহ্ন
abstract syntax,বিমূৰ্ত বাক্যবিন্যাস
acceptance testing,গ্ৰহণযোগ্যতা পৰীক্ষা
access authentication,প্ৰৱেশ প্ৰমাণীকৰণ
access code,"1. প্ৰৱেশ ক&#39;ড, 2. প্ৰৱেশ ক&#39;ড"
access control,প্ৰৱেশ নিয়ন্ত্ৰণ
access scan,অভিগম স্কেনিং
accessory,আনুষংগিক বস্তু
account,হিচাপ-নিকাচ
account ID,"1. একাউণ্ট আইডি, 2. একাউণ্টিং চিনাক্তকৰণ"
accumulator,এক্যুলেটৰ
accuracy,"১/ সঠিকতা, ২. শুদ্ধতা"
acess,প্ৰৱেশাধিকাৰ
acess control byte,অভিগম নিয়ন্ত্ৰণ বাইটসমূহ
acess index,প্ৰৱেশ সূচক
acess key,অভিগম কি&#39;
acess matrix,"1. অভিগম মেট্ৰিক্স, 2. অভিগম মেট্ৰিক্স"
