Hindi,Odiya
आबेली समूह,ଆବେଲି ଗୋଷ୍ଠୀ |
आबेली सामिसमूह,ଆବେଲି ଗୋଷ୍ଠୀ |
भुज,ହାତ
"निरपेक्ष, परम, अचर, परिशुद्‌ध","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
निरपेक्ष अभिसरण,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
निरपेक्ष त्रुटि,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
परम उच्चिष्ठ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
परम निम्निष्ठ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
निरपेक्ष मान,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
निरपेक्ष वेग,ସଂପୂର୍ଣ୍ଣ ବେଗ
अमूर्त बीजगणित,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
अमूर्त समूह सिद्‌धांत,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
त्वरण,ତ୍ୱରଣ
गुरुत्वीय त्वरण,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
स्वीकार्य वरण-समुच्चय,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
स्वीकार्य गुणता स्तर,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
स्वीकार्य परिसर,ଗ୍ରହଣୀୟ ପରିସର
मान्य विश्वसनीयता स्तर,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
स्वीकरण-प्रतिचयन,ଗ୍ରହଣ ନମୁନା
संचित त्रुटि,ସଂଗୃହିତ ତ୍ରୁଟି |
यथार्थता,ସଠିକତା
लगा हुआ बल,ପ୍ରୟୋଗ ଶକ୍ତି
" क्रिया , कर्म","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
क्रिया और प्रतिक्रिया,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
बीमा विज्ञान,ବୀମା ବିଜ୍ଞାନ |
न्यूनकोण त्रिभुज,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
अचक्रीय,acyclic
"योग करना, जोड़ना",ସଂକ୍ଷେପରେ
योजक,ଆଡର୍
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
योग का सूत्र,ଯୋଗର ସୂତ୍ର
सम्मिश्र संख्याओं का योग,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
फलनों का योग,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
आव्यूहों का योग,ମାଟ୍ରିକ୍ସର ରାଶି
बहुपदों का योग,ବହୁଜନର ସମଷ୍ଟି |
प्रायिकताओं का योग,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
सदिशों का योग,ଭେକ୍ଟରର ରାଶି
"योग प्रमेय बेरीज सिद्‌धांत,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
योज्य समूह,ଯୋଗୀ ଗୋଷ୍ଠୀ |
योज्य व्युत्क्रम,ଯୋଗୀ ଓଲଟା |
"योज्यता, योगशीलता",ଯୋଗନୀୟତା |
योज्यता,ଯୋଗନୀୟତା |
आसन्नता आव्यूह,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
" संलग्न, निकटवर्ती , आसन्न","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
आसन्न कोण,ସଂଲଗ୍ନ କୋଣ
