Odiya,Tamil
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,வெஸ்ட்மின்ஸ்டர் அபே
ଅବକ୍ଷୟ,துறவு
ଦାସତ୍ୱ ରଦ୍ଦ,அடிமைத்தனத்தை ஒழித்தல்
ଆଦିବାସୀ,பழங்குடியினர்
ଅବ୍ରହାମ ଏରା,ஆபிரகாம் சகாப்தம்
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,இல்லாத நில உரிமையாளர்கள்
ଏକାଡେମୀ |,கலைக்கூடம்
ଆକ୍ରା ସମ୍ମିଳନୀ |,அக்ரா மாநாடு
ଆକ୍ରୁଏଲ୍ |,திரட்டல்கள்
ଆକଲଚ୍ୟୁଚର୍,வளர்ப்பு
ଆକେଲଡାମା |,அசெல்டாமா
ଆଖିଆନ୍ (= ଆଚିଆନ୍),அச்சேயன் (=ஆச்சியன்)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
ଆକ୍ରୋପଲିସ୍ |,அக்ரோபோலிஸ்
ଆକ୍ଟା ଡିଆର୍ନା |,ஆக்டா டைர்னா
ଆକ୍ଟା ସେନାଟସ୍ |,ஆக்டா செனடஸ்
ଆକ୍ଟ ଆଡେଲ୍ |,Acte Additionel
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,அடையும் செயல்
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,இழப்பீடு மற்றும் மறதியின் செயல்
ସମାଧାନ ନିୟମ,தீர்வு சட்டம்
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,விளம்பர ஒப்பந்த முத்திரை
ଆଡୁଲାମାଇଟ୍ସ |,அதுலமைட்டுகள்
ଶତ୍ରୁ,எதிரி
ଶତ୍ରୁ,எதிரி
ଆଓନ୍,ஏயோன்
ଏରାରିୟମ୍ |,ஏரேரியம்
ବାୟୁ ଯୁଦ୍ଧ |,வான்வழிப் போர்
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,ஏட்டோலியன் லீக்
ବୟସ,வயது
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),முதுமை (=வயதான)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,வயதான செயல்முறை
ଆଗେଲାଇ |,அகெலாய்
Ival ିଭାଲିର ବୟସ |,வீரத்தின் வயது
ଜ୍ଞାନର ବୟସ |,அறிவாற்றல் வயது
ପେରିକଲ୍ସର ବୟସ |,பெரிக்கிள்ஸ் வயது
କାରଣର ବୟସ |,பகுத்தறிவு வயது
କୃଷିବାଦ,விவசாயம்
କୃଷି ଆନ୍ଦୋଳନ |,விவசாய இயக்கம்
ଆଲବିଅନ୍ |,அல்பியன்
ଆଲବମ୍,ஆல்பம்
ଆଲଡରମ୍ୟାନ୍ |,ஆல்டர்மேன்
ଭ୍ରାନ୍ତ ବାହୁ |,கவர்ச்சியான ஆயுதங்கள்
ବନ୍ଧୁତା,அமிட்டி
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,ஆம்ஃபிக்டியோனிக் கவுன்சில்
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,ஆம்ஃபிக்டியோனிக் லீக்
ଆମ୍ଫିଥେଟର,ஆம்பிதியேட்டர்
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),அம்ரி நல் குழு (மட்பாண்டங்கள்)
ଆନାକ୍ରୋନିଜିମ୍ |,அனாக்ரோனிசம்
ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |,காலமற்ற
ପୂର୍ବପୁରୁଷ,மூதாதையர்
ପୂର୍ବପୁରୁଷ ପୂଜା |,முன்னோர் வழிபாடு
ପିତୃପୁରୁଷ,பரம்பரை
ପିତୃପୁରୁଷ,பரம்பரை
ପିତୃପୁରୁଷ,பரம்பரை
ପିତୃପୁରୁଷ,பரம்பரை
ପ୍ରାଚୀନ ଶାସନ,பண்டைய ஆட்சி
ପ୍ରାଚୀନ,பண்டைய
ପ୍ରାଚୀନ ବାଲାଡ୍ |,பழங்கால பாலாட்
ପ୍ରାଚୀନ ବିଶ୍ୱାସ,பண்டைய நம்பிக்கை
ପ୍ରାଚୀନ ପ୍ରଥା,பண்டைய வழக்கம்
ପ୍ରାଚୀନ ଇତିହାସ,பண்டைய வரலாறு
ପ୍ରାଚୀନ ସ୍ମାରକୀ,பழங்கால நினைவுச்சின்னங்கள்
ଉପନ୍ୟାସ,சிறுகதை
ଆଞ୍ଜେଲଟ୍ |,ஏஞ்சலோட்
ଆଞ୍ଜେଲସ୍ |,ஏஞ்சலஸ்
ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍),ஆஞ்செவின் (=அஞ்செவின்)
କୋଣ,கோணங்கள்
ଅଙ୍ଗଲିକାନ୍ |,ஆங்கிலிகன்
ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |,ஆங்கிலிகன் ஒற்றுமை
ଅଙ୍ଗଲିକାନିଜିମ୍ |,ஆங்கிலிக்கனிசம்
ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |,ஆங்கிலோ-போப்
ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |,ஆங்கிலோ-ஃபோபியா
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |,ஆங்கிலோ-சாக்சன்
ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |,ஆங்கிலோ-சாக்சோனிசம்
ଆନ୍ନାଲିଷ୍ଟ |,அன்னாலிஸ்ட்
ବାର୍ଷିକ,அன்னல்
ସଂଲଗ୍ନ,இணைப்பு
ଆଣ୍ଟେ-ବେଲମ୍ |,ஆன்டி-பெல்லம்
ଆଣ୍ଟେ ତାରିଖ |,முன் தேதி
ଧର୍ମ-ବିରୋଧୀ,மதகுருத்துவத்திற்கு எதிரானது
ଧର୍ମ-ବିରୋଧୀ ନିୟମ,மதகுருவுக்கு எதிரான சட்டம்
ପ୍ରାଚୀନତା,பழமை
ଆଣ୍ଟି-ଭଡା,எதிர்ப்பு வாடகை
ଆଣ୍ଟି-ଭଡା,எதிர்ப்பு வாடகை
ବିରୋଧୀ ଦଳ,யூத எதிர்ப்பு
ଅଞ୍ଜାକ |,அன்சாக்
ଆପେଲା |,அப்பெல்லா
ଅରୁଲୁ |,அரலு
ଆର୍ ବିଶପ୍ |,பேராயர்
ଆର୍ ଡୁଚି |,ஆர்ச் டச்சி
ଆର୍ ଡ୍ୟୁକ୍ |,ஆர்ச் டியூக்
ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ),காப்பகம் (=காப்பக சேகரிப்பு)
ଆର୍କିପିସ୍କୋପେଟ୍ |,ஆர்க்கிபிஸ்கோபேட்
ଆଭିମୁଖ୍ୟ,பிரபுத்துவம்
ଆରିଷ୍ଟୋକ୍ରାଟ୍ |,பிரபு
ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |,பிரபுத்துவ ஸ்னோபரி
ଆରିଷ୍ଟୋଟେଲିଆନ୍ |,அரிஸ்டாட்டிலியன்
ଆର୍ମଡା |,அர்மடா
ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା),அர்மடா (=ஸ்பானிய அர்மடா)
ବାହୁବଳୀ (= ବାହୁବଳୀ),கவசக்காரர் (=கவசக்காரர்)
ବାହୁବଳୀ (= ବାହୁବଳୀ),கவசம் (=கவசம்)
ବାହୁବଳୀ |,ஆயுதக்கடைக்காரர்
ଆର୍ଯ୍ୟନ୍,ஆர்யன்
ଆର୍ଯ୍ୟନ୍,ஆர்யன்
ଆସ୍କାରି |,அஸ்காரி
ନ୍ୟସ୍ତ କରନ୍ତୁ |,ஒதுக்கு
Assize,உதவு
Assize,உதவு
Assize,உதவு
