Bengali,English
এসি সমতুল্য সার্কিট,A C equivalent circuit
এনালগ থেকে সাংখ্যিক রূপান্তরকারী,A to D converter
পরম শূন্য,Absolute zero
শোষণ গুণাঙ্ক,Absorption coefficient
শোষণ বর্ণালী,Absorption spectrum
রিসেপ্টর পরমাণু,Acceptor atom
বিকল্প বর্তমান যুগল,A C coupling
ইলেক্ট্রন সংগ্রহ,Accumulation of electron
গর্ত স্টোরেজ,Accumulation of holes
অ্যাক্টিভেশন শক্তি,Activation energy
সক্রিয় পরিবর্ধক,Active amplifier
সক্রিয় ডায়োড সার্কিট,Active diode circuit
সক্রিয় ফিল্টার,Active filter
সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার,Active high pass filter
সক্রিয় লোড,Active load
সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার,Active low pass filter
সক্রিয় এলাকা,Active region
অভিযোজিত ইলেকট্রনিক্স,Adaptive electronics
যোগকারী,Adder
সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন,Adjustable band width
অনুপ্রবেশ,Admittance
এরিয়েল,Aerial
পিপ ফ্রিকোয়েন্সি,Agility frequency
এয়ার কন্ডিশনার,Air conditioner
প্রান্তিককরণ,Alignment
অ্যালগরিদম,Algorithm
সমস্ত পাস ফিল্টার,All pass filter
খাদ জংশন,Alloy junction
ক্ষয়,Attenuation
বিবর্তিত বিদ্যুৎ,Alternating current (AC)
পরিবেষ্টিত তাপমাত্রা,Ambient temperature
বাইপোলার,Ambipolar
পরিবর্ধন,Amplification
পরিবর্ধক,Amplifier
পরিবর্ধক দক্ষতা,Amplifier efficiency
মাত্রা,Amplitude
প্রশস্ততা ক্ষয়,Amplitude altenuation
প্রশস্ততা মডুলেটেড এএম অসিলেটর,Amplitude modulated oscillator
প্রশস্ততা মড্যুলেশন,Amplitude modulation
প্রশস্ততা মডুলেটর,Amplitude modulator
অ্যাংস্ট্রম ইউনিট,Angstrom unit
এনালগ সার্কিট,Analog circuit
এনালগ কম্পিউটার,Analog computer
এনালগ ফিল্টার,Analog filter
এনালগ মাল্টিমিটার,Analog multimeter
এনালগ সুইচ,Analog switch
এবং গেট,AND gate
কৌণিক কম্পাংক,Angular frequency
"anion, anion",Anion
অ্যানিলিং তাপমাত্রা,Annealing temperature
অ্যানোড,Anode
অ্যানোড পরিবর্ধক,Anode amplifier
anodyne,Anodization
অ্যান্টেনা,Antenna
অ্যান্টেনা উপাদান,Antenna elements
বিরোধী প্রতিফলিত আবরণ,Anti-reflection coating
অ্যান্টিলগইন পরিবর্ধক,Anti-log amplifier
অ্যান্টিরেজোন্যান্ট সার্কিট,Anti-resonant circuit
দ্বারক যুগ,Aperture time
ভার্চুয়াল শক্তি,Apparent power
তারের সংযোগ,Apparent wiring
আনুমানিক ভোল্টেজ লাভ,Approximate voltage gain
আর্মস্ট্রং মডুলেটর,Armstrong modulator
অ্যান্টেনা অ্যারে,Arrays of antenna
"সাইজ রেশিও, অ্যাসপেক্ট রেশিও",Aspect ratio
ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট),Astable circuit (free running circuit)
স্বয়ংক্রিয় মাল্টিভাইব্রেটর,Astable multivibrator
ভাসমান মাল্টিভাইব্রেটর,Astable multivibrator
অপ্রতিসম জংশন,Asymmetrical junction
অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর,Asynchronous counters
পারমাণবিক,Atom
পারমাণবিক সংখ্যা,Atomic number
পারমাণবিক গঠন,Atomic structure
অডিও পরিবর্ধক,Audio amplifier
অডিও পরিবর্ধক,Audio amplifier
অডিও ক্যাসেট,Audio cassette
অডিও সার্কিট,Audio circuit
শ্রবণযোগ্য ফ্রিকোয়েন্সি,Audio frequency
স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ,Automatic voltage control
তুষারপাত,Avalanche
গড় আবিষ্কারক,Average detector
অক্ষীয় মোড,Axial mode
অক্ষীয় অনুপাত,Axial ratio
অ্যান্টেনা,Antenna
ব্যাক ইলেক্ট্রোমোটিভ ফোর্স,Back e.m.f.
পিছনের এলাকা,Back field
ব্যাক স্ক্যাটার,Back scattering
ব্যাকগ্রাউন্ড চার্জ,Background charge
পার্শ্ব গোলমাল,Background noise
পশ্চাদপসরণ,Backlash
পোস্টেরিয়র বিকিরণ,Backlobe radiation
ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড,Backward diode
ব্যাকওয়ার্ড ওয়েভ অসিলেটর,Backward wave oscillator
"বাধা, বাধা",Baffle
বাধা,Baffle shield
সুষম সেতু,Balanced bridge
সুষম মডুলেটর,Balanced demodulator
সুষম মডুলেটর,Balanced modulator
সুষম সার্কিট,Balanced network
সুষম গ্রেডিয়েন্ট ডিটেক্টর,Balancedslope detector
বর্তমান স্টেবিলাইজার প্রতিরোধের,Ballast resistors
বোলোমিটার,Balometer
বোলোমিটার সেতু,Balometer bridge
বেলুন,Balun
কলা জ্যাক,Banana jack
কলা প্লাগ,Banana plug
"ব্যান্ড, ব্যান্ডেজ",Band
ব্যান্ড ড্রাইভার,Band conduction
ব্যান্ড শক্তি,Band energy
ব্যান্ড ফাঁক,Band gap
ব্যাডপার্ক পরিবর্ধক,Band pass amplifier
ব্যান্ড পাস ফিল্টার,Band pass filter
বড রেট জেনারেটর,Baud rate generator
banddispersion,Band spreading
ব্যান্ড প্রতিরোধক,Band stop
ব্যান্ড ব্রেকার ফিল্টার,Band stop filter
ব্যান্ড সম্প্রসারণ,Band width
ব্যান্ড রিমুভার ফিল্টার,Band-elimination filter
ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার,Bandwidth dispersion product
ব্যান্ড এক্সটেনশন দূরত্ব গুণক,Bandwidth distance product
"বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর",Bank capacity
"বার্কার কোড, বার্কার কোড",Barker code
barravaugen মানদণ্ড,Barkhausen criterion
বাধাদানকারী,Barretter
বাধা,Barrier
অন্তরক ক্যাপাসিটর,Barrier capacitor
বাধা শক্তি,Barrier energy
প্রতিরোধক ভোল্টেজ,Barrier voltage
বার্টলেট উইন্ডো,Bartlett window
"ভিত্তি, ভিত্তি",Base
বেস ব্যান্ড,Base band
বেস ব্যান্ড ট্রান্সমিশন,Base band transmission
বেস চার্জ,Base charge
ভিত্তি বর্তমান,Base current
ভিত্তি বর্তমান উৎস,Base current source
বেস শিয়ারিং,Base dipping
আধার মদন,Base doping
বেস ইমিটার ফিড,Base emitter feedback
বেস ইমিটার জংশন,Base emitter junction
বেস ইনজেকশন,Base infection
স্থল লাইন,Base line
বেস প্রতিরোধের,Base resistance
ভিত্তি উৎস,Base source
বেস সম্প্রসারণ প্রতিরোধের,Base spreading resistance
বেস সম্প্রসারণ প্রতিরোধের,Base spreading resistance
ভিত্তি বেধ,Base thickness
বেস অ্যাক্সেস,Base transport
"বেস উইথ মডুলেশন, বেস এক্সপেনশন মডুলেশন",Base width modulation
বেস কালেক্টর চুক্তি,Base-collector junction
গন্ধ,Bass
খাদ ফ্রিকোয়েন্সি,Bass frequency
ব্যাটারি,Battery
বউড,Baud
বড হার,Baud rate
বড রেট জেনারেটর,Baud rate generator
বোডো কোড,Baudot code
"সংকেত, বীকন",Beacon
"মানিকা, বিড",Bead
ম্যানিক ক্যাপাসিটর,Bead capacitor
মানিকর্তপি প্রতিরোধক,Bead thermister
"মরীচি অ্যান্টেনা, মরীচি অ্যান্টেনা",Bean antenna
মরীচি আবিষ্কারক,Beam finder
মরীচি পাওয়ার পায়ের পাতার মোজাবিশেষ,Beam power tube
মরীচি সুইচিং অগ্রভাগ,Beam switching tube
মরীচি সম্প্রসারণ,Beam width
বীট ফ্রিকোয়েন্সি,Beat frequency
বীট-ফ্রিকোয়েন্সি অসিলেটর,Beat frequency oscillator
পালস অসিলেটর,Beat oscillator
বেল,Bel
নমন ক্ষতি,Bending loss
বেসেল ফিল্টার,Bessel filter
বেটা,Beta
b-h বক্ররেখা,B-H curve
"পক্ষপাত, পক্ষপাত",Bias
পক্ষপাত বর্তমান,Bias current
পক্ষপাত প্রতিরোধ,Bias resistor
ডবল অ্যান্টেনা,Biconical antenna
দ্বিমুখী লোড বর্তমান,Bidirection load current
দ্বিমুখী অ্যান্টেনা,Bi-directional antenna
দ্বিমুখী আলো নির্গত ডায়োড,Bidirectional LED
দ্বিমুখী থাইরিস্টর,Bidirectional thyristor
bi FET প্রযুক্তি,Bi-FET technology
দ্বি-বিন্দু ট্রান্সফরমার,Bifilar transformer
ডবল ফিউশন,Bifilar winding
দ্বিপাক্ষিক সার্কিট,Bilateral network
বাইনারি,Binary
বাইনারি যোগফল,Binary addition
বাইনারি সার্কিট,Binary circuit
বাইনারি কোডেড দশমিক,Binary coded decimal (BCD)
বাইনারি কোডেড দশমিক সিস্টেম,Binary coded decimal system
বাইনারি ডাইপোল ক্যাপাসিটর,Binary commutating capacitor
বাইনারি ক্যালকুলেটর,Binary counter
বাইনারি ক্যালকুলেটর,Binary counter
বাইনারি ডিকোডার,Binary decoder
বাইনারি মই,Binary ladder
বাইনারি প্যাথোমিটার,Binary odometer
বাইনারি অবস্থা,Binary state
বাইনারি-ডেসিমেল ডিকোডার,Binary to decimal decoders
বাইনারি লোড,Binary weight
বাইনারি শব্দ,Binary word
বাইপোলার,Bipolar
বাইপোলার ক্যাপাসিটর,Bipolar capacitor
বাইপোলার ডিভাইস,Bipolar device
বাইপোলার উৎস,Bipolar power supply
বাইপোলার ট্রানজিস্টর,Bipolar transistor
বাইপোলার জংশন ট্রানজিস্টর,Bipolar junction transistor
দ্বিঘাত ফিল্টার,Biquad filter
ডবল অবস্থান,Bistable
দুই-পর্যায়ের মাল্টিভাইব্রেটর,Bistable multivibratic
দ্বিমুখী রিলে,Bistable relay
দুই-পর্যায়ের রাষ্ট্র,Bistable state
দুই-পজিশন ট্রিগার,Bistable trigger
বিট ত্রুটি,Bit error
বিট ত্রুটি হার,Bit error rate (BER)
