Punjabi,Bengali
"1. ਅਬੈਕਸ, 2. ਗਿਣਤੀ","1.অ্যাবাকাস, 2. গণনা"
ਅਸਧਾਰਨ ਅੰਤ,অস্বাভাবিক সমাপ্তি
ਰੁਕਾਵਟ,পথিমধ্যে রোধ করা
"1. ਸੰਪੂਰਨ, 2. ਸੁਪਰੀਮ","1. পরম, 2. সর্বোচ্চ"
ਪੂਰਾ ਪਤਾ,পরম ঠিকানা
ਸੰਪੂਰਨ ਪਤਾਯੋਗਤਾ,পরম ঠিকানাযোগ্যতা
ਪੂਰਨ ਅਸੈਂਬਲਰ,পরম সংযোজনকারী
"1. ਸੰਪੂਰਨ ਕੋਡ, 2. ਪੂਰਨ ਕੋਡ","1. পরম কোড, 2. পরম কোড"
ਪੂਰਨ ਹੁਕਮ,পরম আদেশ
"1. ਸੰਪੂਰਨ ਅੰਕੜੇ, 2. ਪੂਰਨ ਡਾਟਾ","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
ਪੂਰਨ ਹਦਾਇਤ,পরম নির্দেশ
ਪੂਰਨ ਮੋਡ,পরম মোড
ਪੂਰਨ ਮਾਰਗ,পরম পথ
"1. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
ਐਬਸਟਰੈਕਟ ਕਲਾਸ,বিমূর্ত ক্লাস
ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ,বিমূর্ত তথ্য প্রকার
ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ,বিমূর্ত মেশিন
ਸੰਖੇਪ ਚਿੰਨ੍ਹ,বিমূর্ত প্রতীক
ਸੰਖੇਪ ਸੰਟੈਕਸ,বিমূর্ত বাক্য গঠন
ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟ,স্বীকৃতি পরীক্ষা
ਪਹੁੰਚ ਪ੍ਰਮਾਣੀਕਰਣ,অ্যাক্সেস সার্টিফিকেশন
"1. ਪਹੁੰਚ ਕੋਡ, 2. ਐਕਸੈਸ ਕੋਡ","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
ਪਹੁੰਚ ਕੰਟਰੋਲ,প্রবেশাধিকার নিয়ন্ত্রণ
ਐਕਸੈਸ ਸਕੈਨਿੰਗ,অ্যাক্সেস স্ক্যানিং
ਸਹਾਇਕ ਉਪਕਰਣ,আনুষাঙ্গিক
ਲੇਖਾਕਾਰੀ,অ্যাকাউন্টিং
"1. ਖਾਤਾ ID, 2. ਲੇਖਾ ਪਛਾਣ","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,সঞ্চয়কারী
"1. ਸ਼ੁੱਧਤਾ, 2. ਸ਼ੁੱਧਤਾ","1. নির্ভুলতা, 2. সঠিকতা"
ਪਹੁੰਚ,অ্যাক্সেস
ਪਹੁੰਚ ਕੰਟਰੋਲ ਬਾਈਟ,অ্যাক্সেস নিয়ন্ত্রণ বাইট
ਪਹੁੰਚ ਸੂਚਕ,অ্যাক্সেস সূচক
ਪਹੁੰਚ ਕੁੰਜੀ,অ্যাক্সেস কী
"1. ਪਹੁੰਚ ਮੈਟਰਿਕਸ, 2. ਪਹੁੰਚ ਮੈਟਰਿਕਸ","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
ਪਹੁੰਚ ਮੋਡ,অ্যাক্সেস মোড
ਪਹੁੰਚ ਅਧਿਕਾਰ,সুযোগ সুবিধা
ਪਹੁੰਚ ਸੁਰੱਖਿਆ,অ্যাক্সেস নিরাপত্তা
"1. ਐਕਸੈਸ ਸਰਵਰ, 2. ਸਰਵਰ ਤੱਕ ਪਹੁੰਚ","1. অ্যাক্সেস সার্ভার, 2. অ্যাক্সেস সার্ভার"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,প্রবেশাধিকার সময়
ਮਾਨਤਾ,স্বীকৃতি
ਧੁਨੀ ਵਿਗਿਆਨ,ধ্বনিবিদ্যা
"1. ਸੰਖੇਪ ਰੂਪ, 2. ਸੰਖੇਪ, 3. ਤੋਂ ਛੋਟਾ","1. আদ্যক্ষর, 2. সংক্ষিপ্ত রূপ, 3. থেকে সংক্ষিপ্ত"
ਕਾਰਵਾਈ ਸੁਨੇਹਾ,কর্ম বার্তা
ਸਰਗਰਮੀ,সক্রিয়করণ
ਸਰਗਰਮ ਸਰਵਰ ਪੰਨਾ,সক্রিয় সার্ভার পৃষ্ঠা
ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ,সক্রিয় সংস্করণ
acyclic,অ্যাসাইক্লিক
"1. ਏਸਾਈਕਲਿਕ ਗ੍ਰਾਫ਼, 2. acyclic ਗ੍ਰਾਫ਼","1. অ্যাসাইক্লিক গ্রাফ, 2. অ্যাসাইক্লিক গ্রাফ"
ਅਦਾ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ,অ্যাডা কম্পিউটার ল্যাঙ্গুয়েজ
"1. ਆਪਟੀਮਾਈਜ਼ਰ, 2. ਆਪਟੀਮਾਈਜ਼ਰ","1. অপ্টিমাইজার, 2. অপ্টিমাইজার"
ਜੋੜ),যোগ করা)
sum ਫਾਈਲ,সমষ্টি ফাইল
"1. ਐਡੀਸ਼ਨ ਓਪਰੇਸ਼ਨ, 2. ਸੰਯੁਕਤ ਕਾਰਵਾਈ","1. সংযোজন অপারেশন, 2. যোগফল অপারেশন"
ਜੋੜਨ ਵਾਲਾ,যোগকারী
ਜਾਣੋ,জানি
ਪਤਾ ਬੱਸ,ঠিকানা বাস
ਐਡਰੈੱਸ ਫਾਈਲ,ঠিকানা ফাইল
ਪਤਾ ਫਾਰਮੈਟ,ঠিকানা বিন্যাস
ਪਤਾ ਜਨਰੇਟਰ,ঠিকানা জেনারেটর
ਐਡਰੈੱਸ ਲਾਈਨ,ঠিকানা লাইন
ਪਤਾ ਮੈਪਿੰਗ,ঠিকানা ম্যাপিং
ਪਤਾ ਸੂਚਕ,ঠিকানা নির্দেশক
ਪਤਾ ਰਜਿਸਟਰ,ঠিকানা রেজিস্টার
ਪਤਾ ਟੁੱਟਣ,ঠিকানা ভাঙ্গন
ਪਤਾ ਅਨੁਵਾਦ,ঠিকানা অনুবাদ
"1. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ, 2. ਪਤਾ ਕਰਨ ਯੋਗ ਮੈਮੋਰੀ","1. ঠিকানাযোগ্য স্মৃতি, 2. ঠিকানাযোগ্য মেমরি"
ਸੰਬੋਧਨ ਕਰਦੇ ਹੋਏ,সম্বোধন
"1. ਪੂਰਤੀ ਮਾਪਦੰਡ, 2. ਅਨੁਕੂਲਤਾ ਮਾਪਦੰਡ","1. পর্যাপ্ততার মানদণ্ড, 2. পর্যাপ্ততার মানদণ্ড"
ਲਗਾਵ,সংযুক্তি
"1. ਪ੍ਰਬੰਧਨ, 2. ਕੰਟਰੋਲ","1. ব্যবস্থাপনা, 2. নিয়ন্ত্রণ"
"1. ਮੈਨੇਜਰ, 2. ਕੰਟਰੋਲਰ","1. ম্যানেজার, 2. নিয়ামক"
