Kannada,Odiya
ಅಬೆಲಿ ಗುಂಪು,ଆବେଲି ଗୋଷ୍ଠୀ |
ಅಬೆಲಿ ಗುಂಪು,ଆବେଲି ଗୋଷ୍ଠୀ |
ಕೈ,ହାତ
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସଠିକ୍ |"
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
ಸಂಪೂರ್ಣ ದೋಷ,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ,ସର୍ବୋଚ୍ଚ ସର୍ବୋଚ୍ଚ
ಸಂಪೂರ್ಣ ಕಡಿಮೆ,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
ಸಂಪೂರ್ಣ ವೇಗ,ସଂପୂର୍ଣ୍ଣ ବେଗ
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
ವೇಗವರ್ಧನೆ,ତ୍ୱରଣ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,ମାଧ୍ୟାକର୍ଷଣ ତ୍ୱରଣ |
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ,ଗ୍ରହଣୀୟ ଚୟନକର୍ତ୍ତା |
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ,ଗ୍ରହଣୀୟ ପରିସର
ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,ବ valid ଧ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
ಸ್ವೀಕಾರ ಮಾದರಿ,ଗ୍ରହଣ ନମୁନା
ಸಂಚಿತ ದೋಷ,ସଂଗୃହିତ ତ୍ରୁଟି |
ನಿಖರತೆ,ସଠିକତା
ಅನ್ವಯಿಸಿದ ಬಲ,ପ୍ରୟୋଗ ଶକ୍ତି
"ಕ್ರಿಯೆ, ಕಾರ್ಯ","କାର୍ଯ୍ୟ, କାର୍ଯ୍ୟ"
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
ವಿಮಾ ವಿಜ್ಞಾನ,ବୀମା ବିଜ୍ଞାନ |
ತೀವ್ರ ತ್ರಿಕೋನ,ତୀବ୍ର ତ୍ରିରଙ୍ଗା |
ಅಸೈಕ್ಲಿಕ್,acyclic
ಒಟ್ಟುಗೂಡಿಸಲು,ସଂକ୍ଷେପରେ
ಸೇರಿಸುವವನು,ଆଡର୍
"ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)","ରାଶି, ଯୋଗ, ସମୀକରଣ (ଗ।), ଯୋଗୀ (v।)"
ಯೋಗದ ಸೂತ್ರ,ଯୋଗର ସୂତ୍ର
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ସମଷ୍ଟି |
ಕಾರ್ಯಗಳ ಮೊತ್ತ,କାର୍ଯ୍ୟଗୁଡ଼ିକର ସମଷ୍ଟି
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ,ମାଟ୍ରିକ୍ସର ରାଶି
ಬಹುಪದಗಳ ಮೊತ್ತ,ବହୁଜନର ସମଷ୍ଟି |
ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ,ସମ୍ଭାବ୍ୟତାର ସମଷ୍ଟି
ವಾಹಕಗಳ ಮೊತ್ತ,ଭେକ୍ଟରର ରାଶି
"ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ,","ଯୋଗ ଥିଓରେମ୍, ବିରି ଥିଓରୀ"
ಸಂಯೋಜಕ ಗುಂಪು,ଯୋଗୀ ଗୋଷ୍ଠୀ |
ಸಂಯೋಜಕ ವಿಲೋಮ,ଯୋଗୀ ଓଲଟା |
ಸೇರಿಸುವಿಕೆ,ଯୋଗନୀୟତା |
ಸೇರಿಸುವಿಕೆ,ଯୋଗନୀୟତା |
ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
"ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ","ସଂଲଗ୍ନ, ସଂଲଗ୍ନ, ସଂଲଗ୍ନ"
ಪಕ್ಕದ ಕೋನ,ସଂଲଗ୍ନ କୋଣ
ಪಕ್ಕದ ಶೃಂಗ,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
ಸಂಯೋಜಿಸಲು,ସହଯୋଗ କରିବାକୁ
"ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ,",ସଂଲଗ୍ନ ଏନକ୍ଲୋଜର
ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ,ସାଧାରଣ ନିର୍ଣ୍ଣୟକାରୀ |
ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ,ସଂଲଗ୍ନ ଡିଫେରିଏଲ୍ ସମୀକରଣ |
ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ,ସଂଲଗ୍ନ ସମୀକରଣ
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು,ମ୍ୟାଟ୍ରିକ୍ସ କୋଭାରିଆନ୍ସ |
ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್,କୋହୋମୋଜେନସ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ,ଗ୍ରହଣୀୟ ଅନୁମାନ
ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
ವಾಯುಬಲವಿಜ್ಞಾನ,ଏରୋଡାଇନାମିକ୍ସ |
ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ,ଏକମାତ୍ର ଜ୍ୟାମିତି |
ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್,ଏକମାତ୍ର ମ୍ୟାପିଙ୍ଗ୍ |
ಏಕರೂಪದ ರೂಪಾಂತರ,ଏକମାତ୍ର ପରିବର୍ତ୍ତନ
ಒಟ್ಟು ವೇರಿಯಬಲ್,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
"ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ","ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା, ବୀଜ ବିବେଚନା"
"ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ","ବିହନ ବନ୍ଦ, ବିହନଯୁକ୍ତ |"
ಬೀಜಗಣಿತದ ಸಮೀಕರಣ,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ,ବୀଜ ବର୍ଣ୍ଣନା
ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ,ବୀଜ ବର୍ଣ୍ଣିତ ଏକତା |
ಬೀಜಗಣಿತದ ಕಾರ್ಯ,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
ಬೀಜಗಣಿತದ ಬಹುತ್ವ,ବୀଜ ବର୍ଣ୍ଣିତ ବହୁଳତା |
ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
"ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ,",ଆସାଇନମେଣ୍ଟ ସମସ୍ୟା ୱାଟ ପ୍ରଶ୍ନ
ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
ಪರ್ಯಾಯ ಕೋನಗಳು,ବିକଳ୍ପ କୋଣ
"ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ,",ବ hom କଳ୍ପିକ ଏକମାତ୍ର ବିକଳ୍ପ ଫର୍ମ
ಪರ್ಯಾಯ ಗುಂಪು,ବିକଳ୍ପ ଗୋଷ୍ଠୀ |
ಪರ್ಯಾಯ ಮ್ಯಾಟ್ರಿಕ್ಸ್,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
ಪರ್ಯಾಯ ಸರಣಿ,ବିକଳ୍ପ କ୍ରମ |
ಪರ್ಯಾಯ ಕಲ್ಪನೆ,ବିକଳ୍ପ ଅନୁମାନ
