English,Kannada
Abort,ಸ್ಥಗಿತಗೊಳಿಸು
Abort timer,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
Absolute address,ಸಂಪೂರ್ಣ ವಿಳಾಸ
Absolute addressing,ಸಂಪೂರ್ಣ ವಿಳಾಸ
Absolute assembler,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
Absolute code,ಸಂಪೂರ್ಣ ಕೋಡ್
Absolute coding,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
Absolute command,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
Absolute coordinate,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
Absolute data,ಸಂಪೂರ್ಣ ಡೇಟಾ
Absolute error,ಸಂಪೂರ್ಣ ದೋಷ
Absolute expression,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
Absolute instruction,ಸಂಪೂರ್ಣ ಸೂಚನೆ
Absolute loader,ಸಂಪೂರ್ಣ ಲೋಡರ್
Absolute order,ಸಂಪೂರ್ಣ ಕ್ರಮ
Absolute programming,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
Absolute term,ಸಂಪೂರ್ಣ ಪದ
Absolute value,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
Absolute vector,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
Abstract,ಅಮೂರ್ತ
Abstracting,ಅಮೂರ್ತಗೊಳಿಸುವ
Abstract symbol,ಅಮೂರ್ತ ಚಿಹ್ನೆ
Acceleration period,ವೇಗವರ್ಧನೆ ಅವಧಿ
Acceleration time,ವೇಗವರ್ಧಕ ಸಮಯ
Accent,ಉಚ್ಚಾರಣಾ
Acceptance test,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
Access,ಪ್ರವೇಶ
Access arm,ಪ್ರವೇಶ
Access arrangement,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
Access authority,ಪ್ರವೇಶ
Access charge,ಪ್ರವೇಶ
Access class,ಪ್ರವೇಶ ವರ್ಗ
Access data base management,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
Access environment,ಪ್ರವೇಶ ಪರಿಸರ
Access gap,ಪ್ರವೇಶದ ಅಂತರ
Access index,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
Access line,ಪ್ರವೇಶ
Access mechanism,ಪ್ರವೇಶ ಕಾರ್ಯ
Access method,ಪ್ರವೇಶ ವಿಧಾನ
Access method routine,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
Access mode,ಪ್ರವೇಶ ಕ್ರಮ
Access right,ಪ್ರವೇಶ ಬಲ
Access scan,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
Access time,ಪ್ರವೇಶ ಸಮಯ
Accounting,ಲೆಕ್ಕಪತ್ರ
Accounting finance system,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
Accounting machine,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
Account number,ಖಾತೆ ಸಂಖ್ಯೆ
