Gujarati,Kannada
અબેલી જૂથ,ಅಬೆಲಿ ಗುಂಪು
અબેલી જૂથ,ಅಬೆಲಿ ಗುಂಪು
હાથ,ಕೈ
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ಸ್ಥಿರ, ನಿಖರ"
સંપૂર્ણ સંકલન,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
સંપૂર્ણ ભૂલ,ಸಂಪೂರ್ಣ ದೋಷ
સર્વોચ્ચ સર્વોચ્ચ,ಸರ್ವೋಚ್ಚ ಸರ್ವೋಚ್ಚ
એકદમ નીચું,ಸಂಪೂರ್ಣ ಕಡಿಮೆ
સંપૂર્ણ મૂલ્ય,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
સંપૂર્ણ વેગ,ಸಂಪೂರ್ಣ ವೇಗ
અમૂર્ત બીજગણિત,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
અમૂર્ત જૂથ સિદ્ધાંત,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
પ્રવેગ,ವೇಗವರ್ಧನೆ
ગુરુત્વાકર્ષણ પ્રવેગક,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
સ્વીકાર્ય પસંદગીકાર,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆಗಾರ
સ્વીકાર્ય ગુણવત્તા સ્તર,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
સ્વીકાર્ય જગ્યા,ಸ್ವೀಕಾರಾರ್ಹ ಆವರಣ
માન્ય વિશ્વસનીયતા સ્તર,ಮಾನ್ಯವಾದ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
સ્વીકૃતિ નમૂના,ಸ್ವೀಕಾರ ಮಾದರಿ
સંચિત ભૂલ,ಸಂಚಿತ ದೋಷ
ચોકસાઈ,ನಿಖರತೆ
બળ લાગુ કર્યું,ಅನ್ವಯಿಸಿದ ಬಲ
"ક્રિયા, ખત","ಕ್ರಿಯೆ, ಕಾರ್ಯ"
ક્રિયા અને પ્રતિક્રિયા,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
વીમા વિજ્ઞાન,ವಿಮಾ ವಿಜ್ಞಾನ
તીવ્ર ત્રિકોણ,ತೀವ್ರ ತ್ರಿಕೋನ
એસાયક્લિક,ಅಸೈಕ್ಲಿಕ್
સારાંશ માટે,ಒಟ್ಟುಗೂಡಿಸಲು
ઉમેરનાર,ಸೇರಿಸುವವನು
"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)","ಮೊತ್ತ, ಸಂಕಲನ, ಸಂಕಲನ (ಸಿ.), ಸಂಯೋಜಕ (ವಿ.)"
યોગનું સૂત્ર,ಯೋಗದ ಸೂತ್ರ
જટિલ સંખ્યાઓનો સરવાળો,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ
કાર્યોનો સરવાળો,ಕಾರ್ಯಗಳ ಮೊತ್ತ
મેટ્રિસિસનો સરવાળો,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಮೊತ್ತ
બહુપદીનો સરવાળો,ಬಹುಪದಗಳ ಮೊತ್ತ
સંભાવનાઓનો સરવાળો,ಸಂಭವನೀಯತೆಗಳ ಮೊತ್ತ
વેક્ટરનો સરવાળો,ವಾಹಕಗಳ ಮೊತ್ತ
"સરવાળો પ્રમેય, બેરી સિદ્ધાંત,","ಯೋಗ ಪ್ರಮೇಯ, ಬೆರ್ರಿ ಸಿದ್ಧಾಂತ"
ઉમેરણ જૂથ,ಸಂಯೋಜಕ ಗುಂಪು
ઉમેરણ વ્યસ્ત,ಸಂಯೋಜಕ ವಿಲೋಮ
ઉમેરણ,ಸೇರಿಸುವಿಕೆ
ઉમેરણ,ಸೇರಿಸುವಿಕೆ
સંલગ્નતા મેટ્રિક્સ,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
"અડીને, અડીને, અડીને","ಪಕ್ಕದ, ಪಕ್ಕದ, ಪಕ್ಕದ"
અડીને કોણ,ಪಕ್ಕದ ಕೋನ
અડીને શિરોબિંદુ,ಪಕ್ಕದ ಶೃಂಗ
સાંકળવું,ಸಂಯೋಜಿಸಲು
"જોડાયેલ બંધ,",ಲಗತ್ತಿಸಲಾದ ಸುತ್ತುವರಿದ
સામાન્ય નિર્ણાયક,ಸಾಮಾನ್ಯ ನಿರ್ಣಾಯಕ
જોડાયેલ વિભેદક સમીકરણ,ಲಗತ್ತಿಸಲಾದ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
જોડાયેલ સમીકરણ,ಲಗತ್ತಿಸಲಾದ ಸಮೀಕರಣ
કોહોમોજીનીયસ મેટ્રિક્સ,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
મેટ્રિક્સ સહપ્રવૃત્તિ,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಒಗ್ಗಟ್ಟು
કોહોમોજીનીયસ મેટ્રિક્સ,ಏಕರೂಪದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
સ્વીકાર્ય નિર્ણય કાર્ય,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
સ્વીકાર્ય પૂર્વધારણા,ಸ್ವೀಕಾರಾರ್ಹ ಊಹೆ
એરોડાયનેમિક બળ,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
એરોડાયનેમિક્સ,ವಾಯುಬಲವಿಜ್ಞಾನ
સજાતીય ભૂમિતિ,ಏಕರೂಪದ ಜ್ಯಾಮಿತಿ
સજાતીય મેપિંગ,ಏಕರೂಪದ ಮ್ಯಾಪಿಂಗ್
સજાતીય પરિવર્તન,ಏಕರೂಪದ ರೂಪಾಂತರ
એકંદર ચલ,ಒಟ್ಟು ವೇರಿಯಬಲ್
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત","ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ, ಬೀಜಗಣಿತ"
"સીડી બંધ, બીજરૂપે","ಬೀಜದ ಮುಚ್ಚಿದ, ಬೀಜದ"
બીજગણિતીય સમીકરણ,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
બીજગણિતીય અભિવ્યક્તિ,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
બીજગણિત એકરૂપતા,ಬೀಜಗಣಿತದ ಏಕರೂಪತೆ
બીજગણિત કાર્ય,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
બીજગણિત ભૂમિતિ,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
બીજગણિત બહુમતી,ಬೀಜಗಣಿತದ ಬಹುತ್ವ
બીજગણિત સિસ્ટમ,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
તમામ પૂર્ણાંક સમસ્યા,ಎಲ್ಲಾ ಪೂರ್ಣಾಂಕ ಸಮಸ್ಯೆ
"સોંપણી સમસ્યા વોટ પ્રશ્ન,",ನಿಯೋಜನೆ ಸಮಸ್ಯೆ ವ್ಯಾಟ್ ಪ್ರಶ್ನೆ
આલ્ફાબેટીકલ નોટેશન,ವರ್ಣಮಾಲೆಯ ಸಂಕೇತ
આલ્ફાબેટીક અક્ષર,ವರ್ಣಮಾಲೆಯ ಅಕ್ಷರ
વૈકલ્પિક ખૂણા,ಪರ್ಯಾಯ ಕೋನಗಳು
"વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ,",ಪರ್ಯಾಯ ಏಕರೂಪದ ಪರ್ಯಾಯ ರೂಪ
