Bengali,Kannada
"1.অ্যাবাকাস, 2. গণনা","1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ"
অস্বাভাবিক সমাপ্তি,ಅಸಹಜ ಅಂತ್ಯ
পথিমধ্যে রোধ করা,ತಡೆಹಿಡಿಯಿರಿ
"1. পরম, 2. সর্বোচ্চ","1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ"
পরম ঠিকানা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
পরম ঠিকানাযোগ্যতা,ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ
পরম সংযোজনকারী,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
"1. পরম কোড, 2. পরম কোড","1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್"
পরম আদেশ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
"1. পরম পরিসংখ্যান, 2. পরম তথ্য","1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ"
পরম নির্দেশ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
পরম মোড,ಸಂಪೂರ್ಣ ಮೋಡ್
পরম পথ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
"1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং","1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
বিমূর্ত ক্লাস,ಅಮೂರ್ತ ವರ್ಗ
বিমূর্ত তথ্য প্রকার,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
বিমূর্ত মেশিন,ಅಮೂರ್ತ ಯಂತ್ರ
বিমূর্ত প্রতীক,ಅಮೂರ್ತ ಚಿಹ್ನೆ
বিমূর্ত বাক্য গঠন,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
স্বীকৃতি পরীক্ষা,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
অ্যাক্সেস সার্টিফিকেশন,ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ
"1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড","1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್"
প্রবেশাধিকার নিয়ন্ত্রণ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
অ্যাক্সেস স্ক্যানিং,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್
আনুষাঙ্গিক,ಬಿಡಿಭಾಗಗಳು
অ্যাকাউন্টিং,ಲೆಕ್ಕಪತ್ರ
"1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ","1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ"
সঞ্চয়কারী,ಸಂಚಯಕ
"1. নির্ভুলতা, 2. সঠিকতা","1. ನಿಖರತೆ, 2. ನಿಖರತೆ"
অ্যাক্সেস,ಪ್ರವೇಶ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು
অ্যাক্সেস সূচক,ಪ್ರವೇಶ ಸೂಚಕ
অ্যাক্সেস কী,ಪ್ರವೇಶ ಕೀ
"1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স","1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್"
অ্যাক্সেস মোড,ಪ್ರವೇಶ ಮೋಡ್
