Gujarati,Hindi
ગર્ભપાત,विफलन
ગર્ભપાત સમય,विफलन कालद
અબાધિત સંબોધન,निरपेक्ष पता
પૂર્ણ સંબોધન,निरपेक्ष पताभिगमन
સંપૂર્ણ સંમેલન,निरपेक्ष कोडांतरक
પૂર્ણ સંહિતા,निरपेक्ष कूट
પૂર્ણ સંહિતા,निरपेक्ष कूटलेखन
પૂર્ણ આદેશ,निरपेक्ष समादेश
સંપૂર્ણ સંકલન,निरपेक्ष निर्देशांक
અબાધિત આંકડા,निरपेक्ष आंकड़े
નિરપેક્ષ ભૂલ,निरपेक्ष त्रुटि
પૂર્ણ અભિવ્યક્તિ,निरपेक्ष व्यंजक
અબાધિત સૂચના,निरपेक्ष अनुदेश
અબાધિત લોડર,निरपेक्ष भारक
સંપૂર્ણ,निरपेक्ष आदेश
પૂર્ણ કાર્યક્રમ,निरपेक्ष क्रमादेशन
અબાધિત મુદત,निरपेक्ष पद
અબાધિત મૂલ્ય,निरपेक्ष मान
અબાધિત વેક્ટર,निरपेक्ष सदिश
નિષ્ક્રિય,"सारांश, अमूर्त"
યોગ્યતા,"सारांशन, अमूर्तकरण, साराहरण"
સાર -સારાંશ,अमूर्त प्रतीक
પ્રવેગશ ગાળો,त्वरण अवधि
પ્રવેગકોનો સમય,त्वरण काल
ઉચ્ચારણ,उच्चारण चिह्न
સ્વીકૃતિ કસોટી,स्वीकरण परीक्षण
પ્રવેશ,अभिगम
પ્રવેશ હાથ,अभिगम बाहु
પ્રવેશ -વ્યવસ્થા,अभिगम व्यवस्था
પ્રવેશ સત્તાવાર,अभिगम प्राधिकारक
પ્રવેશ -ખર્ચ,अभिगम शुल्क
પ્રવેશ -વર્ગ,अभिगम वर्ग
પ્રવેશ -આધાર વ્યવસ્થાપન,अभिगम आँकड़ासंचय प्रबंध
પર્યાવરણ,अभिगम परिवेश
પ્રવેશ અંતર,अभिगम अंतराल
પ્રવેશ -સૂચિ,अभिगम सूचक
પ્રવેશ -રેખા,अभिगम लाइन
પ્રવેશ -પદ્ધતિ,अभिगम यांत्रिकत्व
પ્રવેશ પદ્ધતિ,अभिगम विधि
પ્રવેશ -પદ્ધતિ,अभिगम विधि नेमका
પ્રવેશ -પદ્ધતિ,अभिगम विधा
પ્રવેશ -હક,अभिगम अधिकार
પ્રવેશ -સ્કેન,अभिगम क्रमवीक्षण
પ્રવેશ સમય,अभिगम काल
નામું,लेखा कार्य
હિસાબ -પદ્ધતિ પદ્ધતિ,लेखाकार्य वित्त तंत्र
હિસાબ -વ્યવસ્થા,लेखा यंत्र
ખાતા નંબર,खाता संख्या
સંચયી પ્રજનનકર્તા,संचयी पुनरुत्पादक
એકઠા કરનાર,संचायक
સંચિત રજિસ્ટર,संचायक पंजी
સંચય -પાળી સૂચના,संचायक विस्थापन अनुदेश
ચોકસાઈ,परिशुद्धता
ચોકસાઈ નિયંત્રણ,परिशुद्धता नियंत्रण संप्रतीक
ચોકસાઈ નિયંત્રણ પદ્ધતિ,परिशुद्धता नियंत्रण तंत्र
પાસાનો પાસાનો પો,उत्कृष्ठ मार्गदर्शी
પાત્ર સ્વીકારવું,पावती संप्रतीक
ધ્વનિકર્તા,ध्वनिक युग्मक
ધ્વનિ -જોડાણ,ध्वनिक युग्मन
ધ્વનિ વિલંબ રેખા,ध्वनिक विलंब लाइन
ધ્વનિમૂર્તિ,ध्वनिक स्मृति
ધ્વનિ -મોડેમ,ध्वनिक मोडेम
ધ્વનિ સંકેત,ध्वनिक संकेत
ધ્વનિ સંગ્રહ,ध्वनिक भंडारण
ટૂંકાક્ષર,परिवर्णी शब्द
ક્રિયા,क्रिया
કાર્ય -ચક્ર,क्रिया चक्र
ક્રિયા -રેખ,क्रिया लाइन
ક્રિયા,क्रिया संदेश
કાર્ય -સ્પષ્ટીકરણ,क्रिया विनिर्देश
સક્રિય,सक्रियण
સક્રિય,सक्रिय
સક્રિય ફાઈલ,सक्रिय संचिका
સક્રિય રેખા,सक्रिय लाइन
સક્રિય કડી,सक्रिय कड़ी
સક્રિય માસ્ટર ફાઇલ,सक्रिय प्रधान संचिका
સક્રિય મુખ્ય વસ્તુ,सक्रिय प्रधान मद
સક્રિય ઉપગ્રહ,सक्रिय उपग्रह
સક્રિય કેન્દ્ર,सक्रिय केन्द्र
સક્રિય સંગ્રહ,सक्रिय भंडारण
પ્રવૃત્તિ,सक्रियता
પ્રવૃત્તિ સ્તરે,सक्रियता स्तर
પ્રવૃત્તિ લોડિંગ,सक्रियता भारण
પ્રવૃત્તિ ગુણોત્તર,सक्रियता अनुपात
વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું),निरपेक्ष पता
વાસ્તવિક કોડ (= સંપૂર્ણ કોડ),निरपेक्ष कूट
વાસ્તવિક ડેટા ટ્રાન્સફર રેટ,वास्तविक आँकडा स्थानांतरण दर
વાસ્તવિક દશાંશ બિંદુ,वास्तविक दशमलव बिन्दु
વાસ્તવિક સૂચના (= અસરકારક સૂચના),प्रभावी अनुदेश
ખરેખર ચા,वास्तविक कुंजी
વાસ્તવિક સમય,वास्तविक काल
વાસ્તવિક કામનો સમય,वास्तविक कार्य काल
કાર્યકારી સંકેત,प्रवर्तक संकेत
અનુકૂલનક્ષમતા,अनुकूलनीयता
અનુકૂલન,अनुकूलित्र
અનુકૂલનશીલ ચેનલ ફાળવણી,अनुकूली प्रणाल नियतन
અનુકૂલનશીલ એકીકરણ,अनुकूली समाकलन
અનુકૂલનશીલ બરાબરી,अनुकूली अनुप्रस्थ तुल्यकारक
ઉમેરાયેલ નોંધ,योजित प्रविष्ट
પરિવર્તન,योज्य
પ્રહાર,योजक
ઉપદેશક,योजक व्यवकलक
ફાઇલ ઉમેરો,योजी संचिका
વધારાના પાત્ર (= વિશેષ પાત્ર),विशिष्ट संप्रतीक
વધારાની રેકોર્ડર,योग अभिलेख
વધારાનો કોઠો,योग सारणी
ઉમેરણ લક્ષણ,योज्य गुण
મોડમાં ઉમેરો,योग विधा
કામગીરી ઉમેરો,योग संक्रिया
સંબોધન,पता
સરનામા -માપદંડ,पतायोग्यता माप
સરનામું આડી સ્થિતિ,पतायोग्य क्षौतिज स्थिति
સંબોધન - બિંદુ,पतायोग्य बिन्दु
પ્રતિયોગી સ્થિતિ,पतायोग्य स्थिति
સરનામું રજિસ્ટર,पतायोग्य पंजी
પ્રત્યુત્તરપાત્ર સંગ્રહ,पतायोग्य भंडारण
સરનાક verભી સ્થિતિ,पतायोग्य ऊर्ध्वाधर स्थिति
સરનાવ બસ,पता बस
સરનામું,पता कूट
સરખામણી કરનાર,पता तुलनित्र
સરનામું,पता अभिकलन
નિવારણ,पता अचर
ધર્મપરિવર્તન,पता रूपांतरण
માહિતી,पता आँकड़े
સંબોધિત મેમરી,पतायुक्त स्मृति
સંબોધન અસરકારક,प्रभावी पता
સરનાવનું ક્ષેત્ર,पता क्षेत्र
સરનાકનું બંધારણ,पता संरूप
મફત કાર્યક્રમ,पता निरपेक्ष क्रमादेश
સંબોધન,पताभिगमन
સંબોધન  પાત્ર,पताभिगमन संप्रतीक
સંબોધન,पताभिगमन अंतरायन
સંબોધન,पताभिगमन पाश
વર્ચુઅલ મેમરીને સંબોધવા,पताभिगमन आभासी स्मृति
સરનામું,पता अंतर्ग्रथन
સરનામાંહીન સૂચના બંધારણ,पतारहित अनुदेश संरुप
સરનામા,पता लाइन
સરનામાંનું નકશો,पता प्रतिचित्रण
સરનાવ,पता चिह्न
સરનામા -ફેરફાર,पता आपरिवर्तन
સરનામા ભાગ,पता भाग
સરનાક નિર્દેશક,पता संकेतक
સરના નોંધણી,पता पंजी
સરનામે સંકેત,पता संकेत
સરનાવનું કદ,पता आमाप
સરનાવની જગ્યા,पता स्थान
સરનામું સ્થાન ઓળખકર્તા,पता स्थान अभिज्ञापक
સરનાવ બંધ,पता विराम
સરનામા,पता अनुरेख
સરનામા,पता मार्ग
અનુવાદ,पता अनुवाद
અનુવાદક,पता अनुवादक
સબમટ્રેક્ટ સમય ઉમેરવો,संकलन व्यवकलन काल
સમય ઉમેરો,संकलन काल
સંલગ્નતા,संलग्नता
સંલગ્ન માળખું,संलग्नता संरचना
સંલગ્ન માતૃભાષા,संलग्न प्रणाल
સંલગ્ન ડોમેન,संलग्न प्रांत
સંલગ્ન મેટ્રિક્સ,सहखंडज मैट्रिक्स
સંલગ્ન નોડ,संलग्न आसंधि
સંલગ્ન સુબેરિયા,संलग्न उपक्षेत्र
સંવાદિતા (સિસ્ટમ),संलग्न (तंत्र)
સમાયોજન કરવું,समायोजन
ગોઠવણપાત્ર હદ,समायोज्य विस्तार
ટેક્સ્ટ મોડને સમાયોજિત કરો,समायोज्य पाठ्यांश विधा
વહીવટી માહિતી પ્રક્રિયા,प्रशासनिक आँकड़ा संसाधन
વહીવટી કામગીરી,प्रशासनिक प्रचालन
વહીવટી operatorપરેટર,प्रशासनिक प्रचालक
વહીવટી પ્રચાલક,प्रशासनिक प्रचालन केन्द्र
વહીવટી સહાયક પદ્ધતિ,प्रशासन सहाय तंत्र
અદ્યતન સંદેશાવ્યવહાર સેવા,उन्नत संचार सेवा
અદ્યતન માહિતી પદ્ધતિ,उन्नत सूचना तंत्र
અદ્યતન ઓપ્ટિકલ પાત્ર રીડર,उन्नत प्रकाशिक संप्रतीक पठित्र
અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર,उन्नत वैज्ञानिक अभिकलित्र
હવાઈ,एरियल
સમૂહ,पुंज
કુલ અભિવ્યક્તિ,पुंज व्यंजक
લક્ષ્યસ્થાન વર્તુળ,संधानित्र
લક્ષ્ય ક્ષેત્ર (= લક્ષ્યનું પ્રતીક),संधान प्रतीक
લક્ષ્યસ્થાન પ્રતીક,संधान प्रतीक
હવાઈ ​​કમ્પ્યુટર સિસ્ટમ,वायुवाहित अभिकलित्र तंत्र
બીજગણિત ઇગન્યુલ્યુ સમસ્યા,बीजीय आइगनमान समस्या
બીજગણિત  એકીકરણ,बीजीय समाकलन
બીજગણિત ભાષા,"बीजीय भाषा, बीज भाषा"
બીજગણિત હેરાફેરી,बीजीय प्रकलन
બીજગણિત હેરાફેરી ભાષા,बीजीय प्रकलन भाषा
બીજગણિત લક્ષી ભાષા,बीजोन्मुखी भाषा
બીજગણિત પાળી,बीजीय विस्थापन
