Malayalam,Kannada
എ ബി ക്ലാസ് ആംപ്ലിഫയർ,ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್
അപഭ്രംശം,ವಿಪಥನ
അസാധാരണമായ സംക്രമണം,ಅಸಹಜ ಪ್ರಸರಣ
"ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ","ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ"
സ്പെക്ട്രം കാണുന്നില്ല,ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ"
കേവല ഈർപ്പം,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ
കേവല വേഗത,ಸಂಪೂರ್ಣ ವೇಗ
സമ്പൂർണ നിരീക്ഷണം,ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ
കേവല താപനില,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
കേവല പൂജ്യം,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
ആഗിരണം ചെയ്യുക,ಹೀರಿಕೊಳ್ಳುತ್ತವೆ
"ആഗിരണം, ആഗിരണം","ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ"
ആഗിരണം ശേഷി,ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
ആഗിരണം,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ആഗിരണം ചെയ്യാവുന്ന,ಹೀರಿಕೊಳ್ಳುವ
ആഗിരണം,ಹೀರಿಕೊಳ್ಳುವಿಕೆ
ഗുണിത അനുപാതം,ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ
ത്വരിതപ്പെടുത്തുക,ವೇಗವನ್ನು
തിടുക്കപ്പെട്ടു,ಆತುರಪಟ್ಟರು
ത്വരണം,ವೇಗವರ್ಧನೆ
ഗുരുത്വാകർഷണ ത്വരണം,ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ
ആക്സിലറേറ്റർ,ವೇಗವರ್ಧಕ
ആക്സിലറേറ്റർ,ವೇಗವರ್ಧಕ
ആക്സിലറോമീറ്റർ,ವೇಗವರ್ಧಕ
