Marathi,Tamil
अँपिअर (युनिट),ஆம்பியர் (அலகு)
angstrum,ஆங்ஸ்ட்ரம்
ए-क्लास अॅम्प्लिफायर,ஏ-வகுப்பு பெருக்கி
एएन रेडिओ सहाय,ஏஎன் ரேடியோ சஹே
एक-स्कॅनिंग सादरीकरण,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
a-darsh,ஒரு-தர்ஷ்
ए-स्कोप कामगिरी,ஏ-ஸ்கோப் செயல்திறன்
A-T वक्र क्रिस्टल,ஏ-டி வளைந்த படிகம்
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
आहे,நான்
AMU (अणु वस्तुमान एकक),AMU (அணு நிறை அலகு)
आर्ड-वार्क*,aard-vark*
ab-ampere,ab-ஆம்பியர்
A-B वर्ग अॅम्प्लिफायर,A-B வகுப்பு பெருக்கி
adah,அட
A-B शक्ती पिटक,ஏ-பி சக்தி பிடகா
abc = संरेखन चार्ट = nomograph,abc = சீரமைப்பு விளக்கப்படம் = nomograph
अबे क्रमांक (अबे स्थिरांक),அபே எண் (அபே மாறிலி)
abe refractometer,அபே ரிஃப்ராக்டோமீட்டர்
अबे साइन राज्य,அபே சைன் நிலை
स्वयंचलित पूर्वाग्रह भरपाई,தானியங்கி சார்பு இழப்பீடு
abcoulom,abcoulom
विकृती,"பிறழ்வு, பிறழ்வு"
विकृती सुधारक लेन्स,பிறழ்வு திருத்தி லென்ஸ்
आकाश विकृती,வானம் பிறழ்வு
abfarad,அபராட்
एबेनरी,எபென்ரி
इबोनी प्रभाव,கருங்காலி விளைவு
असामान्य ध्रुवीकरण,அசாதாரண துருவமுனைப்பு
असामान्य प्रसार,அசாதாரண பரிமாற்றம்
अलौकिक प्रतिबिंब,அமானுஷ்ய பிரதிபலிப்பு
असामान्य अपवर्तन*,அசாதாரண ஒளிவிலகல்*
अलौकिक प्रतिकार,அமானுஷ்ய எதிர்ப்பு
ab-om,ab-om
"प्राबल्य, अपयश","முன்னுரிமை, தோல்வி"
"संलग्न, सहसा, उभे, विभक्त, खंडित","இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக"
अनेकदा उडी मारते,அடிக்கடி குதிக்கிறது
हात*,கை*
हरवलेले प्रतिबिंब,பிரதிபலிப்பு இழந்தது
गहाळ स्पेक्ट्रम,ஸ்பெக்ட்ரம் காணவில்லை
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","முழுமையான, முழுமையான, நிலையான, சரியான"
परिपूर्ण प्रवेग,முழுமையான முடுக்கம்
परिपूर्ण वास्तव,முழுமையான உண்மை
परिपूर्ण पत्ता,முழுமையான முகவரி
भौगोलिक उच्चांक,புவிசார்ந்த உயரமானி
भौगोलिक उंची,புவியியல் உயரம்
परिपूर्ण अँपिअर,முழுமையான ஆம்பியர்
परिपूर्ण उकळत्या बिंदू,முழுமையான கொதிநிலை
परिपूर्ण प्रकाश,முழுமையான ஒளிர்வு
परिपूर्ण क्षमता,முழுமையான கொள்ளளவு
परिपूर्ण उंची,முழுமையான உயரம்
परिपूर्ण रंगद्रव्य,முழுமையான நிறமி
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
परिपूर्ण कूलॉम्ब,முழுமையான கூலம்
पूर्ण अंधार,முழு இருள்
परिपूर्ण वेळापत्रक,முழுமையான திட்டமிடல்
परिपूर्ण घनता*,முழுமையான அடர்த்தி*
पूर्ण निचरा,முழுமையான வடிகால்
संपूर्ण EMU (विद्युत चुंबकीय एकक),முழுமையான EMU (மின்காந்த அலகு)
संपूर्ण ESU (स्थिर एकक),முழுமையான ESU (நிலையான அலகு)
परिपूर्ण कार्यक्षमता,முழுமையான செயல்திறன்
परिपूर्ण इलेक्ट्रोमीटर,முழுமையான எலக்ட்ரோமீட்டர்
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்
परिपूर्ण आर्द्रता,முழுமையான ஈரப்பதம்
परिपूर्ण घटना,முழுமையான நிகழ்வு
परिपूर्ण अपवर्तक निर्देशांक,முழுமையான ஒளிவிலகல் குறியீடு
पूर्ण अस्थिरता,முழுமையான உறுதியற்ற தன்மை
पूर्ण अस्थिरता,முழுமையான உறுதியற்ற தன்மை
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","முழுமையான தீவிரம், முழுமையான தீவிரம்"
अस्थेनियाची परिपूर्ण मर्यादा,ஆஸ்தீனியாவின் முழுமையான வரம்பு
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,முழுமையான வெளிச்சம் சன்னல்
