English,Assamese
abiogenesis,অজৈৱিক প্ৰজনন
abnormal,অস্বাভাৱিক
abomasum,১/ চতুৰ্থ পেট ২) ইভ’মাজম
aborted organ,ষ্টোমেটাল বৃদ্ধিৰ অংগ
aborted seed,স্তব্ধ বৃদ্ধিৰ বীজ
abortion,১/ গৰ্ভপাত ২/ গৰ্ভপাত ৩/ বৃদ্ধি প্ৰতিৰোধ ক্ষমতা
absolute weed,১/ অবাঞ্চিত অপতৃণ ২/ সম্পূৰ্ণ অপতৃণ
absorbed cation,শোষিত কেটিয়ন
absorption,শোষণ
abyssinian mustard,এবিচিনিয়ান সৰিয়হ
acaricide,১.একেৰিচাইড
accentric,centripetal
accentuate (cell),বৃদ্ধি (কোষ)
accepted tolerance,অনুমোদিত সহনশীলতা
accessory,1.অতিৰিক্ত 2. আনুষংগিক 3. আনুষংগিক
acclimatization,অভিযোজন
accumulation,সঞ্চয়
accuracy,1.vaccuracy 2. নিখুঁততা
acervulus,১.এচাৰভুলাছ ২.স্প’ৰ’ফাইট
acetification,১/ এচিটাইজেচন ২.ভিনেগাৰ বনোৱা ৩.এচিটাইলেন
acidification,১.এচিডিকৰণ ২.এচিডিকৰণ
acidimeter,১.এচিডমিটাৰ ২.এচিডিমিটাৰ
acidity,এচিডিটি
acidophilic,এচিডোফাইল
acidulated rock phosphate,এচিডিফাইড ৰক ফছফেট
aciduric,এচিডিফাইড
acquifer,জলধাৰা
acquisition,অধিগ্ৰহণ
acre,একৰ
acreage,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
acrocentric chromosome,শেষ বিন্দু ক্ৰম’জম
acropetal,আগলৈ চাই থকা
acrosome,acrosome
actinomycetes,actinomycetes
active root zone,সক্ৰিয় কোৰ
acute,1. উত্তেজিত 2. তীব্ৰ
adaptability,অভিযোজন ক্ষমতা
adaptation,কাষ্টমাইজেচন
adhesion,১.আঠাযুক্ততা ২.আঠাযুক্ততা
adipose,তৈলাক্ত
adjustment equation,সমন্বয় সমীকৰণ
adobe soil,এডোব মাটি
adulterant,ব্যভিচাৰী
adventitious,এক্ট&#39;পিক
aecidiospore,Isidiospore Isidium বিজাণু
aeolian process,বায়ুগতিশীল প্ৰক্ৰিয়া
aeolian,ventral
aerate,বায়ুমণ্ডলীয় কৰা
aerial,১.বায়ু ২.আকাশী
aerometer,১.এৰ’মিটাৰ ২.এৰ’মিটাৰ ৩.এৰ’মিটাৰ
aerosol,এৰ&#39;ছল
aestivation,১/ পুষ্পশোভিত ২) গ্ৰীষ্মকালীন নিদ্ৰা
aetiology (etiology),ৰোগৰ বিজ্ঞান
afforestation,বনানীকৰণ
agitation,১.আন্দোলন ২.অস্থিৰতা
agmark,আগমাৰ্ক
agrarian,১/ ভূমি সম্পৰ্কীয় ২/ কৃষি
agricultural clinic,কৃষি ক্লিনিক
agricultural labour,১/ কৃষি শ্ৰম ২) কৃষি শ্ৰম
agricultural marketing,কৃষি বিপণন
agricultural technology,কৃষি প্ৰযুক্তি
agriculture,1. কৃষি 2. কৃষি 3. কৃষি বিজ্ঞান
agrisilviculture,কৃষি বনজ
agrobiodiversity,কৃষি জৈৱ বৈচিত্ৰ্য
agrobiological defects,কৃষি জৈৱিক দোষ
agrobiology,কৃষি জীৱবিজ্ঞান
agroclimatic diversity,কৃষি-জলবায়ু বৈচিত্ৰ্য
agroclimatic zoning,কৃষি জলবায়ু মণ্ডল সৃষ্টি
agroforestry,কৃষি বনানীকৰণ
agrology,কৃষি বিজ্ঞান
agronomy,কৃষিভিত্তিক
agropastoral,কৃষি পশুপালন
agroprocessing,শস্য প্ৰক্ৰিয়াকৰণ
agrostology,ঘাঁহ বিজ্ঞান
agrotype,শস্যৰ প্ৰকাৰ
air plant,এপিফাইট
akiochi soil,আইকিওচি মাটি
albinism,ৰঙৰ অন্ধতা
alfisols,আলফিছল
algae,শেলাই
algal disease,শেলাইৰ ৰোগ
alkali water,ক্ষাৰকীয় পানী
alkaline,ক্ষাৰকীয়
allele,বিকল্প
allelochemicals,allelo ৰসায়ন বিজ্ঞান
allelomorph,এলিল
allelopathy,এলেল&#39;পেথী
alley cropping,ভেঠী শস্য
allocarpy,consummation
allogamy,নিষেচন কৰা
allometry,১.আপেক্ষিকতা ২.এলোমেট্ৰি
allopolyploid,multiploidy
allosynapsis (allosyndesis),১/ পেৰাজাইগোচিটি
alternate bearing,1. বিকল্প বছৰৰ ফলন 2. বিকল্প ফলন
alternate land use,বিকল্প ভূমি ব্যৱহাৰ
ambient,পৰিৱেশ
ameliorant,সংস্কাৰক
amitosis,মাইট’ছিছ
amminization,আমিনন
ammonification,এমোনিয়ন
ammonifier,amniferous
amorph,১.অকাৰ্যকৰী ৰূপ ২.অৰূপী
amphimixis,উভচৰ মিশ্ৰণ
amphoteric,এম্ফোটেৰিক
anabolism,ষ্টকপাইলিং
anaerobe,১/ এনাৰোবিক ২.এনাৰোবিক জীৱ
aneuploid,হেপ্লয়ড
angle planting,কৌণিক ৰোপণ
animal husbandry,পশুপালন
animal refuse,পশুৰ মল-মূত্ৰ
animate energy,জীৱন্ত শক্তি
anisoploid,অস্বাভাৱিক
annual plant,এবছৰীয়া উদ্ভিদ
annual,বছেৰেকীয়া
anthesis,1. আনন্দ 2. উজ্জ্বলতা
anthrax,এন্থ্ৰেক্স
anthropogenic factor,মানৱজনিত কাৰকসমূহ
antibiosis,জীয়াই থকা
antibiotic,১/ এন্টিবায়টিক ২। এন্টিবায়টিক
antidote,repulsive
antioxidants,এন্টিঅক্সিডেন্ট
antitoxin,এন্টিটক্সিন
anulus,ৰিং ফিংগাৰ
aphid,১.এফিড ২.মহু ৩.চেপা
apical bud,শীৰ্ষ কলি
apical dominance,শীৰ্ষ ফলপ্ৰসূতা
apiculture (bee keeping),মৌমাখি ৰখা
apomixis,অযৌনতা
apoptosis,এপ&#39;প্টোছিছ
appendage,appendages
appetizer,appetizer
applied,প্ৰয়োগ কৰা হৈছে
aquatic weed,জলজ অপতৃণ
arboreal,১.গছ ২.গছৰ বাসিন্দা
arborization,শাখা-প্ৰশাখা
archaeo-botanical records,প্ৰ&#39;ট&#39;বোটানিকেল ৰেকৰ্ড
area statistics,জ&#39;ন নম্বৰ
area,১.ক্ষেত্ৰফল ২.ক্ষেত্ৰফল
arid ecosystem,শুকান পৰিৱেশ তন্ত্ৰ
aril,কুটিলডন
aroma,সৌৰভ
aromatic plant,সুগন্ধিযুক্ত উদ্ভিদ
aromatic rice,সুগন্ধি চাউল
arrowing,ইক্ষু পুষ্পন
asepsis,বীজাণুমুক্ত
aseptic,১.এচেপ্টিক ২.এচেপ্টিক
asexual propagation,অযৌন প্ৰজনন
assay,আকাৰ
assets,সম্পত্তি
assimilation,১/ আত্মসাৎ ২. আত্মসাৎ
association,১.সংঘ ২.সংঘ
astringent,1. স্তম্ভ 2. astringency
asynapsis,হেটেৰ&#39;জাইগোচিটি
atavism,১.পূৰ্বপুৰুষ ২.আটাভিজম
atomizer,কণা
atrophy,1. অনিশ্চয়তা 2. বিকলতা
autogamy,self pairing
autolysis,অটোলাইছিছ
autooxidation,1. স্বতঃস্ফূৰ্ত অক্সিডেচন 2. স্বতঃস্ফূৰ্ত অক্সিডেচন
autopolyploid,self multiplexed
auxins,অক্সিন
awn (bristle),১/ জোকাৰি যোৱা ২. টোড
baccilovirus,পেনাল ভাইৰাছ
bacillus,১.বেচিলাছ ২.বেচিলাছ
bacteria,১/ বেক্টেৰিয়া ২) বেক্টেৰিয়া
bacteriotoxin,বেক্টেৰিয়াৰ বিষাক্ত পদাৰ্থ
bagasse,বাগাছ
balance sheet,বেলেন্স শ্বীট
balanced fertilization,সুষম সাৰৰ ব্যৱহাৰ
bar diagram,বাৰ গ্ৰাফ
bark,বাকলি
