Punjabi,Marathi
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A B वर्ग अॅम्प्लीफायर
ਵਿਗਾੜ,विकृती
ਅਸਧਾਰਨ ਸੰਚਾਰ,असामान्य प्रसार
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,गहाळ स्पेक्ट्रम
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
ਪੂਰਨ ਨਮੀ,परिपूर्ण आर्द्रता
ਪੂਰਨ ਗਤੀ,परिपूर्ण गती
ਪੂਰਨ ਨਿਰੀਖਣ,परिपूर्ण निरीक्षण
ਪੂਰਨ ਤਾਪਮਾਨ,परिपूर्ण तापमान
ਪੂਰਨ ਜ਼ੀਰੋ,पूर्ण शून्य
ਸੋਖਣਾ,शोषून घेणे
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","शोषक, शोषक"
ਸਮਾਈ ਸਮਰੱਥਾ,शोषण क्षमता
ਸਮਾਈ,शोषण
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,शोषक
ਸਮਾਈ,शोषकता
ਗੁਣਾ ਅਨੁਪਾਤ,गुणोत्तर गुणोत्तर
ਤੇਜ਼ ਕਰੋ,गती वाढवणे
ਜਲਦੀ,घाई केली
ਪ੍ਰਵੇਗ,प्रवेग
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,गुरुत्वाकर्षणाचा प्रवेग
ਐਕਸਲੇਟਰ,प्रवेगक
ਐਕਸਲੇਟਰ,प्रवेगक
ਐਕਸਲੇਰੋਮੀਟਰ,प्रवेगमापक
prestresser,prestresser
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,स्वीकार्य चाचणी
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,स्वीकारणारा
ਦਾਨੀ ਅਣੂ,दाता रेणू
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
ਪਹੁੰਚਯੋਗਤਾ,प्रवेशयोग्यता
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,प्रवेश वेळ
ਵਿਜ਼ਟਰ ਗਲਤੀ,अभ्यागत त्रुटी
ਵਿਵਸਥਾ,समायोजन
ਇਕੱਠਾ ਕੀਤਾ,जमा
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","जमा करणे, जमा करणे"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,संचयक
ਸ਼ੁੱਧਤਾ,अचूकता
ਅਸਲੀਅਤ,वास्तव
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,अॅक्रोमॅटिक लेन्स
ਅਕ੍ਰੋਮੈਟਿਕ,अक्रोमॅटिक
ਰੰਗੀਨਤਾ,अक्रोमॅटिकता
ਧੁਨੀ,ध्वनिक
ਸਾਊਂਡਪਰੂਫ਼,ध्वनीरोधक
ਧੁਨੀ ਫੋਨੋਨ,ध्वनिक फोनन
ਆਵਾਜ਼ ਯੂਨਿਟ,ध्वनी युनिट
ਧੁਨੀ,ध्वनिक
ਆਵਾਜ਼ ਜਨਰੇਟਰ,ध्वनी जनरेटर
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,क्रिया आणि प्रतिक्रिया
ਸਰਗਰਮੀ,सक्रियकरण
ਸਰਗਰਮੀ ਊਰਜਾ,सक्रियता ऊर्जा
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ","सक्रिय करणारा, सक्रिय करणारा"
ਕਿਰਿਆਸ਼ੀਲ,सक्रिय
ਸਰਗਰਮੀ,सक्रियता
ਅਸਲ ਤਣਾਅ,वास्तविक ताण
ਘੁਸਰ-ਮੁਸਰ,कुजबुजणे
ਸੰਪੇਕਸ਼ਤ,बेरीज करणे
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)","बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)"
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)","संयुक्त स्वर, अतिरिक्त स्वर (स्वर)"
additive,additive
adhesion,आसंजन
ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ,चिकट ऊर्जा
adiabat,adiabat
adiabatic,adiabatic
ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ,उष्णता इन्सुलेट
ਲਗਾਵ,संलग्नक
ਵਿਵਸਥਿਤ,बदलानुकारी
ਪ੍ਰਵੇਸ਼,प्रवेश
ਸੋਸ਼ਣ,शोषण
ਅੱਗੇ,पुढे
ਪ੍ਰਗਤੀਸ਼ੀਲ,प्रगतीशील
"ਆਕਾਸ਼ੀ, ਹਵਾ (ਵੀ.), ਏਰੀਅਲ (ਐਡੀ.)","आकाशी, वायु (वि.), हवाई (सं.)"
ਐਂਟੀਨਾ ਸਟ੍ਰੀਮ,अँटेना प्रवाह
ਹਵਾਈ ਸਰਵੇਖਣ,हवाई सर्वेक्षण
ਹਵਾ ਦੀ ਗਤੀ,हवेचा वेग
ਐਰੋਡਾਇਨਾਮਿਕ ਗੁਣਾਂਕ,वायुगतिकीय गुणांक
ਐਰੋਡਾਇਨਾਮਿਕ,वायुगतिकीय
ਐਰੋਡਾਇਨਾਮਿਕਸ,वायुगतिकी
ਏਅਰੋਨੌਟਿਕਲ,वैमानिक
ਐਰੋਨਾਟਿਕਸ,वैमानिक
ਹਵਾ ਦੀ ਨਬਜ਼,हवेची नाडी
"ਵਾਯੂਮੰਡਲ, ਗੈਸੋਸਫੀਅਰ","वातावरण, वायूमंडल"
ਫੋਕਸ ਸਿਸਟਮ,फोकस सिस्टम
ਵਾਪਸ ਇਗਨੀਸ਼ਨ,परत प्रज्वलन
ਵਾਪਸ ਰੋਸ਼ਨੀ,परत प्रकाश
ਉਲਝਣ,आघात
"ਉਮਰ, ਉਮਰ, ਉਮਰ, ਯੁੱਗ (ਐਡੀ.), ਸਮੇਂ ਨੂੰ ਪ੍ਰਭਾਵਿਤ ਕਰਨ ਲਈ (ਵਰਤ.), ਸਮਾਂ, ਸਮੇਂ ਦੁਆਰਾ ਪ੍ਰਭਾਵਿਤ ਹੋਣ ਲਈ","वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे"
ਸਮਾਂ ਪ੍ਰਭਾਵਿਤ ਹੋਇਆ,वेळ प्रभावित
"ਬੁਢਾਪਾ, ਬੁਢਾਪਾ","वृद्धत्व, वृद्धत्व"
ਸਮਾਂ ਪ੍ਰਭਾਵ,वेळेचा प्रभाव
ਸਮਾਂ ਪ੍ਰਭਾਵ ਟੈਸਟ,वेळ प्रभाव चाचणी
ਗੰਭੀਰਤਾ ਰਹਿਤ,गुरुत्वाकर्षणरहित
ਸੁਲ੍ਹਾ,समेट
"ਏਅਰਬੋਰਨ ਰਾਡਾਰ, ਏਰੀਅਲ ਰਾਡਾਰ","हवाई रडार, हवाई रडार"
"ਏਰੀਅਲ ਟੀਚਾ, ਏਰੀਅਲ ਟੀਚਾ","हवाई लक्ष्य, हवाई लक्ष्य"
ਹਵਾ ਸਾਹ ਲੈਣ ਵਾਲਾ,हवा श्वसन यंत्र
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,वातानुकुलीत
