Malayalam,Odiya
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
ഒഴിഞ്ഞുമാറുക,ଅବକ୍ଷୟ
അടിമത്തം നിർത്തലാക്കൽ,ଦାସତ୍ୱ ରଦ୍ଦ
ആദിവാസികൾ,ଆଦିବାସୀ
അബ്രഹാം യുഗം,ଅବ୍ରହାମ ଏରା
ഹാജരാകാത്ത ഭൂവുടമകൾ,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
അക്കാദമി,ଏକାଡେମୀ |
അക്ര സമ്മേളനം,ଆକ୍ରା ସମ୍ମିଳନୀ |
സമാഹരണങ്ങൾ,ଆକ୍ରୁଏଲ୍ |
സംസ്കരണം,ଆକଲଚ୍ୟୁଚର୍
അസെൽഡാമ,ଆକେଲଡାମା |
അച്ചായൻ (=അച്ചിയൻ),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
അക്രോപോളിസ്,ଆକ୍ରୋପଲିସ୍ |
ആക്റ്റ ദിയുർന,ଆକ୍ଟା ଡିଆର୍ନା |
ആക്റ്റ സെനറ്റസ്,ଆକ୍ଟା ସେନାଟସ୍ |
ആക്റ്റ് അഡീഷണൽ,ଆକ୍ଟ ଆଡେଲ୍ |
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
സെറ്റിൽമെന്റ് നിയമം,ସମାଧାନ ନିୟମ
പരസ്യ കരാർ മുദ്ര,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
അഡുല്ലമൈറ്റുകൾ,ଆଡୁଲାମାଇଟ୍ସ |
എതിരാളി,ଶତ୍ରୁ
എതിരാളി,ଶତ୍ରୁ
അയോൺ,ଆଓନ୍
എയറേറിയം,ଏରାରିୟମ୍ |
ആകാശ യുദ്ധം,ବାୟୁ ଯୁଦ୍ଧ |
എറ്റോലിയൻ ലീഗ്,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
വയസ്സ്,ବୟସ
വാർദ്ധക്യം (=വാർദ്ധക്യം),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
പ്രായമാകൽ പ്രക്രിയ,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
അഗെലൈ,ଆଗେଲାଇ |
