Odiya,Assamese
ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
ଘୃଣ୍ୟତା |,বিচ্যুতি
ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ,অস্বাভাৱিক সংক্ৰমণ
"ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ ,, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |,অনুপস্থিত বৰ্ণালী
"ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |,নিৰপেক্ষ আৰ্দ্ৰতা
ସଂପୂର୍ଣ୍ଣ ଗତି,নিৰপেক্ষ গতি
ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |,নিৰপেক্ষ পৰ্যবেক্ষণ
ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |,নিৰপেক্ষ উষ্ণতা
ସଂପୂର୍ଣ୍ଣ ଶୂନ,নিৰপেক্ষ শূন্য
ଶୋଷଣ,শুহি লোৱা
"ଶୋଷକ, ଶୋଷକ","শোষক, শোষক"
ଅବଶୋଷଣ କ୍ଷମତା |,শোষণ ক্ষমতা
ଅବସାଦ |,শোষণ ক্ষমতা
ଶୋଷକ,শোষক
ଶୋଷଣ,শোষণ ক্ষমতা
ବହୁଗୁଣ ଅନୁପାତ |,বহুগুণতা অনুপাত
ତ୍ୱରାନ୍ୱିତ କର |,ত্বৰান্বিত কৰক
ଶୀଘ୍ର ଶୀଘ୍ର,খৰধৰকৈ উঠিল
ତ୍ୱରଣ,বেগ বৃদ্ধি
ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ,মাধ্যাকৰ্ষণৰ ত্বৰণ
ତ୍ୱରକ,ত্বৰণকাৰী
ତ୍ୱରକ,ত্বৰণকাৰী
ଆକ୍ସିଲେରୋମିଟର,এক্সিলেৰমিটাৰ
ସମ୍ମାନ,প্ৰিষ্ট্ৰেছাৰ
ଗ୍ରହଣୀୟ ପରୀକ୍ଷା,গ্ৰহণযোগ্য পৰীক্ষা
ଗ୍ରହଣକାରୀ,গ্ৰহণকাৰী
ଦାତା ଅଣୁ,দাতা অণু
"ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |","প্ৰৱেশ, অপেক্ষা, অভিগম্যতা"
ଅଭିଗମ୍ୟତା,অভিগম্যতা
"ଅତିରିକ୍ତ, ଆନୁଷଙ୍ଗିକ, ଆନୁଷଙ୍ଗିକ (v।), ଆସେସୋରିଜ୍ (ଏଡି।)","অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)"
ପ୍ରବେଶ ସମୟ,প্ৰৱেশ সময়
ପରିଦର୍ଶକ ତ୍ରୁଟି |,দৰ্শকৰ ভুল
ଆଡଜଷ୍ଟେସନ୍,সমন্বয়
ସଂଗୃହିତ,সঞ্চিত কৰা হৈছে
"ଜମା, ଜମା","সঞ্চয়, সঞ্চয়"
ଜମାକାରୀ,এক্যুলেটৰ
ସଠିକତା,শুদ্ধতা
ବାସ୍ତବତା,বাস্তৱতা
ଆକ୍ରୋମାଟିକ୍ ଲେନ୍ସ |,ৰঙীন লেন্স
ଆକ୍ରୋମାଟିକ୍ |,achromatic
ଆକ୍ରୋମାଟିଟି,achromaticity
ଶବ୍ଦ,একাউষ্টিক
ସାଉଣ୍ଡ ପ୍ରୁଫ୍ |,শব্দ নিবাৰণ
ଆକାଶବାଣୀ ଫୋନନ୍ |,একাউষ্টিক ফ&#39;নন
ଧ୍ୱନି ଏକକ |,শব্দ একক
ଶବ୍ଦ,একাউষ্টিক
ଶବ୍ଦ ଜେନେରେଟର,শব্দ উৎপাদক
କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
ସକ୍ରିୟ,সক্ৰিয়কৰণ
ସକ୍ରିୟ ଶକ୍ତି,সক্ৰিয়কৰণ শক্তি
"ସକ୍ରିୟକାରୀ, ସକ୍ରିୟକାରୀ |","সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা"
ସକ୍ରିୟ |,সক্ৰিয়
ସକ୍ରିୟତା,সক্ৰিয়তা
ପ୍ରକୃତ ଚାପ,প্ৰকৃত মানসিক চাপ
ଫୁସ୍ଫୁସ୍,ফুচফুচাই কোৱা
ସଂକ୍ଷେପରେ,সামৰণিত
"ରାଶି, ଯୋଗ, ସମୁଦାୟ (ଏଡି।), ଯୋଗୀ (v।)","যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)"
"ସଂଯୋଗ ସ୍ୱର, ଅତିରିକ୍ତ ସ୍ୱର (ସ୍ ow ର)","সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)"
ଯୋଗୀ,যোগকৰণ
ଆଡିଶିନ୍ |,আঠাযুক্ততা
ଆଡେସିଭ୍ ଶକ୍ତି |,আঠাযুক্ত শক্তি
adiabat,আদিয়াবাট
ଆଡିଆବାଟିକ୍ |,adiabatic
ଉତ୍ତାପ ଇନସୁଲେଟିଂ,তাপ নিৰোধক
ସଂଲଗ୍ନ,সংলগ্ন কৰা হৈছে
ନିୟନ୍ତ୍ରିତ,নিয়ন্ত্ৰণযোগ্য
ଅନୁପ୍ରବେଶ,ভেদ
ବିଜ୍ or ାପନ,শোষণ
ଆଗକୁ,আগলৈ
ପ୍ରଗତିଶୀଳ |,প্ৰগতিশীল
"akashi, air (v।), aerial (ed।)","আকাশী, বায়ু (v.), আকাশী (ed.)"
ଆଣ୍ଟେନା ଷ୍ଟ୍ରିମ୍ |,এন্টেনা ষ্ট্ৰিম
ବାୟୁ ସର୍ବେକ୍ଷଣ |,আকাশী জৰীপ
ବାୟୁ ବେଗ,বায়ুৰ বেগ
ଏରୋଡାଇନାମିକ୍ କୋଏଫିସିଏଣ୍ଟ୍ |,বায়ুগতিশীল সহগ
ଏରୋଡାଇନାମିକ୍ |,বায়ুগতিবিদ্যা
ଏରୋଡାଇନାମିକ୍ସ |,বায়ুগতিবিদ্যা
ଏରୋନେଟିକାଲ୍ |,এৰোনটিকেল
ଏରୋନେଟିକ୍ସ |,এৰোনটিক্স
ବାୟୁ ନାଡ,বায়ুৰ স্পন্দন
"ବାୟୁମଣ୍ଡଳ, ଗ୍ୟାସୋସଫର |","বায়ুমণ্ডল, গেছ&#39;স্ফিয়াৰ"
ଫୋକସ୍ ସିଷ୍ଟମ୍ |,ফোকাচ চিষ্টেম
ପଛ ଇଗ୍ନିସନ୍ |,বেক ইগনিচন
ପଛ ଆଲୋକ,বেক লাইট
ସଂକଟ,জোকাৰণি
"ବୟସ, ବୟସ, ବୟସ, ଯୁଗ (ଏଡି।), ସମୟ (ver।), ସମୟ, ସମୟ ଦ୍ୱାରା ପ୍ରଭାବିତ ହେବା |","বয়স, বয়স, বয়স, যুগ (ed.), সময়ক প্ৰভাৱিত কৰা (ver.), সময়, সময়ৰ দ্বাৰা প্ৰভাৱিত হোৱা"
ସମୟ ପ୍ରଭାବିତ |,সময় প্ৰভাৱিত
"ବାର୍ଦ୍ଧକ୍ୟ, ବାର୍ଦ୍ଧକ୍ୟ","বয়স বৃদ্ধি, বয়স বৃদ্ধি"
ସମୟ ପ୍ରଭାବ,সময়ৰ প্ৰভাৱ
ସମୟ ପ୍ରଭାବ ପରୀକ୍ଷା,সময় প্ৰভাৱ পৰীক্ষা
ମାଧ୍ୟାକର୍ଷଣ |,মাধ্যাকৰ্ষণহীন
ପୁନ iliation ନିର୍ମାଣ,মিলন
"ବାୟୁବାହୀ ରାଡାର, ଏରିଆଲ୍ ରାଡାର୍ |","বায়ুমণ্ডলীয় ৰাডাৰ, আকাশী ৰাডাৰ"
"ଏରିଲ୍ ଟାର୍ଗେଟ୍, ଏରିଲ୍ ଟାର୍ଗେଟ୍ |","আকাশী লক্ষ্য, আকাশী লক্ষ্য"
ବାୟୁ ଶ୍ ir ାସକ୍ରିୟା,বায়ু শ্বাসযন্ত্ৰ
ଶୀତତାପ ନିୟନ୍ତ୍ରଣ,এয়াৰ কণ্ডিচনাৰ
ଏୟାରକ୍ରାଫ୍ ଟ୍ରାନ୍ସଫର୍ମର |,এয়াৰক্ৰু ট্ৰেন্সফৰ্মাৰ
ବିମାନ,বিমান
ଶ୍ରେଣୀବଦ୍ଧତା |,প্ৰান্তিককৰণ
ଶ୍ରେଣୀବଦ୍ଧ ତ୍ରୁଟି |,প্ৰান্তিককৰণৰ ভুল
ଲାଇଭ୍ ସର୍କିଟ୍ |,লাইভ চাৰ্কিট
ପୂର୍ଣ୍ଣ ଗ୍ଲାସ୍ ଟ୍ୟୁବ୍ |,সম্পূৰ্ণ কাঁচৰ নলী
ପୁରା ଧାତୁ ଟ୍ୟୁବ୍ |,গোটেই ধাতুৰ নলী
ଠିକ କରିବା ପାଇଁ,ঠিক কৰা
"ମିସ୍ରାଟୁ (ଏଡି।), ମିଶ୍ରଭାନ୍ (କ୍ର।)","মিশ্ৰতু (সম্পা.), মিশ্ৰত্বন (ক্ৰ.)"
ମିଶ୍ର,মিশ্ৰত্ৱন
ସର୍ବବ୍ୟାପୀ ମାଧ୍ୟମ |,সৰ্বব্যাপী মাধ্যম
omni ଆଣ୍ଟେନା |,omni এন্টেনা
ଆଲମାନାକ |,আলমানাক
ଆଲଫା,আলফা
ଆଲଫା-କାର୍ଯ୍ୟକଳାପ |,আলফা-কাৰ্য্যকলাপ
ବର୍ଣ୍ଣମାଳା,আলফানিউমেৰিক
ଆଲଫା ରଶ୍ମି |,আলফা ৰশ্মি
ପରିବର୍ତ୍ତନ କରନ୍ତୁ |,সলা
"ବିକଳ୍ପ, ବିକଳ୍ପ","বিকল্প, বিকল্প"
ବିକଳ୍ପ,অলটাৰেটৰ
ଉଚ୍ଚତା,উচ্চতামাপক
ଉଚ୍ଚତା,উচ্চতামাপক
ଉଚ୍ଚତା,উচ্চতা মাপকাঠী
"ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା, ଉଚ୍ଚତା |","উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
ଗାଣିତିକ ଯୁକ୍ତିଯୁକ୍ତ ୟୁନିଟ୍ (ALU),গাণিতিক যুক্তি একক (ALU)
amaget ନିୟମ |,amaget নিয়ম
ପରିବେଶ,পৰিৱেশ
ଆମିକ୍ରନ୍ |,amicron
ଆମ୍ମିଟର,এমিটাৰ
ଆମ୍ପେର୍,এম্পিয়াৰ
ampere-law,এম্পিয়াৰ-আইন
ଆମ୍ଫିବିଆନ୍ ଆୟନ |,উভচৰ আয়ন
ବୃଦ୍ଧି,এম্প্লিফিকেশন
ଏମ୍ପ୍ଲିଫାୟର୍,এম্প্লিফায়াৰ
"କୋଣ, ପରିମାପ","কোণ, মাত্ৰা"
