Tamil,Malayalam
கருக்கலைப்பு,ഉപേക്ഷിക്കുക
டைமரை நிறுத்துங்கள்,ടൈമർ നിർത്തുക
முழுமையான முகவரி,കേവല വിലാസം
முழுமையான முகவரி,കേവല വിലാസം
முழுமையான அசெம்பிளர்,കേവല അസംബന്ധം
முழுமையான குறியீடு,കേവല കോഡ്
முழுமையான குறியீட்டு முறை,കേവല കോഡിംഗ്
முழுமையான கட்டளை,കേവല കമാൻഡ്
முழுமையான ஒருங்கிணைப்பு,കേവല കോർഡിനേറ്റ്
முழுமையான தரவு,കേവല ഡാറ്റ
முழுமையான பிழை,കേവല പിശക്
முழுமையான வெளிப்பாடு,കേവല പദപ്രയോഗം
முழுமையான அறிவுறுத்தல்,കേവല പ്രബോധനം
முழுமையான ஏற்றி,കേവല ലോഡർ
முழுமையான வரிசை,കേവല ക്രമം
முழுமையான நிரலாக்க,കേവല പ്രോഗ്രാമിംഗ്
முழுமையான சொல்,കേവല പദം
துல்லியமான மதிப்பு,യഥാർത്ഥ മൂല്യം
முழுமையான திசையன்,കേവല വെക്റ്റർ
சுருக்கம்,വേര്പെട്ടുനില്ക്കുന്ന
சுருக்கம்,അമൃതിയുള്ള
சுருக்க சின்னம்,അമൂർത്ത ചിഹ്നം
முடுக்கம் காலம்,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
முடுக்கம் நேரம்,ത്വരണം സമയം
உச்சரிப்பு,സരഭാരം
ஏற்பு சோதனை,സ്വീകാര്യത പരിശോധന
அணுகல்,പ്രവേശനം
அணுகல் கை,കൈ
அணுகல் ஏற்பாடு,ആക്സസ് ക്രമീകരണം
அணுகல் அதிகாரம்,അതോറിറ്റി ആക്സസ് ചെയ്യുക
அணுகல் கட்டணம்,ആക്സസ് ചാർജ്
அணுகல் வகுப்பு,ആക്സസ് ക്ലാസ്
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
அணுகல் சூழல்,പ്രവേശന അന്തരീക്ഷം
அணுகல் இடைவெளி,വിടവ് ആക്സസ് ചെയ്യുക
அணுகல் அட்டவணை,ആക്സസ് സൂചിക
அணுகல் வரி,ആക്സസ് ലൈൻ
அணுகல் பொறிமுறை,ആക്സസ് സംവിധാനം
அணுகல் முறை,ആക്സസ് രീതി
அணுகல் முறை வழக்கமான,ആക്സസ് രീതി പതിവ്
அணுகல் பயன்முறை,ആക്സസ് മോഡ്
அணுகல் உரிமை,വലത് ആക്സസ്
அணுகல் ஸ்கேன்,ആക്സസ് സ്കാൻ
அணுகல் நேரம்,ആക്സസ് സമയം
கணக்கியல்,അക്കൌണ്ടിംഗ്
கணக்கியல் நிதி அமைப்பு,അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം
கணக்கியல் இயந்திரம்,അക്ക ing ണ്ടിംഗ് മെഷീൻ
கணக்கு எண்,അക്കൗണ്ട് നമ്പർ
