Kannada,Bengali
"1.ಅಬ್ಯಾಕಸ್, 2. ಎಣಿಕೆ","1.অ্যাবাকাস, 2. গণনা"
ಅಸಹಜ ಅಂತ್ಯ,অস্বাভাবিক সমাপ্তি
ತಡೆಹಿಡಿಯಿರಿ,পথিমধ্যে রোধ করা
"1. ಸಂಪೂರ್ಣ, 2. ಸುಪ್ರೀಂ","1. পরম, 2. সর্বোচ্চ"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,পরম ঠিকানা
ಸಂಪೂರ್ಣ ವಿಳಾಸ ಸಾಮರ್ಥ್ಯ,পরম ঠিকানাযোগ্যতা
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,পরম সংযোজনকারী
"1. ಸಂಪೂರ್ಣ ಕೋಡ್, 2. ಸಂಪೂರ್ಣ ಕೋಡ್","1. পরম কোড, 2. পরম কোড"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,পরম আদেশ
"1. ಸಂಪೂರ್ಣ ಅಂಕಿಅಂಶಗಳು, 2. ಸಂಪೂರ್ಣ ಡೇಟಾ","1. পরম পরিসংখ্যান, 2. পরম তথ্য"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,পরম নির্দেশ
ಸಂಪೂರ್ಣ ಮೋಡ್,পরম মোড
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,পরম পথ
"1. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. পরম প্রোগ্রামিং, 2. পরম প্রোগ্রামিং"
ಅಮೂರ್ತ ವರ್ಗ,বিমূর্ত ক্লাস
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,বিমূর্ত তথ্য প্রকার
ಅಮೂರ್ತ ಯಂತ್ರ,বিমূর্ত মেশিন
ಅಮೂರ್ತ ಚಿಹ್ನೆ,বিমূর্ত প্রতীক
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,বিমূর্ত বাক্য গঠন
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,স্বীকৃতি পরীক্ষা
ಪ್ರವೇಶ ಪ್ರಮಾಣೀಕರಣ,অ্যাক্সেস সার্টিফিকেশন
"1. ಪ್ರವೇಶ ಕೋಡ್, 2. ಪ್ರವೇಶ ಕೋಡ್","1. অ্যাক্সেস কোড, 2. প্রবেশাধিকার কোড"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,প্রবেশাধিকার নিয়ন্ত্রণ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನಿಂಗ್,অ্যাক্সেস স্ক্যানিং
ಬಿಡಿಭಾಗಗಳು,আনুষাঙ্গিক
ಲೆಕ್ಕಪತ್ರ,অ্যাকাউন্টিং
"1. ಖಾತೆ ಐಡಿ, 2. ಲೆಕ್ಕಪತ್ರ ಗುರುತಿಸುವಿಕೆ","1. অ্যাকাউন্ট আইডি, 2। অ্যাকাউন্টিং সনাক্তকরণ"
ಸಂಚಯಕ,সঞ্চয়কারী
"1. ನಿಖರತೆ, 2. ನಿಖರತೆ","1. নির্ভুলতা, 2. সঠিকতা"
ಪ್ರವೇಶ,অ্যাক্সেস
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್‌ಗಳು,অ্যাক্সেস নিয়ন্ত্রণ বাইট
ಪ್ರವೇಶ ಸೂಚಕ,অ্যাক্সেস সূচক
ಪ್ರವೇಶ ಕೀ,অ্যাক্সেস কী
"1. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್","1. অ্যাক্সেস ম্যাট্রিক্স, 2. অ্যাক্সেস ম্যাট্রিক্স"
