Tamil,Bengali
ஆம்பியர் (அலகு),অ্যাম্পিয়ার (একক)
ஆங்ஸ்ட்ரம்,অ্যাংস্ট্রাম
ஏ-வகுப்பு பெருக்கி,A-শ্রেণীর পরিবর্ধক
ஏஎன் ரேடியோ சஹே,এএন রেডিও সহায়
ஒரு ஸ்கேனிங் விளக்கக்காட்சி,একটি-স্ক্যানিং উপস্থাপনা
ஒரு-தர்ஷ்,a-দর্শ
ஏ-ஸ்கோப் செயல்திறன்,A-স্কোপ কর্মক্ষমতা
ஏ-டி வளைந்த படிகம்,A-T বাঁকা স্ফটিক
"ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்","এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন"
நான்,am
AMU (அணு நிறை அலகு),এএমইউ (পারমাণবিক ভর একক)
aard-vark*,আর্ড-ওয়ার্ক*
ab-ஆம்பியர்,ab-ampere
A-B வகுப்பு பெருக்கி,A-B শ্রেণীর পরিবর্ধক
அட,adah
ஏ-பி சக்தி பிடகா,A-B শক্তি পিটক
abc = சீரமைப்பு விளக்கப்படம் = nomograph,abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ
அபே எண் (அபே மாறிலி),আবে নম্বর (আবে ধ্রুবক)
அபே ரிஃப்ராக்டோமீட்டர்,abe রিফ্র্যাক্টোমিটার
அபே சைன் நிலை,অ্যাবে সাইন স্টেট
தானியங்கி சார்பு இழப்பீடு,স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ
abcoulom,abcoulom
"பிறழ்வு, பிறழ்வு","aberration, aberration"
பிறழ்வு திருத்தி லென்ஸ்,বিকৃতি সংশোধনকারী লেন্স
வானம் பிறழ்வு,আকাশ বিকৃতি
அபராட்,আবফারদ
எபென்ரி,ইবেনরি
கருங்காலி விளைவு,আবলুস প্রভাব
அசாதாரண துருவமுனைப்பு,অস্বাভাবিক মেরুকরণ
அசாதாரண பரிமாற்றம்,অস্বাভাবিক সংক্রমণ
அமானுஷ்ய பிரதிபலிப்பு,অলৌকিক প্রতিফলন
அசாதாரண ஒளிவிலகல்*,অস্বাভাবিক প্রতিসরণ*
அமானுஷ்ய எதிர்ப்பு,অস্বাভাবিক প্রতিরোধ
ab-om,ab-om
"முன்னுரிமை, தோல்வி","preponderance, ব্যর্থতা"
"இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக","সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত"
அடிக்கடி குதிக்கிறது,প্রায়ই লাফ দেয়
கை*,হাত*
பிரதிபலிப்பு இழந்தது,হারিয়ে যাওয়া প্রতিফলন
ஸ்பெக்ட்ரம் காணவில்லை,অনুপস্থিত বর্ণালী
"முழுமையான, முழுமையான, நிலையான, சரியான","পরম, পরম, ধ্রুবক, নিখুঁত"
முழுமையான முடுக்கம்,পরম ত্বরণ
முழுமையான உண்மை,পরম বাস্তবতা
முழுமையான முகவரி,পরম ঠিকানা
புவிசார்ந்த உயரமானி,ভূ-আপেক্ষিক উচ্চতা মিটার
புவியியல் உயரம்,ভূতাত্ত্বিক উচ্চতা
முழுமையான ஆம்பியர்,পরম অ্যাম্পিয়ার
முழுமையான கொதிநிலை,পরম ফুটন্ত বিন্দু
முழுமையான ஒளிர்வு,পরম আলোকসজ্জা
முழுமையான கொள்ளளவு,পরম ক্ষমতা
முழுமையான உயரம்,পরম উচ্চতা
முழுமையான நிறமி,পরম রঙ্গক
"முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு","পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন"
முழுமையான கூலம்,পরম কুলম্ব
முழு இருள்,সম্পূর্ণ অন্ধকার
முழுமையான திட்டமிடல்,পরম সময়সূচী
முழுமையான அடர்த்தி*,পরম ঘনত্ব*
முழுமையான வடிகால்,পরম নিষ্কাশন
முழுமையான EMU (மின்காந்த அலகு),পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট)
முழுமையான ESU (நிலையான அலகு),পরম ESU (স্থির শক্তি ইউনিট)
முழுமையான செயல்திறன்,পরম দক্ষতা
முழுமையான எலக்ட்ரோமீட்டர்,পরম ইলেক্ট্রোমিটার
முழுமையான அதிர்வெண் முழுமையான அதிர்வெண்,পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি
முழுமையான ஈரப்பதம்,পরম আর্দ্রতা
முழுமையான நிகழ்வு,পরম ঘটনা
முழுமையான ஒளிவிலகல் குறியீடு,পরম প্রতিসরাঙ্ক সূচক
முழுமையான உறுதியற்ற தன்மை,পরম অস্থিরতা
முழுமையான உறுதியற்ற தன்மை,পরম অস্থিরতা
"முழுமையான தீவிரம், முழுமையான தீவிரம்","পরম তীব্রতা, পরম তীব্রতা"
ஆஸ்தீனியாவின் முழுமையான வரம்பு,অ্যাথেনিয়ার পরম সীমা
முழுமையான வெளிச்சம் சன்னல்,পরম আলোকসজ্জা সিল
முழுமையான ஒளி வளைவு,পরম হালকা বক্ররেখা
முழுமையான அளவு,পরম মাত্রা
முழுமையான காற்றழுத்தமானி,পরম ব্যারোমিটার
உச்ச உச்ச,সর্বোচ্চ সর্বোচ্চ
முழுமையான தீவிர,পরম চরম
முற்றிலும் குறைந்த,পরম সর্বনিম্ন
முழுமையான வேகம்,পরম গতিবেগ
முழுமையான வேகம்,পরম গতি
முழுமையான இசை,পরম সঙ্গীত
முழுமையான கவனிப்பு,পরম পর্যবেক্ষণ
முழுமையான ஓம்,পরম ওম
முழுமையான நோக்குநிலை,পরম অভিযোজন
முழுமையான எலக்ட்ரோநெக்டிவிட்டி,পরম বৈদ্যুতিক ঋণাত্মকতা
முழுமையான ஈர்ப்பு,পরম মাধ্যাকর্ষণ
முழுமையான அழுத்தம்,পরম চাপ
முழுமையான சொத்து,পরম সম্পত্তি
முழுமையான அளவிடல்,পরম স্কেলার
வெப்பநிலையின் இறுதி அளவு*,তাপমাত্রার পরম স্কেল*
"absolute synchrony, absolute synchrony","পরম সমলয়, পরম সমলয়"
முழுமையான மன அழுத்தம்,পরম চাপ
முழுமையான சமச்சீர்,পরম প্রতিসাম্য
முழுமையான இயக்க உடல்,পরম গতি শরীর
முழுமையான அலகு அமைப்பு,পরম ইউনিট সিস্টেম
முழுமையான வெப்பநிலை,পরম তাপমাত্রা
முழுமையான நேரம்,পরম সময়
முழுமையான அலகுகள்,পরম একক
துல்லியமான மதிப்பு,পরম মান
முழு எண் கால்குலேட்டர்,পূর্ণসংখ্যা ক্যালকুলেটর
முழுமையான வேகம்,পরম বেগ
முழுமையான பாகுத்தன்மை,পরম সান্দ্রতা
முழுமையான எடை,পরম ওজন
முழுமையான பூஜ்ஜியம்*,পরম শূন্য*
பூஜ்ஜியத்தின் முழுமையான வகுப்பான்,শূন্যের পরম ভাজক
உறிஞ்சி,শোষণ করা
உறிஞ்சுதல் குறியீடு*,শোষণ সূচক*
உறிஞ்சப்பட்ட ஆற்றல்,শোষিত শক্তি
"உறிஞ்சும், உறிஞ்சும்","শোষক, শোষক"
உறிஞ்சும் ஊடகம்*,শোষক মাধ্যম*
உறிஞ்சும் திறன்,শোষণ ক্ষমতা
உறிஞ்சுதல்,শোষণ
உறிஞ்சும் அளவி*,শোষণ যন্ত্র*
உறிஞ்சும் அளவீடு*,শোষণমিতি*
உறிஞ்சுதல்,শোষণ
உறிஞ்சுதல் - இசைக்குழு*,শোষণ - ব্যান্ড*
உறிஞ்சுதல் சுற்று,শোষণ সার্কিট
உறிஞ்சுதல் குணகம்,শোষণ গুণাঙ্ক
உறிஞ்சுதல் நெடுவரிசை,শোষণ কলাম
உறிஞ்சுதல் மாறிலி,শোষণ ধ্রুবক
உறிஞ்சுதல் தொடர்ச்சி,শোষণ ধারাবাহিকতা
உறிஞ்சுதல் மண்டலம்,শোষণ অঞ্চল
உறிஞ்சுதல் மின்னோட்டம்,শোষণ বর্তমান
