Bengali,Gujarati
গর্ভপাত,ગર્ભપાત
গর্ভপাত টাইমার,ગર્ભપાત સમય
পরম ঠিকানা,અબાધિત સંબોધન
পরম ঠিকানা,પૂર્ણ સંબોધન
পরম এসেম্বলার,સંપૂર્ણ સંમેલન
পরম কোড,પૂર્ણ સંહિતા
পরম কোডিং,પૂર્ણ સંહિતા
পরম কমান্ড,પૂર્ણ આદેશ
পরম সমন্বয়,સંપૂર્ણ સંકલન
পরম ডেটা,અબાધિત આંકડા
পরম ত্রুটি,નિરપેક્ષ ભૂલ
পরম অভিব্যক্তি,પૂર્ણ અભિવ્યક્તિ
পরম নির্দেশ,અબાધિત સૂચના
পরম লোডার,અબાધિત લોડર
পরম আদেশ,સંપૂર્ણ
পরম প্রোগ্রামিং,પૂર્ણ કાર્યક્રમ
পরম শব্দ,અબાધિત મુદત
পরম মান,અબાધિત મૂલ્ય
পরম ভেক্টর,અબાધિત વેક્ટર
বিমূর্ত,નિષ્ક્રિય
বিমূর্ত,યોગ્યતા
বিমূর্ত প্রতীক,સાર -સારાંશ
ত্বরণ সময়কাল,પ્રવેગશ ગાળો
ত্বরণের সময়,પ્રવેગકોનો સમય
অ্যাকসেন্ট,ઉચ્ચારણ
স্বীকৃতি পরীক্ষা,સ્વીકૃતિ કસોટી
অ্যাক্সেস,પ્રવેશ
অ্যাক্সেস আর্ম,પ્રવેશ હાથ
অ্যাক্সেস ব্যবস্থা,પ્રવેશ -વ્યવસ્થા
অ্যাক্সেস কর্তৃপক্ষ,પ્રવેશ સત્તાવાર
অ্যাক্সেস চার্জ,પ્રવેશ -ખર્ચ
অ্যাক্সেস ক্লাস,પ્રવેશ -વર્ગ
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,પ્રવેશ -આધાર વ્યવસ્થાપન
অ্যাক্সেস পরিবেশ,પર્યાવરણ
অ্যাক্সেস ফাঁক,પ્રવેશ અંતર
অ্যাক্সেস সূচক,પ્રવેશ -સૂચિ
অ্যাক্সেস লাইন,પ્રવેશ -રેખા
অ্যাক্সেস প্রক্রিয়া,પ્રવેશ -પદ્ધતિ
অ্যাক্সেস পদ্ধতি,પ્રવેશ પદ્ધતિ
অ্যাক্সেস পদ্ধতির রুটিন,પ્રવેશ -પદ્ધતિ
অ্যাক্সেস মোড,પ્રવેશ -પદ્ધતિ
এক্সেস অধিকার,પ્રવેશ -હક
অ্যাক্সেস স্ক্যান,પ્રવેશ -સ્કેન
প্রবেশাধিকার সময়,પ્રવેશ સમય
অ্যাকাউন্টিং,નામું
অ্যাকাউন্টিং ফিনান্স সিস্টেম,હિસાબ -પદ્ધતિ પદ્ધતિ
অ্যাকাউন্টিং মেশিন,હિસાબ -વ્યવસ્થા
হিসাব নাম্বার,ખાતા નંબર
প্রজননকারী জমে,સંચયી પ્રજનનકર્તા
জমে,એકઠા કરનાર
সংগ্রহকারী রেজিস্টার,સંચિત રજિસ્ટર
সংগ্রহকারী শিফট নির্দেশনা,સંચય -પાળી સૂચના
সঠিকতা,ચોકસાઈ
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,ચોકસાઈ નિયંત્રણ
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,ચોકસાઈ નિયંત્રણ પદ્ધતિ
এস পাইলট,પાસાનો પાસાનો પો
চরিত্র স্বীকৃতি,પાત્ર સ્વીકારવું
অ্যাকোস্টিক কাপলার,ધ્વનિકર્તા
অ্যাকোস্টিক কাপলিং,ધ્વનિ -જોડાણ
অ্যাকোস্টিক বিলম্ব লাইন,ધ્વનિ વિલંબ રેખા
অ্যাকোস্টিক মেমরি,ધ્વનિમૂર્તિ
অ্যাকোস্টিক মডেম,ધ્વનિ -મોડેમ
অ্যাকোস্টিক সিগন্যাল,ધ્વનિ સંકેત
অ্যাকোস্টিক স্টোরেজ,ધ્વનિ સંગ્રહ
সংক্ষিপ্ত বিবরণ,ટૂંકાક્ષર
কর্ম,ક્રિયા
অ্যাকশন চক্র,કાર્ય -ચક્ર
অ্যাকশন লাইন,ક્રિયા -રેખ
অ্যাকশন বার্তা,ક્રિયા
ক্রিয়া স্পেসিফিকেশন,કાર્ય -સ્પષ્ટીકરણ
অ্যাক্টিভেশন,સક્રિય
সক্রিয়,સક્રિય
সক্রিয় ফাইল,સક્રિય ફાઈલ
সক্রিয় লাইন,સક્રિય રેખા
সক্রিয় লিঙ্ক,સક્રિય કડી
সক্রিয় মাস্টার ফাইল,સક્રિય માસ્ટર ફાઇલ
সক্রিয় মাস্টার আইটেম,સક્રિય મુખ્ય વસ્તુ
সক্রিয় স্যাটেলাইট,સક્રિય ઉપગ્રહ
সক্রিয় স্টেশন,સક્રિય કેન્દ્ર
সক্রিয় স্টোরেজ,સક્રિય સંગ્રહ
ক্রিয়াকলাপ,પ્રવૃત્તિ
কর্মকান্ডের পর্যায়,પ્રવૃત્તિ સ્તરે
ক্রিয়াকলাপ লোড হচ্ছে,પ્રવૃત્તિ લોડિંગ
ক্রিয়াকলাপ অনুপাত,પ્રવૃત્તિ ગુણોત્તર
আসল ঠিকানা (= পরম ঠিকানা),વાસ્તવિક સરનામું (= સંપૂર્ણ સરનામું)
আসল কোড (= পরম কোড),વાસ્તવિક કોડ (= સંપૂર્ણ કોડ)
প্রকৃত ডেটা স্থানান্তর হার,વાસ્તવિક ડેટા ટ્રાન્સફર રેટ
আসল দশমিক পয়েন্ট,વાસ્તવિક દશાંશ બિંદુ
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),વાસ્તવિક સૂચના (= અસરકારક સૂચના)
আসল কী,ખરેખર ચા
প্রকৃত সময়,વાસ્તવિક સમય
আসল কাজের সময়,વાસ્તવિક કામનો સમય
অ্যাকিউটিং সিগন্যাল,કાર્યકારી સંકેત
অভিযোজনযোগ্যতা,અનુકૂલનક્ષમતા
অ্যাডাপ্টার,અનુકૂલન
অভিযোজিত চ্যানেল বরাদ্দ,અનુકૂલનશીલ ચેનલ ફાળવણી
অভিযোজিত সংহতকরণ,અનુકૂલનશીલ એકીકરણ
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,અનુકૂલનશીલ બરાબરી
যুক্ত এন্ট্রি,ઉમેરાયેલ નોંધ
সংযোজন,પરિવર્તન
সংযোজন,પ્રહાર
অ্যাডার সাবট্র্যাক্টর,ઉપદેશક
ফাইল যুক্ত কর,ફાઇલ ઉમેરો
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),વધારાના પાત્ર (= વિશેષ પાત્ર)
সংযোজন রেকর্ডার,વધારાની રેકોર્ડર
সংযোজন টেবিল,વધારાનો કોઠો
সংযোজন বৈশিষ্ট্য,ઉમેરણ લક્ષણ
মোড যুক্ত করুন,મોડમાં ઉમેરો
অপারেশন যুক্ত করুন,કામગીરી ઉમેરો
ঠিকানা,સંબોધન
ঠিকানা পরিমাপ,સરનામા -માપદંડ
ঠিকানাযোগ্য অনুভূমিক অবস্থান,સરનામું આડી સ્થિતિ
ঠিকানাযোগ্য পয়েন্ট,સંબોધન - બિંદુ
ঠিকানাযোগ্য অবস্থান,પ્રતિયોગી સ્થિતિ
ঠিকানাযোগ্য নিবন্ধ,સરનામું રજિસ્ટર
ঠিকানাযোগ্য স্টোরেজ,પ્રત્યુત્તરપાત્ર સંગ્રહ
ঠিকানাযোগ্য উল্লম্ব অবস্থান,સરનાક verભી સ્થિતિ
ঠিকানা বাস,સરનાવ બસ
ঠিকানা কোড,સરનામું
ঠিকানা তুলনামূলক,સરખામણી કરનાર
ঠিকানা গণনা,સરનામું
ধ্রুবক ঠিকানা,નિવારણ
ঠিকানা রূপান্তর,ધર્મપરિવર્તન
ঠিকানা ডেটা,માહિતી
সম্বোধন স্মৃতি,સંબોધિત મેમરી
ঠিকানা কার্যকর,સંબોધન અસરકારક
ঠিকানা ক্ষেত্র,સરનાવનું ક્ષેત્ર
ঠিকানা ফর্ম্যাট,સરનાકનું બંધારણ
ঠিকানা বিনামূল্যে প্রোগ্রাম,મફત કાર્યક્રમ
সম্বোধন,સંબોધન
সম্বোধন  চরিত্র,સંબોધન  પાત્ર
বাধা সম্বোধন,સંબોધન
লুপ সম্বোধন,સંબોધન
ভার্চুয়াল মেমরি সম্বোধন,વર્ચુઅલ મેમરીને સંબોધવા
ঠিকানা ইন্টারল্যাকিং,સરનામું
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,સરનામાંહીન સૂચના બંધારણ
ঠিকানা লাইন,સરનામા
ঠিকানা ম্যাপিং,સરનામાંનું નકશો
ঠিকানা চিহ্ন,સરનાવ
ঠিকানা পরিবর্তন,સરનામા -ફેરફાર
ঠিকানা অংশ,સરનામા ભાગ
ঠিকানা পয়েন্টার,સરનાક નિર્દેશક
ঠিকানা রেজিস্টার,સરના નોંધણી
ঠিকানা সংকেত,સરનામે સંકેત
ঠিকানা আকার,સરનાવનું કદ
ঠিকানা স্থান,સરનાવની જગ્યા
ঠিকানা স্পেস আইডেন্টিফায়ার,સરનામું સ્થાન ઓળખકર્તા
ঠিকানা স্টপ,સરનાવ બંધ
ঠিকানা ট্রেস,સરનામા
ঠিকানা ট্র্যাক,સરનામા
ঠিকানা অনুবাদ,અનુવાદ
ঠিকানা অনুবাদক,અનુવાદક
বিয়োগের সময় যোগ করুন,સબમટ્રેક્ટ સમય ઉમેરવો
সময় যোগ করুন,સમય ઉમેરો
সংলগ্নতা,સંલગ્નતા
সংলগ্ন কাঠামো,સંલગ્ન માળખું
সংলগ্ন চ্যানেল,સંલગ્ન માતૃભાષા
সংলগ্ন ডোমেন,સંલગ્ન ડોમેન
সংলগ্ন ম্যাট্রিক্স,સંલગ્ન મેટ્રિક્સ
সংলগ্ন নোড,સંલગ્ન નોડ
সংলগ্ন সুবেরিয়া,સંલગ્ન સુબેરિયા
স্থগিত (সিস্টেম),સંવાદિતા (સિસ્ટમ)
সামঞ্জস্য করুন,સમાયોજન કરવું
সামঞ্জস্যযোগ্য মাত্রা,ગોઠવણપાત્ર હદ
পাঠ্য মোড সামঞ্জস্য করুন,ટેક્સ્ટ મોડને સમાયોજિત કરો
প্রশাসনিক ডেটা প্রসেসিং,વહીવટી માહિતી પ્રક્રિયા
প্রশাসনিক অপারেশন,વહીવટી કામગીરી
প্রশাসনিক অপারেটর,વહીવટી operatorપરેટર
প্রশাসনিক অপারেটর স্টেশন,વહીવટી પ્રચાલક
প্রশাসনিক সহায়তা সিস্টেম,વહીવટી સહાયક પદ્ધતિ
উন্নত যোগাযোগ পরিষেবা,અદ્યતન સંદેશાવ્યવહાર સેવા
উন্নত তথ্য সিস্টেম,અદ્યતન માહિતી પદ્ધતિ
উন্নত অপটিক্যাল চরিত্র পাঠক,અદ્યતન ઓપ્ટિકલ પાત્ર રીડર
উন্নত বৈজ্ঞানিক কম্পিউটার,અદ્યતન વૈજ્ .ાનિક કમ્પ્યુટર
এরিয়াল,હવાઈ
সমষ্টি,સમૂહ
সামগ্রিক অভিব্যক্তি,કુલ અભિવ્યક્તિ
লক্ষ্য বৃত্ত,લક્ષ્યસ્થાન વર્તુળ
