Hindi,Punjabi
आबेली समूह,ਅਬੇਲੀ ਸਮੂਹ
आबेली सामिसमूह,ਅਬੇਲੀ ਸਮੂਹ
भुज,ਹੱਥ
"निरपेक्ष, परम, अचर, परिशुद्‌ध","ਪੂਰਨ, ਸੰਪੂਰਨ, ਸਥਿਰ, ਸਟੀਕ"
निरपेक्ष अभिसरण,ਪੂਰਨ ਕਨਵਰਜੈਂਸ
निरपेक्ष त्रुटि,ਪੂਰਨ ਗਲਤੀ
परम उच्चिष्ठ,ਪਰਮ ਸਰਵਉੱਚ
परम निम्निष्ठ,ਸਭ ਤੋਂ ਘੱਟ
निरपेक्ष मान,ਸਹੀ ਮੁੱਲ
निरपेक्ष वेग,ਪੂਰਨ ਗਤੀ
अमूर्त बीजगणित,ਸਾਰ ਅਲਜਬਰਾ
अमूर्त समूह सिद्‌धांत,ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ
त्वरण,ਪ੍ਰਵੇਗ
गुरुत्वीय त्वरण,ਗਰੈਵੀਟੇਸ਼ਨਲ ਪ੍ਰਵੇਗ
स्वीकार्य वरण-समुच्चय,ਸਵੀਕਾਰਯੋਗ ਚੋਣਕਾਰ
स्वीकार्य गुणता स्तर,ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ
स्वीकार्य परिसर,ਸਵੀਕਾਰਯੋਗ ਜਗ੍ਹਾ
मान्य विश्वसनीयता स्तर,ਵੈਧ ਭਰੋਸੇਯੋਗਤਾ ਪੱਧਰ
स्वीकरण-प्रतिचयन,ਸਵੀਕ੍ਰਿਤੀ ਨਮੂਨਾ
संचित त्रुटि,ਸੰਚਿਤ ਗਲਤੀ
यथार्थता,ਸ਼ੁੱਧਤਾ
लगा हुआ बल,ਲਾਗੂ ਫੋਰਸ
" क्रिया , कर्म","ਕਾਰਵਾਈ, ਕੰਮ"
क्रिया और प्रतिक्रिया,ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ
बीमा विज्ञान,ਬੀਮਾ ਵਿਗਿਆਨ
न्यूनकोण त्रिभुज,ਤੀਬਰ ਤਿਕੋਣ
अचक्रीय,acyclic
"योग करना, जोड़ना",ਸੰਪੇਕਸ਼ਤ
योजक,ਜੋੜਨ ਵਾਲਾ
"योग, जोड़, संकलन (स.), योगात्मक (वि.)","ਜੋੜ, ਜੋੜ, ਜੋੜ (c.), ਜੋੜ (v.)"
योग का सूत्र,ਯੋਗਾ ਦਾ ਫਾਰਮੂਲਾ
सम्मिश्र संख्याओं का योग,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ
फलनों का योग,ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ
आव्यूहों का योग,ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ
बहुपदों का योग,ਬਹੁਪਦ ਦਾ ਜੋੜ
प्रायिकताओं का योग,ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ
सदिशों का योग,ਵੈਕਟਰਾਂ ਦਾ ਜੋੜ
"योग प्रमेय बेरीज सिद्‌धांत,","ਜੋੜ ਥਿਊਰਮ, ਬੇਰੀ ਥਿਊਰੀ"
योज्य समूह,additive ਗਰੁੱਪ
योज्य व्युत्क्रम,additive ਉਲਟ
"योज्यता, योगशीलता",ਜੋੜਨ ਦੀ ਯੋਗਤਾ
योज्यता,ਜੋੜਨ ਦੀ ਯੋਗਤਾ
आसन्नता आव्यूह,ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ
" संलग्न, निकटवर्ती , आसन्न","ਨੇੜੇ, ਨਾਲ ਲੱਗਦੇ, ਨਾਲ ਲੱਗਦੇ"
आसन्न कोण,ਨੇੜੇ ਦੇ ਕੋਣ
आसन्न शीर्ष,ਨੇੜੇ ਦਾ ਸਿਰਾ
सहबद्‌ध करना,ਜੋੜਨ ਲਈ
"संलग्न संलग्नीत,",ਨੱਥੀ ਨੱਥੀ
सहखंडज सारणिक,ਆਮ ਨਿਰਣਾਇਕ
संलग्न अवकल समीकरण,ਅਟੈਚਡ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ
संलग्न समीकरण,ਜੁੜੇ ਸਮੀਕਰਨ
सहखंडज आव्यूह,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
आव्यूह सहखंडज,ਮੈਟ੍ਰਿਕਸ ਕੋਵੇਰੀਅੰਸ
सहखंडज आव्यूह,ਕੋਹੋਮੋਜੀਨੀਅਸ ਮੈਟਰਿਕਸ
ग्राह्य निर्णय फलन,ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ
ग्राह्य परिकल्पना,ਸਵੀਕਾਰਯੋਗ ਪਰਿਕਲਪਨਾ
वायुगतिक बल,ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ
वायु गतिकी,ਐਰੋਡਾਇਨਾਮਿਕਸ
सजातीय ज्यामिति,ਸਮਰੂਪ ਜਿਓਮੈਟਰੀ
सजातीय प्रतिचित्रण,ਸਮਰੂਪ ਮੈਪਿੰਗ
सजातीय रूपांतरण,ਸਮਰੂਪ ਤਬਦੀਲੀ
समुच्चयी चर,ਕੁੱਲ ਵੇਰੀਏਬਲ
" बीजगणित, ऐलजेब्रा , बीजावली , बीजक्रिया","algebra, algebra, algebra, algebra"
"बीजतः संवृत, बीजतः","ਬੀਜੀ ਬੰਦ, ਬੀਜੀ"
बीजीय समीकरण,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
बीजीय व्यंजक,ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
बीजीय समघात,ਬੀਜਗਣਿਤ ਸਮਰੂਪਤਾ
बीजीय फलन,ਬੀਜਗਣਿਤ ਫੰਕਸ਼ਨ
बीजीय ज्यामिति,ਬੀਜਗਣਿਤ ਜਿਓਮੈਟਰੀ
बीजीय बहुकता,ਬੀਜਗਣਿਤ ਬਹੁਲਤਾ
बीजीय निकाय,ਬੀਜਗਣਿਤ ਪ੍ਰਣਾਲੀ
सर्व-पूर्णांक समस्या,ਸਾਰੇ ਪੂਰਨ ਅੰਕ ਸਮੱਸਿਆ
"नियतन समस्या वाटपप्रश्न,",ਅਸਾਈਨਮੈਂਟ ਸਮੱਸਿਆ ਵਾਟ ਸਵਾਲ
अक्षरात्मक संकेत पद्‌धति,ਵਰਣਮਾਲਾ ਸੰਕੇਤ
अक्षरात्मक संप्रतीक,ਵਰਣਮਾਲਾ ਦੇ ਅੱਖਰ
एकांतर कोण,ਬਦਲਵੇਂ ਕੋਣ
"एकांतर समघात प्रत्यावर्ती रूप,",ਬਦਲਵੇਂ ਸਮਰੂਪ ਬਦਲਵੇਂ ਰੂਪ
एकांतर समूह,ਵਿਕਲਪਕ ਸਮੂਹ
एकांतर आव्यूह,ਵਿਕਲਪਕ ਮੈਟ੍ਰਿਕਸ
एकांतर श्रेणी,ਵਿਕਲਪਿਕ ਲੜੀ
वैकल्पिक परिकल्पना,ਵਿਕਲਪਕ ਅਨੁਮਾਨ
वैकल्पिक इष्टमत,ਵਿਕਲਪਿਕ ਸਰਵੋਤਮ
वैकल्पिक परिणाम,ਵਿਕਲਪਿਕ ਨਤੀਜਾ
अनुरूप-अंकीय परिवर्तक,ਐਨਾਲਾਗ-ਅੰਕ ਕਨਵਰਟਰ
"अनुरूप कम्प्यूटर,",ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
विश्लेषण,ਵਿਸ਼ਲੇਸ਼ਣ
सहप्रसरण-विश्लेषण,ਸਹਿਵਿਹਾਰ ਵਿਸ਼ਲੇਸ਼ਣ
गणन-आंकड़ों का विश्लेषण,ਗਣਨਾ-ਡਾਟਾ ਵਿਸ਼ਲੇਸ਼ਣ
प्रसरण-विश्लेषण,ਪਰਿਵਰਤਨ ਵਿਸ਼ਲੇਸ਼ਣ
विश्लेषिक ज्यामिति,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਜਿਓਮੈਟਰੀ
विश्लेषिक फलन,ਵਿਸ਼ਲੇਸ਼ਣਾਤਮਕ ਫੰਕਸ਼ਨ
कोण,ਕੋਣ
स्पर्श-कोण,ਸਪਰਸ਼ ਕੋਣ
विक्षेप-कोण,ਡਿਫਲੈਕਸ਼ਨ ਕੋਣ
अवनमन-कोण,ਡਿਪਰੈਸ਼ਨ ਕੋਣ
विचलन-कोण,ਭਟਕਣ ਕੋਣ
विवर्तन-कोण,ਵਿਭਿੰਨ ਕੋਣ
उन्नयन-कोण,ਉਚਾਈ ਕੋਣ
