Odiya,Tamil
ପରିତ୍ୟାଗ,கருக்கலைப்பு
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,டைமரை நிறுத்துங்கள்
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,முழுமையான முகவரி
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,முழுமையான முகவரி
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,முழுமையான அசெம்பிளர்
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,முழுமையான குறியீடு
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,முழுமையான குறியீட்டு முறை
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,முழுமையான கட்டளை
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,முழுமையான ஒருங்கிணைப்பு
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,முழுமையான தரவு
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,முழுமையான பிழை
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,முழுமையான வெளிப்பாடு
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,முழுமையான அறிவுறுத்தல்
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,முழுமையான ஏற்றி
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,முழுமையான வரிசை
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,முழுமையான நிரலாக்க
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,முழுமையான சொல்
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,துல்லியமான மதிப்பு
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,முழுமையான திசையன்
ବିସ୍ତୃତ,சுருக்கம்
ବିସ୍ତୃତ,சுருக்கம்
ବିସ୍ତୃତ ପ୍ରତୀକ |,சுருக்க சின்னம்
ତ୍ୱରଣ ସମୟ,முடுக்கம் காலம்
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,முடுக்கம் நேரம்
ଉଚ୍ଚାରଣ,உச்சரிப்பு
ଗ୍ରହଣ ପରୀକ୍ଷା,ஏற்பு சோதனை
ପ୍ରବେଶ,அணுகல்
