Gujarati,Tamil
અબેલી જૂથ,அபேலி குழு
અબેલી જૂથ,அபேலி குழு
હાથ,கை
"નિરપેક્ષ, નિરપેક્ષ, અચળ, ચોક્કસ","முழுமையான, முழுமையான, நிலையான, துல்லியமான"
સંપૂર્ણ સંકલન,முழுமையான ஒருங்கிணைப்பு
સંપૂર્ણ ભૂલ,முழுமையான பிழை
સર્વોચ્ચ સર્વોચ્ચ,உச்ச உச்ச
એકદમ નીચું,முற்றிலும் குறைந்த
સંપૂર્ણ મૂલ્ય,துல்லியமான மதிப்பு
સંપૂર્ણ વેગ,முழுமையான வேகம்
અમૂર્ત બીજગણિત,சுருக்க இயற்கணிதம்
અમૂર્ત જૂથ સિદ્ધાંત,சுருக்க குழு கோட்பாடு
પ્રવેગ,முடுக்கம்
ગુરુત્વાકર્ષણ પ્રવેગક,ஈர்ப்பு முடுக்கம்
સ્વીકાર્ય પસંદગીકાર,ஏற்றுக்கொள்ளக்கூடிய தேர்வாளர்
સ્વીકાર્ય ગુણવત્તા સ્તર,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
સ્વીકાર્ય જગ્યા,ஏற்றுக்கொள்ளக்கூடிய வளாகம்
માન્ય વિશ્વસનીયતા સ્તર,சரியான நம்பகத்தன்மை நிலை
સ્વીકૃતિ નમૂના,ஏற்பு மாதிரி
સંચિત ભૂલ,திரட்டப்பட்ட பிழை
ચોકસાઈ,துல்லியம்
બળ લાગુ કર્યું,பயன்படுத்தப்படும் சக்தி
"ક્રિયા, ખત","செயல், செயல்"
ક્રિયા અને પ્રતિક્રિયા,செயல் மற்றும் எதிர்வினை
વીમા વિજ્ઞાન,காப்பீட்டு அறிவியல்
તીવ્ર ત્રિકોણ,கடுமையான முக்கோணம்
એસાયક્લિક,அசைக்ளிக்
સારાંશ માટે,மொத்தத்தில்
ઉમેરનાર,சேர்ப்பான்
"સરવાળો, ઉમેરો, સરવાળો (c.), ઉમેરણ (v.)","தொகை, கூட்டல், கூட்டுத்தொகை (c.), கூட்டல் (v.)"
યોગનું સૂત્ર,யோகா சூத்திரம்
જટિલ સંખ્યાઓનો સરવાળો,கலப்பு எண்களின் கூட்டுத்தொகை
કાર્યોનો સરવાળો,செயல்பாடுகளின் கூட்டுத்தொகை
મેટ્રિસિસનો સરવાળો,மெட்ரிக்குகளின் கூட்டுத்தொகை
બહુપદીનો સરવાળો,பல்லுறுப்புக்கோவைகளின் தொகை
સંભાવનાઓનો સરવાળો,நிகழ்தகவுகளின் கூட்டுத்தொகை
વેક્ટરનો સરવાળો,திசையன்களின் தொகை
"સરવાળો પ્રમેય, બેરી સિદ્ધાંત,","தொகை தேற்றம், பெர்ரி கோட்பாடு"
ઉમેરણ જૂથ,சேர்க்கை குழு
ઉમેરણ વ્યસ્ત,தலைகீழ் சேர்க்கை
ઉમેરણ,சேர்க்கை
ઉમેરણ,சேர்க்கை
સંલગ્નતા મેટ્રિક્સ,அருகாமை அணி
"અડીને, અડીને, અડીને","அருகாமை, அருகாமை, அருகாமை"
અડીને કોણ,அருகில் உள்ள கோணம்
અડીને શિરોબિંદુ,அருகில் உள்ள உச்சி
સાંકળવું,தொடர்புபடுத்த
"જોડાયેલ બંધ,",இணைக்கப்பட்ட உறை
સામાન્ય નિર્ણાયક,பொதுவான தீர்மானிப்பான்
જોડાયેલ વિભેદક સમીકરણ,இணைக்கப்பட்ட வேறுபாடு சமன்பாடு
જોડાયેલ સમીકરણ,இணைக்கப்பட்ட சமன்பாடு
કોહોમોજીનીયસ મેટ્રિક્સ,ஒரே மாதிரியான அணி
મેટ્રિક્સ સહપ્રવૃત્તિ,அணி ஒருங்கிணைப்பு
કોહોમોજીનીયસ મેટ્રિક્સ,ஒரே மாதிரியான அணி
સ્વીકાર્ય નિર્ણય કાર્ય,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
સ્વીકાર્ય પૂર્વધારણા,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
એરોડાયનેમિક બળ,காற்றியக்க விசை
એરોડાયનેમિક્સ,காற்றியக்கவியல்
સજાતીય ભૂમિતિ,ஒரே மாதிரியான வடிவியல்
સજાતીય મેપિંગ,ஒரே மாதிரியான மேப்பிங்
સજાતીય પરિવર્તન,ஒரே மாதிரியான மாற்றம்
એકંદર ચલ,மொத்த மாறி
"બીજગણિત, બીજગણિત, બીજગણિત, બીજગણિત","இயற்கணிதம், இயற்கணிதம், இயற்கணிதம், இயற்கணிதம்"
"સીડી બંધ, બીજરૂપે","விதை மூடிய, விதை"
બીજગણિતીય સમીકરણ,இயற்கணித சமன்பாடு
બીજગણિતીય અભિવ્યક્તિ,இயற்கணித வெளிப்பாடு
બીજગણિત એકરૂપતા,இயற்கணித ஒருமைப்பாடு
બીજગણિત કાર્ય,இயற்கணித செயல்பாடு
બીજગણિત ભૂમિતિ,இயற்கணித வடிவியல்
બીજગણિત બહુમતી,இயற்கணித பன்மை
બીજગણિત સિસ્ટમ,இயற்கணித அமைப்பு
તમામ પૂર્ણાંક સમસ્યા,அனைத்து முழு எண் பிரச்சனை
"સોંપણી સમસ્યા વોટ પ્રશ્ન,",ஒதுக்கீட்டுச் சிக்கல் வாட் கேள்வி
આલ્ફાબેટીકલ નોટેશન,அகரவரிசைக் குறியீடு
આલ્ફાબેટીક અક્ષર,அகரவரிசை எழுத்து
વૈકલ્પિક ખૂણા,மாற்று கோணங்கள்
"વૈકલ્પિક સજાતીય વૈકલ્પિક સ્વરૂપ,",மாற்று ஒரே மாதிரியான மாற்று வடிவம்
વૈકલ્પિક જૂથ,மாற்று குழு
વૈકલ્પિક મેટ્રિક્સ,மாற்று அணி
વૈકલ્પિક શ્રેણી,மாற்று தொடர்
વૈકલ્પિક પૂર્વધારણા,மாற்று கருதுகோள்
વૈકલ્પિક શ્રેષ્ઠ,மாற்று உகந்தது
વૈકલ્પિક પરિણામ,மாற்று முடிவு
એનાલોગ-અંક કન્વર્ટર,அனலாக்-இலக்க மாற்றி
"એનાલોગ કમ્પ્યુટર,",அனலாக் கணினி
વિશ્લેષણ,பகுப்பாய்வு
સહપ્રવર્તન વિશ્લેષણ,இணைநிலை பகுப்பாய்வு
ગણતરી-માહિતી વિશ્લેષણ,கணக்கெடுப்பு-தரவு பகுப்பாய்வு
વિચલન વિશ્લેષણ,மாறுபாடு பகுப்பாய்வு
વિશ્લેષણાત્મક ભૂમિતિ,பகுப்பாய்வு வடிவியல்
વિશ્લેષણાત્મક કાર્ય,பகுப்பாய்வு செயல்பாடு
કોણ,கோணம்
સ્પર્શકોણ,தொடுகோடு கோணம்
વિચલન કોણ,விலகல் கோணம்
હતાશા કોણ,மனச்சோர்வு கோணம்
વિચલન કોણ,விலகல் கோணம்
વિવર્તન કોણ,விலகல் கோணம்
એલિવેશન એંગલ,உயர கோணம்
ઘટના કોણ,நிகழ்வு கோணம்
પ્રક્ષેપણ કોણ,திட்ட கோணம்
પ્રતિબિંબ કોણ,பிரதிபலிப்பு கோணம்
